date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失
2013-05-09,1,2013,52440.0,,-160886.0,-11248,-1687,490,3018,,,0,169529.0,0.0,-16719.0,0.0,14883,,-4965,2557,38879,-22575,,,-2026,,-939.0,,,-26062,-7650,-670,59846,-110000,-98,76328,3187,-5670,-2312.0,130918,38205,0.0,936,-971,1714,,2013年01月01日至2013年03月31日,1320256,1337077,16821,111018,,0.0,203168,191084,,240250,-384415,-356144,111018,-21488,49114,27626,,683,0.0,714,0.0,80066,3596.0,1337077,11341,-1460,
2013-08-12,2,2013,80409.0,,-160886.0,24882,-1494,-526,4451,,,-49216,,4844.0,-39127.0,,8524,,-10122,3780,81599,-54173,,,-1678,43.0,0.0,,,-12188,4961,26709,89773,-190000,-168,-23580,-5544,-10938,-4659.0,-122256,77451,0.0,1866,-2227,8779,,2013年01月01日至2013年06月30日,1320256,1077651,-242605,277941,,13117.0,292342,360256,,483454,-721518,-494290,277941,51199,-49293,1906,,7143,0.0,39,0.0,82315,3596.0,1077651,-74466,-3047,
2013-11-11,3,2013,122141.0,,-160886.0,-6211,-1581,1745,-31722,,,56612,,4844.0,-4860.0,,4200,,-16783,5052,62808,-129676,,,-916,,-62.0,,,-39710,-18410,32881,99742,-220000,-194,-73951,-6771,-5710,-7015.0,-52920,114009,0.0,4115,-3191,14190,,2013年01月01日至2013年09月30日,1320256,746961,-573295,452466,,13117.0,297016,417958,-241202.0,753163,-1115798,-880199,452466,2796,-159445,-156649,,8743,3144.0,2298,-144.0,-34508,3596.0,746961,-131941,-2823,9537.0
2014-03-24,4,2013,163656.0,-41706.0,-160886.0,52376,-7239,-234,-14777,,69668.0,20093,,10175.0,-6248.0,,6772,,-25229,5803,103526,-231139,,-4413.0,1377,,-218.0,,,-65810,-6605,38190,199680,-230000,-113,-121347,-12844,-16893,-8394.0,-171705,150851,0.0,4803,-4085,21729,,2013年01月01日至2013年12月31日,1320256,1024091,-296165,662567,,13117.0,533883,662533,-241202.0,960590,-1300008,-761869,704273,75220,-238910,-163690,,33741,3144.0,12593,-144.0,-34,3596.0,954423,-146294,-4617,7851.0
2014-05-08,1,2014,31118.0,607.0,-725.0,-46806,9425,-451,-8476,,74155.0,-119978,25988.0,,,,248,,-6535,1757,18268,-46128,,,-1194,,-721.0,,,-7830,-40190,-33447,10000,-50000,-76,132400,1689,-6390,-1097.0,-140114,38202,,964,-817,9456,,2014年01月01日至2014年03月31日,1024091,1271770,247679,199265,,,218361,229134,,453777,-261167,151164,198658,-122067,120818,-1249,,4,,-1487,,29869,19.0,1197615,-19412,-856,
2014-08-11,2,2014,64397.0,397.0,-725.0,-1428,15022,542,-7018,,89703.0,-229038,,0.0,21154.0,,-2474,,-16076,2989,-21694,-79194,,,1900,,6070.0,,,-6625,15769,-31943,10000,-110000,-94,98303,-5951,-10114,-2170.0,-286806,74651,-30152.0,2062,-1769,22838,,2014年01月01日至2014年06月30日,1024091,920355,-103736,365090,,0.0,414008,463628,,611861,-726450,-209244,364693,-19324,53465,34141,,272,,1333,,98538,19.0,830652,-70689,-7,
2014-11-11,3,2014,93924.0,386.0,-725.0,-27384,13694,1463,-7467,,,-157481,,0.0,-1386.0,,16,,-20098,3527,2256,-99580,-12651.0,,1634,,3342.0,,,-37976,26194,29553,10000,-110000,34,-69431,-765,-24455,-3263.0,-262715,109054,-30152.0,2268,-2147,25733,,2014年01月01日至2014年09月30日,1024091,1006604,-17487,602882,,0.0,470330,566851,-253896.0,1022914,-898993,-227358,602496,26597,-156552,-129955,,8383,0.0,-2553,0.0,-36031,19.0,1006604,-120107,57,0.0
2015-03-23,4,2014,146557.0,386.0,-725.0,43777,10173,9084,-47035,-287.0,0.0,60221,,0.0,-1400.0,,3075,,-34430,4866,106066,-131287,-18618.0,0.0,3618,,2899.0,,,-127155,-19431,24121,10000,-110000,-12,-97710,5863,-36820,-3537.0,-82107,147410,-30152.0,3010,-3036,40323,,2014年度,1024091,1485962,461871,833967,,0.0,614427,711403,-253896.0,1438035,-1262828,-176515,833581,54002,-323123,-269121,,8977,0.0,604,0.0,-122564,19.0,1485962,-134263,294,18091.0
2015-05-11,1,2015,,0.0,0.0,-64815,3487,3119,-2770,,0.0,-96446,291.0,,,,-5272,-58059.0,-13746,657,-37921,-47253,-108873.0,,585,,7064.0,,,-15929,-25735,18804,59615,0,0,139194,-4772,6545,,-309174,38476,,753,-231,11677,26829.0,2015年01月01日至2015年03月31日,1485962,1418431,-67531,176699,-1074.0,,253683,259582,,256850,-297648,25881,176699,-69701,125755,56054,,1166,,413,,82883,0.0,1418431,-17345,441,4522.0
2015-08-10,2,2015,,0.0,0.0,-43537,2340,-8054,3974,,0.0,-335932,,,2557.0,,-7324,-57675.0,-22103,2309,-53008,-87922,-234496.0,,-1483,14826.0,,-23.0,,-104896,-938,160860,110000,0,0,22244,-2771,2113,,-700299,76675,31846.0,1435,-2313,19528,58335.0,2015年01月01日至2015年06月30日,1485962,1036392,-449570,396269,-2133.0,,438035,515652,,326777,-585901,-134298,396269,106198,-45150,61048,,1687,11505.0,-279,-1505.0,119383,0.0,1036392,-94832,-78,10688.0
