date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動
2013-04-26,1,2013,,28716.0,-184,-87242,-793,,23643,-9263,-87,-200.0,0.0,,,,-5.0,,-216.0,-724,-1518,246,2752,-4321,-20000.0,,0.0,-17198,,0.0,,,-47952,32184,-210497,,-42243,13195,,565.0,15800,-248,1470,,2013年01月01日至2013年03月31日,805771,725467,-80304,239147,-40413,-32349,,,,-400,239147,428,-31502,-268710,-300212,,0.0,0,0.0,0,,-271496,725467,-9286,,
2013-08-12,2,2013,,54040.0,-1594,-13597,9067,,21490,-22968,-89,-360.0,,,-38414.0,,,,-213.0,-1148,-3295,513,3740,-16476,-20000.0,,0.0,-57245,,0.0,,,78765,-53281,-134595,,-40963,25322,,988.0,31996,-517,3176,,2013年01月01日至2013年06月30日,805771,1136570,330799,501529,369829,440001,,,,-1807,501529,856,-45477,-70091,-115568,,0.0,92320,0.0,-2340,,-61528,1136570,-72831,,
2013-11-07,3,2013,,72586.0,-4087,-38520,3352,,29992,-28334,-81,-550.0,,,-38496.0,,,,-221.0,-1107,-5118,727,1875,-29577,-94000.0,,-1868.0,-61437,,0.0,,,47313,58514,-106413,,-90146,37428,,1560.0,39262,-733,5076,,2013年01月01日至2013年09月30日,805771,956354,150583,724762,655158,762621,-408696.0,,-3300.0,-416304,724762,992,49905,-84632,-34727,,0.0,136339,91.0,-2359,,37859,956354,-111806,3.0,
2014-03-27,4,2013,295.0,100767.0,-5404,58620,5818,,10568,-11588,-606,,,,-27651.0,,,,,-5723,-7099,4267,3374,-41502,-170000.0,,-1868.0,-85605,5479.0,0.0,,-217.0,113567,-38773,-92922,,-196009,49652,,2311.0,46875,-4337,6917,,2013年01月01日至2013年12月31日,805771,1163899,358128,869758,892494,1015209,-408696.0,14700.0,,-341731,869758,1212,29809,14875,44684,0.0,0.0,136340,20.0,-2360,115.0,145451,1163899,-125295,,57886.0
2014-04-24,1,2014,,26934.0,-575,-107860,-8521,,13545,-4663,522,0.0,0.0,,-8979.0,,,,12.0,-13353,-2299,1083,3794,-6191,-30000.0,,,-36388,1700.0,,,,-209525,160828,-41813,,-8827,12739,,588.0,12669,-1095,2299,,2014年01月01日至2014年03月31日,1163899,1136121,-27778,138478,-31439,-32075,,,,8694,138478,382,67035,-264522,-197487,,,86084,,-84,28.0,-170553,1136121,-568,128.0,9257.0
2014-08-12,2,2014,,152848.0,-25959,-43677,-6835,,20855,38,563,0.0,0.0,,-11831.0,,,1.0,0.0,-9968,-4696,2019,205,-31415,-59970.0,,,-58238,381.0,,55015.0,,-201172,125914,-155338,,-55259,26080,,1185.0,26848,-2065,4727,,2014年01月01日至2014年06月30日,1163899,1324974,161075,186392,8178,79588,,,-5000.0,207951,186392,101064,103655,-363307,-259652,,,116163,,-163,28.0,-106804,1324974,-74072,102.0,183894.0
2014-11-03,3,2014,,180194.0,-25323,-103072,-8197,,1511,-3667,543,0.0,,,-23337.0,,,,0.0,-6289,-6862,2891,3024,-44022,-59970.0,,0.0,-84772,,,55015.0,,-67625,-10419,-5298,,-102227,39842,,1528.0,41091,-2950,7104,,2014年01月01日至2014年09月30日,1163899,1004337,-159562,343426,240350,327396,-493501.0,,-23000.0,-300709,343426,101254,-111437,-84787,-196224,,,116163,12.0,-163,28.0,-16030,1004337,-91200,573.0,186100.0
2015-03-27,4,2014,0,225056,-23543,-69570,16181,,14477,-17376,-532,,,,-23360,,,,,-5262,-8926,3705,10272,-64080,-79970,,0,-194557,-507,0,55015,33,-11209,-15758,65697,,-230971,54382,,3794,71512,-3764,8998,,2014年度,1163899,1175341,11442,412832,531037,619798,-493501,-23000,,-298896,412832,101325,-71383,53293,-18090,0,0,136258,29,-258,0,206966,1175341,-93995,,186100
2015-05-06,1,2015,,,-965,-76538,58,,5534,-27256,1396,,,,29494.0,,,,,-1784,-2202,860,-2068,-7120,-20000.0,,,-31987,-315.0,,,-6.0,-205406,194985,-120273,,-11386,14429,,0.0,24324,-860,2267,39762.0,2015年01月01日至2015年03月31日,1175341,1072847,-102494,86581,-100319,-101157,,,,11279,86581,2646,125377,-352877,-227500,,,20011,29.0,-11,0.0,-187738,1072847,-569,2.0,12250.0
2015-11-05,3,2015,,,-2424,808,169,,-7911,-25294,1462,0.0,,,4984.0,,,,0.0,-16813,-5654,2583,10302,-27736,0.0,-4928.0,0.0,-108528,-1258.0,,0.0,21.0,-283191,110689,-315698,,-99194,44062,519.0,0.0,70436,-2583,5814,116654.0,2015年01月01日至2015年09月30日,1175341,804197,-371144,429928,-16547,28135,-295871.0,,0.0,-265705,429928,397,105567,-624014,-518447,,,48899,29.0,1071,0.0,-401793,804197,-47913,4988.0,37497.0
