date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,長期應收租賃款增加,非控制權益變動,非金融資產減損損失,預付投資款增加,預付設備款增加,預付設備款減少
2013-05-03,1,2013,90736.0,,-89.0,-68156,-26308,-165685,-75365,,509221.0,,-6583,3205,163857,-243151,-1975680,,-37013,0.0,2435,45887,,-723.0,0.0,217.0,-284736,0.0,,-269602,-12245,33251,-1327.0,-1491252,95616,8580,-19677,24065,-322,3326,,,2013年01月01日至2013年03月31日,3272043,2773068,-498975,1067384,,784845,805748,,2095.0,0,43575,1067384,5984,,-235168,-117204,-352372,1208,725488,1035,0.0,-34224,,0.0,30692.0,,-261636,,2773068,-23907,,,-3595,18880.0,,,6987.0
2013-08-07,2,2013,189061.0,,-2932.0,278335,-14190,-130016,-82476,,,,-13536,5448,142794,-549552,-3224293,,-46079,0.0,18910,53429,,-722.0,-760.0,,35699,0.0,325378.0,-838533,-19882,-25563,-2630.0,-2684911,179711,9392,-39915,54371,-1739,12525,,,2013年01月01日至2013年06月30日,3272043,2668291,-603752,2489625,,2043637,2214200,,,-151452,-105272,2489625,11969,,471067,-935553,-464486,74818,1034695,-41735,11654.0,-61567,,4372.0,25454.0,,-275425,,2668291,-181349,,,-3595,71033.0,,,-10848.0
2013-11-03,3,2013,357660.0,,-69532.0,342865,52816,-163736,-223551,,,,-20536,6319,153193,-1110894,-3964415,,-61656,-62773.0,16274,77954,,-205.0,-544.0,,-9238,-713829.0,229328.0,-665003,-2803,-44980,-3228.0,-1523065,272310,11224,-59246,73041,-3557,19112,42777.0,,2013年01月01日至2013年09月30日,3272043,2290781,-981262,3901297,,3299026,3782651,-2763586.0,,-151452,-2910416,3901297,16508,,405229,-881535,-476306,76251,4288263,-41726,11654.0,-69942,19330.0,4372.0,,,-118646,,2290781,-541957,,,-3595,160286.0,,,-4452.0
2014-03-28,4,2013,412794.0,,-202932.0,768382,71142,-167849,6857,,,,-30422,11402,193132,-1580672,-4998636,,-78158,-145375.0,36125,154774,,-723.0,-18292.0,,-58942,-816729.0,467719.0,-893795,-3202,-132104,-4612.0,-2803385,372641,-13671,-73680,111247,-11101,24233,,,2013年01月01日至2013年12月31日,3272043,2832358,-439685,5168546,,5059681,5621265,-2763586.0,,-28308,-2889113,5168546,19913,-120141.0,1063640,-1023715,39925,116164,4633818,-41816,11654.0,-61023,83225.0,4481.0,,,452719,,2832358,-694857,41929.0,,-48338,142138.0,,,-53161.0
2014-05-08,1,2014,157638.0,-2400.0,0.0,-85376,-88010,-28924,71393,,47061.0,,-14573,1283,65863,-303305,-990733,-18095.0,-3196,,-19267,86517,392.0,0.0,,1783.0,-542354,,,-224888,-30358,2566,-1424.0,-534047,94126,-48574,-28038,24810,-353,8546,,,2014年01月01日至2014年03月31日,2832358,3014337,181979,1434597,,616358,663347,,0.0,-102851,33805,1434597,1139,,-115724,-813164,-928888,6981,658439,-158,,-18575,,,216929.0,,-771250,17.0,3014337,-55182,54337.0,,52147,62537.0,,-102850.0,0.0
2014-08-11,2,2014,317096.0,-2400.0,0.0,225465,12914,-156784,58013,,,,-25991,2403,-31328,-756152,-2217781,-18095.0,-25773,,-4301,101536,,589.0,1155.0,,-659391,,303324.0,-725241,-4849,-12487,-1900.0,-1704874,220883,-55054,-53819,49609,-3544,22386,,,2014年01月01日至2014年06月30日,2832358,3004017,171659,2923254,,1864588,2224360,,,-107919,43273,2923254,2278,,370105,-1386095,-1015990,7454,1244440,838,0.0,-631,1407.0,0.0,97800.0,,-698894,17.0,3004017,-378614,24206.0,,51467,101604.0,,,-39329.0
2014-11-07,3,2014,483100.0,-2400.0,0.0,-18667,-109143,-168124,-38446,,,,-39125,4009,-107833,-1058730,-2958397,-18095.0,-36784,0.0,3183,166642,,713.0,-10760.0,,-830577,0.0,459407.0,-562185,-2493,-186392,-1528.0,373841,363316,-133238,-81754,78443,-4556,25202,185490.0,,2014年01月01日至2014年09月30日,2832358,3287199,454841,4520753,,2922045,3412467,-3017820.0,,82000,-2733212,4520753,45924,,271088,-1862474,-1591386,7479,4280110,3307,0.0,-16007,1407.0,0.0,193205.0,,-1108286,17.0,3287199,-696558,-17244.0,,37653,139031.0,,,-25594.0
2015-03-31,4,2014,327795.0,-2400.0,0.0,317124,-383,-40587,-50705,21402.0,,2519.0,-54355,14420,35619,-1213769,-5847515,-18095.0,-48841,-643.0,9991,214085,1515.0,,17265.0,,-750893,-31033.0,393344.0,-366727,1179,-200332,-1946.0,-1747646,504211,-141210,-100264,90709,-5233,31578,,,2014年度,2832358,3122007,289649,6055106,,4911241,5563167,-3017820.0,,-120064,-2909565,6055106,111393,-130737.0,689337,-1509071,-819734,151867,5213858,-56473,0.0,-27143,1407.0,0.0,,,-491939,17.0,3122007,-809008,-36493.0,-6709.0,15119,,,-20212.0,
2015-04-30,1,2015,,0.0,,-273317,24546,141777,50353,2505.0,,646.0,-11136,851,-139253,-409332,-2567973,0.0,-11352,,6959,14949,0.0,-192.0,,1262.0,-98684,,-290084.0,290812,2809,99442,,-816625,139900,11590,-22977,31393,-352,8836,,-1947.0,2015年01月01日至2015年03月31日,3122007,3626116,504109,1480371,-547.0,1385854,1439626,,119936.0,0,74133,1480371,65469,-88.0,-419666,380868,-38798,478,2171780,1366,,-169150,,,,3898.0,-40745,0.0,3626116,-62256,-45180.0,,-60560,,,-5386.0,
2015-07-30,2,2015,,0.0,,-56823,-297,202095,89568,17405.0,,1282.0,-23377,2046,-136600,-698901,-5676586,0.0,-15245,,6638,23224,0.0,-316.0,,-15589.0,101655,,130071.0,-785768,24,231433,,-2451304,280055,-5823,-42382,41637,-1027,21787,237.0,216612.0,2015年01月01日至2015年06月30日,3122007,3473436,351429,3104964,-1167.0,2869805,3243949,,111920.0,0,69528,3104964,130939,-253.0,291581,-369208,-77627,18834,3974194,2099,,-161154,0.0,,,-15556.0,138985,0.0,3473436,-395141,-20918.0,,-65300,,,-22455.0,
