date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-15,1,2013,0.0,80965.0,,-46000,-7579,24998,45.0,,-7283,-6892,3248,-92730,,,,-1740,-1083.0,-7381,-2364,-8474,,-53,57661.0,,,,15.0,,-1514,0.0,14337,0,-25588,1119,61475,,-11218,,105401,83067,-83517.0,,,1607,1083.0,1804,,,2013年01月01日至2013年03月31日,334919,318484,-16435,1801,,-47771,-50658,,,-66684,1801,,,-39569,-93855,-133424,,,137.0,,,,-52459,-3486,318484,0,-1023,0.0,-20699,,-353,,60145.0
2013-08-13,2,2013,0.0,162191.0,,-92000,30742,25275,45.0,,-3416,-9597,-1429,0,,,6992.0,-3369,-3369.0,-412,-42916,-43070,,-1615,57585.0,,,,2.0,,-57,0.0,-27719,-7690,-22220,-6797,55154,,3172,,-71011,161260,-368.0,,,2303,3369.0,3396,,,2013年01月01日至2013年06月30日,334919,310323,-24596,22708,,192974,210474,,,-146147,22708,0.0,,-16859,42434,25575,,,372.0,,,,187766,-13739,310323,-24265,-2068,70.0,-46459,,-3528,,-40938.0
2013-11-13,3,2013,,234041.0,,-43500,-556,23615,45.0,,-97212,-3680,-1190,0,,,-3341.0,-5066,2282.0,-952,-70852,-67581,,-1897,,,1334.0,,0.0,-2.0,-34,0.0,-47367,-10564,-12554,-7587,85082,,5441,,-147103,237445,195428.0,,,3628,-2400.0,5066,,,2013年01月01日至2013年09月30日,334919,369638,34719,40696,,359422,391897,-83904.0,,-176648,40696,0.0,,-131401,248561,117160,0.0,,372.0,,57770.0,,351201,-12302,369638,-35141,-2800,187.0,-38678,,-10003,-64509.0,
2014-03-27,4,2013,,369961.0,,-43500,-29661,8155,27.0,,-145401,-2700,-15253,0,,,53860.0,-6767,2578.0,-24529,-107439,-50339,,-6132,0.0,,1579.0,,0.0,-14.0,-34,0.0,-84143,0,-8450,-8154,86479,,15168,,-210676,312318,213060.0,,,7305,-2578.0,6767,,,2013年01月01日至2013年12月31日,334919,361757,26838,67587,,428139,451313,-83904.0,,-166096,67587,0.0,,-218937,232702,13765,0.0,,378.0,,57668.0,,383726,-12018,361757,-27363,-1290,0.0,-38678,,-3344,-104400.0,
2014-05-13,1,2014,,56614.0,,-43500,16009,5265,18.0,,1454,-4225,0,2345,-1000.0,,0.0,-1533,76.0,554,-11686,20841,,-2013,,,0.0,,3.0,,0,0.0,-19772,0,12143,1681,-3184,,-8324,17.0,14229,69991,36200.0,,,1418,-125.0,1511,,,2014年01月01日至2014年03月31日,361757,442102,80345,36139,,104884,110752,0.0,,-39322,36139,0.0,,31380,-13381,17999,540.0,,0.0,-12796.0,16664.0,,74613,76,442102,-7254,-542,0.0,4175,,-21704,-9117.0,
2014-08-11,2,2014,,127862.0,,-43500,7295,5278,18.0,,-7400,-802,312,16420,,,0.0,-3003,81.0,971,-65587,17515,,-3545,,,0.0,,108.0,,-1202,0.0,-36594,0,36544,-7209,29636,,-25868,-272.0,-8175,142044,-39800.0,,,2589,-130.0,3055,,,2014年01月01日至2014年06月30日,361757,434825,73068,51300,,127581,133769,0.0,,-47309,51300,0.0,,28627,-74020,-45393,540.0,,0.0,-12761.0,44104.0,,82469,-643,434825,-9113,-1088,0.0,-3917,,-22308,,0.0
2014-11-10,3,2014,,198306.0,,-43500,-25535,5051,18.0,,-2074,1012,0,11598,,-45000.0,0.0,-4424,81.0,507,-33856,20602,,-3936,,,0.0,,-283.0,,-124,0.0,-39431,0,17518,1229,32055,,-11474,497.0,19606,213113,-80700.0,,,3870,-130.0,4434,,,2014年01月01日至2014年09月30日,361757,357102,-4655,68786,,141843,151753,-146853.0,,-166611,68786,0.0,,-8527,-106812,-115339,540.0,,0.0,-12736.0,81380.0,,82967,-162,357102,-14214,-1598,0.0,24025,,-24941,,0.0
2015-03-30,4,2014,,286850.0,,-43500,-30081,-5167,18.0,,-2366,-4076,0,21883,-1000.0,,0.0,-5817,81.0,-217,-67221,0,,-24398,,,1500.0,,-289.0,,-60,0.0,-32262,0,28950,5704,12546,,-7788,-242.0,-18474,283108,-75700.0,,,7519,-130.0,5836,,,2014年度,361757,401028,39271,83200,,270561,279611,-141561.0,,-212599,83200,0.0,,2642,-93081,-90439,540.0,19493.0,0.0,-12813.0,109554.0,,196411,677,401028,-14756,-2233,15505.0,-27249,,-2535,-55382.0,
2015-05-11,1,2015,,,,0,5061,11399,0.0,,-8190,2418,0,-1841,0.0,,0.0,-1268,0.0,19,-14439,-104,,-681,,-23300.0,-6000.0,,0.0,-67.0,0,4.0,28964,0,-38858,-868,3244,,7666,,-38567,67412,-33800.0,,,1631,0.0,1268,,61103.0,2015年01月01日至2015年03月31日,401028,391778,-9250,6202,248.0,37140,36073,0.0,,-7842,6202,0.0,,-42348,11116,-31232,0.0,0.0,0.0,0.0,,0.0,29871,259,391778,-201,-672,0.0,-7775,,-6934,,-47.0
2015-08-11,2,2015,,,,0,44311,18992,0.0,,-13220,1982,0,1231,0.0,,0.0,-2483,0.0,-1578,-17393,-2662,-84147.0,-1388,,-6860.0,-2592.0,,,-252.0,-2715,0.0,52301,0,-46331,-2165,-38479,,10659,,-114777,132002,,9795.0,,3054,0.0,2505,,193940.0,2015年01月01日至2015年06月30日,401028,357020,-44008,-141080,293.0,79610,91110,0.0,,-7263,-141080,0.0,,-16676,54926,38250,0.0,,0.0,0.0,,0.0,232190,436,357020,-14005,-1349,0.0,-7011,65308.0,8240,,-9407.0
