date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失
2013-04-25,1,2013,46740.0,,-71606,-86972,-1335,79733,35938,-319,-4604,,27422,-52306,-16000.0,-91081,,,319.0,7243,-11477,47834,-14316,1423.0,-158382,34001,-1048.0,12502,,3012,,,2013年01月01日至2013年03月31日,1244658,1244773,416.0,115,95125,,131075,128011,,0.0,,0.0,95125,,-47057,33203,-13854,686,,1787,,,,32886,,1244773,52,3686,
2013-08-01,2,2013,79037.0,,-46301,26144,287,68359,35501,-451,-9043,,36070,-72921,-16000.0,-131569,,,229.0,11972,65070,-62902,-41441,2688.0,-217284,68745,-9348.0,43931,,13125,30415.0,,2013年01月01日至2013年06月30日,1244658,1485280,539.0,240622,309210,,421836,460840,,,,,309210,-25600.0,70912,1681,72593,795,2182.0,2294,,2053.0,,151630,13667.0,1485280,-82544,4683,783.0
2013-10-23,3,2013,120542.0,,-90396,44524,-6619,54579,35085,-396,-13111,,31937,-140507,-16000.0,-134540,,,-71.0,86682,17015,64410,-9388,4023.0,-287826,103645,-12996.0,66074,,20353,30441.0,,2013年01月01日至2013年09月30日,1244658,1400100,265.0,155442,457941,,764173,799158,-352842.0,0.0,,-352842.0,457941,-25626.0,-19736,240411,220675,825,2467.0,2271,,2057.0,,341217,21156.0,1400100,-85779,-2820,783.0
2014-01-23,4,2013,175457.0,,-54761,40973,-8650,82201,13554,-455,-17207,297.0,45347,-171119,-16000.0,-137033,,,-325.0,138281,-73296,125734,-8195,5222.0,-320301,139053,-16094.0,87951,-157.0,21552,30441.0,,2013年01月01日至2013年12月31日,1244658,1719430,-137.0,474772,498285,,923738,962161,-352842.0,178830.0,,-174012.0,498285,-25626.0,-90120,378539,288419,1709,2467.0,1846,,2250.0,,463876,27811.0,1719430,-90259,2341,783.0
2014-04-22,1,2014,48352.0,,42299,49109,9553,-27914,7311,151,-4018,238.0,15428,-28292,0.0,-56975,,,312.0,14468,84779,34674,-7622,330.0,-84925,33801,-4670.0,22136,-378.0,3539,,,2014年01月01日至2014年03月31日,1719430,1797272,583.0,77842,60238,,326169,321963,,-178830.0,,-178830.0,60238,,150507,62866,213373,30,,-14,,,,261725,6235.0,1797272,1045,296,
2014-07-31,2,2014,51239.0,,45538,58425,3735,-7110,7237,258,-8113,238.0,2558,-70503,0.0,-165150,,,-357.0,25300,93410,-90355,-20114,3304.0,-235924,68624,-10318.0,44148,-378.0,5462,47544.0,,2014年01月01日至2014年06月30日,1719430,1757872,499.0,38442,268394,,450638,453531,,-178830.0,,-178830.0,268394,-39600.0,167494,-33596,133898,86,0.0,160,,-1.0,,185137,14270.0,1757872,-55521,-4398,0.0
2014-10-23,3,2014,108707.0,,40316,43563,7180,-22070,3513,-44758,-12310,238.0,476,-98632,0.0,-173898,,,-4918.0,46155,57669,-9997,-9805,6369.0,-277336,103017,-13846.0,66237,-378.0,15289,47554.0,,2014年01月01日至2014年09月30日,1719430,1611740,235.0,-107690,377509,,597065,625924,-249065.0,-178830.0,,-427895.0,377509,-39610.0,136620,3088,139708,112,0.0,1226,,-1.0,,248415,21573.0,1611740,-91324,3521,0.0
2015-01-30,4,2014,147179.0,,51433,56583,1688,-24379,1427,-43975,-16401,238.0,20116,-135276,0.0,-191178,,,-4888.0,68780,-12196,60842,8893,9324.0,-297156,138312,-14564.0,86536,-378.0,16361,47554.0,,2014年度,1719430,1753118,-118.0,33688,420559,,738623,773441,-249065.0,-178830.0,,-427895.0,420559,-39610.0,78959,126744,205703,314,0.0,1032,,-13183.0,33872.0,352882,27283.0,1753118,-98355,4937,0.0
2015-04-28,1,2015,,,-41353,-434,-591,-15912,177,582,-3759,0.0,-14434,-28447,,-6705,,,185.0,-102088,90551,62,2443,,-34605,34963,0.0,20013,0.0,3202,,43969.0,2015年01月01日至2015年03月31日,1753118,1807815,0.0,54697,116751,1961.0,103736,102294,,0.0,,0.0,116751,,56921,-115347,-58426,362,,-347,,,,-14457,6176.0,1807815,-1760,-6901,
2015-07-30,2,2015,,4500.0,1534,7192,6014,11503,2394,1264,-8212,1344.0,-14410,-54257,,-20225,,,197.0,-169183,205036,-132015,-12619,,-68984,69475,0.0,40187,0.0,4419,41712.0,54852.0,2015年01月01日至2015年06月30日,1753118,2010322,0.0,257204,315274,3841.0,340598,308740,,0.0,,0.0,315274,-41712.0,232472,-293858,-61386,801,,-760,,0.0,,-6534,13653.0,2010322,-14273,-5470,
2015-10-26,3,2015,,4500.0,42059,-199516,7494,-11695,-1302,1423,-12189,1344.0,24585,-85620,,-20382,,-1100.0,,-207742,212493,-147809,-5114,,-101771,104868,0.0,59917,-1344.0,15028,52284.0,95014.0,2015年01月01日至2015年09月30日,1753118,1694207,0.0,-58911,493625,5829.0,267340,306806,-249065.0,,0.0,-249065.0,493625,-52284.0,288620,-570453,-281833,831,,-786,,0.0,,-186819,22047.0,1694207,-105434,-5856,
2016-01-28,4,2015,,10000.0,86154,-188827,4787,-4515,8253,1782,-16656,1344.0,16665,-146071,,-22262,,,-1158.0,-243503,126029,41498,-8061,,-158555,140602,0.0,79535,-1344.0,16586,52284.0,147388.0,2015年度,1753118,1825672,0.0,72554,571985,-65675.0,463509,506488,-249065.0,0.0,,-249065.0,571985,-52284.0,188741,-401626,-212885,936,,-891,,0.0,0.0,-65497,29193.0,1825672,-110505,-4262,
2016-04-22,1,2016,,,-99693,-14474,68781,-6292,10217,612,-4203,,-6455,-28167,,-12335,-512.0,,215.0,-82557,91806,113163,10782,,-39872,35613,,19308,,2801,,48050.0,2016年01月01日至2016年03月31日,1825672,2014464,,188792,112208,-15819.0,235119,236784,,,,,112208,,55292,21234,76526,415,,-335,,,,124576,0.0,2014464,-4466,-1821,
2016-07-27,2,2016,,5000.0,-19241,-2555,69065,17868,10254,1294,-8622,0.0,-15105,-50711,,-69087,1435.0,,-595.0,-156374,186224,868,-7445,,-92021,72678,,40750,,5226,49280.0,36102.0,2016年01月01日至2016年06月30日,1825672,2233492,,407820,409766,-32554.0,514946,513272,,,,,409766,-49280.0,213748,-146344,67404,427,8243.0,79,14702.0,-18874.0,,103506,0.0,2233492,-52832,-2064,
2016-10-21,3,2016,,5000.0,-7400,-3301,113085,7074,6335,1727,-12610,0.0,-35690,-83496,,-105003,-377.0,,-1076.0,-109169,110163,-148594,2828,,-161161,110145,,63651,0.0,9475,57354.0,82939.0,2016年01月01日至2016年09月30日,1825672,1804653,,-21019,572761,-48605.0,549430,579843,-373598.0,,,-373598.0,572761,-57354.0,173578,-249435,-75857,469,8243.0,93,14702.0,-18874.0,,7082,0.0,1804653,-97242,-1735,
