date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他借款增加,其他應付款增加（減少）,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得持有至到期日金融資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-09,1,2013,245521.0,8968.0,-44911,,,,,-117506.0,-139674.0,,,,-894154,,-27756.0,,,0,-2340.0,,,135571,131885,-50913,,,,399,195534.0,,285634,0.0,-175579.0,,-600,,1467636,208654,-235063,308.0,-937981,93746,-6225,8037.0,,750,16296,-139843,,,,2013年01月01日至2013年03月31日,4156318,4975477,819159,-105229,,1086849,1230148,0.0,,388383,,538406,-105229,,1160158,-70302,1089856,,458,,,-244,,1335377,4975477,-3456,-997.0,-8476,-2327,,,-167807
2013-08-13,2,2013,489049.0,8968.0,-113821,,,,,-58445.0,-18526.0,,,,-1007711,,134363.0,,,-46150,-3888.0,,,259654,207244,-131822,,,,6277,281372.0,,273321,-323.0,-336070.0,,-1100,,1869836,136965,-1344459,531.0,-1180371,187619,-6225,8037.0,,8718,25581,-249898,,,,2013年01月01日至2013年06月30日,4156318,5336972,1180654,-142788,,217600,470984,0.0,,1769730,,1936181,-142788,,1461845,-1337122,124723,,555,,,-18,,613772,5336972,-3486,1218.0,-7782,5662,,,-532485
2013-11-12,3,2013,707610.0,9885.0,-146731,,,,,-128841.0,,,,,-2197566,,438465.0,,,-93485,77063.0,127.0,,387006,79328,-187712,,,,941,322174.0,,306159,-323.0,197447.0,,-1600,,336626,295974,-894021,765.0,-2630224,280558,-5496,-6141.0,-238719.0,8853,31680,-377732,,,,2013年01月01日至2013年09月30日,4156318,3764661,-391657,-117168,,636097,1061950,0.0,-10404.0,1349299,,1523142,-117168,-1457.0,391106,80402,471508,,633,,,-98,,1179118,3764661,-48121,,-9395,9390,,,-59020
2014-03-31,4,2013,906405.0,-238719.0,-204642,,230476.0,,2000.0,-199039.0,,,,,-1966652,,-16701.0,,,-7518,,,,500963,73364,-241899,,,,941,-1681.0,,586730,-593.0,-999584.0,,-1600,,16044,297351,-989776,-1914.0,-2440410,370815,-901,,,-2156,37070,-490710,,,,2013年01月01日至2013年12月31日,4156318,3635784,-520534,-63937,,-1009100,-469911,0.0,-25787.0,3063535,,2855612,-63937,-2537.0,-941605,-370774,-1312379,,2006,10965.0,,1055,,-405974,3635784,-48479,254.0,13313,-12971,,,-209620
2014-05-13,1,2014,214234.0,0.0,-81175,,-125229.0,,,,,,70010.0,,1782487,,-134981.0,,,597,-3072.0,-1358.0,,126718,35521,-48161,,,,0,15951.0,,-260564,-100.0,1687894.0,,17400,-18000.0,295226,-256505,-304234,-1904.0,1731827,82727,7035,25681.0,,1347,4748,-167269,,,,2014年01月01日至2014年03月31日,3635784,3037250,-598534,-115767,,1263647,1399923,,-5551.0,5784341,-9377046.0,-3629529,-115767,,1907063,-605607,1301456,29000.0,76,,0.0,52,,1515690,3037250,30993,,-25969,24182,,,306365
2014-08-12,2,2014,353717.0,0.0,-134775,,10570.0,-308630.0,2000.0,,-16669.0,,240574.0,,1789406,,70112.0,,,-811,-6417.0,,-58095.0,239846,-24597,-113938,,,,0,-38962.0,,-23674,-1688.0,1665459.0,,67466,-35400.0,134620,-607831,-682187,-5662.0,1668638,165733,9061,25326.0,,-2037,10853,-279828,58095.0,464.0,,2014年01月01日至2014年06月30日,3635784,2575488,-1060296,-131288,,267925,458702,,,14555392,-17385983.0,-2972262,-131288,-464.0,2055156,-1818883,236273,,86,,,2530,,589990,2575488,30492,-4649.0,534,7307,,,-282637
2014-11-13,3,2014,540034.0,0.0,-245576,,23799.0,,,,-18483.0,45354.0,128531.0,,2074923,,21070.0,,,-275,-3544.0,-4625.0,-78509.0,353045,19787,-167026,,,,0,-172547.0,,-111464,-1688.0,2403836.0,,50400,-52200.0,-26149,-393258,-55472,-11288.0,1902492,248186,-4433,25494.0,,-10253,14144,-411059,78509.0,464.0,,2014年01月01日至2014年09月30日,3635784,2482014,-1153770,-193924,,1758514,2060731,,-25230.0,17893168,-22505662.0,-4834563,-193924,-464.0,2505152,-790531,1714621,96500.0,102,,,18510,,2254655,2482014,29869,,-9144,17451,,56000.0,-250639
2015-03-30,4,2014,603250.0,0.0,-337179,92281.0,-4560.0,,,21692.0,,,,,2650430,,26134.0,,,-13450,,,-98999.0,426769,154019,-242325,-1847.0,,,-32024,-417497.0,,182260,,2245830.0,,66600,-68400.0,-10989,-658819,778454,-15328.0,2398928,328852,49,,,-10538,19574,-486261,98999.0,2444.0,,2014年度,3635784,2569476,-1066308,-231267,,2696472,3048518,,-34263.0,21321941,-27236626.0,-6315727,-231267,-2444.0,2251764,424771,2676535,209000.0,4273,0.0,,16919,,3279785,2569476,32772,-49859.0,15070,37833,5000.0,56000.0,93172
2015-05-13,1,2015,,,-96150,,145171.0,,,,63414.0,,60384.0,,396541,,,-15643.0,,0,-6007.0,32366.0,-11460.0,98213,-28522,-56666,,-51263.0,,247,24709.0,,107382,0.0,-1338806.0,,15500,-16200.0,264987,796006,284778,,282624,87284,-3943,0.0,,-100,5241,-98744,11460.0,,211772.0,2015年01月01日至2015年03月31日,2569476,2266880,-302596,-219478,-1287.0,-332829,-245132,,-9675.0,6808882,-6975967.0,-223869,-219478,,-852276,614850,-237426,31000.0,19,,,-19,,-25654,2266880,-413,,21218,-73060,,,-553995
2015-08-14,2,2015,,3960.0,-188337,,76809.0,,0.0,,84506.0,,98324.0,,348178,,152573.0,0.0,-31285.0,-6686,-10463.0,46441.0,-21838.0,196059,-49095,-78367,,-50951.0,,242,-221216.0,,125246,0.0,-927923.0,,30300,-31700.0,894710,642519,392891,,205689,168686,-3915,-844.0,,-3532,10630,-199054,21838.0,884.0,400558.0,2015年01月01日至2015年06月30日,2569476,2123369,-446107,-241380,-2596.0,1136149,1317612,,-23233.0,10021026,-11348638.0,-1738850,-241380,-884.0,130395,1028039,1158434,31000.0,18,,,4754,,1558992,2123369,-5131,,-5014,0,,,-345619
