date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付公司債匯率影響數,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,17918.0,,-38106,-473,-19440,-7486,,,1183.0,-84,769,10451,-15706,,,,,0.0,,-19413.0,,2998.0,,,-1731.0,-30866,,41109,17920,,,-17357,,-17149,912.0,-35220,17167,,0.0,170,-769,84,,,2013年01月01日至2013年03月31日,280881,266234,-14647,41530,,-18646,-15666,,25770.0,,28768,41530,,2395,-77509,-75114,447.0,,-104,,,,,,,,,-57196,266234,-2295,,,,-4178.0,
2013-08-12,2,2013,-747.0,,-17666,-63,-15871,-6881,,-6384.0,0.0,-563,1556,18638,-40387,0.0,,,,0.0,,-30545.0,,0.0,-936.0,-7864.0,,-3241,,30192,25533,,,-19437,,-27487,3507.0,16529,34446,,0.0,111,-1553,563,,,2013年01月01日至2013年06月30日,280881,388534,107653,105213,,49005,63117,,18768.0,0.0,23481,105213,,25695,-67044,-41349,451.0,,337,100695.0,-36634.0,,0.0,0.0,,,,-42096,388534,-14112,,7202.0,,-9935.0,
2013-11-12,3,2013,18552.0,,-10609,-6138,-12258,-9101,,-12087.0,,-1951,3760,10988,-78060,0.0,,-6043.0,-474.0,0.0,,-119100.0,,0.0,-861.0,,,26967,0.0,19258,-7143,,,-8031,0.0,-11752,4651.0,-106100,52860,,0.0,165,-3760,1951,,,2013年01月01日至2013年09月30日,280881,301591,20710,146892,,107934,140030,-58277.0,69627.0,,7888,146892,,-6101,-19313,-25414,975.0,,352,100695.0,-36634.0,,0.0,0.0,,0.0,,-6862,301591,-32096,,7202.0,,-11258.0,
2014-03-27,4,2013,34119.0,,-932,-119,-12063,277,,-6150.0,,-3166,5393,20247,-93043,,,-7192.0,-844.0,0.0,0.0,-128800.0,,0.0,-737.0,,,68336,,30587,-5236,9522.0,,-24913,,-36071,3685.0,-108765,72130,,0.0,217,-5393,3166,5596.0,,2013年01月01日至2013年12月31日,280881,285881,5000,149102,,158502,206914,-58277.0,0.0,-10109.0,-64984,149102,-5596.0,16041,7652,23693,975.0,,391,100695.0,-36634.0,0.0,0.0,0.0,,9640.0,,57812,285881,-48412,1384.0,7202.0,0.0,142.0,
2014-05-12,1,2014,19321.0,,-34527,-2649,6429,-1710,,307.0,,-943,1232,1374,-14342,,,,,,-302.0,-24700.0,,198.0,,-353.0,,-50404,,-9064,7903,,-434.0,3741,,10931,944.0,83824,18995,,,52,-1309,943,,,2014年01月01日至2014年03月31日,285881,287162,1281,56414,,-17180,-9257,,0.0,-65192.0,-66737,56414,,-28315,-56677,-84992,174.0,,-15,,,,,,,122097.0,,-65671,287162,-7923,,,,,-16586.0
2014-08-12,2,2014,38004.0,,-8544,-170,51,-2038,,0.0,2146.0,-1195,2174,-5857,-68920,,,,,,-3970.0,-24300.0,,366.0,0.0,0.0,5956.0,-54594,,-22055,11380,,-1006.0,-2686,,-40401,1829.0,40481,37435,,,274,-2251,1195,,,2014年01月01日至2014年06月30日,285881,246033,-39848,106557,,-1643,9150,,0.0,-74642.0,-72829,106557,,-17339,-118072,-135411,1518.0,,-684,0.0,0.0,,,,,126856.0,,-97407,246033,-10793,,4704.0,,-18183.0,
2014-11-11,3,2014,57679.0,,13852,1479,11631,-5211,,0.0,1611.0,-1475,3143,3009,-92590,,-3682.0,0.0,0.0,,-14467.0,-29160.0,,,-89.0,,4729.0,-78014,,12891,-37981,,-1207.0,-36822,,-53187,2668.0,2160,56526,,,566,-3220,1475,,,2014年01月01日至2014年09月30日,285881,224974,-60907,171620,,20444,42478,-30596.0,0.0,-56112.0,-86520,171620,,3061,-189882,-186821,1989.0,,-1081,0.0,0.0,,,,,132255.0,,-129142,224974,-22034,,4704.0,,-18127.0,
2015-03-20,4,2014,68267.0,,32885,-3117,16472,-5340,,0.0,1862.0,-2463,4135,14832,-112120,,-3108.0,0.0,0.0,,-16193.0,-29400.0,,,-220.0,0.0,4339.0,-59648,,66458,-67219,,-1386.0,-96315,,-69489,3559.0,-6641,77040,,,878,-4212,2463,8238.0,,2014年度,285881,249704,-36177,214402,,69484,98292,-30596.0,,-82142.0,-113852,214402,-8238.0,52155,-236532,-184377,5465.0,,-3085,0.0,0.0,,,,,131813.0,,-116110,249704,-28808,0.0,4704.0,,-2623.0,
2015-05-08,1,2015,,,-45806,-912,-19792,3855,0.0,,624.0,-1383,1138,-3770,-9230,,,,,,-136.0,,-756.0,150.0,,-96.0,,-58009,,-10812,-7252,,-531.0,82006,,23017,,-8211,19676,,,898,-1138,1383,,20534.0,2015年01月01日至2015年03月31日,249704,280618,30914,50731,835.0,26304,24921,,18110.0,0.0,16591,50731,,-82827,36483,-46344,0.0,,72,,,133.0,,,,,0.0,-25810,280618,1383,,,,-13474.0,
2015-08-11,2,2015,,,-23457,2992,-15283,3115,0.0,,1111.0,-1939,1924,-11373,-22675,,-3953.0,,,,-1184.0,,-47448.0,4998.0,,-639.0,0.0,-49303,,-57177,-9566,,-1089.0,61539,,21344,,-45073,38869,,,2140,-1924,1939,,41204.0,2015年01月01日至2015年06月30日,249704,193866,-55838,89785,1606.0,19153,52288,,,-20530.0,-18545,89785,,-103877,25176,-78701,0.0,2976.0,77,,,133.0,,,,,24800.0,-37497,193866,-33135,,0.0,,-14511.0,
