date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-09,1,2013,-188329.0,0,-3450,,7235,-2902,-24602,-26939,-154657,8282,,4000.0,-7844,-2542,7202,1894,-2092,,-500,-179,,-506.0,,1035,,3743,4500,,-95017.0,-3451,31.0,126860,110492,-230065,0.0,0.0,1842.0,922,33000,-219219,227,-8895,2138,,,2013年01月01日至2013年03月31日,1228106,1157068,850,-71038,227547,,-247040,-240283,,43365.0,,173186,227547,,-279677,176,-279501,130000,20,-3,0.0,,-467830,-8616,1157068,0.0,,6178,
2013-08-09,2,2013,-456792.0,-130000,4767,,2786,-18804,-22005,-22983,104116,16773,,-25430.0,-17400,-4326,15222,-281,-6763,-38253.0,-500,4154,,516.0,,614,,21164,13047,,-143439.0,-163769,60.0,78,114529,-262768,,0.0,3760.0,-70393,66174,-532333,467,-18787,3833,,,2013年01月01日至2013年06月30日,1228106,1275451,-3440,47345,215205,,-541750,-522583,,355615.0,,659769,215205,,-199767,-81229,-280996,430000,37,-2,0.0,,-737788,-17468,1275451,-4213.0,18846.0,88546,
2013-11-11,3,2013,-686736.0,-170000,-8379,-77.0,15258,-18474,-24175,-28511,92779,25478,-11531.0,,-333,-6119,23334,-9648,-6763,-38253.0,-5409,2480,,1964.0,,1802,,13667,12811,,-143439.0,-141139,148.0,90940,112000,-330524,,0.0,-7345.0,-59954,99122,-819992,1968,-28867,5896,737606.0,,2013年01月01日至2013年09月30日,1228106,841159,5440,-386947,489648,,212283,-498038,-706858.0,154750.0,,-529628,489648,-9000.0,-231938,-69012,-300950,190000,38,-2,0.0,,-987686,-26789,841159,-4314.0,18846.0,63019,
2014-03-20,4,2013,-918200.0,-886000,-6575,-77.0,19181,-2839,26145,-12487,103676,34403,,18882.0,-13492,-8148,30979,-2284,-7447,-38253.0,-5409,-2100,,1434.0,,320,,-1618,-1630,,-146620.0,-129030,64.0,39235,108925,-148453,,0.0,-5252.0,-30749,132107,-1070023,2795,-38135,7511,824611.0,,2013年01月01日至2013年12月31日,1228106,997604,-2328,-230502,794169,,592124,-195161,-706858.0,-635.0,,-789593,794169,-9000.0,-194261,123131,-71130,806000,44,64,0.0,,-989330,-33344,997604,-6702.0,18846.0,84846,
2014-05-09,1,2014,-575025.0,-176000,20180,,3025,-2000,-49147,-8942,-243131,9150,,6928.0,-382323,-2016,8171,2284,-36741,-880000.0,-1378,5239,,5687.0,,-1210,,-10103,-990,61430.0,,18660,-64.0,97012,-132809,53011,,,948.0,-905503,32850,-230546,836,-7968,2054,,,2014年01月01日至2014年03月31日,997604,940434,-2004,-57170,615366,,-193735,-187821,,295545.0,,1039784,615366,,-230916,2754,-228162,915000,1,7,,,-803187,-28699,940434,,,-14483,
2014-08-11,2,2014,-928164.0,-842000,38820,35.0,-1211,-2000,-46901,1313,-188944,18530,21436.0,,-395279,-4251,18566,-1390,-45602,-880000.0,-1687,8889,,,5715.0,1746,,7738,-749,0.0,,-39181,-34.0,-44983,-3614,208600,-161.0,,2708.0,-900137,65899,-616680,1747,-19853,3493,,,2014年01月01日至2014年06月30日,997604,878364,1826,-119240,1019727,,11763,33688,,285635.0,,770524,1019727,,-265737,207862,-57875,1318000,1,8,,,-986039,-39229,878364,-5565.0,0.0,29642,
2014-11-11,3,2014,-1310662.0,-1159000,34818,0.0,5203,-2155,-32912,15812,-319125,28147,7816.0,,-429941,-6237,28581,8096,-46061,-1020630.0,-1703,6431,,,10670.0,1456,,3396,-1136,9213.0,,-38387,-7.0,-118585,-54282,567400,,,2469.0,-1049907,99311,-990230,2632,-30178,6463,944631.0,,2014年01月01日至2014年09月30日,997604,884666,-7786,-112938,1450490,,1152665,237399,-706858.0,95635.0,,-223792,1450490,-7000.0,-391492,489063,97571,1540000,1,8,,,-1213091,-49821,884666,-5650.0,0.0,46067,
2015-03-25,4,2014,-1566757.0,-1359000,28643,0.0,-20441,-2279,-29815,11406,-290956,38006,,11172.0,-436502,-8389,41067,9454,-46824,-1649130.0,-1703,7283,,,11710.0,2213,,2273,-720,0.0,,-25019,-41.0,-61868,-21451,567164,-9.0,-1091.0,5184.0,-1674774,132667,-1284180,3517,-43273,7648,944631.0,,2014年度,997604,986522,-7946,-11082,1754294,,1237178,333607,-706858.0,215635.0,,417060,1754294,-7000.0,-352275,498345,146070,2260000,1,9,,,-1420687,-41824,986522,-5435.0,0.0,-13305,
2015-05-08,1,2015,,-310000,-20453,,21461,-711,-385,4472,-38249,10107,,15472.0,-6066,-1498,12380,-2299,-23,0.0,-1321,2920,,-14745.0,0.0,2116,,1926,9178,28875.0,,-18009,-18.0,59806,-43782,33627,9.0,-526.0,,3945,33181,-234154,883,-12125,2719,,-195568.0,2015年01月01日至2015年03月31日,986522,934857,1879,-51665,225925,-3665.0,87769,97175,,0.0,-304000.0,-141080,225925,,-59188,126006,66818,470000,4562,-2173,,,-128750,-18388,934857,,,39427,
2015-08-11,2,2015,,-380000,-9493,0.0,18108,-711,-255,3581,-134769,20470,,30997.0,-12910,-3199,24348,2047,-218,0.0,-1337,1920,,-14771.0,,3190,,3920,-623,13560.0,,-9089,11.0,54483,-18161,22966,9.0,705.0,,19299,66227,-576023,1807,-24102,4333,,-504753.0,2015年01月01日至2015年06月30日,986522,914162,-3093,-72360,618107,-2021.0,95374,115278,,-281000.0,,-189080,618107,,-168610,170534,1924,470000,4628,-2140,,,-502829,-29851,914162,-135.0,230.0,65894,
