date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-15,1,2013,97655.0,,-148650,-10746,,139902,16995,-5508,,,,,,,,939,-2926,9926,53388,-98833,-111782,-524.0,,0.0,,,-2869.0,-2065.0,,-19082,-163833,,1315,,-9557,,119838,,-1002.0,-142645,62058,,,1415,-10210,2907,,,2013年01月01日至2013年03月31日,964475,1020937,33255.0,56462,43634,,270823,278946,,,,,-125104,43634,,-157271,294928,137657,,701.0,,69858,4412.0,,,-11424,235312,1020937,-820,26415.0,,69335,,
2013-08-13,2,2013,135244.0,,-148650,-45026,195520.0,24313,28352,-1809,,-15000.0,,77100.0,,0.0,,1890,-6128,17346,44281,-146292,-212993,-524.0,,0.0,31312.0,0.0,-2763.0,-1725.0,,-137544,-143080,,18423,,-42781,,73061,,-1981.0,65503,127992,-121915.0,,2859,-17507,6047,,,2013年01月01日至2013年06月30日,964475,1018615,-24694.0,54140,124670,,-20654,8614,,,,,-34990,124670,,-143312,-107988,-251300,,2253.0,,244264,2791.0,,,-18124,-116056,1018615,-17808,39323.0,,98687,,
2013-11-13,3,2013,205092.0,,-302577,-29445,195520.0,13433,34710,-2543,,-21973.0,,48600.0,,-7867.0,,2833,-8954,25657,58553,-115173,-326656,-524.0,,0.0,31312.0,0.0,-2165.0,-6584.0,,-100374,-120013,,14011,-95.0,-24120,-8121.0,-279,-967.0,-4131.0,22986,193445,743.0,,4308,-25926,8725,4663.0,,2013年01月01日至2013年09月30日,964475,819400,-23619.0,-145075,144843,,158851,197257,,-159980.0,,,-385465,144843,-4663.0,-104963,-47715,-152678,,2804.0,,303439,7444.0,,,-22671,52414,819400,-25868,30657.0,,74513,,
2014-03-28,4,2013,257073.0,,-307961,20603,195520.0,-14489,21975,348,,-22699.0,,71500.0,,-13852.0,0.0,3805,-13821,37923,64450,-178196,-424969,-525.0,,0.0,30000.0,0.0,-2420.0,-18784.0,,-79095,-98883,,46208,71.0,-77387,-7328.0,-302593,-6847.0,-5465.0,35321,262196,743.0,,5302,-37922,13587,4663.0,,2013年01月01日至2013年12月31日,964475,929771,-42153.0,-34704,371025,,123162,188831,,-159980.0,95840.0,,-257637,371025,-4663.0,-15491,-423776,-439267,,4858.0,0.0,475718,5392.0,,,-26908,-182194,929771,-27747,45384.0,,62872,,
2014-05-12,1,2014,77224.0,,-149653,-18128,0.0,41981,-4451,-8472,,,,1500.0,,,19566.0,970,-3915,10592,-14559,-13254,-200095,0.0,,0.0,,372.0,0.0,,5.0,-59358,-26845,0.0,-23243,-454.0,9419,2026.0,-19452,-3443.0,-340.0,-73052,65913,,,1321,-10593,3529,,,2014年01月01日至2014年03月31日,929771,905517,8105.0,-24254,135997,,86727,115335,,,127890.0,,-23370,135997,,-73461,-24425,-97886,,0.0,,117197,0.0,,,-5762,-20662,905517,-18015,-3479.0,,12874,,
2014-08-14,2,2014,165439.0,,-146935,6425,0.0,43035,2232,-234,,0.0,21676.0,0.0,-14000.0,,23533.0,1912,-8358,23093,-61097,-99584,-300115,0.0,,,9915.0,888.0,0.0,0.0,188.0,-48422,-47,0.0,-35387,165.0,2770,867.0,-236184,-9030.0,-7123.0,-95500,132125,0.0,,2602,-22661,8460,1395.0,,2014年01月01日至2014年06月30日,929771,950247,10053.0,20476,332909,,232638,283911,,,123581.0,,-55565,332909,-1395.0,-33735,-180702,-214437,,512.0,,248435,3981.0,,,-8489,-48998,950247,-28612,-19099.0,,66496,,
2014-11-14,3,2014,237107.0,,-301755,-30699,0.0,24908,40943,-240,-685.0,0.0,21675.0,0.0,-36818.0,,,2860,-11337,31077,4566,-111044,-670551,0.0,-4500.0,,9915.0,1802.0,0.0,-755.0,,-180673,-111214,,-14273,-35.0,-13542,2632.0,215583,-209.0,-9906.0,88637,198885,0.0,370.0,3894,-31693,11543,3840.0,,2014年01月01日至2014年09月30日,929771,692337,16135.0,-237434,356615,,426114,569564,,-505201.0,125152.0,-39931.0,-756751,356615,-3840.0,-125184,101026,-24158,,710.0,,811293,3981.0,,,-14833,212949,692337,-111757,,,53252,0.0,26426.0
2015-03-30,4,2014,337077.0,,-312506,17225,0.0,27242,5103,-19,-9389.0,0.0,21675.0,0.0,-3339.0,,,3840,-13975,38317,51280,-120411,-835120,0.0,-4500.0,,9915.0,3463.0,0.0,-3007.0,,-135960,-130941,737.0,-8409,-78.0,-23124,308.0,92420,1144.0,-10002.0,-16014,281505,0.0,1012.0,5390,-38933,14103,5153.0,,2014年度,929771,746356,10040.0,-183415,426820,,509229,661680,,-505201.0,269925.0,-180252.0,-727910,426820,-5153.0,-126365,24148,-102217,,1053.0,,905040,7910.0,,,-20597,234860,746356,-113518,,18873.0,71526,0.0,
2015-05-15,1,2015,,,-928651,-29829,,15758,276,-236,,,,0.0,-43290.0,0.0,-5435.0,985,-2161,6515,-1402,-80069,-95333,,,,51.0,787.0,,,977.0,-34280,-20255,-283.0,-46519,-447.0,105635,65.0,129661,5199.0,,-117126,72568,,220.0,1368,-6018,2153,,79412.0,2015年01月01日至2015年03月31日,746356,742988,,-3368,7834,-231.0,155264,164106,,,3186.0,,-40104,7834,,-97288,174148,76860,927864.0,,,60581,,,,-134,156272,742988,-2824,,,-47654,,
2015-08-14,2,2015,,10009.0,-915579,-36601,,13885,4660,-58,,,0.0,,-67489.0,,,1954,-5209,11825,-10795,-128527,-130188,-1021.0,-2202.0,,51.0,0.0,-648.0,,8394.0,3151,49195,-234.0,-26614,-118.0,89396,-387.0,-39386,5206.0,,-119534,145614,,436.0,2698,-11365,5276,1348.0,157875.0,2015年01月01日至2015年06月30日,746356,722075,,-24281,5425,-4128.0,183140,200437,,,3186.0,,-77092,5425,-1348.0,-13840,50977,37137,914803.0,1855.0,,116591,3324.0,,,-1470,195012,722075,-17297,,,-20830,-1069.0,
2015-11-13,3,2015,,10009.0,-915579,22288,,13698,3197,-104,,,0.0,,-86131.0,0.0,,2937,-7885,17582,51100,-197060,-245356,-1021.0,-2202.0,,51.0,0.0,-1033.0,0.0,7725.0,-26723,174831,-370.0,19368,-88.0,86534,1751.0,4783,3840.0,,-184869,219721,,641.0,4430,-16804,7942,4614.0,234380.0,2015年01月01日至2015年09月30日,746356,825466,,79110,-54362,-11169.0,404509,442506,,-84200.0,3186.0,0.0,-191630,-54362,-4614.0,208057,54431,262488,914803.0,1855.0,,226991,3328.0,,,-1811,496868,825466,-37997,-5872.0,,-29348,,1634.0
2016-03-31,4,2015,,10922.0,-919629,-949,0.0,12759,-8063,265,0.0,,0.0,,-70631.0,,,3928,-10072,24906,37181,-227623,-516010,-1021.0,-2201.0,-84.0,51.0,0.0,-1909.0,0.0,9954.0,41698,48795,-737.0,-29975,-66.0,69539,1593.0,131685,5703.0,,-36578,295658,,916.0,6856,-24175,10317,4614.0,291304.0,2015年度,699856,675075,,-24781,11055,-16612.0,506352,550820,-421001.0,-84200.0,255592.0,-184633.0,-531736,11055,-4614.0,-7607,256068,248461,918850.0,2064.0,,606194,3201.0,54789.0,-26772.0,-2754,539765,675075,-44468,,0.0,-7174,,11507.0
