date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得待出售非流動資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,221434.0,-571522,-180805,0.0,9107,,,0.0,,,-76315.0,-101163,,25791,160073,-43398,,-6594112,-162068,,-22336,-903464.0,-1695,-4292.0,,,,65964,-114613,-1055192,-90196,-1133354,163788,6869.0,-36036,,-1733,3710,-9051,,,,2013年01月01日至2013年03月31日,5662337,5547351,-114986,424886,-813490,-658896,,,126491,,1671785,424886,-1197574,-107642,-1305216,2235721,0.0,6533719,,708,60000.0,,,-27428,,,,-1083782,5547351,-145543,15971,,141790.0,,,19834.0,31554
2013-08-12,2,2013,458000.0,-584308,-91317,,41612,,,0.0,,,,-92906,,54080,271294,-171563,,-16789464,-207648,,-22336,-903464.0,-4394,-7676.0,,0.0,5644.0,92991,-114613,-1526531,-109558,-1149792,316076,,-67657,,-21028,8487,-50465,,6052.0,,2013年01月01日至2013年06月30日,5662337,5491434,-170903,740789,-816174,-425901,0.0,,114777,,1523769,740789,-1624635,-55,-1624690,2127635,3063.0,16829822,44496.0,24464,60000.0,,,-43580,,,1391.0,-1166690,5491434,-339808,69226,-12046.0,141790.0,,42557.0,,-6787
2013-11-11,3,2013,573448.0,-569447,-181084,,61449,,,-6867.0,,,,-38155,,84326,209767,-178775,,-24370312,-277259,,-22336,-1192436.0,-7398,10635.0,,0.0,19939.0,56594,-114613,-2355841,21247,-1481987,467324,13840.0,-167977,,-42379,12022,-53665,,10251.0,,2013年01月01日至2013年09月30日,5662337,4684621,-977716,1045381,-1328027,-813910,0.0,-598497.0,878902,-180327.0,1622531,1045381,-2528995,96256,-2432739,2207924,3116.0,24405732,74358.0,24660,60000.0,,,-60147,,,1401.0,-1859291,4684621,-460452,-17394,-12046.0,141790.0,,124943.0,,-5910
2014-03-31,4,2013,779093.0,-588412,-16149,-245455.0,83335,,,-6919.0,-226922.0,,,13872,,116925,352571,-307410,0.0,-31790898,-306581,,-22336,-1192436.0,-12249,16840.0,,0.0,49453.0,29324,-114613,-186244,15595,-1938151,609585,19341.0,-302870,,-54266,15542,-88874,,13354.0,,2013年01月01日至2013年12月31日,5662337,6920389,1258052,1544946,1283967,1983041,0.0,-598497.0,768371,0.0,1559665,1544946,-207236,-133762,-340998,2088022,3138.0,31868916,178194.0,31783,60000.0,,,-81155,,,1405.0,438095,6920389,-610200,-16388,-12046.0,141790.0,,,40854.0,-24184
2014-05-15,1,2014,158151.0,-635280,-83744,,-27726,,,,-115059.0,,0.0,48836,,32537,67863,-50892,,-6366730,-142878,-65378.0,-63501,0.0,0,24166.0,,-720837.0,,6407,0,-1415445,51279,-986336,142309,,-20982,,-19902,3843,-32577,,3711.0,,2014年01月01日至2014年03月31日,6920389,4924455,-1995934,524152,-1086206,-899296,,,1507677,-1421218.0,8745,524152,-1517997,-63602,-1581599,533400,112.0,6394720,97075.0,524,0.0,,,-25862,43321.0,,,-1423448,4924455,-154333,-24134,,0.0,,,-72580.0,-18808
2014-08-12,2,2014,336805.0,-1309574,-66121,,-87108,,,,-55073.0,,,101980,,68135,-49218,-89384,,-12287493,-157558,,-97018,0.0,-199,14197.0,,-705462.0,,22074,0,-1689540,30903,-772323,280482,,15689,,-38553,7625,-68634,,48768.0,,2014年01月01日至2014年06月30日,6920389,5277294,-1643095,891978,-971387,-606168,,,2992219,-2950899.0,149833,891978,-1809348,-25603,-1834951,1403890,982.0,12340135,121493.0,523,0.0,,,-52499,108486.0,,0.0,-1498146,5277294,-296585,-80085,0.0,49197.0,,-7161.0,,-53687
2014-11-13,3,2014,490735.0,-2689019,-60334,,-57119,-49046.0,,0.0,-29236.0,,,133411,-91791.0,98664,41043,-122578,,-18987690,-172304,,-96818,0.0,-1945,33106.0,,-704764.0,0.0,10550,0,-2323930,16085,-743458,416856,0.0,58456,,-57287,11499,-101368,89305.0,52335.0,,2014年01月01日至2014年09月30日,6920389,4947540,-1972849,1064000,-1172722,-764120,,0.0,3967218,-4053384.0,-97712,1064000,-2449182,130327,-2318855,2644367,1031.0,19064413,161428.0,668,0.0,,,-76399,141716.0,,0.0,-1828120,4947540,-396539,5917,0.0,49197.0,,102355.0,,-64918
2015-03-26,4,2014,779428.0,-1576832,103422,,-106872,-49378.0,,-148134.0,-188624.0,,,167479,-102955.0,131825,326779,-147391,,-4399592,-483460,,-97442,-98756.0,-2948,23972.0,,-708348.0,0.0,-2077,-94475,-602554,-13883,-764047,553305,0.0,-171279,,-82212,15032,-131015,107703.0,56433.0,,2014年度,6920389,6225312,-695077,1516422,886172,1417493,,-598497.0,619383,-16362.0,-1143981,1516422,-578666,-299691,-878357,498830,1150.0,4519168,385666.0,931,0.0,,,-119250,597609.0,,0.0,-98929,6225312,-508009,166076,0.0,49197.0,,-5580.0,,-79534
2015-05-14,1,2015,,-646363,-172699,,27572,,,,0.0,97430.0,,16210,-22593.0,31603,-80686,-67518,,-1982510,-85118,0.0,0,,-185,0.0,-7154.0,-394139.0,,1745,-19156,-721629,52366,-742755,135831,,-583049,,-22019,1498,-29060,18686.0,3850.0,116589.0,2015年01月01日至2015年03月31日,6225312,5120582,-1104730,571148,-837865,-690958,,,1047709,-563400.0,556576,571148,-910398,-468297,-1378695,744940,0.0,2017474,53164.0,2500,,,,-34964,0.0,,,-1262106,5120582,-136533,8523,,,-385203.0,33069.0,,-16070
2015-08-12,2,2015,,-676775,-113862,,-188035,,,,-187814.0,,,29764,-56945.0,58636,-144418,-161425,,-2737635,-130906,,0,-199097.0,-185,13314.0,,-390247.0,,29032,-19156,-1303167,61658,-36327,265503,,-722161,532027.0,-51247,2881,-58936,57004.0,108255.0,236864.0,2015年01月01日至2015年06月30日,6225312,5377682,-847630,917061,-1374932,-1098935,,,1782459,-802100.0,708047,917061,-1462244,-790616,-2252860,410305,22.0,2799231,331447.0,4250,,,,-61596,0.0,,,-2015996,5377682,-274065,45618,,0.0,,28890.0,,-45215
