date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得持有至到期日金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付設備款增加
2013-04-29,1,2013,22726.0,-597000,-13335,5649,-2026,894,,,-342,,-8460,4400,12182,-31326,,,,-73,-226.0,,,23.0,210,4451,,0.0,18010,415,,32114,64091,,1991,-11378,4538,,2013年01月01日至2013年03月31日,1498672,2358750,-565,860078,245270,,174889,290066,,,641119.0,640893,245270,,-3108,25178,22070,597000,568,-112,63191.0,-34014.0,44796,7802.0,2358750,-108337,,,-4532.0,
2013-07-29,2,2013,77911.0,-597000,20901,13594,-4579,1133,,,-21624,,-20815,8695,57867,-61738,,,,13169,-226.0,,-930.0,,-27550,107328,,0.0,-154463,940,,-19153,127654,,4061,-15802,17016,,2013年01月01日至2013年06月30日,1498672,2454973,-21488,956301,535636,,394019,590253,-326000.0,599794.0,,523568,535636,,143052,-166346,-23294,847000,1948,1301,63191.0,-34014.0,54617,19402.0,2454973,-197448,,,-652.0,
2013-10-23,3,2013,140493.0,-2431000,34743,24073,-8632,-4399,,,-24191,32447.0,-33409,13658,102954,-189778,,,,411,-1471.0,,-999.0,,-55669,44757,,0.0,-181322,939,,-57467,192911,-122350.0,5803,-21134,29230,,2013年01月01日至2013年09月30日,1498672,2286233,-16257,787561,850215,,485360,722848,-326000.0,334185.0,,256714,850215,,70868,-338728,-267860,2681000,7915,1699,149586.0,-83164.0,-127367,,2286233,-245584,1116.0,,25278.0,
2014-02-26,4,2013,168585.0,-4552000,59561,21463,-10212,-5095,,,-29473,44892.0,-53125,20250,148303,-299184,,,,-32,-1495.0,,-1038.0,,-134018,9572,,0.0,-76833,68,-8631.0,-169083,257938,,7147,-27681,42242,,2013年01月01日至2013年12月31日,1498672,3095798,-51910,1597126,1109561,,887540,1134021,-326000.0,907861.0,,730366,1109561,,50290,-194415,-144125,4702000,11026,5933,149586.0,-83164.0,24460,,3095798,-261042,-4622.0,,25278.0,
2014-04-23,1,2014,90496.0,-714000,-49333,21249,766,-24130,,,-11783,-33073.0,-20890,6547,-9117,-85945,,,,316,,0.0,,92.0,-61607,-49260,,,82659,883,-3831.0,-97349,67364,-124717.0,1826,-6244,23054,,2014年01月01日至2014年03月31日,3095798,2980514,16920,-115284,110959,,4852,-5866,,,-113670.0,-13670,110959,,-101658,-105663,-207321,814000,287,4087,0.0,0.0,-116825,,2980514,-6092,47399.0,,,
2014-07-18,2,2014,192637.0,-1461000,-30585,12346,4677,-53557,,,-19543,-21414.0,-36491,12374,-40466,-145256,,,,282,0.0,,-279.0,,18824,-17736,,,-29306,883,-3831.0,-161930,139217,-124717.0,3679,-11937,43566,,2014年01月01日至2014年06月30日,3095798,2418346,40211,-677452,275928,,131100,245563,-733500.0,-32656.0,,-606156,275928,,-47475,-175527,-223002,1621000,3148,4254,0.0,0.0,-30365,,2418346,-146092,50525.0,,,
2014-10-22,3,2014,206017.0,-1518000,-30199,22412,7645,-3861,,,-15204,-8753.0,-49449,18216,637,-231879,,,,1502,0.0,,-13269.0,,-62745,27684,,,-97459,557,-3831.0,-331971,207839,-124717.0,5538,-18063,58367,,2014年01月01日至2014年09月30日,3095798,2131224,7818,-964574,517761,,305441,459264,-733500.0,-308181.0,,-938681,517761,,1299,-265813,-264514,1621000,5158,7173,0.0,0.0,-58497,,2131224,-194127,16133.0,,0.0,-76777.0
2015-02-25,4,2014,229258.0,-1518000,6515,-3813,4760,-28538,,,-26108,1540.0,-62958,24420,81367,-484705,,,,1616,0.0,,-14545.0,,-121914,52973,,,-111108,672,-7115.0,-695749,279436,,7442,-23862,70724,,2014年度,3095798,2595072,-37348,-500726,788268,,645508,809958,-733500.0,98648.0,,-531852,788268,,57133,-264701,-207568,1621000,7110,6552,0.0,0.0,21690,,2595072,-211312,4622.0,,3936.0,-177501.0
2015-04-20,1,2015,,0,-81480,26140,750,-3191,,,-7707,-32551.0,-11127,5524,-28919,-201256,,-5519.0,,11742,,,,-5426.0,-130181,-8672,,,32901,237,,-534394,74443,0.0,2515,-6300,13786,90655.0,2015年01月01日至2015年03月31日,2595072,1867073,38677,-727999,162618,0.0,70574,89777,,,-235260.0,-235260,162618,356.0,-89402,-74094,-163496,0,1320,1076,,,-72841,,1867073,-26689,0.0,,,-315806.0
2015-07-20,2,2015,,-750000,-36590,-66808,2056,21054,,-176634.0,-13194,-20587.0,-16363,13407,-49621,-1503721,,-5519.0,,18379,,,-16726.0,,-85151,-52042,,,-6022,-110,,-1596999,148115,0.0,5485,-13764,21653,208542.0,2015年01月01日至2015年06月30日,2595072,1096870,45050,-1498202,316125,0.0,13678,124420,0.0,134740.0,,134740,316125,1124.0,-86576,-313671,-400247,750000,2056,2042,,,-191705,,1096870,-118631,0.0,,11890.0,-59895.0
