date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付設備款增加
2013-05-07,1,2013,43672.0,0.0,,,-14034,-2464,0.0,7920,7949,,,,,7762.0,-9075.0,,-237,6936,-26717,,,,339.0,,,-20487,-10445,-4659,-9103,76875,-663,6855,-18955,47176,,-6807,237,,,2013年01月01日至2013年03月31日,218999,208808,-98,-10191,-70824,8425,14995,,,,339,-70824,,-30321,72468,42147,,,,,7.0,,,0.0,85819,208808,,-1058,21,,4403,
2013-08-06,2,2013,86530.0,0.0,,,10738,5303,0.0,2208,1057,,,,,839.0,-18060.0,0.0,-578,13898,-37503,,,42.0,717.0,,6750.0,-4757,-38545,-9719,-8422,82978,-6315,-5940,-29914,92158,,-13817,578,,,2013年01月01日至2013年06月30日,218999,195466,-87,-23533,-118377,5664,18903,,,0.0,717,-118377,,-43740,94490,50750,,,,,7.0,,,0.0,137280,195466,,-1094,244,,22164,
2013-11-07,3,2013,129497.0,13599.0,,,29421,4807,1258.0,20218,73,,,,,,-26899.0,0.0,-816,20935,-48646,,,42.0,684.0,,8070.0,-8713,-16662,12039,-6129,82610,-5738,1954,-25719,136554,,-21936,816,,,2013年01月01日至2013年09月30日,218999,244976,81,25977,-151614,51012,72132,,,0.0,684,-151614,,38887,55362,94249,,,,,7.0,,,0.0,223746,244976,,-1204,797,0.0,-19631,
2014-03-26,4,2013,171739.0,14362.0,,,17477,4946,1677.0,-11116,922,,,,,,-35934.0,0.0,-1169,28019,-126469,,0.0,922.0,,1321.0,8270.0,-2476,30441,17943,-3041,32812,-8298,11013,-102160,181027,2428.0,-28708,1136,,,2013年01月01日至2013年12月31日,218999,238128,-91,19129,-160074,89968,119630,,30000.0,,31321,-160074,,51704,56261,107965,,,,,6.0,,,0.0,279704,238128,-2090.0,-2034,993,0.0,14914,
2014-05-08,1,2014,45880.0,,,,-12175,-3336,,16290,-717,-6609.0,,3537.0,,,,,-220,7217,-7848,,,,-1095.0,,,-2030,-71409,-7069,-5780,59262,3648,-2929,-87807,39222,47473.0,-7117,220,,,2014年01月01日至2014年03月31日,238128,225025,-279,-13103,-74101,-4201,2696,,80000.0,,78905,-74101,,-86752,117669,30917,,,,,0.0,,,,76797,225025,,-102,42,,16298,-83496.0
2014-08-07,2,2014,93906.0,,,,6907,-2931,,1761,-1379,-15622.0,,8124.0,,,,,-637,14656,-12180,,,0.0,304.0,,,1930,-23702,-19610,-6021,99088,-3487,-5724,-124675,79867,47474.0,-14675,637,,,2014年01月01日至2014年06月30日,238128,228295,125,-9833,-111899,-15462,-1424,,130000.0,,130304,-111899,,-56287,72856,16569,,,,,0.0,,-166.0,,110475,228295,,-33,94,,-62115,-120619.0
2014-11-06,3,2014,143119.0,33458.0,,,6438,-4476,,7536,-6117,-22475.0,,-1583.0,,,,,-933,22381,-117378,,,39.0,905.0,,,-9474,-77015,-22087,-5953,105916,2131,-5822,-157703,125557,47474.0,-22199,933,,,2014年01月01日至2014年09月30日,238128,211909,-94,-26219,-176172,-79421,-58155,,210000.0,,210905,-176172,,-113556,88454,-25102,,,,,0.0,,-8186.0,,118017,211909,,84,4271,,-41178,-72200.0
2015-03-26,4,2014,198183.0,33781.0,,,-17810,-3392,,-28795,-1485,-31159.0,,8126.0,0.0,,,,-1210,30506,-26283,,,39.0,393.0,,,7931,-29994,-16274,2134,88745,-156,-3512,-205292,174966,47474.0,-30163,1210,,,2014年度,238128,228195,-314,-9933,-232997,-75034,-44849,,270000.0,,270393,-232997,,-121898,111863,-10035,,,616.0,2544.0,,0.0,-11069.0,,188148,228195,-1232.0,146,5119,,-23742,-224076.0
2015-05-12,1,2015,,1415.0,,,-14110,1680,,24932,-8384,-6342.0,,1282.0,,,,,-178,8236,-31936,,,270.0,4954.0,,,-218,-54482,28054,-8138,38749,7371,-1094,-29275,51097,0.0,-8016,178,,56763.0,2015年01月01日至2015年03月31日,228195,203492,-41,-24703,-137577,-100382,-92544,,100000.0,,104954,-137577,,-30086,18356,-11730,,,,2935.0,,,-2730.0,,45033,203492,,55,54,,-19748,-2971.0
2015-08-06,2,2015,,1415.0,,,21548,-23114,,64158,-22189,-12322.0,,1432.0,,,,,-478,16818,-34527,,,270.0,5384.0,,,-3545,-69334,-2745,-8113,-769,209,3471,-27212,102597,0.0,-16460,478,17868.0,94439.0,2015年01月01日至2015年06月30日,228195,178231,-41,-49964,-223309,-178136,-180022,,150000.0,,155384,-223309,-17868.0,-6808,-44344,-51152,,66.0,,12344.0,2.0,,-7138.0,,43287,178231,,223,54,,1593,-7942.0
