date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他營業負債增加（減少）,其他非流動資產增加,利息收入,利息費用,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少
2013-05-07,1,2013,64248.0,-88000,-23406,450,-5314,1681,-1727,-63,15930,-2857,-139,,,,,,,,,60.0,-12141,-2740,2953,-4723,46205,100447,2176,-15613,58,,,2013年01月01日至2013年03月31日,81707,79855,-1852,50492,90811,106366,,,-87940,50492,,-39180,30806,-8374,,,,55874,79855,,-70304
2013-08-07,2,2013,128325.0,-176000,-16803,-6260,1609,45,-5644,-271,31396,-15522,-139,,,227606.0,,,,,20028.0,,-3115,-11854,4359,-21305,92543,101804,4657,-30842,247,,,2013年01月01日至2013年06月30日,81707,331197,249490,109744,229161,259756,,-30000.0,41634,109744,,-18264,39951,21687,,,,150012,331197,,-48098
2013-11-06,3,2013,169643.0,-264000,-19057,-2924,-1010,49,-6994,-337,46515,-29041,-140,,,226282.0,,,300.0,,20049.0,,-6570,-6559,5154,-35875,135809,27539,7068,-39792,194,19412.0,,2013年01月01日至2013年09月30日,81707,309898,228191,189214,311735,331921,,-30000.0,-47669,189214,-19412.0,-26588,-348,-26936,,,,142707,309898,,-23558
2014-03-25,4,2013,231935.0,-262000,9,-8292,-96651,-172,-15234,-671,60841,-29780,-140,,2522.0,226235.0,,-4900.0,0.0,,0.0,-9954.0,3146,5883,1826,-50054,179113,17526,9542,-54130,496,19412.0,,2013年01月01日至2013年12月31日,81707,320556,238849,238034,359622,393844,0.0,-25000.0,-70719,238034,-19412.0,-93668,17543,-76125,,,,155810,320556,,600
2014-05-07,1,2014,59791.0,-88000,-20758,-95,41118,15349,-856,-62,14163,-304618,-38,,0.0,1680.0,,-227000.0,0.0,,0.0,0.0,-38973,-3369,1298,-532512,43258,125499,2432,-19178,57,0.0,,2014年01月01日至2014年03月31日,320556,102685,-217871,64592,154961,174082,65000.0,0.0,159680,64592,0.0,-3264,52963,49699,181000.0,,,109490,102685,,-70370
2014-08-07,2,2014,101934.0,-197428,-15950,4787,44106,-238,-12220,-406,28882,-503396,-38,,0.0,3063.0,,-227000.0,0.0,,14952.0,0.0,-11015,-8125,2551,-720749,86521,190525,4647,-33637,370,30.0,,2014年01月01日至2014年06月30日,320556,110653,-209903,158288,385759,418996,5000.0,0.0,125087,158288,-30.0,16903,141871,158774,299500.0,21905.0,-17680.0,260708,110653,,-47867
2014-11-07,3,2014,150957.0,-306857,-5967,-3796,64471,-357,-12555,-486,43817,-490890,-206591,,-2507.0,3329.0,,-221857.0,0.0,13.0,44957.0,0.0,-10643,-7674,2453,-909988,129596,160410,6547,-48201,442,8330.0,,2014年01月01日至2014年09月30日,320556,90688,-229868,233922,520691,560120,5000.0,0.0,159429,233922,-8330.0,47517,127724,175241,413000.0,21905.0,-17680.0,326198,90688,,-23669
2015-03-25,4,2014,216202.0,-352000,20921,2993,33260,-428,-18301,-820,58947,-167806,-615007,,932.0,8594.0,,-221857.0,0.0,8.0,44927.0,0.0,-15408,-124,-4154,-1001066,174763,143510,8390,-62962,820,8330.0,,2014年度,320556,119564,-200992,291192,628053,681939,5000.0,0.0,172021,291192,-8330.0,38353,136192,174545,465500.0,21905.0,-17680.0,390747,119564,-74.0,-6033
2015-05-07,1,2015,,-88000,-36160,2765,-5081,-1547,-13865,-62,14736,-6844,0,,0.0,-14.0,,-201.0,0.0,12.0,32.0,0.0,-5564,-6427,8385,-20910,49118,-6078,1872,-14426,62,0.0,65664.0,2015年01月01日至2015年03月31日,119564,94284,-25280,47445,-16388,-2024,0.0,0.0,12018,47445,0.0,-48340,-66793,-115133,100000.0,0.0,0.0,-49469,94284,0.0,-65438
2015-08-07,2,2015,,-192625,-31666,-81,7333,-79,-32111,-409,29547,-66303,-273,,0.0,2427.0,,0.0,0.0,7.0,74814.0,0.0,-4796,2436,5803,-98687,98602,-9096,3742,-28964,390,0.0,131418.0,2015年01月01日至2015年06月30日,119564,136058,16494,101337,130565,159139,0.0,0.0,-15384,101337,-64.0,-29201,-44415,-73616,100000.0,0.0,0.0,57802,136058,0.0,-43477
