date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付設備款增加
2013-05-13,1,2013,21114.0,-1500.0,-3161,24810,83,-33729,-2259,,,-1002,350,107.0,-108224,,-1152.0,,-72993,-18466,-53312,31063,-7968,7.0,-111633,20085,,84.0,1922,-345,1002,,2013年01月01日至2013年03月31日,724007,624806,-99201,130280,,13825,16398,,,,-1500,130280,-76263,-58733,-134996,,2,59,-113882,-1414,624806,-3230,-300,,
2013-08-09,2,2013,39702.0,-3000.0,4759,23335,-21662,-13933,-41239,,,-2122,690,159.0,-90316,,-1302.0,,-51086,-25280,-52278,7023,-8142,16.0,-132718,41020,,2443.0,3690,-691,2122,,2013年01月01日至2013年06月30日,724007,701614,-22393,253584,,113166,157067,,,,-3000,253584,-95859,-40360,-136219,,139,121,-96517,-1414,701614,-45332,-3697,,
2013-11-11,3,2013,60138.0,-4500.0,657,45026,-11280,14768,-47104,-6271.0,,-2948,1408,6480.0,-98783,,-3166.0,,7399,-40608,-53970,40084,-12573,24.0,-148811,63214,,-140.0,4579,-1320,2948,,2013年01月01日至2013年09月30日,724007,787705,63698,376587,,355462,424698,-306933.0,162000.0,,-149433,376587,-106591,94564,-12027,,242,156,48111,-1414,787705,-70864,0,,
2014-03-24,4,2013,76232.0,-6000.0,6833,41270,-17221,-23787,-7094,-10548.0,,-4392,2110,10738.0,-104246,-150.0,-8123.0,,28770,-16297,-36791,-1766,-353,-178.0,-182778,83545,-36.0,,5323,-2083,4392,,2013年01月01日至2013年12月31日,724007,793042,69035,509805,,492008,565068,-306933.0,62000.0,,-250933,509805,-65103,44134,-20969,,256,194,55263,-1413,793042,-75369,0,,-63421.0
2014-05-12,1,2014,21582.0,-31500.0,-8847,875,-53,38505,-14995,0.0,,-1065,252,-10.0,-13977,0.0,0.0,1523.0,-49055,-1490,4413,20984,-9030,8.0,-27393,21559,,-59930.0,1037,-302,1065,,2014年01月01日至2014年03月31日,793042,722697,-70345,129940,,88558,87902,0.0,,-100000.0,-131500,129940,-5969,-57651,-63620,,56,-13,-42038,0,722697,-107,-188,,
2014-08-04,2,2014,44418.0,-58493.0,1994,-1197,15277,29583,-30491,0.0,,-2364,259,-61.0,-31931,-742.0,,2083.0,-61290,-10083,22847,-35152,-6513,15.0,-60460,44135,,-84846.0,2338,-316,2364,,2014年01月01日至2014年06月30日,793042,729113,-63929,271536,,155085,186589,,,-100000.0,-158493,271536,30050,-159415,-129365,,621,394,-84947,0,729113,-33552,-344,,
2014-11-10,3,2014,68565.0,-58493.0,2376,-3461,16063,21501,-48842,-259.0,,-3334,293,209.0,-54092,-742.0,,2828.0,-73065,27405,23381,-1025,-18744,23.0,-100227,68259,,-44638.0,3657,-350,3334,,2014年01月01日至2014年09月30日,793042,625088,-167954,434143,,397490,452524,-306933.0,,-100000.0,-465426,434143,69248,-119432,-50184,,621,394,18381,0,625088,-58018,-445,,
2015-03-24,4,2014,106195.0,-76493.0,7717,-3004,927,25966,-5413,10997.0,,-4633,293,-10997.0,-78995,-898.0,3248.0,,-65689,47596,29896,-4682,-8423,-361.0,-128601,92411,-104.0,-77194.0,7349,-350,4633,,2014年度,793042,794324,1282,601330,,606306,660170,-306933.0,-100000.0,,-465426,601330,85671,-133026,-47355,18000.0,6416,-1534,58840,0,794324,-58147,1312,,-52959.0
2015-05-11,1,2015,,0.0,-15082,3951,30328,5579,-2178,,,-1155,0,0.0,-9158,0.0,1250.0,,-2755,-44737,-1047,31819,-2049,,-40928,24749,0.0,36390.0,2667,0,1155,25900.0,2015年01月01日至2015年03月31日,794324,934012,139688,112046,8.0,180616,180351,0.0,0.0,,0,112046,-30530,72935,42405,0.0,56,-30,68305,0,934012,-890,-331,,-30898.0
2015-08-12,2,2015,,0.0,-15709,-6124,12067,-770,-4307,,,-3065,0,0.0,-26974,0.0,,1100.0,29190,-72327,-42893,80925,3145,,-61633,49739,,50413.0,3994,0,3065,50958.0,2015年01月01日至2015年06月30日,794324,969368,175044,228037,15.0,236677,316927,,,0.0,0,228037,-118847,156779,37932,0.0,56,-30,88890,0,969368,-83315,320,,-31508.0
2015-11-06,3,2015,,0.0,-17686,-25411,-9691,5891,-4933,,,-4414,0,160.0,-30995,-122.0,-50.0,,65409,-59605,-63661,55404,-1835,,-99936,75255,,74092.0,5569,0,4414,78170.0,2015年01月01日至2015年09月30日,794324,734456,-59868,403837,23.0,374210,504937,-337626.0,0.0,,-334302,403837,-150620,173550,22930,,56,-30,101100,0,734456,-135141,1790,3324.0,-63892.0
2016-03-25,4,2015,,0.0,-11153,-28259,-15644,12270,-8170,,,-5627,0,,-122549,-122.0,2690.0,,82497,-53770,-50603,89692,-2998,,-170176,101038,0.0,74092.0,7230,0,5627,105529.0,2015年度,794324,878446,84122,517174,-322.0,588317,718505,-337626.0,0.0,,-334019,517174,-131492,227294,95802,0.0,739,1098,201331,0,878446,-135815,1790,3607.0,-42764.0
2016-05-05,1,2016,,0.0,-15397,-3049,-6774,-5106,-35,,,-930,0,-18.0,-3673,0.0,552.0,,15942,-16893,-19370,17629,11717,,-6653,26023,0.0,-91219.0,946,0,930,25945.0,2016年01月01日至2016年03月31日,878446,880796,2350,94731,8.0,9031,8164,0.0,0.0,,-10,94731,-58426,-54086,-112512,0.0,0,0,-86567,0,880796,-63,-94,-10.0,-3497.0
2016-08-10,2,2016,,0.0,-8409,-2193,-6325,-102248,-1548,,,-2664,0,-53.0,-8336,-720.0,-148.0,,19715,-21780,-4187,8504,11631,,-28387,51671,371.0,-44985.0,1889,0,2664,50795.0,2016年01月01日至2016年06月30日,878446,929033,50587,216467,16.0,79055,117372,,0.0,,-28,216467,-40314,-109576,-149890,0.0,0,0,-99095,0,929033,-40981,-101,-28.0,-17635.0
2016-11-09,3,2016,,,-14461,887,-6760,-6790,-1847,,0.0,-3930,-494,7.0,-12495,-720.0,-575.0,,5999,-18012,13388,20595,9968,,-45953,77763,0.0,-31193.0,3423,401,3930,76512.0,2016年01月01日至2016年09月30日,878446,1104765,226319,297600,23.0,269887,347756,-337626.0,340000.0,,2378,297600,-25822,-534,-26356,,37,-19,50156,0,1104765,-82200,-231,4.0,-30353.0
