date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得待出售非流動資產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,存貨（增加）減少,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-13,1,2013,302922.0,,,0.0,,,-165745,780840,,35250,872557,-220541.0,,-21293.0,-2138.0,,,-11868,526,9893,-503531,-599995.0,,,,,,-655605,,,583499,3053,-296361,37543,-1518.0,,-1105664,494753,0.0,-123024,2320,-526,14587,310641,,2013年01月01日至2013年03月31日,5312792,5809025,,496233,-258506,1613297,1288595,,,,,,-21293,-258506,233998,1010181,1244179,,,0.0,,2291,,0.0,,,1547101,,5809025,,,0.0,-7640.0,,,-54436.0,271207
2013-08-13,2,2013,869313.0,,,0.0,,,-98108,788430,,131899,1124434,-564595.0,321010.0,,-6024.0,0.0,,-20072,1378,4028,-716519,-599995.0,-166920.0,,0.0,,-499449.0,-877481,,,38905,-3941,458614,59984,-17028.0,,-1171076,971403,0.0,-163400,4785,-1378,18078,707831,,2013年01月01日至2013年06月30日,5312792,5827639,,514847,-845106,1158576,1189649,,,,,,523319,-845106,-512868,1678310,1165442,,,0.0,,7100,,0.0,,110000.0,2034755,,5827639,-47773.0,,42908.0,,202309.0,25211.0,0.0,124329
2013-11-13,3,2013,1189472.0,,,0.0,,,-1268247,758303,,-70949,1224540,-970000.0,150745.0,,-6896.0,0.0,,-23800,5372,-3781,-982143,-599995.0,-171655.0,,,,,45755,,,-882853,-10381,159917,62802,-14606.0,,-1051168,1449016,-355329.0,-272757,7287,-4592,18917,707831,,2013年01月01日至2013年09月30日,5312792,5172549,,-140243,-1144397,-1370041,-1338653,,,,1711591.0,,2284747,-1144397,-3217036,1833308,-1383728,220000.0,1690.0,0.0,,7100,0.0,0.0,0.0,,-194256,,5172549,-45713.0,,-5882.0,,202411.0,23136.0,0.0,-62680
2014-03-26,4,2013,1482537.0,2510.0,,0.0,599900.0,,-323269,-4379,0.0,56174,1169238,,-15591.0,,,-7527.0,,-33902,14261,77185,-1268853,-599995.0,-241200.0,-10968.0,,,,140510,,,-595581,-4931,507101,17579,,,-647035,1935867,-424451.0,-367613,9866,-14996,30157,710711,,2013年01月01日至2013年12月31日,5312792,8186545,,2873753,-1385980,-135468,-61631,-1159995.0,,165548.0,3386798.0,,3579071,-1385980,-2079882,1921694,-158188,400000.0,1722.0,0.0,,14426,766565.0,-3.0,0.0,,1324349,-1212275.0,8186545,-88998.0,,-46086.0,,202411.0,23453.0,-67732.0,516096
2014-05-13,1,2014,477026.0,,,-220000.0,,,-115539,-13665,,32905,-28494,,73909.0,0.0,-242369.0,,,-13258,17133,-5045,-271856,0.0,,-160496.0,,,,-360787,,,-681184,-4829,-448510,15552,,,-500909,488960,,-145338,2540,-14867,18141,173812,,2014年01月01日至2014年03月31日,8186545,6075536,,-2111009,-194006,-2029484,-2032758,,,,-175758.0,,424429,-194006,-960209,-1355569,-2315778,720000.0,,,,71,0.0,,,,-1838752,-191562.0,6075536,,,110815.0,0.0,26278.0,16103.0,0.0,-519665
2014-08-13,2,2014,842276.0,,,,299386.0,,86304,1581,,39166,-124935,,0.0,-5429.0,-237001.0,,,-28978,35836,-23454,-589393,0.0,0.0,-192649.0,,,,-340450,,,-548280,485,-714114,25477,,,-613028,981580,,-277439,5051,-37987,33712,406015,,2014年01月01日至2014年06月30日,8186545,5577585,,-2608960,-688458,-2116289,-2084838,,,,,-1176424.0,143811,-688458,-795655,-1443001,-2238656,1000000.0,,,0.0,3097,,,,,-1396380,-373330.0,5577585,-27176.0,,94858.0,,26278.0,28271.0,,-290560
2014-11-13,3,2014,1139593.0,,,,299386.0,,-26098,-104746,,29808,-376537,,88179.0,,-246071.0,,,-41115,56479,-14280,-1068065,0.0,0.0,-273913.0,,,,29786,,,376538,1582,-649090,25516,,,-1165223,1479005,0.0,-417980,7556,-58229,41632,422826,,2014年01月01日至2014年09月30日,8186545,6563547,,-1622998,-934064,-1886136,-1836446,,,,0.0,-771202.0,1442641,-934064,-104964,-1937011,-2041975,1800000.0,0.0,,,4520,,,,,-902382,-486794.0,6563547,-33093.0,,2406.0,0.0,26278.0,48722.0,0.0,-861940
2015-03-27,4,2014,-517025.0,0.0,,,399213.0,,-362885,-54220,,-58309,-393603,,204091.0,0.0,-693.0,,1357004.0,-60826,83211,34811,-1415905,-30000.0,0.0,-178234.0,,,,484249,,47916.0,-494757,-11946,-82085,27124,,-5172872.0,-1194265,2063849,505171.0,-561268,7521,-79750,64608,408463,,2014年度,8186545,10412190,-931.0,2225645,352591,-1850522,-1801242,0.0,4127904.0,0.0,0.0,-821865.0,5235621,352591,-1091401,-545407,-1636808,1300000.0,0.0,,22104.0,5088,0.0,-61523.0,,,-2153833,-163504.0,10412190,-34138.0,506814.0,,,26278.0,1268992.0,0.0,-1032043
2015-05-13,1,2015,,,,0.0,,,-220886,-74411,,119120,-134137,,0.0,-2478.0,1595.0,,6352.0,-47415,51297,-17666,-162336,,,-403760.0,,,,138965,-931.0,-43560.0,-26822,13215,-378690,41904,,,-99531,433159,51669.0,-208802,1907,-21512,59869,287539,20391.0,2015年01月01日至2015年03月31日,10412190,9353976,546.0,-1058214,192950,144040,105683,,,,,-1082579.0,-1085057,192950,-197581,89923,-107658,0.0,,,177431.0,353,,-1762.0,,,-87267,-82208.0,9353976,,-128446.0,2300.0,,0.0,0.0,-44607.0,444623
2015-08-13,2,2015,,,-156509.0,-200000.0,0.0,,-157026,-28523,,-27072,-163508,,,-14227.0,-52037.0,,12591.0,-92823,96466,-102150,-336510,-286000.0,,-403760.0,,,,283134,-931.0,-102300.0,384325,9315,190779,18062,,0.0,51409,867847,51668.0,-394846,3833,-38471,112747,544235,-99175.0,2015年01月01日至2015年06月30日,10412190,9485966,539.0,-926224,549206,1258363,1202543,,,,,-1764933.0,-2133846,549206,70484,682028,752512,0.0,,500.0,584981.0,2655,,-5609.0,,,653337,-139058.0,9485966,-18456.0,-414070.0,0.0,-11527.0,1823.0,0.0,-61000.0,330416
