date,season,year,不影響現金流量之收益費損項目合計,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動
2013-05-09,1,2013,13692.0,182,-955,,0.0,,-3718.0,4609,-714,48,,-114,-162112,-2005,1518,,-5.0,,2227,,-10279,-3011,18390,24124,109.0,-157830,2498,718,5077,-48,,660,62.0,,2013年01月01日至2013年03月31日,715875,592750,-123125,-9902,,35180,34577,,,-475,-9902,-62,-12999,43786,30787,,10124,,,44479,592750,-71.0,-475
2013-08-09,2,2013,23984.0,1691,-4847,-297.0,1087.0,1853.0,,13214,-1545,100,,-1728,-191127,-4837,1203,,-5.0,0.0,17157,-27062.0,-10391,-2211,18898,26554,218.0,-107929,4232,1420,5422,-100,,1512,62.0,,2013年01月01日至2013年06月30日,679788,591152,-88636,-27552,,44830,43501,2000.0,,-25537,-27552,-62,-10693,57762,47069,,87125,,,71053,591152,-145.0,-475
2013-11-06,3,2013,36105.0,-4372,-3791,0.0,2077.0,0.0,,20930,-2281,158,,-2494,-224691,-10739,1236,,,497.0,14629,-27062.0,-10662,-7270,-3194,25788,326.0,-35814,6411,1982,8151,-158,482.0,2397,,,2013年01月01日至2013年09月30日,679788,624009,-55779,-44708,,5572,2851,2000.0,,-25537,-44708,-482,-21978,33432,11454,219.0,199317,,,47559,624009,,-475
2014-03-26,4,2013,68075.0,444,3645,-13724.0,698.0,,,52263,-2958,211,,-3693,-324877,-12678,2518,,,789.0,31551,-27062.0,-17914,-6450,19138,-6270,-302.0,-78607,9136,-2734,10183,-211,,2233,544.0,,2013年01月01日至2013年12月31日,679788,598282,-81506,-70845,,23638,21072,1000.0,,-26537,-70845,-544,-24222,48064,23842,224.0,274654,,0.0,91917,598282,0.0,-475
2014-04-29,1,2014,5748.0,-3546,-3972,-5.0,3.0,0.0,0.0,836,-580,50,,0,-294523,-3657,11,,367.0,,-4483,,-6089,-842,-25145,38046,-98.0,-213882,1979,734,2758,-50,,639,40.0,,2014年01月01日至2014年03月31日,598282,375927,-222355,-8221,,-7973,-8602,,-500.0,-500,-8221,-40,-10575,4446,-6129,,83933,,,-381,375927,0.0,0
2014-08-08,2,2014,23622.0,-2703,10282,-35194.0,0.0,,0.0,15549,-1364,106,,0,-393990,-3658,-1016,,0.0,344.0,-6353,22581.0,6377,-1674,-3843,15641,-193.0,-284366,3655,1206,5526,-106,,1443,40.0,,2014年01月01日至2014年06月30日,598282,352863,-245419,-52748,,-10215,-11592,29765.0,-3000.0,49162,-52748,-40,1807,15727,17534,,148132,,,41156,352863,0.0,-184
2014-11-07,3,2014,13361.0,-1510,3160,-35199.0,0.0,,,5422,-1910,237,,-3227,-462125,-6928,-4881,,,-17.0,-24151,22581.0,24854,-1007,311,13188,-289.0,-257255,5369,1625,7539,-237,,2002,40.0,,2014年01月01日至2014年09月30日,598282,339292,-258990,-73323,,-43601,-45406,60050.0,-40765.0,41866,-73323,-40,22048,-7492,14556,0.0,250241,,,27917,339292,,0
2015-03-25,4,2014,20998.0,4294,5812,-35199.0,,,,4919,-2501,330,,-4538,-461964,-6935,-36,,,-18.0,-49364,22581.0,14837,-2346,-31,15069,-313.0,-142167,7117,1994,9215,-330,,2589,40.0,,2014年度,598282,392632,-205650,-86319,,-75064,-77363,-11000.0,,11581,-86319,-40,16472,-28514,-12042,148.0,366339,,0.0,8956,392632,0.0,0
2015-05-07,1,2015,,-3826,3333,-5.0,0.0,,,619,-1528,0,,-8337,-159472,0,-55,,9.0,,7910,,-53841,-1494,17559,22394,,-44950,2150,516,1663,0,,1550,0.0,3365.0,2015年01月01日至2015年03月31日,392632,295596,-97036,-48946,-90.0,-52086,-53636,,0.0,0,-48946,0,-59251,51196,-8055,,122855,,,-4690,295596,0.0,0
2015-08-07,2,2015,,-3282,4473,-5.0,0.0,,0.0,-1733,-1914,0,,-6951,-190336,-1698,-130,,0.0,13.0,12290,135.0,-37314,-2243,-91216,181686,,19341,4377,1040,3241,0,,1936,0.0,4881.0,2015年01月01日至2015年06月30日,392632,384010,-8622,-99128,-181.0,-28098,-30034,0.0,0.0,135,-99128,0,-43020,107233,64213,,218318,,,69094,384010,0.0,0
