date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-13,1,2013,241097.0,,-41521,-792807,0.0,64499,12780,61365,-23255,18468,61127,-3544,,1150,-25990,12954,0.0,-18602,,,,-931,,80025,,-18720.0,,40399.0,-12350,-170337,0,,-955813.0,4778,515999,8248.0,227988,-12081,,20957,96134,-382468,-23670,38201,-20262,14543.0,,,2013年01月01日至2013年03月31日,15189317,14532331,-656986,671765,-1420162,-1405188,,722435,,742219,671765,33590,,-1834346,-483704,-2318050,,3635,,,-3,,-2628,,,-2076953,0.0,14532331,-9255,89359,22000,,-944191.0,
2013-08-13,2,2013,511697.0,7800.0,-250093,-806347,37602.0,117579,-20735,8839,141995,75932,108716,-15977,,40,-46026,27211,,-64127,,0.0,-33000.0,-49937,,100919,,-35282.0,-25446.0,,-39899,711921,0,,-3493710.0,24790,-576129,-7462.0,3253147,-1734741,,-174341,187618,-535983,-38073,78767,-33202,45009.0,,,2013年01月01日至2013年06月30日,15189317,13406731,-1782586,1287067,-1890687,-1495164,,466898,,282442,1287067,49964,,-3440973,147045,-3293928,,6346,,,-766,,-2628,,,-2782231,,13406731,-407330,213590,42000,,-559443.0,
2013-11-13,3,2013,463669.0,7800.0,-288310,-81390,0.0,128762,-23714,-59920,-485359,142210,118796,-35180,,601,-54207,44272,,-88140,,55481.0,-45500.0,-49640,,305178,,-20322.0,-17123.0,,-29897,1329684,0,,-5442264.0,-4598,-1465825,4880.0,2975452,-2776080,,-164768,256606,202468,-48146,116127,-58072,63109.0,39119.0,,2013年01月01日至2013年09月30日,15189317,8528138,-6661179,1918739,-4442923,-3784905,-2462014.0,411980,,-2053488,1918739,63764,-37438.0,-4116278,-2051035,-6167313,,7534,,,-1605,,-2458,,,-5703644,0.0,8528138,-702174,64153,62000,,-700518.0,
2014-03-28,4,2013,557572.0,12497.0,-590776,101761,,48762,-15362,-81381,-351813,336359,326824,-41494,,808,-77754,106126,,-166824,,-28146.0,0.0,-76742,77933.0,339932,,-2077.0,32426.0,,-16838,2285851,16134,,-7001523.0,-638,-259582,14410.0,955926,-3234780,,-98026,353326,864044,-74059,137598,-120807,80429.0,48203.0,,2013年01月01日至2013年12月31日,15189317,9327026,-5862291,2509910,-3203164,-2380051,-2447272.0,139092,,-2561101,2509910,70878,-40075.0,-4343437,-1104096,-5447533,0.0,10656,,159601.0,-3813,,-93263,,,-4889961,0.0,9327026,-830938,17331,82536,,564313.0,
2014-05-14,1,2014,116585.0,0.0,-45177,-1107775,,-1528,9076,-17227,-344764,166014,56231,-1143,,128,-32545,-17443,,-9483,,0.0,0.0,-1429,-20126.0,60774,,5563.0,-37770.0,,-76533,70982,64587,4787393.0,,37975,-1258592,2778.0,1116187,-39581,,-44471,86125,-1334302,-10412,38060,-18335,21010.0,0.0,,2014年01月01日至2014年03月31日,9327026,12084040,2757014,585714,2803459,2803027,0.0,-23134,,-1974,585714,10530,0.0,4001949,-1901221,2100728,0.0,3125,,2229.0,-253,,-392,,,2217313,0.0,12084040,-2243,62913,0,,-30193.0,
2014-08-08,2,2014,268045.0,1995.0,-249382,-502236,0.0,25924,16018,355266,791438,166863,126958,-7881,,128,-67512,28834,,-19873,,0.0,0.0,-264,,129209,,-11260.0,-32392.0,,-207655,-102393,34130,5925747.0,,148836,-1742221,1633.0,-1658102,1604523,,-1057753,162642,-1443562,-23804,73533,-29639,48871.0,0.0,,2014年01月01日至2014年06月30日,9327026,12539196,3212170,1189100,4263270,4352250,0.0,138086,,6653,1189100,21117,0.0,6026213,-3131108,2895105,0.0,3264,,3298.0,1973,,-783,-1005900.0,,3163150,0.0,12539196,-108212,48133,23784,,-646062.0,
2014-11-07,3,2014,355675.0,1995.0,-295165,-639590,,26105,-32826,2026959,761787,153672,142001,-25774,,381,-109397,36978,,-58853,-79210.0,-54146.0,-1390933.0,-6646,,283648,,7425.0,-35833.0,,-417803,1013190,83422,4940751.0,,139644,-1030187,3294.0,-5781460,3237113,-1634189.0,-1642548,236199,-251882,-28329,109810,-36213,104677.0,48205.0,,2014年01月01日至2014年09月30日,9327026,9455911,128885,1937463,4123352,4297020,-1877835.0,-469992,,-2351919,1937463,25436,-46510.0,7718048,-5714166,2003882,0.0,6852,,,2268,,-2040,,,2359557,0.0,9455911,-290337,67100,63779,,-736119.0,
2015-03-19,4,2014,394802.0,1995.0,-553829,-165163,,-93420,29227,1310277,643787,164699,247639,-38134,,492,-149180,89005,,-139460,-79225.0,-159765.0,-1390933.0,-76881,-75002.0,327328,,65608.0,-11946.0,,-226508,2105897,173165,4562337.0,,13879,-521174,,-6386704,1821353,,-1885515,325305,-1071643,-31199,153205,-89393,,117115.0,,2014年度,9327026,9810303,483277,2906196,5048063,5278798,-1880031.0,-638347,,-2679271,2906196,28507,-45825.0,8165091,-6187291,1977800,,8352,,,3477,,2397,,,2372602,0.0,9810303,-392663,6864,86756,,-629848.0,
2015-05-08,1,2015,,,-39000,-1077435,,-12004,994,-119070,164708,-58564,62396,-4673,,65,-46561,22735,,-52583,27.0,-75540.0,,0,4485.0,68383,,-38008.0,-5206.0,,-103407,-1044659,-90136,-572279.0,,-5781,971911,,899778,-5477,,-134371,78822,1073481,7873,39243,-22348,,0.0,170819.0,2015年01月01日至2015年03月31日,9810303,12479704,2669401,688401,1453331,1446993,0.0,1359066,,1350441,688401,3687,0.0,-2967924,3555697,587773,,3511,,,-195,,-599,,,758592,0.0,12479704,-3062,47195,14069,,,503317.0
2015-08-07,2,2015,,0.0,-157200,-764061,,31618,8760,1168873,127305,-90838,127382,-12343,,131,-85173,40398,,-94249,27.0,-75540.0,-324097.0,-36638,,111387,10176.0,,-12998.0,,-13698,-1416590,-47110,-1205398.0,,-113,732959,-19498.0,-1292883,-868561,25009.0,-551484,155911,939297,8528,78148,-37879,,12122.0,285075.0,2015年01月01日至2015年06月30日,9810303,9320225,-490078,1550728,-1206113,-879372,0.0,1303156,,1267519,1550728,7158,-12122.0,-2355237,-359938,-2715175,,4144,,,98,,-1783,,,-2430100,0.0,9320225,-386195,67176,26605,,,-157628.0
