date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,118246.0,,-86198,12485,-208,420.0,-2797,,,,-4305.0,,,-754,10321,11356,-25970,,0.0,-2493,,,54061,,44715,,,1499322,-1499233,360,-136576,,844,-30275,107110,,0.0,,4062,-10131,754,,2013年01月01日至2013年03月31日,561194,652816,91622,29848,29208,40352,,492535,-286306,81333,29848,-44128,-63614,-107742,-124985,0.0,,0.0,,,10504,652816,-1767,,,,,5152,
2013-08-13,2,2013,241149.0,,-61422,12860,-1523,2524.0,-2772,-97700.0,,,,7074.0,,-3188,23283,-31351,-55029,,0.0,-2524,,,27021,,22901,,,4888734,-4988614,-1342,-49402,,356,-145654,215478,,0.0,,8101,-20750,3188,,2013年01月01日至2013年06月30日,561194,535550,-25644,26727,194096,192289,,1159701,-945321,-42735,26727,-44158,-31429,-75587,-157235,1.0,,-1.0,,,165562,535550,19369,,,,0.0,-24788,
2013-11-11,3,2013,364866.0,-157767.0,-35819,-5591,-2192,2524.0,-6312,-157856.0,,,1924.0,,0.0,-4404,34797,-96952,-119642,,-2026.0,-2537,,,38091,,78692,,,7707973,-7757959,-1765,-134208,,2145,-277365,325319,0.0,0.0,,11814,-31109,4404,,2013年01月01日至2013年09月30日,561194,521492,-39702,-5806,268268,275188,,1505191,-1231091,66347,-5806,32604,-116476,-83872,0,235.0,,-123.0,,,280994,521492,19785,,,,0.0,-19437,
2014-03-11,4,2013,521940.0,-353291.0,-10878,25194,282,2525.0,-6687,-138780.0,,,,-2649.0,42737.0,-7863,42614,30930,-153108,,-2112.0,-1240,,,-38631,,81386,,,7080153,-7210000,1114,-286896,,5720,-296089,429785,,-24511.0,,15919,-44315,7863,,2013年01月01日至2013年12月31日,561194,390067,-171127,-454,200464,255931,-59138.0,1327874,-952030,-106432,-454,65217,-330772,-265555,60000,560.0,,-12.0,,,256385,390067,-19015,,,0.0,0.0,-14173,
2014-05-13,1,2014,127173.0,-1158967.0,-36202,8977,1578,0.0,-2801,-73967.0,,,,-4102.0,,-2099,12027,4334,-24287,,,899,,,13250,,-51892,,,2169260,-2099401,4667,91324,,943,-77865,111136,0.0,,964.0,4226,-10254,639,,2014年01月01日至2014年03月31日,390067,559929,169862,-10126,139539,148810,,448390,-454045,103854,-10126,-84650,116413,31763,1198617,,24491.0,,,,158936,559929,344,20.0,,,,1919,
2014-08-12,2,2014,249894.0,-1669096.0,-32051,7628,14650,0.0,-3946,-60605.0,,,,-871.0,0.0,-4235,23927,-510,-40727,-1000.0,0.0,744,,,26122,,-99081,,,3598719,-3518818,-3829,185078,,-1324,-77776,219610,0.0,,1428.0,8349,-17138,3004,,2014年01月01日至2014年06月30日,390067,507359,117292,-19157,262037,299036,0.0,774423,-949592,-66459,-19157,-124257,192556,68299,1697905,936.0,24491.0,51.0,,,318193,507359,-22865,20.0,,,0.0,-24948,
2014-11-12,3,2014,370203.0,-2739543.0,-5164,4743,11124,0.0,-6786,-10528.0,,,,7488.0,,-6208,35351,6730,-63857,-1000.0,0.0,746,,,-21256,,-70659,,,2678409,-2838433,-843,139522,,-4095,-39612,327198,,,1566.0,12472,-35798,4192,,2014年01月01日至2014年09月30日,390067,533503,143436,-32548,334040,382358,-59138.0,1342508,-1448034,-157722,-32548,-72328,117031,44703,2906509,3794.0,24491.0,-942.0,,,414906,533503,-16712,,20.0,,,-1883,
2015-03-18,4,2014,490476.0,-2907655.0,4359,-3103,613,0.0,-11101,89159.0,,24511.0,,12753.0,,-8385,46563,28766,-89567,-1000.0,0.0,1002,-2508.0,-2135.0,-30488,,-114593,,-9344.0,3268141,-3288197,-865,214253,,620,-379,433295,,,2381.0,16543,-48030,8061,,2014年度,396320,946949,550629,-35970,493655,549963,-59138.0,1862050,-1919663,28587,-35970,-130931,226388,95457,3075557,4301.0,,-923.0,,,585933,946949,-16339,,,,,20595,-13890.0
2015-05-12,1,2015,,-1070174.0,-48100,9674,1832,,-466,-75603.0,,,,13392.0,,-1535,11870,-8967,-61800,,,0,,,11629,,60097,,,449723,-499688,4868,-97544,-74.0,543,-123548,121104,,,115.0,4094,-10202,995,136090.0,2015年01月01日至2015年03月31日,946949,789796,-157153,-12125,53348,62588,,401879,-507801,-77986,-12125,18231,-79608,-61377,1148075,463.0,0.0,442.0,,,74713,789796,-33,0.0,,,,-3836,
2015-08-11,2,2015,,-1568682.0,-40941,15636,6852,,-2687,-23729.0,,,,22854.0,,-3367,23774,-14822,-101396,0.0,-1136.0,-280,,,31115,,63908,1069.0,1922.0,919542,-959485,1586,-233119,-14548.0,-1095,-86414,220205,,,288.0,8055,-22217,2533,248825.0,2015年01月01日至2015年06月30日,946949,795305,-151644,-5478,-4200,41496,,720660,-800217,-46208,-5478,31709,-233560,-201851,1641974,16993.0,0.0,150.0,,,46974,795305,-26012,0.0,,,,-31549,
