date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付設備款增加
2013-05-14,1,2013,1248721.0,13333.0,,-899913,-710,159507,,72650,-102276,0.0,-324535.0,,,-20721.0,-87026,,-7643,77596,112407,,0.0,,-29481,-128930,,,58644,54481,,-53325.0,1175.0,,-65258.0,-26976.0,-139766,-2706.0,25075.0,,-557158,1079253,-26410,-118433,,-37477,53819,-84487,7389,,,2013年01月01日至2013年03月31日,4287701,3690259,-597442,-540827,,520431,597529,,-933180.0,-673122,-540827,1388,,13753,-124118,-110365,1302595,5488,0.0,2159,,,,1441.0,-133.0,,1138356,-5976,3690259,0,21833,,-3320,0.0,,-8166
2013-08-13,2,2013,2351278.0,23583.0,,-2665489,-8675,290234,,28421,-11952,,-277569.0,0.0,-24843.0,,-88782,,-14787,144238,115051,,-18652.0,,-29667,-143139,,,57845,-305536,,-53325.0,,,-160836.0,134231.0,-490176,,6497.0,,-632892,2149155,-43925,-112546,,-96914,101706,-151129,17520,120000.0,,2013年01月01日至2013年06月30日,4287701,3072945,-1214756,-1115846,,693134,713443,,-306675.0,-1390049,-1115846,2247,,101490,-623479,-521989,1817466,10498,0.0,10137,63.0,,,,-799.0,,1829289,-8562,3072945,-6700,5220,3304.0,3653,0.0,,-119301
2013-11-13,3,2013,3390200.0,23583.0,,-3599056,-103513,-51730,0.0,-7807,-53315,,,1070242.0,,-26556.0,-98919,,-19502,208000,138416,-40562.0,-28652.0,,-29667,-157336,0.0,,-7679,-511258,,-53325.0,-37481.0,,-235824.0,,-54841,,53715.0,,653707,3156508,-54475,-196590,,-132442,147182,-214891,22056,120000.0,,2013年01月01日至2013年09月30日,4287701,3265108,-1022593,-1768026,,519256,601343,-1350712.0,,-2333972,-1768026,3355,,-206812,-814019,-1020831,2928357,19626,0.0,35251,15711.0,,,-3531.0,,,2369369,-3536,3265108,-9252,-10560,33158.0,3144,0.0,,-139859
2014-03-31,4,2013,5394755.0,40721.0,,-3651022,-109239,-113344,7250.0,-24693,-32957,,1871801.0,,,-43511.0,-87345,,-33029,265410,91212,-54056.0,-28652.0,-20496.0,-29667,-138874,0.0,,21408,13718,,-53325.0,-124432.0,,-220635.0,,228009,,55010.0,,1530987,4150649,-69254,-264442,,-42075,207682,-290298,35737,158600.0,,2013年01月01日至2013年12月31日,4287701,4148317,-139384,-3436472,,1425798,1537253,,-2313922.0,-3187381,-3436472,3950,-38600.0,-307024,-114006,-421030,3102925,21476,0.0,115091,,-6059.0,,16942.0,-15571.0,,4973725,20594,4148317,-15494,-14635,194127.0,-7891,678497.0,,-160203
2014-05-13,1,2014,1048074.0,1735.0,,-772948,-12188,-11405,,93884,-62930,,,331088.0,,-1521.0,-6201,,-4950,55575,37901,,,-421672.0,-6000,-8016,,,-6561,228931,,0.0,64012.0,,-10211.0,,-148880,,2559.0,,-142737,939365,-24095,-124242,,-25228,51621,-64139,4617,,,2014年01月01日至2014年03月31日,4148317,3825857,-322460,-507378,,477020,540338,,-507984.0,-694644,-507378,511,,115609,-115967,-358,486473,2111,,36461,-250.0,,,,-6127.0,,1047716,-6004,3825857,-3796,34796,9322.0,111547,,,-72243
2014-08-14,2,2014,2016939.0,17801.0,,-2107116,58374,10333,,-4375,1187,,119547.0,,-10945.0,,-11730,,-10898,113505,-29385,,0.0,-430999.0,-6000,-28694,,,-490,441137,,-140377.0,,14303.0,,-60127.0,396461,,9325.0,,-369405,1901753,-27265,-222275,,-124906,99079,-114089,10332,50.0,,2014年01月01日至2014年06月30日,4148317,4066952,-81365,-938378,,1568228,1679630,-41032.0,,-1250803,-938378,1023,-50.0,-35099,636168,601069,959967,2113,,61008,658.0,,,,-7841.0,,2618008,-1706,4066952,-7695,35784,9322.0,74397,,,-92451
2014-11-12,3,2014,2949215.0,26789.0,,-2158917,79040,-44130,,47847,13522,,,9813.0,5390.0,,-36828,,-15902,170433,39911,-11397.0,-5808.0,-454450.0,-6000,-53548,0.0,,7489,365971,,-568255.0,168822.0,,-24204.0,,-316160,,,-12965.0,-524309,2843648,-31092,-321753,0.0,-159234,142033,-182823,15547,,,2014年01月01日至2014年09月30日,4148317,4014997,-133320,-1326787,,1538943,1565679,,-22527.0,-1187865,-1326787,1449,-29584.0,258766,-315515,-56749,1507863,2718,0.0,82767,1997.0,0.0,,,-9958.0,,2892466,-5851,4014997,-9044,-12478,9322.0,72785,,,-78365
2015-03-27,4,2014,3993906.0,26857.0,3224.0,-3223160,47163,3995,,33801,57717,,-555958.0,,,-13502.0,-28499,,-34519,225695,163732,-19344.0,-5843.0,-68027.0,-6000,-58169,,,-8592,588877,-162559.0,-615179.0,75566.0,,-24186.0,,-86652,,6756.0,,-827561,3803746,-69917,-277468,,-147971,185417,-229572,33889,152523.0,,2014年度,4148317,4847874,699557,-1637870,0.0,2684981,2739188,-480958.0,,-1321595,-1637870,1639,-32523.0,89927,293225,383152,3086296,4509,,99725,11924.0,121110.0,,,-15498.0,,4377058,3314,4847874,-11047,-32852,31592.0,-50906,5848.0,,-178587
2015-05-11,1,2015,,0.0,,-1162894,-50945,-21471,,7430,-59250,,,176197.0,,-8877.0,-22090,,-6736,52818,-52686,-2167.0,,-14666.0,0,-26818,,,29547,-50933,,,,,-13.0,-162708.0,-122235,,14134.0,,90544,882061,-11057,-61576,,-17419,43428,-61053,7012,435.0,927745.0,2015年01月01日至2015年03月31日,4847874,4147006,-700868,-437529,,-89472,-34087,,-115010.0,-649254,-437529,202,-435.0,-222972,-301331,-524303,636401,2408,,23550,-1780.0,,,,-5043.0,,403442,-5692,4147006,-1779,-55334,0.0,1139,6436.0,,-45870
2015-08-11,2,2015,,10314.0,,-1684823,73924,-14196,,-83719,9256,,,276351.0,,-11526.0,-33854,,-14288,103052,-89325,-5216.0,-43837.0,-31981.0,0,-52874,,,49699,-320270,-50254.0,-299696.0,-183447.0,,59978.0,,268545,,20672.0,,119116,1725035,-18868,-381531,,-72784,91770,-108541,13949,122045.0,1767899.0,2015年01月01日至2015年06月30日,4847874,3914658,-933216,-753777,,344389,352427,,-68689.0,-1307396,-753777,292,-2045.0,-244171,-417524,-661695,794795,4714,60637.0,61903,-3973.0,,,,-39511.0,,1106204,-32061,3914658,-35491,-82739,0.0,-97435,13391.0,,-76787
