date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債增加（減少）,以成本衡量之金融負債減少,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售非流動資產,取得投資性不動產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,生物資產（增加）減少,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產證券化款項,金融資產重分類淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債增加,附買回票券及債券負債減少,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產,預收款項減少－處分資產
2013-05-08,1,2013,,126104.0,,,,,,,,,,,,,,,,,,,,,,425.0,50847,-40467,12344.0,,0.0,-33.0,,-5505.0,,,,-29887,,,,,874,,,-30440,1618,30646,,,-98240,,,,,,,,,-51901,-33868,,,,,2965,,,,,,,26062.0,54585,,,,,,-546880,,,,,,,,,,,554688,,,,,,,-1617.0,,-150828,98215,23318.0,-29583.0,,,,,,2385,36314,-1583.0,,28948.0,,2013年01月01日至2013年03月31日,2328192,2788328,,,460136,364124,,,,,535401,532071,,,,,,,43568.0,,44917,364124,5178,,-467493,509336,41843,,6694,,,,,-540,,,,,,,,,,,,,,,,167947,,,2788328,-25618.0,,12500,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2013-08-08,2,2013,,311471.0,,,,,,,,,,,,,,,,,,,,,,,141744,-135062,6067.0,,,,,,,,,-81273,,-476.0,-14628.0,0.0,2995,,,-64110,3333,55456,,,-197356,,,,,,,,,-51900,-7590,,,,85183.0,6393,,,,,,-4123.0,0.0,86218,,,,,,9300,,,,,,,,,,,-114567,70791.0,,,,,,-2900.0,,-266438,196955,16733.0,-23187.0,,,,,,4309,45772,-3606.0,,42514.0,,2013年01月01日至2013年06月30日,2328192,3010800,,,682608,780438,,,,,988804,1057807,,,,,,,,-97525.0,-95214,780438,10356,,167311,-201413,-34102,,9159,,,,,1678,,,,,,,,,,,,,,,,277369,,,3010800,-111517.0,,25000,,,,-3633.0,-4333.0,0.0,,,,,,,,,,,,,,,,,,,,
2013-11-08,3,2013,,441104.0,,,,,,,,,,,,,,,,,,,,,,,103193,4287,-7897.0,,,,,,,,,-71382,,-291.0,-16402.0,0.0,1853,,,-103320,4215,46367,,,-378481,,,,,,,,,-51900,-5230,,,,105978.0,62601,,,,,,,3964.0,214579,,,,,,-109182,-34.0,,,,,,0.0,,,,-130552,98336.0,,,,-407.0,-1474.0,-4771.0,,-438743,302802,17602.0,-1076.0,,,,,,9641,65488,-4211.0,,67668.0,,2013年01月01日至2013年09月30日,2328192,2599364,,,271172,1121571,,,,,1601274,1667341,,,,-772532.0,,,0.0,-223293.0,-937726,1121571,14968,,-1175,105841,104666,,9306,,,,,1679,,,,,,,,,,,,,,,,545770,,,2599364,-133735.0,,37800,,,,-86.0,-6470.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-03-13,4,2013,,523310.0,,,,,,,,,,,,,,,,,,,,,,73.0,143209,2364,,1678.0,,,,,,,,-56023,,144.0,,-2431.0,11721,,,-150753,7268,74175,,,-512226,,,,,,,,,-51900,-25495,,,,99168.0,82715,,,,,,0.0,1176.0,177259,,,,,,-177750,-71.0,,,,,,0.0,,,,183588,97406.0,,,,-398.0,-3794.0,-2703.0,,-580638,409224,158035.0,-133287.0,,,,,,5078,83542,-7283.0,,91646.0,,2013年01月01日至2013年12月31日,2328192,3409490,,,1081298,1522071,,,,,2361282,2431183,,,,-772532.0,,,-76565.0,,-773521,1522071,18414,,117546,268256,385802,,10165,,,,,1848,,,,,,,,,,,,,,,,909112,,,3409490,-161547.0,,37800,,,,-3174.0,-537.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-05-07,1,2014,,91789.0,,,,,,,,,,,,,,,,,,,,,,,-160744,-28362,-1275.0,-325.0,,,,,,,,-12224,92.0,0.0,-612.0,0.0,1696,,,-54176,3099,2696,,,-149349,,,,,,,,,-40078,-7732,,,,2857.0,23696,,,,,,-6751.0,0.0,-170344,,,,,,-349085,-43.0,,,,,,,,,,698007,-30702.0,,,,86.0,3375.0,-1669.0,,-195637,113410,,,,,,,,4283,13045,-3239.0,,59403.0,,2014年01月01日至2014年03月31日,3409490,3330346,,,-79144,256318,,,,,341575,300108,,,,,,,0.0,-248327.0,-227778,256318,345,,-521061,473062,-47999,,8885,,,,,-825,,,,,,,,,,,,,,,,43790,,,3330346,-17936.0,,8055,,,,-8245.0,13551.0,,,,,,,,,,,,,,,,,,,,,
2014-08-08,2,2014,,168039.0,,,,,,,,,,,,,,,,,,,,,,,-5851,-49256,-9581.0,-29.0,,,,,,,,970,,-440.0,-25343.0,,2427,,,-111297,7319,-19936,,,-255790,,,,,,,,,-40079,-10784,,,,2328.0,27773,,,,,,-33747.0,,-288457,,,,,,505907,-15.0,,,,,,,,,,-163807,-399377.0,,,,-13865.0,4531.0,-3202.0,,-354035,228998,0.0,0.0,,,,,,17083,25620,-7387.0,,104682.0,,2014年01月01日至2014年06月30日,3409490,3115784,,,-293706,659436,,,,,302120,413560,,,,,,,,-241801.0,-221855,659436,2522,,478649,-892564,-413915,,11708,,,,,-909,,,,,,,-6174.0,,,,,,,,,-245876,,,3115784,-216122.0,,122,,,,-8609.0,16726.0,,,,,,,,,,,,,,,,,,,,,
2014-11-11,3,2014,,237366.0,,,,,,,,,,,,,,,,,,,,,,,-6747,-7915,11719.0,-300.0,,,,,,,,-24193,,-218.0,-24503.0,,4298,,,-160222,11772,-786,,,-479527,,,,-80946.0,,,,,-47744,-17668,,,,-2683.0,52464,,,,,,-45977.0,0.0,-561695,,,,,,739325,105.0,,,,,,,,,,5099,-401870.0,,,,-1277.0,4531.0,-4975.0,,-576307,344558,0.0,0.0,,,,,,8913,36883,-11746.0,,152604.0,,2014年01月01日至2014年09月30日,3409490,2746913,,,-662577,1057086,,,,,878989,1053815,,,,-936454.0,,,12427.0,0.0,-964473,1057086,4614,,739572,-980209,-240637,,39112,,,,,-638,,,,,,,-6174.0,,,,,,,,,-3271,,,2746913,-327430.0,,-3955,,,,145.0,7411.0,,,,,,,,,,,,,,,,,,,,,
2015-02-26,4,2014,,324258.0,,,,,,,,,,,,,,,,,,,,,,0.0,24838,-43021,,-900.0,,,,,,,,-26655,,455.0,-23629.0,,-1213,,,-198745,15731,77419,,,-622010,,,,-80946.0,,,,,-47744,-19977,,,,-5577.0,76013,,,,,,-40057.0,0.0,-309972,,,,,,56362,27.0,,,,,,,,,,432845,-642548.0,,,,-5953.0,4531.0,-8009.0,,-714031,464239,0.0,0.0,,,,,,7832,46320,-15523.0,,201322.0,,2014年度,3409490,2665388,,,-744102,1387492,,,,,1005573,1201153,,,,-936454.0,,,-156608.0,,-1113063,1387492,6288,,70263,-580860,-510597,,39386,,,,,-488,,,,,,,-6174.0,,,,,,,,,-186339,,,2665388,-396902.0,,-3955,,,,-2955.0,10813.0,,,,,,,,,,,,,,,,,,,,,
2015-05-05,1,2015,,,,,,,,,,,,,,,,,,,,,,,,,-225138,35482,0.0,545.0,,,,,,,,11628,0.0,-16.0,-19462.0,,-293,,,-33720,4675,-15514,,,-130077,,,,,,,,,0,-711,,,,-196.0,32630,,,,,,-27596.0,,162789,,,,,,-679543,199.0,,,,,,,,,,638627,179689.0,,,,530.0,0.0,,,-177755,121960,,,,,,,,932,8178,-3889.0,,28392.0,102213.0,2015年01月01日至2015年03月31日,2665388,3340514,,,675126,155070,,,-2228.0,,376374,375448,,,,,,,463296.0,0.0,492021,155070,421,,-901043,1019208,118165,,91,,,,,256,,,,,,,,,,,,,,,,220378,,,3340514,-27466.0,,0,,,,5667.0,-10082.0,,,,,,,,,,,,,,,,,,,,,
2015-08-06,2,2015,,,,,,,,,,,,,,,,,,,,,,,,,-321182,29984,0.0,1113.0,,,,,,,,-24118,,-240.0,2742.0,,-370,,,-63456,6332,-38392,,,-220611,,,,,,,,,0,-3420,,,,6807.0,36379,,,,,,-28360.0,,367900,,,,,,-1034620,-12.0,,,,,,,,,,728345,331458.0,,,,2155.0,0.0,,,-49362,246840,,,,,,,,2779,15355,-5723.0,,68237.0,222347.0,2015年01月01日至2015年06月30日,2665388,3362060,,,696672,270569,,,-4364.0,200000.0,601855,565897,,,,,,,152155.0,0.0,182571,270569,7861,,-1351961,1424942,72981,,287,,,,,199,,,,,,,0.0,,,,,,,,,295328,,,3362060,-32279.0,,0,,,,8217.0,-11895.0,,,,,,,,,,,,,,,,,,,,,
