date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動負債增加,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加,預付設備款減少
2013-05-02,1,2013,46274.0,,,,57319,-615453,38451,14815,-787,,,,,1043,,-3917,13500,44674,-88250,,,,0.0,0.0,,,,10210.0,-367315,,1143133,-49317,-13688,310027,-44779,-10139,35063,120522,61837,-7294,22155,-8270,3424,,,2013年01月01日至2013年03月31日,2584386,3529774,-67488,945388,262624,802267,833002,,,63384,63384,262624,,,1175898,-651794,524104,11978,,,-475,,,107840.0,,570378,3529774,-25889,-41929,,0.0,10157,,-6715.0,
2013-08-06,2,2013,167355.0,,,,37974,23936,49703,32446,-1593,,,,-26487.0,741,,-106565,28035,-31747,-75046,,-8757.0,,0.0,-1228055.0,,-11192.0,,,-341834,0.0,268667,56710,-5322,108864,-239681,5213,-1299158,243169,744906,-15025,43371,-27753,106072,,,2013年01月01日至2013年06月30日,2584386,2799478,-56751,215092,475858,1257193,1383202,,,288804,288804,475858,,,407732,332257,739989,39187,,,20306,-11925.0,,,,907344,2799478,-204328,-26959,,19241.0,40909,,,
2013-11-07,3,2013,360519.0,960.0,,,128870,26900,-12571,30292,-2398,,,,-44384.0,1118,,-139562,41686,-26225,-179324,0.0,-8757.0,,0.0,-295374.0,,-11192.0,,,-261511,0.0,-257664,49124,3093,15003,-261709,508,-738586,364973,373092,-6235,66734,-41288,128786,31566.0,,2013年01月01日至2013年09月30日,2584386,2866237,5774,281851,555762,624757,747310,-742352.0,,1164257,421905,555762,,-31566.0,-89148,-79823,-168971,39352,,,20202,-11925.0,,,,191548,2866237,-210051,15758,0.0,19241.0,25513,-282625.0,,
2014-03-20,4,2013,321446.0,960.0,,,104148,-128706,86239,268826,-3181,,0.0,,-79485.0,1494,0.0,-204780,57799,-75052,-202024,-283147.0,-8757.0,,0.0,1146209.0,,-11192.0,,7512.0,289712,0.0,-851273,60239,3793,1726,-270399,14519,653620,487320,311985,-20296,88948,-57650,171666,32790.0,,2013年01月01日至2013年12月31日,2584386,4508456,-84208,1924070,631236,744275,840310,-742352.0,,1343579,601227,631236,,-32790.0,-596854,484482,-112372,41988,,,23422,-110.0,,,,209074,4508456,-210051,15573,0.0,16554.0,-16288,,-2426.0,
2014-05-06,1,2014,47241.0,,,,-63497,11767,-44667,15428,-771,,,,-9268.0,386,,-44306,16498,5913,-23441,,,,,,,,,-1284.0,-291421,,-31928,88352,-12213,382012,-193421,-10031,-1542767,119674,114180,-7934,21937,-15243,47178,,,2014年01月01日至2014年03月31日,4508456,3163319,-36256,-1345137,68146,110888,79177,,,80829,80829,68146,,,-63953,27743,-36210,1247,,,18907,-13.0,,-1510439.0,,11031,3163319,-224,-36847,,,-4805,,0.0,418.0
2014-11-03,3,2014,245976.0,0.0,-25293.0,,-110761,-15193,-43521,-157600,-2300,53182.0,,,-24122.0,1146,,-158573,49702,2982,-142801,,0.0,-95929.0,-59240.0,-888894.0,,0.0,,,-1028495,,1140278,271855,-1040,-1046751,-514065,-14137,-1211124,353113,151058,-20602,60267,-48256,164453,,,2014年01月01日至2014年09月30日,4508456,2344405,-62737,-2164051,106765,-960898,-1017931,-587689.0,,592678,4989,132058,13187.0,-33443.0,1256811,-2627483,-1370672,1850,,,3295,-170.0,,,,-1124696,2291223,-92607,59176,,0.0,-18385,-13000.0,,
2015-03-20,4,2014,552245.0,0.0,,,-152534,-65,-54924,-39526,-2532,,,,-47058.0,1538,,-194854,65789,179408,-271941,-13000.0,0.0,-101137.0,-59240.0,-717855.0,,0.0,,4661.0,-494191,-180129.0,417607,32627,-4174,-1154872,-38863,-13624,-1006262,471966,216390,-18479,77337,-31785,193767,33443.0,,2014年度,4508456,2011373,25246,-2497083,151041,-541063,-585395,-587689.0,,-361348,-1129166,151041,36076.0,-33443.0,238602,-1527283,-1288681,40078,124969.0,,39457,-255.0,,,,-736436,2011373,-117650,78073,,0.0,3794,,818.0,
2015-05-05,1,2015,,,,,-114452,17119,3510,31057,-747,,,,5650.0,393,,-21153,17260,-28672,-48041,,,,-27601.0,,,,,-8093.0,-558973,,386273,-11020,-423,363162,-113232,-8975,-158110,112948,419255,-7438,16266,-6269,18971,,129153.0,2015年01月01日至2015年03月31日,2011373,2819450,-3473,808077,57155,597889,598862,,,396970,396970,57155,21832.0,,263888,148666,412554,6028,,,-77,-3444.0,,,-85080.0,541707,2819450,-13675,-16891,,,12930,,0.0,-973.0
2015-08-06,2,2015,,,,,-136738,30682,-11450,17424,-747,,,,-16304.0,780,,-38925,35381,-21368,-93620,,,0.0,-27601.0,,-169320.0,13359.0,,,416758,,-317741,-32535,-1846,579012,-134110,-1334,-249440,215497,455425,-36655,32434,-18636,31806,11948.0,278990.0,2015年01月01日至2015年06月30日,2011373,1902167,-17271,-109206,76200,1201631,1217990,,,-1040029,-1040029,76200,42445.0,,-500310,1363110,862800,6086,,,338,-11422.0,39371.0,,,1141790,1902167,-29529,41055,,,1974,,,
2015-11-06,3,2015,,864.0,,-29600.0,-119226,17738,24101,58021,-2212,0.0,-91769.0,520.0,-25683.0,1173,,-57219,47435,2903,-156453,,,0.0,-27601.0,,579524.0,15359.0,,,162977,-28216.0,-114768,31727,-10398,184662,-136485,13244,439518,315298,456633,-23090,45899,-21947,43336,,388079.0,2015年01月01日至2015年09月30日,2011373,2644129,-59403,632756,253164,1222541,1207257,-61180.0,,-821961,-1032206,253164,57296.0,-25023.0,-188564,754578,566014,6531,,,8538,-17806.0,39371.0,,,954093,2644129,-31128,34270,,,45352,0.0,,
