date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付設備款增加
2013-05-13,1,2013,22064.0,-6782,-38340,4320,,,18077,-10954,,,,,-9185.0,,,-2033,337,7888,-32206,,-6859,-14611,,-2892,-1034,29515,2555,-6401.0,-48148,19726,,4036,-337,1954,,,2013年01月01日至2013年03月31日,537090,637336,,100246,143414,,147288,145713,,0.0,,-6782,143414,,-30590,10825,-19765,0.0,102,,,-2,,2299,637336,-42,
2013-08-12,2,2013,38664.0,-14673,2498,27322,823.0,,24692,-20806,,,,,-16856.0,,,-4109,640,36145,-91094,,-9876,-1979,,6764,-1202,-20335,-41354,-6979.0,-116666,39043,-5495.0,8074,-640,4165,,,2013年01月01日至2013年06月30日,537090,717863,163.0,180773,317333,,270549,324618,,5418.0,,-9255,317333,,25773,-57152,-31379,0.0,337,,,348,,7285,717863,-57594,
2013-11-11,3,2013,56102.0,-21341,28741,15335,3136.0,,-6469,-11984,,,,,-35936.0,,,-4069,918,17186,-142765,,-11772,-70783,,5926,-1222,-3267,-44932,-7550.0,-186500,57158,-11188.0,12082,-918,4125,,,2013年01月01日至2013年09月30日,537090,431974,470.0,-105116,480111,,351655,440008,-266116.0,0.0,,-287457,480111,,19426,-115631,-96205,0.0,837,,,731,,-40103,431974,-91560,
2014-03-21,4,2013,70099.0,-28855,54596,30326,2853.0,,89559,-14937,,,,,-2235.0,,,-6276,1164,-54257,-229256,,-12296,-108187,,18260,1426,-50990,-40663,-8090.0,-300915,75840,-16035.0,16029,-1164,5723,,,2013年01月01日至2013年12月31日,537090,494178,-929.0,-42912,673602,,607231,715001,-266116.0,,,-294971,673602,,155751,-184451,-28700,0.0,926,5118.0,-1829.0,2135,,41399,494178,-112329,-66025.0
2014-05-08,1,2014,19603.0,-6560,-55648,58632,-4227.0,,2028,4387,,,,,571.0,,,-1456,326,3286,-24542,,-4811,-13450,,5502,-2121,-32373,-24141,-535.0,-37702,21930,-4429.0,3213,-326,1103,,,2014年01月01日至2014年03月31日,494178,582676,272.0,88498,188880,,129474,150764,0.0,0.0,,-6560,188880,,-50774,-6945,-57719,0.0,745,0.0,0.0,-253,,-38116,582676,-22067,-5438.0
2014-08-08,2,2014,38314.0,-12918,-16674,54591,-5165.0,,2015,-10043,,,,,2286.0,,,-3391,615,-19575,-36161,,-5339,-5835,,-3128,1124,-75675,-22467,-1119.0,-62019,43006,-9787.0,7108,-615,3290,4414.0,,2014年01月01日至2014年06月30日,494178,681739,1016.0,187561,379205,,282073,340308,0.0,0.0,,-12918,379205,,-17782,-59429,-77211,0.0,974,0.0,0.0,-253,,-38897,681739,-65324,-18614.0
2014-11-10,3,2014,59985.0,-19973,-28677,63363,-11319.0,,6694,-4267,,,,,718.0,,,-3918,850,9517,-48264,,-5724,-68335,,-1492,1322,-68193,-43306,-1681.0,-97252,64283,-12286.0,10748,-850,4528,4414.0,,2014年01月01日至2014年09月30日,494178,347872,1016.0,-146306,556905,,377209,472318,-415807.0,,,-435780,556905,,-23834,-120738,-144572,0.0,1884,0.0,0.0,-708,,-84587,347872,-103201,-34547.0
2015-03-23,4,2014,89400.0,-26078,54681,43888,-508.0,,2219,-3221,,-65864.0,,,-37939.0,,,-5361,1238,42397,-109522,-28622.0,-6948,-135769,,-9483,-507,-133457,-39266,-2257.0,-203687,87237,-12077.0,14492,-1191,5611,4414.0,,2014年度,494178,351516,1558.0,-142662,709152,,460377,575380,-415807.0,,,-441749,709152,,44653,-267825,-223172,66000.0,2268,0.0,0.0,2313,,-133772,351516,-123837,-22416.0
2015-05-12,1,2015,,-6791,-77728,4326,-373.0,,2251,-18636,,,,,,17935.0,,-1652,669,-2693,-21242,,-4223,-60251,,37778,1916,41264,32161,,-24934,23637,-6077.0,3206,-669,1641,,19213.0,2015年01月01日至2015年03月31日,351516,414566,-870.0,63050,130160,-462.0,97468,111992,,,,-6791,130160,315.0,-36245,-1136,-37381,,15,,,-15,,-18168,414566,-15496,-17046.0
2015-08-08,2,2015,,-6818,-69053,5238,-1638.0,,0,30831,-222.0,,,,1668.0,,,-4059,1319,-14098,-41299,-13957.0,-11721,-98030,,27805,798,31827,22139,,-91568,47342,-10196.0,7609,-1319,3659,315.0,41866.0,2015年01月01日至2015年06月30日,351516,414430,-626.0,62914,281455,-1652.0,175398,273002,0.0,,,-6818,281455,,-42324,-7995,-50319,0.0,269,,,482,-5.0,-8453,414430,-100259,-24890.0
