date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-15,1,2013,115082.0,,-34884.0,-109180,-69582,-3327.0,35726.0,-160415.0,-14308,,1431,,,,3298.0,-292230,-34164,,-3713,17966,-1873,-42386,,,-15460,-2929,0.0,,,-826787,,-1791821,3221591,-57875,80139,,,18031,-15031,3559,,,2013年01月01日至2013年03月31日,1950416,3705982,1755566,-19272,68382,79953,,1780385,0.0,1746932,-19272,35165,,-1888434,1872577,-15857,,,,,,,99225,-8851.0,3705982,-99,,,4587,,,,
2013-08-12,2,2013,300269.0,,,-84143,-2263,,,,-6943,,-538208,0.0,,,0.0,-105922,-13297,,-9765,33026,18299,-99931,,,-20347,-558,0.0,0.0,13174.0,-39215,,-175179,352338,-107104,167679,,,37643,-34560,9418,,,2013年01月01日至2013年06月30日,1950416,2409557,459141,150,16026,41455,,1105012,,531920,150,45783,,-239691,-19273,-258964,-34884.0,0.0,,,,,41305,,2409557,-287,,,39758,,,-224211.0,26574.0
2013-11-13,3,2013,493340.0,,,207963,-57651,,,,-19823,,-723072,0.0,,,0.0,-221709,10851,,-20310,56288,7067,-99931,,,-28918,862,0.0,0.0,20442.0,-848010,,1990893,-720912,-108407,253047,,,57769,-57627,18781,,,2013年01月01日至2013年09月30日,1950416,4035042,2084626,177904,942315,981669,0.0,2001607,,1243651,177904,71192,,2266735,-1956310,310425,-34884.0,0.0,,,,,803765,,4035042,-508,,,63641,,,-108028.0,87702.0
2014-03-25,4,2013,697470.0,-88760.0,-34884.0,185607,-91894,,81755.0,-154299.0,-26007,,-739483,,0.0,0.0,,-231959,33180,,-34424,71508,5591,-184377,,,-30419,-2209,0.0,,24542.0,-821713,,346313,2127240,-128249,320863,,,77442,-71702,31062,,,2013年01月01日至2013年12月31日,1950416,3557528,1607112,219794,2290973,2332307,0.0,213164,0.0,-561203,308554,81584,,587668,827375,1415043,0.0,68158.0,-6153.0,,,64445.0,2112513,,3557528,-694,,,85081,,,,
2014-05-02,1,2014,154442.0,0.0,,-148816,33330,,,,1806,,-1307572,,,,0.0,-1182291,47122,,-20333,25205,-1601,-27973,,,-128,-526,,,-6781.0,124096,,-1161087,-762314,-34882,64776,,,4969,-14179,8437,,,2014年01月01日至2014年03月31日,3557528,2913721,-643807,95612,-3017964,-3001171,,3718212,,2410640,95612,5375,,-1180296,-2070929,-3251225,0.0,,,,,,-3096783,,2913721,-11051,,19049.0,8805,,,-283750.0,127801.0
2014-08-13,2,2014,390704.0,0.0,,-17482,-15978,,,,1690,,-1345702,,,,,76440,323485,,-40154,75197,-11774,-84508,,,-10795,-2866,,,-6482.0,65694,,-2998203,1552922,222940,129410,,,9884,-67413,33684,,,2014年01月01日至2014年06月30日,3557528,3382693,-174835,87663,-1013445,-939230,,1973146,,627444,87663,7445,,-2950341,1532744,-1417597,0.0,,,324725.0,-121738.0,,-1026893,,3382693,-40486,,,10041,,,-146334.0,63654.0
2014-11-07,3,2014,475981.0,0.0,,130185,-18926,,,,921,,748417,,,,,223698,324829,,-60014,96988,3356,-168795,,,-14545,-221,,,-31016.0,-1377239,-14022.0,-974409,-1119865,96347,193334,,,15183,-95838,63367,,,2014年01月01日至2014年09月30日,3557528,2816678,-740850,100428,-2886347,-2754539,,1272877,,2045794,100428,16434,,-765352,-2565596,-3330948,0.0,,,324725.0,-121738.0,,-2854967,,2816678,-99337,,,11186,24500.0,,-273264.0,77951.0
2015-03-25,4,2014,626245.0,0.0,,174422,-317039,,,,5079,,751948,,,,,141858,327806,,-68455,115769,43173,-287494,,,-15632,-1538,,,-33860.0,-147639,-14022.0,-2012689,523796,-8988,258959,,,20387,-114171,71318,,,2014年度,3557528,3889323,331795,247508,-1066978,-924788,,588140,,1364588,247508,23108,,-1635001,-163540,-1798541,0.0,17295.0,0.0,324725.0,-121738.0,0.0,-1172296,63095.0,3889323,-99337,,,71947,24500.0,,-364516.0,135092.0
2015-05-12,1,2015,,,,-172810,185224,,,,61,,7444,,,,,-20531,15386,,-5906,18312,28145,-84594,-98174.0,,-1864,-1254,,,2767.0,572334,,-2339012,1094050,-181865,61761,,,4799,-16652,4723,,97071.0,2015年01月01日至2015年03月31日,3889323,3952786,63463,-68852,-558975,-547005,,693557,,776158,-68852,3600,,-2535245,1960021,-575224,75157.0,,,,,,-478153,-24053.0,3952786,-41,,0.0,373,,,128944.0,569.0
2015-08-10,2,2015,,,,-739202,247708,,,,110,,9368,,,,,66656,18959,,-11019,32983,34382,-117486,-157239.0,-70000.0,-12485,-1154,,,-10908.0,395342,,-1906222,1562573,-389799,124460,,-48.0,9334,-33436,11560,,137105.0,2015年01月01日至2015年06月30日,3889323,2906398,-982925,-129329,-283529,-251614,,-925531,,-343979,-129329,-26562,-12000.0,-2622823,2363433,-259390,572184.0,,,0.0,0.0,,-122285,-35074.0,2906398,-10039,,,2152,,-21681.0,91154.0,57565.0
