date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付公司債匯率影響數,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-08,1,2013,143186.0,,,-71552,-12447,-9762,43357,14336,,,,-3450,-162,10104,919,,-51481,0.0,,0.0,-86,-52198.0,,0.0,4513,0.0,-263.0,0.0,-11243.0,15012,,0.0,9564,-49944.0,,28464,39357,3148,130.0,-44704,106334,,2758,2005,-10487,53,,,2013年01月01日至2013年03月31日,342297,391964,-3008,49667,-121229,,100449,110936,,,,228870,-129965.0,-6997,-121229,,,70000,18979,88979,15857.0,69515,736.0,,,2769.0,,,,-139.0,0.0,,,,232165,932,391964,0,,11627.0,,-2006.0,21199.0,-9358,-43112,,
2013-08-13,2,2013,153052.0,1746.0,,-232304,-13942,765,34724,-19872,,0.0,,1016,-3622,23534,-738,,-720416,0.0,,0.0,-2179,-55665.0,,,17679,,-263.0,-7826.0,,308422,,0.0,12923,-49944.0,,47592,-278848,-34890,497.0,-28552,221010,-6662.0,5042,5403,-20997,5973,,,2013年01月01日至2013年06月30日,342297,238392,-16649,-103905,-228953,,-79985,-45563,,,,240554,,5370,-228953,0.0,,76882,-46544,30338,47327.0,654810,93360.0,-287263.0,,2761.0,149.0,,,13965.0,1496.0,527.0,0.0,,183390,1750,238392,-13425,,176047.0,,146.0,54218.0,-60762,-22121,,
2013-11-12,3,2013,282053.0,1746.0,,-278677,-42298,-165429,37114,-51317,,0.0,,1165,-1572,30895,-641,,-692194,0.0,,0.0,-3773,-54294.0,,,31008,,-263.0,-7552.0,,354638,,0.0,206947,-49944.0,,36864,-289471,24504,479.0,52875,314553,-11684.0,9231,7202,-30553,1423,5115.0,,2013年01月01日至2013年09月30日,342297,311811,24979,-30486,-234191,,73927,119165,,,,748030,-636933.0,-156647,-234191,,-5115.0,230181,-158878,71303,61140.0,705984,94775.0,-287263.0,,-22733.0,149.0,,,14214.0,1496.0,527.0,0.0,,353356,2759,311811,-14685,,11627.0,154067.0,888.0,54218.0,-55838,-31803,,
2014-03-27,4,2013,1080551.0,1846.0,0.0,-360453,21626,-179476,100394,2111,,,,603,-3783,43285,4700,,-110901,0.0,-15892.0,0.0,-5324,-14252.0,,,50437,8.0,,-9179.0,,438233,,0.0,418670,0.0,-49944.0,52218,-493987,63543,-498.0,114756,403479,0.0,8693,9004,-43391,3683,5115.0,,2013年01月01日至2013年12月31日,342297,565707,-272,223410,-1014498,,435440,494294,,,,2263519,-2245756.0,-331486,-1014498,,-5115.0,592503,-164262,428241,61140.0,65377,185061.0,-287263.0,24308.0,-9283.0,149.0,,,120958.0,1496.0,527.0,,,1508792,93,565707,-15463,585.0,302900.0,,,466556.0,-20760,5314,-16731.0,0.0
2014-05-09,1,2014,62482.0,,,-7473,4134,7211,14375,-16172,,,,152,-220,9012,6264,,-11693,,,,-3657,-67057.0,,,-10986,1194.0,0.0,-1916.0,,-40199,,,-15826,0.0,,-17901,37641,5468,101.0,-76269,70218,,4835,2802,-8960,142,,,2014年01月01日至2014年03月31日,565707,573612,-3435,7905,85842,,136375,145475,,,,352976,-415328.0,-58465,85842,,,-14843,11994,-2849,10166.0,0,0.0,,,6049.0,,12335.0,-329.0,0.0,,,,,59633,274,573612,-140,-5244.0,0.0,,,0.0,-10372,18045,-4423.0,
2014-08-12,2,2014,140950.0,0.0,,-103974,-23526,20989,-26435,30171,,,,301,-785,17380,5439,,-49088,,-118587.0,,-4006,-117937.0,,,-13239,1194.0,0.0,-1047.0,,-71468,,,-129060,0.0,,-18321,180500,-3088,204.0,-194876,138588,,16310,3893,-17349,633,,,2014年01月01日至2014年06月30日,565707,483544,17876,-82163,180027,,279302,296955,,,,780552,-884686.0,-172028,180027,,-3373.0,-195712,171690,-24022,34886.0,153,0.0,0.0,84333.0,5923.0,0.0,12335.0,-329.0,2868.0,0.0,0.0,,,116928,1426,483544,-304,-5461.0,0.0,,,0.0,-39002,14586,-1665.0,
2014-11-06,3,2014,181925.0,0.0,,-115813,4922,-1450,-28689,29216,,,,450,-1128,25134,20578,,-59587,,-766059.0,,-4006,-60601.0,,,-20562,1194.0,0.0,-1126.0,,-81586,,,-185204,0.0,,-27170,107249,-783,306.0,-158023,206159,0.0,31848,5148,-25224,916,30899.0,,2014年01月01日至2014年09月30日,565707,629782,-32889,64075,264039,,309004,334690,,,,849500,-878141.0,-107484,264039,,-30899.0,-233290,122016,-111274,35776.0,381,0.0,0.0,703228.0,5926.0,0.0,12335.0,-329.0,0.0,0.0,0.0,,,70651,2545,629782,-462,27615.0,1603.0,,,0.0,-36151,69370,-14403.0,
2015-03-20,4,2014,246783.0,0.0,,-326242,33248,16368,-56614,-146507,,,,603,-2109,32172,38129,,-45448,,-771747.0,,-3312,-50048.0,,,-14954,1475.0,,-1399.0,,-55718,,,-392907,,0.0,-31596,355837,-2833,-404.0,-156097,272974,,50558,6006,-32431,1807,31339.0,,2014年度,565707,603966,-68684,38259,363869,,387765,420753,,,,1467126,-1409637.0,-231538,363869,1960.0,-31339.0,-445789,255890,-189899,35740.0,4081,0.0,0.0,714910.0,4154.0,0.0,12335.0,-329.0,0.0,0.0,0.0,,,56884,2484,603966,-557,27421.0,1964.0,,,0.0,-33614,88743,-48615.0,
2015-05-13,1,2015,,,,-811866,-16976,6530,39,17024,,,,155,-2487,6157,-5653,,-22898,,-72416.0,,-2227,,-3325.0,,-11330,0.0,-281.0,12087.0,,-533,,,39437,,,1547,2036,11794,,-42114,56135,,4058,1543,-6740,2419,,81901.0,2015年01月01日至2015年03月31日,603966,641821,40425,37855,86340,-238.0,218884,226232,460000.0,,295766.0,166321,-243202.0,-133262,86340,,,23172,34819,57991,0.0,33,,,48644.0,-24.0,,0.0,0.0,,,,,,139892,-637,641821,-608,-1419.0,,,,,-11312,-2032,-4431.0,
2015-08-11,2,2015,,,,-819464,-17225,13803,8602,13077,,,,310,-3155,11075,-6370,148.0,-36789,,-118190.0,,-5083,,-1671.0,,-11330,0.0,-281.0,14017.0,,29424,,,10471,,,3721,18007,9238,,-109837,106639,,4445,4486,-9611,3022,,128191.0,2015年01月01日至2015年06月30日,603966,761912,48667,157946,195485,-323.0,352834,400190,460000.0,,295018.0,339313,-353415.0,-78681,195485,,0.0,5184,71330,76514,0.0,780,,,51028.0,-354.0,,0.0,0.0,,,,,,204705,-62,761912,-37745,3280.0,,,,,-35872,-12219,-16951.0,
