date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,附買回票券及債券負債減少,非金融資產減損損失,預付設備款增加,預付設備款減少
2013-05-03,1,2013,15164.0,,-101172,16533,14027,389,-5473,,,,1163.0,,,-629.0,-383,4033,3540,-65639,,,-3742,,,0.0,-56820,-27087,0.0,,-20000.0,20222,-40397,0.0,31241,-11592.0,-43612,14316,,558,-3925,383,,,2013年01月01日至2013年03月31日,94512,149563,55051,41058,,-6640,-2735,299130.0,,,-124195,101763,41058,,,-1535,-57422,-58957,48000.0,,,,,-43793,149563,-363,-94.0,,1105,0.0,20864.0
2013-08-09,2,2013,36890.0,,-110344,16878,13306,-326,3863,,,,1163.0,,-14771.0,-1198.0,-1081,7774,8324,-92427,,,-1736,,,-14.0,-88709,-61014,,,-19928.0,70256,-40795,,15222,-12146.0,-74023,29151,,1790,-7678,1081,,,2013年01月01日至2013年06月30日,94512,161173,66661,81856,,-3869,35281,299130.0,,,-80629,136229,81856,,,13648,-97113,-83465,48000.0,272.0,,,,-46575,161173,-32553,0.0,,2190,0.0,31754.0
2013-11-08,3,2013,64959.0,-104.0,-77516,14055,966,2288,7575,,0.0,,1163.0,,,,-1987,12141,9276,-58615,,-17842.0,229,,,0.0,-116172,-49042,,,46.0,-81993,-14716,,6254,-12700.0,-74779,44143,,3142,-12729,1987,,,2013年01月01日至2013年09月30日,94512,144107,49595,134092,,-108733,-44434,299130.0,,,62645,223831,134092,,,-127392,-116093,-243485,72000.0,515.0,0.0,-271.0,0.0,-178526,144107,-53557,0.0,-132370.0,7562,,
2014-02-21,4,2013,89189.0,-104.0,-141387,17119,1823,-2609,9716,-94.0,,,1163.0,,,,-2848,16393,18368,-69550,,-18211.0,229,,,0.0,-92875,-15890,,,98.0,-83824,-12518,,-38855,-13255.0,-86081,59208,,4610,-16981,2848,,,2013年01月01日至2013年12月31日,94512,105832,11320,183819,,-28551,41746,299130.0,,,-37783,107584,183819,,,-98553,-132709,-231262,120000.0,517.0,0.0,-271.0,0.0,-142073,105832,-56164,0.0,-132370.0,11868,,
2014-05-09,1,2014,23314.0,,-15872,-23674,2656,2658,4430,,,,-46660.0,,,0.0,-907,3173,4559,-10044,,,445,,,-11.0,12736,-6151,,,0.0,-138,-35046,,48722,-587.0,-59485,15537,,1481,-3060,907,,,2014年01月01日至2014年03月31日,105832,65711,-40121,27387,,54058,56307,0.0,,,-23381,-39253,27387,,,-27892,33498,5606,0.0,,,,,28920,65711,-96,0.0,,3585,-2770.0,
2014-08-12,2,2014,44922.0,,-45077,-17476,-1554,2055,760,,,,-33250.0,0.0,,0.0,-1284,6511,-6762,-23228,,,1104,,,-16.0,8477,-27096,,,0.0,19894,-91173,,55323,-1174.0,-43122,30303,,2960,-6491,1284,13271.0,,2014年01月01日至2014年06月30日,105832,55342,-50490,65183,,46984,58141,0.0,,,-2513,-47590,65183,,,-23797,-28167,-51964,0.0,101.0,,1.0,,-7042,55342,-5950,,,5327,,
2014-11-06,3,2014,49523.0,0.0,-54282,-15962,-4045,3777,9569,,,,-14318.0,-2194.0,,,-1637,10073,5243,-24623,,0.0,1542,,-31.0,,-13427,23979,,,17.0,-10860,-91914,,37337,-1761.0,-23483,44791,,4232,-9968,1637,17492.0,,2014年01月01日至2014年09月30日,105832,76353,-29479,137809,,94400,124025,0.0,-105896.0,,-5478,-105639,137809,,-17492.0,-827,-62480,-63307,60000.0,191.0,,80.0,,-13784,76353,-21294,,,7934,,
2015-03-10,4,2014,75468.0,0.0,-63487,13456,-5863,2304,-3723,285.0,,-14952.0,0.0,,,,-2048,13726,29113,-26964,,-2194.0,1994,,-46.0,,43768,-103822,,40.0,,85803,-202852,,20966,-1782.0,-26473,59289,,5932,-13716,2048,17492.0,,2014年度,105832,137555,31723,227098,,120607,151106,0.0,-105896.0,17819.0,0,-91524,227098,,-17492.0,-3756,-147704,-151460,60000.0,191.0,,80.0,,-75992,137555,-18831,,,13987,,
2015-05-08,1,2015,,,-9206,-19907,2150,-1222,-8103,,,-68.0,,,,,-493,3471,-2471,-5643,,,5171,,-98.0,,-58286,112080,,,-11.0,-86081,20116,,37795,,-4836,14285,,1490,-3562,493,973.0,37132.0,2015年01月01日至2015年03月31日,137555,106421,-31134,76370,-569.0,106769,111475,,,,-121379,-130596,76370,,-973.0,4301,-6328,-2027,,,,,,35105,106421,-1637,-631.0,,14812,0.0,
2015-08-07,2,2015,,,-18411,-13656,253,-2041,-2190,,,-9803.0,,,,,-1257,6598,-5421,-7526,,,6109,,-81.0,,-14616,37698,,,,-97284,62017,,44015,,-6695,28650,,2976,-6750,1257,10711.0,53273.0,2015年01月01日至2015年06月30日,137555,145135,7580,170594,863.0,198632,238926,,,,-160525,-178936,170594,,-4805.0,-74420,89479,15059,,4.0,,27.0,,68332,145135,-34801,163.0,,14812,,
