date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,除列按攤銷後成本衡量金融資產淨損失（利益）,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,預付投資款增加
2013-05-10,1,2013,14808.0,,,,-29416,802,341.0,0.0,,,5178,3251.0,0.0,5423.0,,-832,549,16625,-10231,,-175979,,,0.0,,-406,,0.0,447,44231,,,-51840.0,-159633,4906,201426,84.0,81.0,43439,17294,,,-2075,4786,-576,1494,,,2013年01月01日至2013年03月31日,680203,817544,137341,6653,,75514,89461,,50352.0,0.0,1763,6653,,-184062,252062,68000,1100,0.0,222679,,-295,,,-4213.0,,82808,817544,-14865,,,,,0.0,,,
2013-08-13,2,2013,36944.0,13500.0,,,-40896,8221,,,0.0,,10637,17954.0,,,4135.0,-4258,1557,16270,-11901,,-284878,0.0,,,0.0,270,,0.0,318,74853,,,-51840.0,-205085,778,296431,247.0,-3346.0,-14873,34450,,,-9696,9475,-1501,4428,1231.0,,2013年01月01日至2013年06月30日,680203,881245,201042,5864,,183027,184648,,50504.0,,16618,5864,-1231.0,-248549,390389,141840,1100,0.0,232608,30245.0,419,,,5958.0,,178784,881245,-5779,,,,,,0.0,,
2013-11-11,3,2013,50338.0,13500.0,,,-41495,-27151,,,-9616.0,,6220,12883.0,,0.0,3763.0,-6299,2270,16421,-12071,,-243922,0.0,0.0,0.0,0.0,2872,,0.0,4179,172758,,,-51840.0,-135409,-976,37113,75.0,-2593.0,49443,50024,,,-6955,14153,-2319,6561,7213.0,,2013年01月01日至2013年09月30日,680203,1016924,336721,61099,,125220,119979,-142046.0,326640.0,,145637,61099,-7213.0,-180473,189015,8542,1781,0.0,261584,30245.0,396,,,1090.0,,58880,1016924,-6214,,0.0,,,,,,
2014-03-18,4,2013,77233.0,14774.0,,,-24932,22105,0.0,,,-9788.0,10828,33706.0,,,391.0,-10543,2588,13437,-22365,,-368675,0.0,,0.0,0.0,-298,2922.0,,7411,106546,,,-130573.0,-58811,-1240,202541,75.0,-32180.0,-19224,61892,,,-8464,19346,-2603,9566,7213.0,,2013年01月01日至2013年12月31日,680203,799135,118932,143539,,439407,445704,-142046.0,,-78697.0,-314688,143539,-7213.0,-117163,342095,224932,4081,0.0,321754,30245.0,236,2948.0,,-21666.0,,302165,799135,-20473,,18956.0,,,,0.0,22399.0,
2014-05-12,1,2014,42314.0,,,,-28905,-44994,0.0,,,38.0,8781,-6285.0,,,-93.0,-4508,857,10518,-2171,,-274160,,,,,79,,-2922.0,619,-21773,,,-35403.0,6896,6482,109564,-3.0,-16070.0,54185,10972,,,-3670,2495,-883,3018,,,2014年01月01日至2014年03月31日,799135,1315483,516348,34142,,100432,96434,,395823.0,,351213,34142,,-31597,51575,19978,1047,,328905,,673,,,-23203.0,,62292,1315483,1863,58619.0,,,,,,,
2014-08-11,2,2014,60492.0,0.0,1818.0,,-12889,-20230,,,,216.0,7354,-9185.0,,,2362.0,-11668,1581,-8782,-7379,,-296774,,,,,352,,-2322.0,549,22408,,,-35403.0,-147145,3304,204025,0.0,-15601.0,66592,20075,,,-6745,4936,-1576,11480,498.0,,2014年01月01日至2014年06月30日,799135,1378957,579822,70530,,176358,172248,,392564.0,,345654,70530,-498.0,-172331,213557,41226,5889,,359911,0.0,1350,,,,,101718,1378957,-6292,80238.0,,,-29129.0,,,,
2014-11-11,3,2014,49085.0,105.0,1818.0,,-985,-39474,,,-30.0,,2286,-1461.0,,,1416.0,-18520,2358,-5449,-19490,-30000.0,-346915,,,,,2363,,-2322.0,4649,62735,,,-35403.0,-74574,1554,-14950,0.0,-15117.0,4675,29028,,,-5920,6418,-2353,18332,7249.0,,2014年01月01日至2014年09月30日,799135,1136785,337650,185997,,171196,156557,-148387.0,354801.0,,167228,185997,-7249.0,-89122,10597,-78525,7000,,386122,0.0,923,,,39684.0,,-29440,1136785,-8589,,,,,,,,
2015-03-23,4,2014,50345.0,105.0,1818.0,,13624,-27698,,,-6666.0,,485,12119.0,,,-12626.0,-23537,3414,39479,-27107,-30000.0,-481291,,,,-47.0,6697,-2322.0,,12749,18011,,,-35403.0,-23780,1170,140890,0.0,-14631.0,-49176,38044,,,-8675,10468,-3447,22632,7251.0,,2014年度,799135,1286381,487246,280060,,443016,438476,-148387.0,,238853.0,53927,280060,-7251.0,-23617,131688,108071,7963,,485926,0.0,1693,0.0,,-101082.0,,158416,1286381,-21896,,0.0,130574.0,,,-10933.0,0.0,
2015-05-12,1,2015,,,,,-41969,45855,,,,6416.0,-29450,35134.0,,,9780.0,-6102,960,-43883,-1918,,-58219,,,,,8069,,-38.0,16977,37326,,,0.0,-145197,2854,172619,-12.0,,98544,9147,,,-1872,1226,-955,4522,,-9228.0,2015年01月01日至2015年03月31日,1286381,1536983,250602,51691,383.0,40838,84872,,159320.0,,155103,51691,,-183929,226338,42409,235,62897.0,62376,,9,,,-12460.0,,33181,1536983,-47601,-8205.0,,,,,-39313.0,,
2015-08-12,2,2015,,7605.0,2527.0,,27544,44264,,,,16454.0,-85040,,-88753.0,,2467.0,-12053,1877,-57567,-5331,,-114899,,,,,13988,,-38.0,19797,30575,,0.0,,-109273,-169,235697,-12.0,,147011,15636,,,-3501,1948,-1858,11317,747.0,-83933.0,2015年01月01日至2015年06月30日,1286381,1519493,233112,191394,-885.0,252956,250162,,-59427.0,,-109288,191394,-747.0,-82783,225484,142701,245,62897.0,104249,0.0,-1,51000.0,,-13471.0,,58768,1519493,-7412,-87609.0,,,,,38930.0,,
