date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,,53143.0,,,-90375,90230,500.0,8885.0,-2487,2269.0,,-4211.0,,,-2797.0,,,,-3600,7880,82224,-62764.0,-43548.0,,482.0,1384,922.0,,68.0,,-6000,,-2013.0,-250815,1570,698956,1334,-105226,45503,29504,,,5650,-9737,,3600,,,2013年01月01日至2013年03月31日,1981209,2150432,169223,-102130,,396818,415286,,-203502.0,-204593,-102130,,-341559,805832,464273,,7044.0,,3513,,,,-2746,,517416,-13093,2150432,-12331,-4441,,,,,-5705,
2013-08-12,2,2013,,102366.0,,-691.0,-121014,22270,,,-3222,2878.0,,-237529.0,,,,,0.0,,-14518,14770,7003,,-113621.0,,,9703,1309.0,,1136.0,,-224566,-2156.0,-1998.0,-27435,76377,1114851,-694,-343498,83500,24099,500.0,,18787,-9737,,14518,,,2013年01月01日至2013年06月30日,1981209,1883524,-97685,-249299,,673951,695324,-433761.0,,-435141,-249299,,-80779,923036,842257,,,,3561,,8172.0,,-7536,,944623,-11585,1883524,-26154,-5901,,0.0,,,-9702,
2013-11-12,3,2013,,132025.0,,-1212.0,-99595,21141,,,-2079,-7927.0,-3591.0,-202288.0,,,,,3640.0,,-23606,21850,19364,,-222665.0,,-482.0,7153,856.0,,,1011.0,-133613,-2156.0,-2013.0,-173320,33331,994912,-16935,-417866,101543,141963,500.0,,35558,-18396,,23606,,,2013年01月01日至2013年09月30日,1981209,1583307,-397902,-407116,,384633,413233,,-377616.0,-384033,-407116,,-302722,991046,688324,,8214.0,,2787,,,,-10896,,820349,-55211,1583307,-33810,-6004,,-4048.0,,,-10752,
2014-03-30,4,2013,,273690.0,,-1623.0,-150280,-51323,0.0,,685,-25680.0,-20366.0,-403319.0,,,,,59510.0,,-35996,27695,60687,-395117.0,,,-1656.0,24025,422.0,,31.0,,-40654,-2156.0,-2013.0,-247915,5228,886011,-4815,-737885,151455,103046,500.0,,19957,-27316,,34128,1257.0,,2013年01月01日至2013年12月31日,1981209,1422690,-558519,-635884,,12639,20328,91409.0,,106040,-635884,-1257.0,-476486,859008,382522,,13832.0,50000.0,17678,,,,-6460,,656212,-57839,1422690,-15758,-11390,28473.0,17845.0,,,-13576,
2014-05-12,1,2014,,26371.0,,-9917.0,-107513,-1999,,-12168.0,-162,-9144.0,-8248.0,,285600.0,,,,,,-8187,10509,13040,-60465.0,,,0.0,-966,,-131.0,-176.0,,-141696,,0.0,-91653,-1476,408359,6818,254282,31348,-172130,0.0,,4647,-11255,,6319,,,2014年01月01日至2014年03月31日,1422690,1153245,-269445,-88208,,-204591,-194303,,-322128.0,-332176,-88208,,-238725,106259,-132466,,29323.0,,-11791,,,,948,,-106095,-16771,1153245,-5352,-137,,,,,15317,
2014-08-08,2,2014,,63649.0,,-9917.0,-105498,-17890,,474.0,-896,-33595.0,-17673.0,347633.0,,,,,-9.0,,-12483,15959,-11057,-62767.0,,,,-311,-1183.0,,2906.0,,-54556,0.0,0.0,107031,8908,160930,-979,317222,63323,-231647,0.0,,8960,-16872,,9594,,,2014年01月01日至2014年06月30日,1422690,795404,-627286,-124951,,-297358,-288715,-531586.0,,-636093,-124951,,-70916,-156497,-227413,,29450.0,,-12928,,,,888,,-163764,-48236,795404,-1365,250,,-93407.0,,,6214,
2014-11-12,3,2014,16.0,107940.0,,-9917.0,-94972,17314,,28209.0,-23187,-29067.0,-10512.0,499340.0,,,,,,,-17236,22839,-9335,-70633.0,,,-588.0,-339,-738.0,,,5372.0,-17502,0.0,0.0,115063,2463,117858,-1219,462631,92273,-159621,0.0,,17152,-23925,117.0,16027,,,2014年01月01日至2014年09月30日,1422690,950390,-472300,-130558,,-165034,-177705,-649446.0,,-760562,-130558,-117.0,-45921,-109166,-155087,,29321.0,,-7948,,,,-621,,-47147,-67617,950390,20452,1921,,-100461.0,,,-32297,-181.0
2015-03-26,4,2014,342.0,176940.0,0.0,-9917.0,-90978,71873,,-1071.0,-1218,-34043.0,-11539.0,453541.0,,,,,,,-12456,20049,38185,-119609.0,,0.0,-779.0,944,3013.0,,,4403.0,67892,0.0,0.0,462067,-1608,-282243,3414,381454,124266,-91037,0.0,,24121,-21344,,13040,117.0,,2014年度,1422690,891197,-531493,-313952,,-157559,-156900,-689712.0,,-793573,-313952,-117.0,233863,-253751,-19888,,30050.0,0.0,-7163,13848.0,,,-789,5256.0,157052,-100504,891197,7528,1006,21481.0,-96957.0,,,-10893,
2015-05-12,1,2015,0.0,,0.0,0.0,-47570,11957,,33956.0,-914,-4546.0,0.0,,20299.0,,,,,0.0,-2694,6682,37065,-57542.0,,0.0,0.0,-2834,1657.0,0.0,,-156.0,-125693,0.0,0.0,-346144,-5408,562581,-1465,-594345,30775,10919,0.0,82.0,3391,-6355,,2808,0.0,36906.0,2015年01月01日至2015年03月31日,891197,704174,-187023,-66220,,50847,56493,317753.0,0.0,319410,-66220,0.0,-372440,458247,85807,,460.0,0.0,62,0.0,,,-85,0.0,122713,-2728,704174,-2099,1527,0.0,0.0,,-557406.0,862,
2015-08-12,2,2015,132.0,,,0.0,-25532,16974,,17814.0,-595,-9821.0,0.0,,3445.0,,,,0.0,,-6497,15322,10929,-82509.0,,,-60.0,-1606,4575.0,0.0,,-983.0,-118794,,,-185527,18341,301909,590,-424392,60570,81431,,547.0,6751,-15455,,5942,2400.0,75519.0,2015年01月01日至2015年06月30日,891197,720517,-170680,-117554,,55062,66340,189508.0,0.0,187721,-117554,-2400.0,-185466,293841,108375,,387.0,,177,,,,-85,,183894,-741,720517,-4165,2608,,-6362.0,,-344672.0,12326,
2015-11-12,3,2015,1638.0,,,0.0,-13877,13489,,19948.0,-7349,-11920.0,0.0,,7451.0,,,,0.0,,-10605,24573,33215,-173930.0,,,-60.0,-2976,7424.0,,,-12942.0,22500,,,-423419,4415,526959,-3422,-178304,90174,44946,,1114.0,10103,-17216,,9207,2486.0,116552.0,2015年01月01日至2015年09月30日,891197,612726,-278471,-251018,,1396,-7228,430861.0,,-134778,-251018,-2486.0,-424397,551635,127238,,1177.0,,2668,,,,-85,,243790,456,612726,14147,2434,,-573063.0,,0.0,-45488,
2016-03-25,4,2015,2385.0,,,0.0,-1647,77201,,19568.0,-1408,,,,37308.0,-12809.0,0.0,578.0,,,-16647,35160,20722,-227694.0,,,-138.0,181,3696.0,,-7214.0,0.0,151060,,,-656165,9551,602064,-14085,-195954,118403,88512,,4202.0,13353,-33970,,15935,2487.0,178791.0,2015年度,891197,861842,-29355,-421788,50196.0,50196,52485,486444.0,0.0,95681,-421788,-2487.0,-640731,936213,295482,196318.0,1206.0,,5135,0.0,,,113,0.0,474273,-12038,861842,13259,3506,15487.0,-577968.0,0.0,,32869,
2016-05-13,1,2016,,,0.0,,-21245,-58412,,8439.0,-17898,-16019.0,,,-5071.0,,,,,,-1624,11157,-3166,-76022.0,,,,-245,,-8010.0,,8940.0,-34881,,,105510,1696,80225,4899,-71852,29765,0,,36.0,3215,-11776,,3613,,44010.0,2016年01月01日至2016年03月31日,861842,444563,-417279,-35142,,34966,24492,-437334.0,,-377227,-35142,,84067,-68443,15624,68117.0,301.0,,1152,,,,0,,59634,5686,444563,18637,554,,,,0.0,-42376,
2016-08-12,2,2016,0.0,,,-20275.0,-55864,-28906,,3858.0,-17596,-21471.0,,,-5021.0,,,,,,-3612,22149,3514,-102650.0,,,-272.0,42,-9219.0,,-3078.0,,51096,,,160069,-3754,-58418,5889,-110553,56555,0,,190.0,6399,-22986,,5603,0.0,83504.0,2016年01月01日至2016年06月30日,861842,291015,-570827,-105952,,-8441,6427,-465872.0,,-455347,-105952,0.0,84651,-55776,28875,39579.0,1030.0,,1804,,,,0,,112379,1813,291015,2515,-23,,440.0,,0.0,-7841,-562.0
2016-11-08,3,2016,0.0,,,-77986.0,-43094,-104724,,457013.0,-5952,-20130.0,,,-56019.0,,,,,,-3245,27979,-16775,-104537.0,,,-220.0,13,-10102.0,,-11666.0,,73618,,,-63561,-4698,113553,9206,-1822,91614,25218,,-324.0,9552,-28913,,5234,1920.0,-6708.0,2016年01月01日至2016年09月30日,861842,748880,-112962,-69035,,316795,331256,-480934.0,,-411160,-69035,-1920.0,328661,78338,406999,157423.0,170620.0,,7192,,,-137539.0,5001,,400291,3131,748880,7298,-5031,,439.0,,0.0,-32581,
