date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-08,1,2013,48016,,,-375,-11247,10751,,,216417,-64710,-608,,,,,,,,-611,6102,17712,-9384,-21249,0,-211,14811,545,,,-2034,,-12760,,-6541,-19421,,258701,68531,1782,217678,-955,-305174,-56577,,-188068,26611,,,2976,2804,-6386,599,,,2013年01月01日至2013年03月31日,1373506,1352486,-21020,20117,11678,17922,,,-8520,137658,20117,0,,507614,-557825,-50211,150000,6,,11749,284,3992,-5047,,-2195,1352486,-457,-533,,-3992,619,,-346078,-170937,
2013-08-09,2,2013,125683.0,,,-150771,64522,-18546,,,-6498,4286,-1176,-10238.0,,0.0,,-1013.0,,,-833,10533,38409,-192663,-21249.0,0.0,-496,42982,545.0,,,603.0,,-99707,,64349,-12407,,-10619.0,211217,8625.0,280782,-4299,-420498,32864,,-209039,53917,0.0,,4629,5139,-10735,833,,,2013年01月01日至2013年06月30日,1373506,1786049,412543,46150,369246,426391,,,218145,213927,46150,0.0,,920701,-666143,254558,150000.0,276,0.0,11749.0,536,3992.0,-5047,,380241,1786049,-47243,704,12500.0,-3992.0,623.0,,-441025,,602688.0
2013-11-06,3,2013,163577.0,,,-151163,58821,12589,,,-118189,-16711,-704,-55005.0,,,0.0,0.0,,,-1334,16074,29126,-197541,-30262.0,0.0,-36392,49306,545.0,,,827.0,,-123713,,50623,-13818,,-124252.0,98257,18517.0,148438,-2072,-706545,61161,,-305201,81445,0.0,,6988,9793,-16222,1297,6313.0,,2013年01月01日至2013年09月30日,1373506,1173080,-200426,106851,-423019,-351355,-164578.0,,667856,498668,106851,0.0,-6313.0,763538,-1385321,-621783,150000.0,1423,0.0,11749.0,306,,-5047,,-458206,1173080,-63052,-764,12500.0,-3992.0,623.0,,-758468,,794283.0
2014-03-07,4,2013,216507.0,2640.0,11749.0,-151558,129644,-2054,,0.0,5955,32842,-1056,-5747.0,,-2.0,,,,,-2332,24203,39918,-209384,-31042.0,0.0,-39105,53566,7904.0,,,-16186.0,,-311651,,96837,-11071,,-125499.0,143428,2621.0,-71336,655,-472787,-55503,,-301659,109209,0.0,,14698,15319,-21616,2283,6446.0,,2013年01月01日至2013年12月31日,1373506,1332551,-40955,280219,-229894,-159109,-164578.0,,612906,450680,280219,0.0,-6446.0,254529,-910364,-655835,150000.0,1440,0.0,,540,,-5047,,-439328,1332551,-57898,-821,12995.0,-3992.0,623.0,-16024.0,-30530,,13670.0
2014-05-09,1,2014,46146.0,,,-401,-118416,-2404,,,-10228,-24503,-343,-20790.0,,,,,,,-712,9023,8228,-4654,0.0,,-61,1447,208.0,,,-4212.0,,275147,,-504268,2689,142879.0,,-66142,-189.0,7696,-28547,-249170,78900,,-24181,28401,6781.0,,5622,4984,-9677,700,,,2014年01月01日至2014年03月31日,1332551,1032228,-300323,141847,-383760,-374308,,,99583,99390,141847,0.0,,-594573,32272,-562301,0.0,33,,5503.0,182,,-1742,,-516155,1032228,-475,-1059,0.0,0.0,0.0,,-31628,0.0,-40555.0
2014-08-12,2,2014,116897.0,,,-808,-80187,2785,,,30415,-54745,-679,-34267.0,,,,,,,-1512,16710,-16705,-10316,0.0,,-2037,30949,208.0,12.0,,,14658.0,363934,,-346931,2914,61002.0,,-113502,-3673.0,290487,-6929,-497062,132200,-30277.0,-26164,56022,5945.0,,6587,10001,-17154,1487,368.0,,2014年01月01日至2014年06月30日,1332551,1293532,-39019,187438,-6464,53734,,,10902,10314,187438,,-368.0,-387429,136828,-250601,0.0,295,,5503.0,493,,-1742,,-133704,1293532,-44899,-243,0.0,0.0,0.0,0.0,-69510,,63212.0
2014-10-26,3,2014,141475.0,,,-808,-88711,7658,-18980.0,,51833,-68123,-1008,-49676.0,,,,,,,-2112,22929,6847,-30552,0.0,-4915.0,-14113,21092,208.0,,,11134.0,,116344,1045.0,113403,-1188,136053.0,,-27822,4618.0,15507,-23983,-773041,137679,,-98543,82536,5107.0,,8379,15909,-23201,2075,7652.0,,2014年01月01日至2014年09月30日,1332551,995108,-337443,289441,-205280,-120873,-181562.0,,141240,-40467,289441,0.0,-7652.0,268539,-820328,-551789,0.0,2011,,5503.0,445,,4012,,-410314,995108,-70933,-4063,0.0,455.0,0.0,,-237476,0.0,81361.0
2015-02-26,4,2014,206421.0,497.0,,-807,-18782,-7095,,,-6958,-28270,-1526,-22558.0,,,,,,,-3145,30258,53139,-42146,0.0,-4915.0,-15247,18089,208.0,,-86.0,-5273.0,,29985,1045.0,896054,12858,230072.0,,229330,,-564024,-8626,-824619,214010,,-80321,108487,4727.0,,14780,21527,-31343,2980,7652.0,,2014年度,1332551,1628171,295620,468185,567715,663980,-181562.0,,-63121,-244913,468185,,-7652.0,1395632,-1406258,-10626,0.0,2773,,5503.0,653,,4012,,195795,1628171,-75554,-3822,23234.0,455.0,0.0,0.0,-222346,,54584.0
2015-04-29,1,2015,,,,-393,-116143,-8815,,,5598,-19248,-607,34980.0,,,,,,,-1474,7537,-20307,-4664,,,0,40617,0.0,,,-4415.0,,-235488,-10694.0,-723082,-11877,110159.0,,-77334,,367058,-4291,179230,-52384,,-29785,25946,0.0,,-199,5642,-7523,1547,,77022.0,2015年01月01日至2015年03月31日,1628171,1358155,-270016,22392,-431588,-424508,,,212057,211664,22392,,,-670958,147036,-523922,,232,,0.0,9,,-349,,-446900,1358155,-1104,-707,,,,-45224.0,-79026,,142328.0
2015-08-03,2,2015,,5160.0,,-804,-33294,6778,,,-2012,-19460,-906,0.0,38396.0,,,-44886.0,,,-2730,15448,-40851,-14157,-6640.0,,-2088,36051,0.0,0.0,,-3353.0,,-318134,-10694.0,-503030,-2742,-3286.0,,9692,,-84142,-66582,69927,-124384,322.0,-47943,52614,3034.0,,-939,11541,-15237,2804,398.0,110346.0,2015年01月01日至2015年06月30日,1628171,1167087,-461084,124615,-955592,-863921,,,584106,583302,124615,,-398.0,-664360,-434522,-1098882,,245,74.0,0.0,226,,420,,-988536,1167087,-79636,-1887,,,,-10000.0,98119,,-128782.0
