date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加－處分資產
2013-05-06,1,2013,,93859.0,,-58731,,-12814.0,-12038,,12728,-16669,0.0,-4576,0.0,,,-16553,1695,-67283.0,-215,2674,574,-115158,-5000,0,-1167,-11496.0,,-13172,,-57963,,0.0,5113,-2658,85508,-9312,-21568.0,-245134,85185,1138,8656,-2690,,241.0,,2013年01月01日至2013年03月31日,691829,630710,,-61119,216803,,,204080,206965,,280000,-294000,-20639,216803,,-120421,16724,-103697,10000,5735,,,-5274,,,,-9838,630710,-436,,,0.0,-13017,-35379,0.0
2013-08-12,2,2013,,124173.0,-10000.0,44469,,-8416.0,-3749,,91,-8754,-3.0,-3968,0.0,,,-22206,3302,-67283.0,-914,5139,-2394,-148192,-5000,295,-1715,-11090.0,,-14175,,-130627,,0.0,4119,-6378,44976,-41011,-48716.0,-224372,159716,2681,19194,-5175,956.0,,,2013年01月01日至2013年06月30日,691829,670563,,-21266,526232,,,372009,475213,,349000,-499000,-166509,526232,,-130667,-44525,-175192,10000,93909,,,-64165,3150.0,-1075.0,,-51019,670563,-98985,,,0.0,-17844,-67660,
2013-11-06,3,2013,,214852.0,-1630000.0,78395,,-10557.0,129981,,27613,-3017,5.0,-3959,0.0,,,-25605,5005,-103899.0,-1163,7959,-233,-235224,-5000,295,-1859,-13418.0,,-11148,,-137631,,0.0,734,-10112,-23497,49144,-80132.0,-411237,241124,-151,30520,-8017,1223.0,13291.0,,2013年01月01日至2013年09月30日,691829,825085,,133256,845200,,,926195,1097931,-531941.0,716000,-723000,-381469,845200,-13291.0,-111016,148895,37879,1810000,99595,,,-54371,400.0,-1075.0,,252731,825085,-164942,,,0.0,11391,-141377,
2014-03-24,4,2013,,365285.0,-2610000.0,139295,,0.0,138283,-8773.0,49998,-6210,-1.0,-4597,,,,-41681,7007,-104249.0,-1712,10779,-16693,-238296,-5000,1298,-1989,,-11474.0,-11934,,-66659,,0.0,-4706,-13862,-35532,48752,-106135.0,-573662,322264,328,42797,-10866,1725.0,,,2013年01月01日至2013年12月31日,691829,965885,,274056,1122480,,,1477203,1653408,-531941.0,1213000,-1248000,-612792,1122480,,11792,153851,165643,2580000,105873,11348.0,341.0,-56533,400.0,-3463.0,42179.0,530928,965885,-167064,0.0,,0.0,25089,-281810,
2014-05-12,1,2014,,97138.0,-420000.0,-157137,,0.0,8309,,-17306,1186,-2.0,-173,,,,-371,2787,-34249.0,-72,2493,0,-144350,0,25,-266,636.0,,-3810,,67096,,,2542,-3762,69044,53843,-16772.0,-249567,79113,158,12692,-2493,95.0,,,2014年01月01日至2014年03月31日,965885,932063,1226.0,-33822,256044,,,322773,325177,,330000,-353000,-107028,256044,,-121579,93574,-28005,340000,4,,,-2,-13965.0,,-1282.0,69133,932063,-6,,,0.0,-34825,-57272,0.0
2014-08-14,2,2014,,194953.0,-670000.0,-51746,,0.0,12721,,4516,1974,5581.0,0,0.0,,,-16884,5786,-34250.0,-721,4466,0,-180237,0,254,-266,504.0,,-2451,,-34485,,,2653,-7540,6818,16687,-35596.0,-354259,159993,-354,26095,-4466,747.0,,,2014年01月01日至2014年06月30日,965885,827865,-13.0,-138020,557399,,,514045,645232,,602000,-722000,-297806,557399,,-109077,1957,-107120,500000,674,,,-494,-13201.0,-59.0,,87833,827865,-127468,,,,-33792,-110865,
2014-11-06,3,2014,,286215.0,-820593.0,-48296,,0.0,12410,,27287,463,9701.0,0,0.0,,,-29967,8784,-34250.0,-775,6988,896,-284780,0,1499,-16,-1260.0,,-7407,-91801.0,54624,,,2207,-11333,-40688,-1882,-52419.0,-701880,243379,-1015,40050,-6988,872.0,6573.0,,2014年01月01日至2014年09月30日,965885,658585,1707.0,-307300,907164,,912686.0,912686,1130062,-677015.0,2358000,-2178000,-519002,907164,-13659.0,-6896,-56421,-63317,814365,1025,,,-684,-13201.0,-59.0,,222898,658585,-211260,,-4410.0,,-19317,-254219,
2015-03-12,4,2014,77.0,386613.0,-1101872.0,136285,,,-873,0.0,-45082,5440,-1.0,0,0.0,,,-43592,11782,-34250.0,-1499,9690,1781,-357073,0,2668,6184,8639.0,,1356,-91800.0,75093,,,879,-15140,-66729,173,-69230.0,-907175,329463,-1537,58196,-9773,1784.0,13659.0,,2014年度,965885,749353,5086.0,-216532,1220176,,,1411111,1642944,-677015.0,4192000,-4220000,-722249,1220176,-13659.0,97944,-61789,36155,1098004,69435,0.0,0.0,-13595,-13201.0,-59.0,0.0,422768,749353,-223844,,-4410.0,,-1156,-458992,
2015-05-13,1,2015,27.0,,-191465.0,-243755,,,12587,,59467,-3020,0.0,0,,,,-832,2998,0.0,-63,2619,-1171,-32532,-5000,254,-6270,-4180.0,,-1374,,-161307,,,4179,-325471,50292,44618,,-121156,86745,141,14847,-2575,238.0,,107570.0,2015年01月01日至2015年03月31日,749353,704468,,-44885,321853,-17110.0,,107753,110111,,210000,-121000,-30311,321853,,-358526,39214,-319312,403895,0,,,2,0.0,,0.0,-211742,704468,-21,,,,-63889,-78612,
2015-08-13,2,2015,55.0,,-753060.0,-149143,0.0,-26200.0,12894,,46658,-10599,0.0,567,0.0,,,-6215,5996,0.0,-682,5026,2396,-64235,-5000,1303,-6070,-5635.0,0.0,-9747,-110124.0,-154580,0.0,,4988,-325471,12487,13635,,97409,181542,80,31386,-4881,993.0,0.0,-22944.0,2015年01月01日至2015年06月30日,767452,918416,0.0,150964,920029,-40220.0,,361941,572688,,430000,-306000,-310782,920029,-1350.0,-292297,-32100,-324397,793895,412320,,,-246300,0.0,,0.0,-347341,918416,-206859,,-117876.0,,-51337,-123702,
