date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產減少,其他項目,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加,預收款項增加－處分資產
2013-05-08,1,2013,25313.0,-34910,-3044,0.0,447,-4871,-1899,,-14721,-3512,13220,-29923,,-265111,,,,-281570.0,,3414.0,,0.0,,0.0,60442,-124284,-17340,43753,-9547,-573.0,13749,35418,,,3512,,2013年01月01日至2013年03月31日,566535,603268,2277,36733,86046,,9764,19533,,0.0,86046,-176660,84834,-91826,505,232098,,1218,1219,298839.0,,-66513,,603268,-13281,,,,,,,-6959,65870.0
2013-08-07,2,2013,34032.0,-17536,-15907,0.0,2595,-6257,-2267,,-29787,-8453,16511,-71892,,-430562,-207953.0,,,-637147.0,,3414.0,,0.0,-1616.0,0.0,58044,-66696,-14189,63688,-65137,-1145.0,2446,72040,0.0,,8453,,2013年01月01日至2013年06月30日,566535,719656,-5495,153121,198152,,134164,167377,,0.0,198152,-96971,32164,-64807,565,429046,79980.0,1544,513,760264.0,,-30775,,719656,-41666,256.0,,,0.0,,,-24287,106048.0
2013-11-06,3,2013,57440.0,-20803,2719,0.0,-94,-4123,247,,-44880,-14571,7227,-126729,,-716059,-528766.0,,,-1332719.0,,3414.0,,0.0,-1723.0,1644.0,62316,-174300,-26448,96180,-26806,-1959.0,-53140,109157,0.0,,14571,,2013年01月01日至2013年09月30日,566535,593813,-973,27278,325803,,232669,290172,-159478.0,-159478.0,325803,-223604,130533,-93071,565,777655,460093.0,2133,-1628,1320213.0,,-35631,0.0,593813,-72074,517.0,,,4271.0,,,-25383,118069.0
2014-03-26,4,2013,-37967.0,-13283,-3595,131911.0,112,-4642,14673,,-170511,-21090,9047,-177939,,-1067052,-824253.0,,,-1842886.0,,3414.0,,0.0,-1723.0,1744.0,66669,-139037,-32846,102163,-31978,-2808.0,-202319,147819,0.0,,22467,,2013年01月01日至2013年12月31日,566535,602309,-7262,35774,531455,,390697,448206,-159478.0,-161651.0,531455,-188572,143290,-45282,1375,1035431,811422.0,1884,-4652,1742082.0,,-83249,-710.0,602309,-79976,866.0,2499.0,-2173.0,9066.0,,,-12431,
2014-05-07,1,2014,27342.0,-25905,-7301,,-3084,5730,-8259,,-15390,-8290,-354,-27598,,-112576,-130544.0,,,-409628.0,,0.0,,-50.0,,,3484,-47505,-2727,46743,43622,-739.0,48305,38289,,,10860,,2014年01月01日至2014年03月31日,602309,747744,-7406,145435,95918,,97534,127319,,-50.0,95918,-79960,84019,4059,628,166550,97678.0,285,-1430,469326.0,,31401,,747744,-40645,-24.0,,,21308.0,,,-5531,0.0
2014-08-06,2,2014,33978.0,-14703,1995,,-7799,7785,-12168,7354.0,-30473,-20213,-16260,-66017,,-215049,-405412.0,,,-853516.0,,1842.0,,,-300.0,,-22515,-9395,7803,70389,-26676,-1414.0,51596,75828,,,20731,,2014年01月01日至2014年06月30日,602309,791565,3692,189256,182523,,153920,209803,,,182523,-25508,18810,-6698,1855,279813,400904.0,1071,-7009,936543.0,,27280,,791565,-76614,-21.0,,,9261.0,,,-34579,0.0
2014-11-12,3,2014,43416.0,-9683,-546,,-10464,5963,-10846,7335.0,-43606,-29314,3066,-106117,,-324204,-489690.0,,,-1461473.0,,3265.0,29.0,,-300.0,0.0,-29490,-30548,974,49367,11533,-2190.0,-92120,114051,,,29158,,2014年01月01日至2014年09月30日,602309,622211,1132,19902,287801,,222840,305287,-113913.0,-113884.0,287801,-51911,25981,-25930,7055,445285,501735.0,1664,-12790,1370591.0,,17486,,622211,-111605,579.0,,,8435.0,,,-42337,0.0
2015-03-25,4,2014,42054.0,-15262,23533,0.0,-15392,-26547,9873,7380.0,-61164,-37900,30640,-119365,,-397008,-551881.0,,,-2081705.0,,3260.0,,,-300.0,0.0,-49264,58596,1765,-38315,30722,-2917.0,-188812,154241,,,37954,,2014年度,602309,632517,-8225,30208,364660,,302293,384890,-113913.0,-113913.0,364660,28174,-49998,-21824,5165,519237,524883.0,4946,-15191,1952095.0,,20230,1384.0,632517,-120551,368.0,0.0,0.0,1719.0,,-3043.0,-44270,
2015-05-05,1,2015,,-26282,1082,,-18655,-18992,-4938,,-15689,-9115,-12498,-36408,,-121659,-18883.0,,,,-432109.0,,,0.0,,,-12261,-77274,-13216,120044,20263,,19485,41212,,,10315,31244.0,2015年01月01日至2015年03月31日,1117387,1144998,12233,27611,22120,-787.0,20624,22045,,0.0,22120,-136517,105198,-31319,1732,88326,32463.0,944,-1904,,514896.0,-75,-303.0,1144998,-11736,7097.0,,,,-3534.0,-3151.0,-5722,
2015-08-12,2,2015,,-12460,-348,,-19057,-10422,-722,0.0,-31130,-19357,-28861,-75253,,-258232,-112038.0,,,,-777188.0,0.0,,,-7.0,,-51296,-51205,-13148,175139,-20401,,45533,82149,,,21077,34063.0,2015年01月01日至2015年06月30日,1117387,1240123,2470,122736,110130,-1601.0,108207,139021,,-2143.0,110130,-97122,91950,-5172,2232,249672,109402.0,2346,-13057,,939557.0,28891,349.0,1240123,-51891,7136.0,,-2143.0,3506.0,,-20033.0,-12579,
