date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,,69961.0,,,-520,-45070,-1673.0,,-2971,-963,,,,26.0,,-1530.0,,773.0,105,-1144,1956,19395,-24660,,,,-972,-70924.0,,1378,,,,,,-86478.0,42673,,5011,,12692,-21.0,-88466,31421,,7969,,2982,-987,1144,,2013年01月01日至2013年03月31日,1014347,990938,-2429,-23409,124792,,,108353,123078,,,,,,-60641,-62691,124792,1087.0,-5389,-66286,-71675,0.0,7291.0,,314,,,,,-1714,,990938,-14882,26505,,7786.0,,-2844,
2013-08-12,2,2013,0.0,114744.0,0.0,,-381,7665,6282.0,,-4187,-2556,0.0,,,81.0,,493.0,,918.0,256,-3255,3454,43043,-57269,,,-2866.0,-1719,-119366.0,,1629,,,,,,-149947.0,168281,,-275902,-5378.0,6357,-42.0,-169003,63218,,7950,-192.0,5990,-2083,3255,,2013年01月01日至2013年06月30日,1014347,984943,12041,-29404,345518,,,157473,190288,,,,0.0,,-61029,-60917,345518,1400.0,171717,-441691,-269974,,11218.0,,1451,,,1605.0,,-155230,,984943,-33987,32893,,-5746.0,,-28497,
2013-11-13,3,2013,0.0,145998.0,0.0,,-1389,56936,6110.0,,166,-979,0.0,,,107.0,,-999.0,-13509.0,,408,-4921,4364,34177,-110832,-49343.0,,-2866.0,-5745,-120685.0,,1629,53003.0,,,,,-196695.0,178565,,-315926,-4040.0,14139,-63.0,-270264,95280,,7887,-426.0,9085,-2927,4921,,2013年01月01日至2013年09月30日,1014347,861768,31553,-152579,550627,,,333833,441081,,,-270855.0,0.0,,-30085,-250325,550627,2940.0,235604,-491148,-255544,,13476.0,19133.0,2292,-14921.0,,1605.0,,-109546,,861768,-109242,16648,,462.0,,-1644,
2014-03-13,4,2013,0.0,133725.0,0.0,,-84447,102481,518.0,,-1169,-41,0.0,,-16377.0,0.0,,-1115.0,,,483,-6925,5235,105139,-151299,-49343.0,,-2866.0,-26294,-159053.0,,2106,75684.0,,,-3867.0,779.0,-132883.0,120139,,-462947,-2646.0,7841,728.0,-393639,128563,,17784,-438.0,12394,-3798,6925,,2013年01月01日至2013年12月31日,1014347,878970,-13322,-135377,720567,,,374504,515835,,,-270855.0,0.0,,-22705,-221381,720567,3923.0,222179,-560636,-338457,82057.0,15288.0,21433.0,4707,-15505.0,,1599.0,,-204732,,878970,-144458,4698,,6207.0,,11738,-22040.0
2014-05-08,1,2014,434,78234,,,-1021,-110987,,3964,5907,-98,,,,0,422,0,,,110,-2246,1064,-851,-14809,,,,-3425,-78069,,1138,1809,,,-247,3222,,-135475,23,220860,-149,-4618,4,-104971,34182,,8575,-3,4054,-1037,2246,,2014年01月01日至2014年03月31日,878970,984658,-3319,105688,128196,,,149793,168952,,-4482,,,60507,0,61717,128196,552,-240528,203050,-37478,,0,,2873,,,,,40756,,984658,-20368,39397,,0,-2,-21002,-11643
2014-08-12,2,2014,735.0,141505.0,0.0,,-1021,-69716,7872.0,,-3347,-98,0.0,,-4517.0,0.0,1042.0,,,,219,-5186,2888,-32603,-339442,,,0.0,-5470,-141747.0,,2418,5617.0,,,-513.0,3500.0,-125871.0,55489,123.0,196535,-2991.0,-1657,4.0,-510189,68702,,10529,240.0,8167,-2844,5186,,2014年01月01日至2014年06月30日,878970,1206881,10460,327911,357587,,,487304,537781,,,,0.0,156861.0,0,383399,357587,2017.0,-17447,56136,38689,220900.0,207.0,,3141,,74.0,3.0,,180194,,1206881,-52819,42679,,5022.0,0.0,-28183,-22281.0
2014-11-13,3,2014,735.0,155200.0,,,-4253,-9579,697.0,,1457,-98,,-5923.0,-4517.0,4499.0,,,,,328,-9030,6618,-29367,-413497,0.0,,0.0,-8468,-125428.0,,1633,6353.0,1197.0,0.0,-2484.0,3682.0,-189440.0,88880,140.0,91576,-859.0,2673,8.0,-562024,105994,-846.0,12130,544.0,12366,-5422,9030,,2014年01月01日至2014年09月30日,878970,1257489,-9711,378519,598374,,,618282,702269,280500.0,,-398984.0,200000.0,51838.0,0,351628,598374,5310.0,80060,-131365,-51305,220900.0,2114.0,0.0,3745,0.0,74.0,3.0,,103895,,1257489,-87595,35267,,1398.0,,-48044,-17999.0
2015-03-13,4,2014,735.0,213978.0,,,-9988,15293,11371.0,,23822,3,0.0,-5923.0,0.0,,,0.0,,,392,-13831,11084,-23395,-449917,-90895.0,,0.0,-10565,-135670.0,,4300,25915.0,1736.0,,-2113.0,3738.0,-344422.0,108293,108.0,145817,-3675.0,9422,192.0,-722741,145205,-1265.0,11755,184.0,16804,-8149,13831,,2014年度,878970,1200453,-5038,321483,817383,,,775758,942012,280500.0,,-398984.0,200000.0,,-26107,291861,817383,5384.0,146443,-235792,-89349,224712.0,2583.0,0.0,4609,0.0,74.0,3.0,,124629,,1200453,-171936,24442,,19705.0,,-66063,-39976.0
2015-05-06,1,2015,0.0,,,,-3397,-63882,-17627.0,,-23430,-1,,,-15408.0,,,,,,80,-5017,3610,-86832,-35469,,,,-693,,-17054.0,511,6162.0,0.0,-1014.0,-923.0,411.0,-29803.0,-127724,707.0,-9746,3115.0,3622,,-102284,40683,-524.0,2660,208.0,4577,-1835,5017,49073.0,2015年01月01日至2015年03月31日,1200453,1068602,4915,-131851,228436,7.0,,-7497,17491,,,,,63061.0,-50,64762,228436,0.0,-214846,-45172,-260018,,,,4193,,,,,-210945,,1068602,-28170,-6163,3153.0,,-1677.0,2608,-33148.0
2015-08-14,2,2015,0.0,,,,-6720,-38219,-5614.0,,-23431,-1,,,-17141.0,0.0,-1070.0,,-9252.0,,159,-9494,7624,-89048,-108639,,,0.0,-990,,-232.0,511,8827.0,,,-2314.0,1379.0,-92785.0,25404,8588.0,-143516,2084.0,3197,,-192470,82103,-524.0,6766,84.0,9073,-4057,9494,123635.0,2015年01月01日至2015年06月30日,1200453,1083577,22660,-116876,436035,19.0,,162276,257929,,,,,63061.0,-61732,2366,436035,0.0,-28163,-273578,-301741,0.0,3558.0,,5450,,0.0,0.0,,-178106,,1083577,-101090,-2044,9321.0,0.0,-1812.0,-43709,-58839.0
