date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-06,1,2013,63312.0,,,0.0,-182322,671279,-3705,0.0,,,,-25132,,,,-1500,30035,58026,-6133,,,,,8350,0.0,80574,-619433,-1118093,,102780,-1022.0,49309,11420,1299,13708,-32058.0,,1500,,,2013年01月01日至2013年03月31日,1612808,1431592,-181216,356332,,-952293,-893213,,,,527742,,663742,356332,,,-1305142,-7715,-1312857,136000.0,,0.0,0.0,0.0,0.0,-1249545,1431592,-28522,,,,,,-162341
2013-08-08,2,2013,86312.0,14771.0,,0.0,-80263,1438205,9716,13848.0,,,,11497,,,,-3210,59766,37681,-35842,,,,,20234,0.0,-2604,-1010598,-427256,,-906840,-3010.0,48405,25639,3914,19331,,-60581.0,3210,0.0,,2013年01月01日至2013年06月30日,1612808,1760087,147279,788033,,-391580,-129756,,,,296854,,452773,788033,,0.0,-500813,-503288,-1004101,156800.0,,,46735.0,47.0,-39409.0,-917789,1760087,-204453,,,-881.0,,,-24055
2013-11-08,3,2013,134284.0,29386.0,,-8620.0,8572,2020198,23293,,17853.0,,,0,16038.0,-8997.0,,-4047,91455,27276,-57332,0.0,,0.0,,28154,0.0,-34084,-375343,-505363,159980.0,-2431257,-4968.0,18711,37432,5920,24203,-89176.0,,4047,421.0,,2013年01月01日至2013年09月30日,1612808,1619282,6474,1235303,,-325829,86529,,-708886.0,,844723,,286316,1235303,,-421.0,-478466,-804592,-1283058,,,0.0,46850.0,91.0,-39506.0,-1148774,1619282,-327650,,,-881.0,,,-18190
2014-03-17,4,2013,204818.0,29386.0,0.0,,112607,-284497,30068,,17785.0,1001.0,,0,18502.0,-8983.0,,-5004,123714,38572,-74825,0.0,,0.0,-17437.0,44911,0.0,-37894,-257137,39487,,-773423,-7581.0,-17631,50826,6459,32312,-118977.0,,5004,421.0,,2013年01月01日至2013年12月31日,1612808,1779370,166562,1640433,,211316,673792,,-708886.0,,807914,,-65695,1640433,,-421.0,174581,-1346040,-1171459,-161400.0,75.0,0.0,46777.0,449.0,-39445.0,-966641,1779370,-348924,,0.0,-4324.0,,0.0,-30983
2014-05-05,1,2014,61718.0,,,-612135.0,-228260,-1410322,4440,,,412.0,,-572,5805.0,,,-727,38709,18717,-15058,,,,-16617.0,-535,,-15153,123002,1252519,,-1195732,-1112.0,-41595,14620,4042,5609,-36916.0,,727,,,2014年01月01日至2014年03月31日,1779370,1564618,-214752,406658,,-1072850,-1025937,,,,1492699,,880976,406658,,,1027587,-2521900,-1494313,0.0,,,,,,-1432595,1564618,-10724,,,,,,-38848
2014-08-05,2,2014,53383.0,8150.0,,-1284095.0,-142106,1600631,-37962,,0.0,373.0,,-2083,2106.0,-8150.0,-60256.0,-2131,82018,4581,-25622,0.0,,-108670.0,-16998.0,861,0.0,-15153,-1526866,2861600,0.0,-3828891,-3209.0,-107786,29329,14494,11941,-79537.0,,2131,2264.0,,2014年01月01日至2014年06月30日,1779370,2045493,266123,1001772,,-300990,-48289,,,,1954136,,670318,1001772,,-2264.0,2678323,-3781767,-1103444,0.0,,0.0,116740.0,0.0,-106465.0,-1050061,2045493,-177559,,,-96.0,33750.0,-6000.0,-26641
2014-11-05,3,2014,61973.0,36443.0,,-645150.0,-61660,-46795,-48019,,0.0,650.0,,-33605,0.0,-19538.0,-30128.0,-2988,122268,26393,-36112,,-6375.0,-108670.0,-18498.0,1913,0.0,-15153,-2431435,4466410,0.0,-6099329,-5241.0,965,43744,20450,17152,-117618.0,,2988,3720.0,,2014年01月01日至2014年09月30日,1779370,1710028,-69342,1666386,,-2902308,-2527631,,-843913.0,,4294171,,2805608,1666386,,-3720.0,4351490,-8607480,-4255990,,23.0,0.0,219040.0,0.0,-201117.0,-4194017,1710028,-263767,,,-150.0,83809.0,-6000.0,-29921
2015-03-20,4,2014,93738.0,36652.0,,-870060.0,21273,-2624862,40268,0.0,-15855.0,0.0,-4113.0,-42903,0.0,-30695.0,-30128.0,-4283,174516,64814,-55664,-16000.0,-6375.0,-108670.0,-20619.0,14360,,-33311,-2219949,722254,,-1534762,-8309.0,79162,58734,35667,24243,-166367.0,,4283,3733.0,,2014年度,1779370,1551837,-227533,2245362,,-3821636,-3388860,,-843913.0,,5168363,,3450127,2245362,,-3733.0,775486,-6503446,-5727960,,23.0,,372012.0,0.0,-345380.0,-5634222,1551837,-274425,,,-150.0,170309.0,,-123873
2015-04-28,1,2015,,,,-674150.0,-302580,3655444,29641,-12000.0,,0.0,-97.0,-1158,0.0,,,-858,46110,-22050,-4955,-37835.0,,,-7080.0,4403,,0,-1002170,3026962,,-6149713,,22325,16167,18545,6469,-44711.0,,858,,30699.0,2015年01月01日至2015年03月31日,1551837,1404658,-147179,571512,-2195.0,-132355,-81571,1995000.0,,,0,-1335808.0,-15099,571512,21028.0,,2751828,-3435610,-683782,,,,85353.0,1073.0,-82238.0,-653083,1404658,-6931,,,-44.0,,,60829
2015-08-10,2,2015,,0.0,,-1261219.0,-162251,4669307,18552,,3855.0,0.0,-119.0,-38707,0.0,0.0,0.0,-2204,92722,-31345,-13478,-37835.0,,0.0,-7080.0,10270,,0,-1152633,3035540,,-9008331,,66408,32198,54260,12346,-89222.0,,2204,8421.0,55538.0,2015年01月01日至2015年06月30日,1551837,1777491,225654,1166203,-4241.0,-1548929,-1281814,1995000.0,,,1005902,,1739520,1166203,21028.0,-11240.0,2887600,-5391155,-2503555,,,,159653.0,1188.0,-155030.0,-2448017,1777491,-188518,,,-44.0,0.0,0.0,100502
