date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得待出售非流動資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存貨（增加）減少,應付帳款增加（減少）,應付款項增加,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少
2013-05-10,1,2013,495895.0,-698256,857049,,,96324,-145231,-88,60733,106816,,0.0,-1039,57059,14975,-28483,,,,,-53880.0,,111320,634196,,399101.0,0.0,1724,-773199,25269,-8.0,375612,548455,,861,-55814,755,,2013年01月01日至2013年03月31日,1554398,2193889,639491,-671731,,586123,585435,,5095195,-5221816,-337219,-671731,14405,1408901,-647630,761271,144371,,360357.0,134,,,-115111.0,97618.0,,1257166,438,2193889,-67,0.0,0.0,,-8869,0.0,-214072
2013-08-12,2,2013,1032392.0,-1495271,743919,,,289463,-181854,-13992,13412,262355,,,-2480,134543,28458,-37034,,,-111782.0,,-126066.0,,-86061,1237584,,399187.0,0.0,-57965,-877448,98828,-9.0,297835,1098685,14799.0,1713,-134476,2519,,2013年01月01日至2013年06月30日,1554398,2315739,761341,-1288824,,1050403,1022963,450000.0,10311243,-10290409,-615355,-1288824,26509,1755855,-476460,1279395,144371,,360357.0,134,,,-115111.0,212360.0,,2311787,768,2315739,24921,0.0,0.0,,-126400,0.0,-149605
2013-11-12,3,2013,1684849.0,-2393146,850284,,,247892,-222603,-947,-47820,572347,,,-3524,207618,13714,-67793,,,-109723.0,-371.0,-491825.0,,30548,1665695,,598696.0,0.0,-56718,-443011,74055,0.0,-90386,1678406,8940.0,2530,-206640,3448,,2013年01月01日至2013年09月30日,1584833,1854757,269924,-1721537,,2268367,2247264,450000.0,14958566,-15473826,-1921771,-1721537,33247,2190880,93072,2283952,144370,,360357.0,174,,,-115111.0,218969.0,,3968801,2042,1854757,17655,0.0,209.0,,-127431,0.0,-387812
2014-03-27,4,2013,2527374.0,-3284419,561958,,,330752,-314829,-3868,-67762,772361,,0.0,-4991,275491,9834,-133002,,-109784.0,0.0,-1411.0,-390435.0,,270431,1918161,,548442.0,0.0,-57965,-644146,57537,168.0,-200055,2238533,10672.0,3344,-280477,5140,,2013年01月01日至2013年12月31日,1584833,983742,-601091,-2361923,,2553343,2540243,450000.0,21531076,-22107635,-2964213,-2361923,27704,2042486,332306,2374792,178591,0.0,360357.0,258,,,-115111.0,74220.0,,4902166,2755,983742,7960,0.0,209.0,219265.0,-127791,0.0,-450761
2014-05-12,1,2014,457112.0,-286122,-307988,,,-7296,-60530,-586,-25733,178871,,,-326,54742,-2566,-62181,,,,-49.0,-20675.0,,-54962,-472298,,903598.0,-1352261.0,3742,271948,-12868,62.0,324251,403683,,886,-54856,317,,2014年01月01日至2014年03月31日,983742,1624878,641136,-116384,,-364847,-345646,950060.0,3915179,-4142674,684298,-116384,8729,-861791,175417,-686374,751374,,0.0,0,121730.0,-10602.0,0.0,285426.0,,-229262,954,1624878,-19518,,0.0,,0,0.0,-199690
2014-08-12,2,2014,919823.0,-861815,-175761,,,23014,-98885,-3711,-49430,175961,,,-1798,111922,-3075,-78553,138457.0,,0.0,-992.0,-58494.0,,-917987,-180387,,1204515.0,-1752957.0,2495,-135779,10165,110.0,323182,809462,1804.0,1758,-110386,1787,,2014年01月01日至2014年06月30日,983742,912064,-71678,-356048,,-1080431,-1048740,950060.0,8622342,-8949937,688646,-356048,7436,-499729,-1112786,-1612515,1448367,,0.0,0,121730.0,-10602.0,0.0,339491.0,,-692692,2129,912064,-33478,,0.0,,-159,0.0,-264449
2014-11-12,3,2014,1425280.0,-1131758,22459,,,-118193,-130279,-6606,-29526,133285,,,-2450,186004,-8628,-105407,138457.0,,0.0,-2627.0,-146613.0,,-1026269,-23933,,1204515.0,-1752957.0,22102,-540896,21285,236.0,231825,1219594,7273.0,2771,-181251,2289,,2014年01月01日至2014年09月30日,983742,835415,-148327,-1012276,,-1544677,-1514974,950060.0,12178806,-11734462,1173153,-1012276,23680,-135380,-1792598,-1927978,1501743,2.0,0.0,-1,121730.0,-10602.0,0.0,364740.0,,-502698,3561,835415,-31992,,0.0,,-989,,-255204
2015-03-26,4,2014,2227348.0,-1400065,5385,,,885,-164486,-3381,-13566,422071,,,-3048,277106,31589,-112221,138457.0,0.0,0.0,-4922.0,-212180.0,,-667008,87154,,1197043.0,-1745485.0,23527,-793871,22291,709.0,200820,1619314,6992.0,3839,-274707,2857,,2014年度,983742,757189,-226553,-2085746,,-1378991,-1375841,950060.0,15549229,-15092603,920029,-2085746,23025,-56637,-1460806,-1517443,1598100,3.0,0.0,0,121730.0,-10602.0,0.0,408410.0,,709905,4640,757189,-6007,-2639.0,0.0,314350.0,-989,0.0,-441793
2015-05-12,1,2015,,-461450,269471,,,-58073,-1304,1378,14575,-17671,,,-2160,76222,-97545,-6488,,,,-796.0,,-173659.0,135971,143767,,0.0,0.0,-7944,859497,-14530,,-58555,405344,3211.0,1017,-74045,2118,483874.0,2015年01月01日至2015年03月31日,757189,1022687,265498,-413191,133.0,1619818,1616730,0.0,3458184,-4122659,-1198220,-413191,1664,424207,1121840,1546047,1750,,,21,0.0,0.0,,,122388.0,2029921,5509,1022687,970,,,,-1445,,215268
2015-08-11,2,2015,,-1275610,299301,,,-117130,-51091,1235,11055,121847,,,-2841,139498,-18400,-43193,0.0,,,-1076.0,,-221717.0,285178,84348,,0.0,0.0,-19184,1406486,-78403,,-62258,802381,-3391.0,2093,-139816,3028,937943.0,2015年01月01日至2015年06月30日,757189,846952,89763,-960131,266.0,2084947,2080557,600016.0,6658451,-7824317,-1914526,-960131,1664,325569,1777176,2102745,66750,52.0,,-16,0.0,0.0,,,203676.0,3040688,874,846952,1362,,,,-1445,,157963
