date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少
2013-05-10,1,2013,,6148.0,-3036.0,,2722,6037,,,-921.0,,1090.0,-751,350,1090,-9270,,,-1869,,,,76.0,-5637,18156,0.0,,-46630,-240.0,0.0,-11984,4912,,547,-310,719,,,2013年01月01日至2013年03月31日,373552,381013,,7461,38581,,,16510,16101,,,1845.0,0.0,1845,38581,,,17842,-46470,-28628,,,,,-22480,381013,0,,,,,,
2013-07-22,2,2013,,35188.0,7734.0,,2224,-7944,,,-2298.0,,22223.0,-1589,913,1841,-14815,-20000.0,,-1977,3412.0,,76.0,,-8982,12686,,,-72427,617.0,0.0,-35778,10069,,1050,-887,1515,,,2013年01月01日至2013年06月30日,373552,398210,,24658,84914,,54638.0,54638,54010,,,3957.0,,3957,84914,,,22644,-88736,-66092,,3284.0,,-3249.0,-30904,398210,0,,2359.0,,-48.0,,
2013-10-17,3,2013,,58545.0,-7720.0,,3097,-2940,-1203.0,0.0,34320.0,,7821.0,-2589,932,-242,-33728,-20000.0,-48.0,-2682,3412.0,0.0,148.0,,-23897,16942,-263.0,,-87593,11509.0,0.0,-18658,15236,,1562,-968,2537,,,2013年01月01日至2013年09月30日,373552,743614,66.0,370062,139087,,,107133,105564,370000.0,-58092.0,0.0,-30031.0,281829,139087,19553.0,,10853,-102921,-92068,,3284.0,,-3249.0,-33523,743614,0,,15801.0,,,,
2014-02-26,4,2013,,66357.0,762.0,,8447,-13452,,,,34056.0,,-4834,1175,6275,-47979,-20000.0,-48.0,-3131,3417.0,0.0,,,-27071,25920,,,-43054,,128.0,-13164,21220,,2166,-1211,4782,14.0,,2013年01月01日至2013年12月31日,370073,876512,-7317.0,506439,210519,,,231499,228556,370000.0,-58092.0,0.0,-30031.0,281829,210519,27767.0,-14.0,35257,-83577,-48320,,23890.0,240.0,-3845.0,18037,876512,-642,,26382.0,,,,
2014-04-30,1,2014,,5278.0,-7945.0,,4807,-2587,,0.0,,53.0,,-4104,151,1744,-47604,,,0,,,,,-17690,892,,,50907,-276.0,-94.0,-47551,6948,,326,-151,2872,,,2014年01月01日至2014年03月31日,876512,941158,-1828.0,64646,82721,,,103502,116013,,,6951.0,,6951,82721,6551.0,,-2340,30354,28014,,,,,33292,941158,-15232,,-2766.0,,,,
2014-07-18,2,2014,0.0,29690.0,4496.0,,150,8014,,,53.0,,260.0,-7733,174,-7487,-110817,0.0,,0,0.0,,,,-28776,15163,,,-34610,123.0,-189.0,-110764,15550,-1620.0,642,-174,6285,,,2014年01月01日至2014年06月30日,876512,894958,7633.0,18446,163268,,124463.0,124463,155709,,,12234.0,,12234,163268,13174.0,,19620,-56869,-37249,,0.0,,0.0,-7559,894958,-37357,-10.0,,,0.0,,
2014-10-27,3,2014,,33224.0,-3495.0,,-1452,-5437,,0.0,-127.0,,0.0,-11193,197,312,-148396,0.0,0.0,0,0.0,,,,-76988,31321,0.0,,-60779,-41.0,-283.0,-208579,27022,,902,-197,9745,,,2014年01月01日至2014年09月30日,876512,700939,690.0,-175573,272069,,,143493,188139,0.0,-130532.0,19733.0,0.0,-110799,272069,19871.0,,26091,-143245,-117154,,0.0,21.0,0.0,-83930,700939,-54194,,-4286.0,,-60056.0,,
2015-02-16,4,2014,,31565.0,,,3540,-137897,5836.0,,,-728.0,,-13862,316,29303,-167065,0.0,0.0,-957,34.0,,,,-119586,5470,,,-9042,154.0,-358.0,-268846,39886,,1039,-316,14007,721.0,,2014年度,876512,602913,-28063.0,-273599,356967,,,96476,136649,0.0,-130532.0,,0.0,-130532,356967,26567.0,-721.0,14488,-266371,-251883,,0.0,0.0,0.0,-220318,602913,-54585,,6369.0,,-100096.0,,
2015-02-25,4,2015,,,,,251,126324,1575.0,,-233.0,,,-9596,78,5280,-25493,,,-1269,3372.0,-542.0,,,22290,18579,45.0,,-64947,52.0,,13056,54320,,986,-78,9808,1218.0,92852.0,2015年度,602913,786378,-5195.0,183465,181419,-180.0,,315374,378260,,-152181.0,2478.0,,-150245,181419,12502.0,-1218.0,20270,83719,103989,11.0,,20.0,,196841,786378,-73834,,37583.0,,0.0,40040.0,
2015-05-06,1,2015,,,,,-8004,78172,6865.0,,0.0,-136.0,,-2732,33,-4331,-15730,,,-620,,,,,5368,-22110,,-19.0,49051,,,23554,12964,,187,-33,2648,,23011.0,2015年01月01日至2015年03月31日,602913,796211,2227.0,193298,42848,48.0,,174094,175249,,,0.0,,-19,42848,3126.0,,-23201,132591,109390,,,,,132401,796211,-3770,,7206.0,0.0,,40040.0,
