date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他投資活動,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預收款項增加－處分資產
2013-05-08,1,2013,18939.0,2747.0,,-3088.0,,-18811,-8004,-30319.0,,,0.0,-2192.0,0.0,-21,,-2749,5093,22800,-1539,,,627.0,,-9338,9700,0.0,-29782.0,4306,,-31167,16616,73009,-4885,2749,288.0,,2013年01月01日至2013年03月31日,358748,430551,71803,-12807,55119,56994,,57294.0,,25051,-12807,-9111,59973,50862,136,,,,,,,69801,430551,-27,,
2013-08-02,2,2013,37471.0,2747.0,,-5606.0,0.0,-11725,-59,-13505.0,,,,-16434.0,,-460,,-3428,10131,36519,-2712,,,,,-29484,32420,8094.0,,-6553,,-29345,31228,96805,-10044,3428,288.0,,2013年01月01日至2013年06月30日,260537,365673,105136,-20695,87583,98180,-4915.0,12806.0,,10379,-20695,20695,60709,81404,271,,,,,,,118875,365673,-3981,,
2013-11-07,3,2013,61795.0,2747.0,,-7781.0,0.0,-21462,-2005,-123043.0,,,,,-40314.0,3827,,-3627,14622,25199,-5552,,,,,-19094,42275,0.0,-61367.0,-32883,,-165603,46973,97140,-14033,3627,288.0,,2013年01月01日至2013年09月30日,260537,220798,-39739,-39030,72349,86736,-4915.0,102379.0,,28316,-39030,20813,43158,63971,271,,,,,,,125766,220798,-3981,,
2014-03-20,4,2013,84770.0,2747.0,583.0,-10025.0,0.0,-8958,783,-125135.0,,,,-648.0,,6122,,-5758,18593,45654,-57096,,,,0.0,9902,-28691,-61317.0,,19283,,-178933,62525,121475,-17967,5758,314.0,,2013年01月01日至2013年12月31日,260537,283543,23006,-44043,129831,154521,-7373.0,105169.0,,26454,-44043,-37649,151443,113794,302,,,1002.0,,,2286.0,198564,283543,-12481,,
2014-05-07,1,2014,10125.0,0.0,,-2184.0,,-21879,5314,0.0,12889.0,0.0,,-1060.0,,-1016,,-6775,5473,-5099,-7103,,,,,28468,12083,29868.0,0.0,-6070,,14478,13393,-48,-5624,3724,0.0,,2014年01月01日至2014年03月31日,283543,326572,43029,9072,35109,37065,,0.0,-29143.0,-1459,9072,-9796,27664,17868,0,9752.0,,,,,-950.0,27993,326572,-56,,
2014-08-06,2,2014,31026.0,0.0,,-14437.0,,-21740,10075,-119339.0,,,,0.0,3555.0,-103,,-11404,9610,-37566,-15094,9752.0,,,,37113,34547,29841.0,,-15172,,99667,28641,-96308,-9793,7981,0.0,,2014年01月01日至2014年06月30日,283543,316769,33226,9863,-17695,-10596,0.0,0.0,-26584.0,-11180,9863,12807,-64292,-51485,0,,,,220793.0,-17836.0,-950.0,-20459,316769,-5287,23068.0,
2014-11-11,3,2014,-85025.0,0.0,,-14437.0,124127.0,-26779,890,-130105.0,,,,0.0,2671.0,5424,,-14205,13369,-10964,-20782,,,,,10862,36599,,-169747.0,-10418,,232467,44407,-225882,-13138,8976,0.0,,2014年01月01日至2014年09月30日,283543,236695,-46848,140456,-177780,-159297,0.0,93613.0,,-90571,140456,9820,-224548,-214728,26011,9752.0,-114332.0,-23970.0,220793.0,-17836.0,-950.0,-299753,236695,-14321,23068.0,
2015-03-30,4,2014,-71631.0,0.0,0.0,-14437.0,124127.0,-8147,-3903,-167117.0,,,,-1795.0,,5594,,-18070,16302,27260,-25706,,,,,5577,33673,,-169747.0,-4453,-12096.0,182069,61281,-235296,-16055,17857,0.0,,2014年度,283543,243332,-40211,162574,-135687,-121606,0.0,70331.0,,-113853,162574,25526,-238075,-212549,22015,9752.0,-114332.0,-14592.0,220793.0,-17836.0,-950.0,-284180,243332,-15883,23068.0,
2015-05-13,1,2015,,,,0.0,,-34387,-2440,,249234.0,,,0.0,2428.0,971,,-2674,2771,-13040,-2665,,,3861.0,,-23220,24688,0.0,,-27911,,267044,16598,-58639,-2789,772,,5326.0,2015年01月01日至2015年03月31日,243332,416075,172743,30246,-94945,-86337,,9823.0,0.0,13684,30246,-9699,-112210,-121909,149,17898.0,,,,,-12340.0,-116583,416075,-6591,,
2015-08-06,2,2015,,,,0.0,,-23978,-113,0.0,267559.0,,,,5299.0,3267,,-5053,5037,-32962,-46881,,,4013.0,,-18757,-1669,0.0,,-22274,,832878,34148,-576668,-5059,1769,,16395.0,2015年01月01日至2015年06月30日,243332,353415,110083,55371,-580084,-571693,,,-113762.0,-109749,55371,-25647,-617812,-643459,149,30452.0,,,0.0,0.0,-21004.0,-627064,353415,-5101,0.0,576300.0
2015-11-10,3,2015,,,,0.0,0.0,-28937,-1199,0.0,378640.0,,,-3591.0,0.0,-551,,-7893,6817,37891,-50160,,,4481.0,,-58551,5354,199545.0,0.0,-18111,,931802,55995,-306655,-7299,5167,,33514.0,2015年01月01日至2015年09月30日,243332,740197,496865,67491,-348092,-307094,,0.0,-328762.0,-124736,67491,-23583,-384516,-408099,161,30452.0,0.0,150.0,0.0,0.0,-21004.0,-374585,740197,-38866,0.0,576300.0
2016-03-31,4,2015,,,,,318153.0,7826,6812,402606.0,0.0,,,-3150.0,,24151,,-9885,8516,-5590,-52555,,,4171.0,0.0,-8843,-30876,249673.0,0.0,-23060,-8064.0,960771,78066,-325064,-8852,6773,,-224354.0,2015年度,243332,779764,536432,358764,-293831,-238795,,0.0,-378762.0,-124918,358764,-23050,-350155,-373205,171,30453.0,-296312.0,178.0,0.0,0.0,-21004.0,-597559,779764,-52957,0.0,265093.0
2016-05-12,1,2016,,,,,-58979.0,-25580,4910,,37610.0,,,-1142.0,0.0,608,,-1435,1127,-26439,-1738,,,0.0,-731.0,11478,5911,,-209673.0,14750,,-24249,10009,260561,-752,3052,,-480841.0,2016年01月01日至2016年03月31日,779764,940715,160951,514640,308043,305829,,114000.0,,-96404,514640,-19669,291699,272030,0,0.0,,-491150.0,,,0.0,-208811,940715,-86,,
2016-08-09,2,2016,,,,,-59897.0,-19560,26884,-204457.0,0.0,,,,473.0,2659,,-2696,2060,-83527,-12394,,2174.0,0.0,-173.0,9422,22284,,-249673.0,20462,,-276275,20780,269200,-1732,5302,,-466173.0,2016年01月01日至2016年06月30日,779764,614443,-165321,526757,390327,389276,,54000.0,0.0,-195846,526757,2724,325968,328692,0,0.0,,-491150.0,,,0.0,-137481,614443,-2519,,0.0
2016-11-09,3,2016,,,,,,-24687,-558,-438663.0,0.0,,,1435.0,,9473,-59897.0,-3765,2565,-108482,-72902,,,0.0,-608.0,4762,21936,0.0,-249673.0,34322,,-351067,29033,249301,-2279,6234,,-454089.0,2016年01月01日至2016年09月30日,779764,396938,-382826,511741,335204,342728,,,-8200.0,-258481,511741,-2751,287827,285076,218960,0.0,,-491395.0,,,0.0,-169013,396938,-11479,,0.0
