date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款－關係人增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-05-06,1,2013,244700.0,,,-36320,-15512,,,-2886.0,,0.0,12929.0,10641.0,37191,-6319,13279,-1487,-51618,,,-12892,,7391,0.0,,,,357,-299263,-40589,297603,-15654.0,199559,340415,6003.0,-53512,119246,,22662,-12095,5410,,,2013年01月01日至2013年03月31日,2370758,2972762,602004,72691,,783955,804265,,,,-86363.0,-126952,72691,,248746,238128,486874,,0,,,,7287,,,,,,731574,2972762,-13625,43963,,,
2013-07-30,2,2013,349013.0,,,138383,-92416,,,-2886.0,101695.0,-454482.0,12929.0,,49158,-14042,26587,-5015,-80835,,,-26760,,-3362,0.0,0.0,,,2756,45602,-181915,-70193,-12558.0,1229731,-549552,12003.0,-416399,235992,,46142,-20026,11306,,,2013年01月01日至2013年06月30日,2002758,2622123,619365,293374,,1239855,1353430,,,,-319520.0,-199076,293374,,64749,646294,711043,302359.0,41227,,,,9111,,,,,,1060056,2622123,-104855,-573,,,
2013-11-11,3,2013,446145.0,,,248861,-266342,,,-2886.0,233158.0,-253908.0,12929.0,,69715,-17517,30475,-12029,-207619,-1084.0,,-35510,,-8528,0.0,0.0,,,-667,-328397,-223262,166324,-10526.0,823450,-431429,18003.0,-218940,352362,,66351,-29135,19386,9854.0,,2013年01月01日至2013年09月30日,2002758,2130680,127922,616406,,1109150,1292538,,-555680.0,,-273676.0,-750259,616406,-9854.0,419776,-189789,229987,302359.0,46690,,,,1674,,,,,,676132,2130680,-183493,-38533,,0.0,
2014-03-03,4,2013,614146.0,,-6821.0,103230,-516139,,,-2828.0,-427697.0,,12929.0,-12738.0,41169,-21938,36373,29532,-292986,-1085.0,-53189.0,-63960,,-52181,0.0,,141.0,,-9498,-803682,-223261,898245,,184337,-271704,-2298.0,-812579,472758,6529.0,90260,-37634,19223,9854.0,,2013年01月01日至2013年12月31日,2002758,1542704,-460054,964522,,970938,1173937,,-555680.0,-177908.0,,-647945,964522,-9854.0,989528,-1394259,-404731,308763.0,48574,,,,8828,,,,,,209415,1542704,-194442,42202,,,
2014-05-09,1,2014,278505.0,,,-263030,-375475,,,-51312.0,315721.0,,9285.0,-32671.0,32541,-7988,15644,-20746,-36390,,,-14853,,4668,,194.0,,,579,-335951,-80358,-690572,-4479.0,852457,177453,5875.0,232923,121140,6000.0,19536,-15394,8096,,,2014年01月01日至2014年03月31日,1542704,1378217,-164487,57335,,-358001,-339909,,,,61501.0,-18663,57335,,-1003518,327769,-675749,,537,,,,503,,,,,,-397244,1378217,-10794,86461,,,
2014-08-11,2,2014,365675.0,,,-89670,82320,,,-51312.0,-1330748.0,,9285.0,,83392,-14087,11287,-32030,-73182,,,-40141,,5219,,181.0,,,-17038,-206397,-129509,-827674,-5360.0,572398,61276,11875.0,-1460081,239655,12000.0,43004,-18542,13519,,,2014年01月01日至2014年06月30日,1542704,1521640,-21064,162398,,62450,84814,,,,1537925.0,1408597,162398,,-962141,518882,-443259,0.0,1028,,,,806,,,,,,-77584,1521640,-17341,-15601,,,
2014-11-10,3,2014,718744.0,,,-220038,368113,,,-51312.0,-2656689.0,,9285.0,-14213.0,222567,-27245,20961,2258,-183097,0.0,,-46685,,6835,,151.0,-663265.0,,-18296,-88626,-129509,-1424299,-4839.0,885400,42254,18002.0,-2903996,356695,18000.0,64676,-19010,24674,45.0,,2014年01月01日至2014年09月30日,1542704,1466187,-76517,321468,,521741,574152,,,,3096103.0,2303480,321468,-45.0,-1682486,1216426,-466060,0.0,12989,,1995.0,-911.0,3310,,,,,,252684,1466187,-58120,53901,,,
2015-03-16,4,2014,849746.0,,-3594.0,61825,561152,,,-51312.0,464859.0,,9285.0,,147525,-50834,32538,-23400,-248418,0.0,0.0,-80298,,7271,,,194.0,,-24783,234345,-204272,-1046129,,574044,-25668,9769.0,126715,478998,24000.0,86039,-31608,48696,9899.0,,2014年度,1542704,2281025,738321,658043,,1790348,1831506,,-663265.0,-287999.0,,-1155342,658043,-9899.0,-1029441,1353158,323717,0.0,13360,,1995.0,0.0,3819,,-910.0,,,,1173463,2281025,-68145,131199,,,
2015-05-04,1,2015,,,3542.0,-396237,213099,,,-131889.0,-2506168.0,,690.0,,11161,-4673,4111,-10885,-17917,,,-21539,,-7714,,-7.0,,,206,-114357,-7306,-4206,,252715,619309,,-2533470,121972,6000.0,18096,-4196,6719,,141363.0,2015年01月01日至2015年03月31日,2281025,3029571,748546,83348,6003.0,641910,673380,,,2658304.0,,2650991,83348,,-522787,971456,448669,,4002,7946.0,,2050.0,6285,,,,,,590032,3029571,-33993,-15925,,,
2015-08-03,2,2015,,,-2610.0,-227875,245370,-131889.0,690.0,,0.0,67242.0,,,60758,-17260,9771,-42161,-49913,,,-30354,-77925.0,-2577,,0.0,-116.0,0.0,33264,93814,-7306,179762,,-329039,548540,,-43821,240985,12000.0,35873,-10827,17494,,358501.0,2015年01月01日至2015年06月30日,2281025,2792501,511476,90679,12003.0,763916,837946,,,0.0,-169036.0,-166458,90679,,-170609,559375,388766,10000.0,5919,7946.0,,,15977,,2050.0,,,,747267,2792501,-80697,924,,,
2015-11-09,3,2015,,,-3357.0,-206033,265930,-131889.0,690.0,,-2031772.0,,,0.0,63068,-24260,11893,14594,-84594,,,-46142,-77925.0,-4463,,0.0,-42.0,0.0,34792,-451854,-7306,-18179,,-328284,995190,,-2189408,358691,18000.0,53567,-12722,26423,0.0,914794.0,2015年01月01日至2015年09月30日,2281025,1734038,-546987,-174594,18003.0,733412,880417,-482744.0,-579293.0,1663800.0,,894415,-174594,0.0,-341455,481672,140217,300000.0,8287,7946.0,0.0,,15849,,2050.0,,,,1055011,1734038,-160706,51462,328866.0,,40071.0
2016-03-14,4,2015,,-325300.0,-3501.0,-103838,290597,-131889.0,690.0,,-30407.0,,,,95194,-30353,12934,-26839,-131700,,,-76900,-77925.0,-7224,,0.0,-63.0,0.0,33671,134582,-10802,-523183,,554875,997456,,-266043,487442,24000.0,72941,-15320,26423,0.0,1064388.0,2015年度,2281025,2453944,172919,-261091,9930.0,1873902,2029016,-482744.0,-579293.0,,-309899.0,-1408101,-261091,0.0,-752481,1978200,1225719,300000.0,9272,7946.0,0.0,,15961,0.0,2050.0,,,,2290107,2453944,-166217,22506,328866.0,,40071.0
2016-05-02,1,2016,,,2235.0,-42467,-17988,-24317.0,1811.0,,0.0,,,,42410,-8481,2931,12942,-6629,,,-13199,,-172,,102.0,0.0,,939,-71649,0,186672,,-36223,78507,,-18889,115710,0.0,17358,-2840,8481,,103697.0,2016年01月01日至2016年03月31日,2453944,2741933,287989,108207,4800.0,286935,293285,,,6899.0,,7001,108207,,126923,-45542,81381,,0,0.0,,0.0,1289,,,,,,185078,2741933,-11991,-67348,,,
2016-08-08,2,2016,,,-481,45024,-27303,-24317,1811,,-564400,0,,,28310,-15024,5357,-52115,-20208,,,-17902,0,-1151,,45,0,,1238,533401,0,312173,,-646240,-69046,,-389045,226178,0,37339,-5220,13823,,155816,2016年01月01日至2016年06月30日,2453944,2966112,512168,490952,7200,769992,778990,,,183291,0,183336,490952,,339599,-207377,132222,0,4036,0,,,1858,,-580,192026,-112961,16165,288038,2966112,-17601,-13510,,,
2016-11-07,3,2016,,,10878.0,-47425,-73436,-24317.0,1811.0,,-1776868.0,,,0.0,59192,-21294,9129,-133530,-19892,,,-18666,0.0,-471,,25.0,0.0,,1606,798762,0,-181352,,111951,251543,,-1599972,324321,0.0,53829,-7807,21117,3166.0,305386.0,2016年01月01日至2016年09月30日,2453944,2233740,-220204,623099,9600.0,1730403,1786500,0.0,-217130.0,0.0,,-217105,623099,-3166.0,-232616,1090631,858015,0.0,5657,0.0,0.0,,4424,,-580.0,192026.0,-112961.0,16165.0,1163401,2233740,-72573,-7037,0.0,,0.0
