date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加（減少）,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-07,1,2013,,33129.0,,-27698,,290,,-82,6570,,,,1565,,,1274,-286,-6178,,-32,0.0,,-14806,12455,10840,,,1735,,,,-20044.0,0.0,236,,17284,,,-601,,-103.0,-39227,31594,,,,,-1294,,,2013年01月01日至2013年03月31日,47288,44621,,,-2667,27733,,53817,55111,,,10057.0,-6984,-16971,27733,,,-19276,13525,-5751,269,,293,,,,,,27378,1846.0,,44621,,,,,,,,,,,,,,-22423,-30967,,4790
2013-07-30,2,2013,,66615.0,,-8806,,356,,20,6442,,,,4565,,-16.0,2419,-347,-21599,,-79,,0.0,-14949,17962,-6040,,,-10416,,,,10000.0,,7043,,10397,,,11753,,-201.0,-91485,63900,,,,,-2572,16.0,,2013年01月01日至2013年06月30日,47288,46964,,,-324,52512,,130346,144426,,,87174.0,-136012,-38838,52512,,,-5211,30510,25299,625,,391,,,,,,91914,1108.0,,46964,-11524.0,,,,,,,,,,,,,3037,-73524,,6041
2013-11-12,3,2013,0.0,101127.0,0.0,-9022,0.0,-2280,0.0,1071,7581,0.0,0.0,0.0,4565,0.0,-18.0,3736,-404,-34682,,-112,,-86.0,-15458,18402,35749,0.0,0.0,-24452,0.0,,0.0,,-20012.0,-2845,0.0,17178,0.0,0.0,65790,0.0,-304.0,-115066,96920,0.0,0.0,0.0,0.0,-3928,17.0,,2013年01月01日至2013年09月30日,47288,46273,0.0,0.0,-1015,90794,,252932,281651,0.0,-37000.0,87174.0,-168553,-138477,90794,0.0,0.0,-30751,120481,89730,759,0.0,601,0.0,0.0,0.0,0.0,0.0,190857,500.0,0.0,46273,-24808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8102,-84087,0.0,4301
2014-03-24,4,2014,,140898.0,,-8590,,-6302,0.0,-469,-525,,,,-54,,-36.0,5206,906,-53047,-2253.0,-2021,224.0,-184.0,-10304,12271,-96792,,,30390,,,,89993.0,0.0,-6454,,-40926,,,-76391,,-452.0,-181783,138760,,,,300.0,-5387,36.0,,2014年度,45061,55380,,,10319,133053,,55490,82510,,-50000.0,129337.0,-33664,135706,133053,,,15624,-207065,-191441,5567,,-1311,,,,,,-50543,2710.0,,55380,-21669.0,,,,,,,,,,,,,13925,-134017,,-1511
2014-03-25,4,2013,,135030.0,,613,,-320,0.0,4,7491,,,,2905,,-40.0,5131,-621,-9666,,-1040,,-86.0,-20712,18402,22020,,,-39078,,,,-10055.0,,3239,,-1492,,,78722,,-1047.0,-169405,130782,,,,,-5366,40.0,,2013年01月01日至2013年12月31日,47288,45061,,,-2227,132092,,299288,329422,,-37000.0,91386.0,-175734,-131489,132092,,,-39472,101772,62300,1948,,197,,,,,,197330,9.0,,45061,-24808.0,,,,,,,,,,,,,-7554,-159377,,-3212
2014-05-13,1,2014,,35901.0,,-11452,,628,0.0,131,-2543,,,,13,,0.0,1166,112,-9782,,0,,0.0,-184,11964,-23179,,,9494,,,,57.0,,28679,,28258,,,-12385,,-120.0,-41501,34735,,,,,-1214,0.0,,2014年01月01日至2014年03月31日,45061,46288,,,1227,26549,,71811,76091,,0.0,0.0,-29252,-29195,26549,,,29322,-15681,13641,0,,0,,,,,,49542,2812.0,,46288,-3066.0,,,,,,,,,,,,,-6473,-43499,,-222
2014-08-05,2,2014,,72028.0,,-2095,,364,,-35,-2013,,,,40,,-8.0,2491,-21,-29735,,-68,,,-714,12012,-31946,,,54864,,,,0.0,-9.0,-8519,,-79698,,,11062,,-238.0,-92441,69655,,,,,-2525,8.0,,2014年01月01日至2014年06月30日,45061,58138,,,13077,65473,,64590,77649,,,40958.0,0,40949,65473,,,46858,-106710,-59852,4015,,-42,,,,,,12176,2800.0,,58138,-10542.0,,,,,,,,,,,,,-4519,-78019,,81
2014-11-11,3,2014,0.0,107653.0,0.0,-6517,0.0,-1279,0.0,365,-7746,0.0,0.0,0.0,-2,0.0,-8.0,3656,336,-36630,-2253.0,-78,224.0,0.0,-969,12012,-76313,0.0,0.0,43699,0.0,0.0,,,79992.0,23028,0.0,-107548,0.0,0.0,1414,0.0,-354.0,-121692,103913,0.0,0.0,0.0,188.0,-3797,8.0,,2014年01月01日至2014年09月30日,45061,72645,0.0,0.0,27584,89218,,42962,68419,0.0,-50000.0,87817.0,-12055,105978,89218,0.0,0.0,62778,-191230,-128452,4031,0.0,-18,0.0,0.0,0.0,0.0,0.0,-20799,2702.0,0.0,72645,-21668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244,-97883,0.0,-145
2015-05-05,1,2015,,,,-5337,,1716,0.0,718,1183,,,,23,,0.0,1611,-244,-38165,,-43,,0.0,-4969,4377,-16349,,,70534,,,,0.0,,-146,,-5762,,,21056,,,-74604,34180,,,,113.0,-1619,0.0,35923.0,2015年01月01日至2015年03月31日,55380,55655,,,275,21705,-121.0,93539,97043,,0.0,0.0,-18416,-18416,21705,,,66355,-26940,39415,116,,62,,,,,,75338,994.0,,55655,-1885.0,,,,,,,,,,,,,-28807,-35963,,-287
2015-08-11,2,2015,,,,979,,306,,379,1035,,,,35,,-8.0,3097,-259,-49828,,-63,,,-4989,4377,11986,,,-5157,,,,,-49876.0,1123,,18328,,,42505,,,-123571,65662,,,,225.0,-3131,8.0,68987.0,2015年01月01日至2015年06月30日,55380,77993,,,22613,50699,-231.0,167289,179258,,,60310.0,-31280,-20846,50699,,,-3034,62606,59572,360,,74,,,,,,128559,,,77993,-8846.0,,,,,,,,,,,,,-11589,-73491,,-127
2015-11-10,3,2015,,,,-1045,,-3601,,1942,1434,,,,-31,,-10.0,4471,407,-114763,0.0,-94,0.0,,-5684,4666,-13808,,,56731,,,,39895.0,,-2,,6330,,,46553,,,-199285,97216,,,,338.0,-4562,10.0,101814.0,2015年01月01日至2015年09月30日,55380,46260,,,-9120,83442,-742.0,239560,263297,,-52500.0,32230.0,-69427,-49802,83442,,,56959,21082,78041,684,,-107,,,,,,179855,,,46260,-19185.0,,,,,,,,,,,,,-15795,-84188,,75
2016-03-22,4,2015,,,,1542,,-1608,,465,1462,,,,9,,-39.0,6166,105,-113008,0.0,-130,0.0,0.0,-10888,10111,35001,,,-11928,,,,9960.0,,3444,,40572,,,40756,,,-237674,129053,,,,450.0,-6293,39.0,135123.0,2015年度,55380,87842,,,32462,114302,-835.0,324780,350220,,-52500.0,33072.0,-45281,-54749,114302,,,-6572,107367,100795,974,,-377,,,,,,235918,,,87842,-19186.0,,,,,,,,,,,,,-8825,-124863,,740
2016-05-10,1,2016,,,,-11431,,-464,,647,0,,,,34,,-7.0,1219,-305,-7757,,-31,,,-456,12397,-5761,,,2252,,,,49638.0,,-5017,,14159,,,19231,,,-26127,32892,,,,113.0,-1242,7.0,34174.0,2016年01月01日至2016年03月31日,87842,99070,,,11228,21103,-11164.0,49671,50906,,,,-61649,-12011,21103,,,-24896,20525,-4371,140,,-12,,,,,,29803,,,99070,0.0,,,,,,,,,,,,,-6674,-30451,,-183
2016-08-09,2,2016,,,,-15328,,-8691,,258,0,,,,81,,-24.0,3187,-1465,-17943,,-66,,,-549,12057,-71812,,,1410,,,,,49873.0,-3781,,3967,,,26798,,,-88187,69695,,,,225.0,-3231,25.0,73005.0,2016年01月01日至2016年06月30日,87842,81125,,,-6717,52262,-11233.0,33383,45656,,,32751.0,-33072,49552,52262,,,-29593,-50018,-79611,140,,-12,,,,,,-6606,,,81125,-9067.0,,,,,,,,,,,,,-361,-81892,,-919
2016-11-08,3,2016,,,,-7361,,-4514,,779,0,,,,132,,-59.0,4769,-2465,-40052,0.0,-98,0.0,,-3806,13076,-61362,,,8264,,,,49873.0,,-5143,,-2277,,,51740,,,-151206,107025,,,,338.0,-4818,60.0,112235.0,2016年01月01日至2016年09月30日,87842,104452,,,16610,80844,-11299.0,135419,159393,,-55125.0,73186.0,-33072,34862,80844,,,-15891,-17795,-33686,233,,260,,,,,,78549,,,104452,-19216.0,,,,,,,,,,,,,-1514,-120657,,-1131
