date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,71402.0,,9282,-896,123000.0,150921,-36300,,,-368,,-17469.0,8715,-2537,10585,34311,-15447,,,-16916,28370.0,,,4098,-3428,-48488,,18332,,-9376,-14806,98003,56223,,,21579,3086,-10580,,2537,,,2013年01月01日至2013年03月31日,316166,477994,161828,141538,327242,335286,,-294885,-297728,141538,,178535,-56189,122346,-2475,,,252,,,,,193748,,477994,-1,,,-30599,-107,53677,
2013-08-13,2,2013,104497.0,,26669,4,0.0,180785,-14446,,122999.0,-777,-59484.0,0.0,4371,-4759,17916,-15545,-34473,,,0,,,,200,-3440,-238358,59622.0,1014,,16194,-32253,52416,105472,,0.0,5496,5805,-17931,,4759,0.0,,2013年01月01日至2013年06月30日,316166,415245,99079,260827,324905,398963,,-216973,-262697,260827,,268090,-234451,33639,-1237,218.0,,595,,,28370.0,,138136,,415245,-60886,,-43710.0,-30599,0,34408,-1774.0
2013-11-12,3,2013,170874.0,0.0,37399,459,,165446,37613,,122999.0,-634,-63912.0,0.0,6311,-6033,26720,-37803,-63756,,-709.0,0,28370.0,,,338,-6096,-172647,3241.0,-11346,0.0,-25517,-24916,5076,140394,,0.0,14421,11337,-26735,,6033,0.0,,2013年01月01日至2013年09月30日,316166,361834,45668,415133,452104,572347,,-326890,-373709,415133,,194740,-208400,-13660,-2475,218.0,,7985,,,0.0,,157214,,361834,-99541,,-43710.0,-30599,0,-23392,-12038.0
2014-03-26,4,2013,200481.0,0.0,44106,-8263,,144375,53939,,122999.0,-625,-75808.0,,3534,-6761,30059,-33490,-100477,,-712.0,-16916,29386.0,,,-1358,-3505,-33637,1293.0,-24935,0.0,95769,-18102,-45257,175648,0.0,0.0,1058,17147,0,-30074.0,6761,5804.0,,2013年01月01日至2013年12月31日,316166,539493,223327,530696,844581,985722,-72000.0,-423697,-542507,530696,-5804.0,164839,89706,254545,-2475,0.0,,9516,,,0.0,,455026,,539493,-123632,4448.0,-43710.0,-27006,0,0,-224.0
2014-05-13,1,2014,66472.0,,-47556,2728,-1.0,6590,-14042,,,599,,2364.0,4784,-2856,9446,48061,-10731,,,0,-799.0,,,349,34,-168605,,-13691,,-50879,45817,-9133,43224,,,5853,5519,-8368,,2856,,,2014年01月01日至2014年03月31日,539493,688217,148724,176235,618,16778,,111054,109178,176235,,-54657,-171272,-225929,-2475,,,153,,,,,-159457,,688217,-10648,,,0,0,13709,
2014-08-13,2,2014,139858.0,,34639,-368,0.0,19831,-19278,,-1.0,-60,-2511.0,0.0,5480,-6547,15873,65503,-24104,,-3757.0,0,-34161.0,,,1927,-47,-155755,19512.0,13662,,-47659,11508,-62461,82839,,0.0,27587,11889,-15890,,6547,0.0,,2014年01月01日至2014年06月30日,539493,853714,314221,317132,265744,333082,,98811,45435,317132,,87644,-211552,-123908,-2475,0.0,,810,,,0.0,,15950,,853714,-57995,,-50841.0,0,0,0,2120.0
2014-11-13,3,2014,222876.0,0.0,26054,2975,,90647,-29404,,-1.0,-15,-9788.0,0.0,29751,-10123,22449,107752,-39050,,-3757.0,0,-43211.0,,,7901,-243,-118609,-58603.0,19216,0.0,-51727,5236,-93972,119379,,0.0,36470,18783,-22466,,10123,7236.0,,2014年01月01日至2014年09月30日,539493,798484,258991,397410,369046,479881,-240000.0,169496,-123835,397410,-7236.0,78988,-219393,-140405,-2475,0.0,,5502,,,0.0,,82471,1674.0,798484,-105728,,-50841.0,0,0,-27864,2078.0
2015-03-30,4,2014,275571.0,0.0,16769,-8719,,47477,-23065,,-1.0,1573,-14776.0,,36634,-13722,26597,119082,-101203,,-3758.0,0,-157561.0,,-103994.0,11995,-979,-22996,36460.0,19523,0.0,-54397,11633,-387381,158801,0.0,0.0,38227,25682,-26568,0.0,13722,9530.0,,2014年度,539493,727297,187804,533233,714649,831489,-240000.0,33198,-258546,533233,-9530.0,120229,-97544,22685,-2475,0.0,,887,,,0.0,,298256,,727297,-113524,0.0,-50842.0,0,0,0,-5109.0
2015-05-13,1,2015,,,-41138,34129,-1.0,-8426,-4021,,,-94,,-2826.0,-2383,-4793,6057,113374,-16406,,,0,,-102219.0,-341.0,-9398,922,59277,,-56996,,27198,-26514,-33958,35616,,,32372,7855,-6055,,4793,,-1112.0,2015年01月01日至2015年03月31日,727297,883024,155727,256886,217158,239283,,-127449,-140847,256886,,-106560,90069,-16491,0,0.0,,0,-66438.0,86913.0,,,-17603,,883024,-20863,,-13304.0,0,0,0,
2015-08-13,2,2015,,,-13613,34129,0.0,-33361,-1808,-1.0,0.0,9860,-6720.0,0.0,-17980,-8845,8840,64204,-35944,,0.0,-404,,35577.0,104611.0,-9791,968,-231216,74762.0,3042,,30113,-8562,84095,70208,,0.0,46485,14107,-8838,,8845,0.0,103488.0,2015年01月01日至2015年06月30日,727297,904630,177333,413955,272111,370929,,-176830,-243077,413955,,30830,-177344,-146514,-1237,0.0,,464,,,,0.0,-43026,,904630,-98825,,-74870.0,0,0,0,-13992.0
2015-11-12,3,2015,,0.0,43096,34129,,-47069,3552,,-1.0,13466,-11734.0,0.0,-34523,-20946,11650,77299,-90498,,0.0,-404,,43428.0,104611.0,-8829,-7243,-199515,5044.0,-7413,0.0,-40298,-22714,5772,104371,,0.0,48224,20043,-11719,,20957,4232.0,115078.0,2015年01月01日至2015年09月30日,727297,908354,181057,619691,379462,518917,0.0,-216830,-281476,619691,-4232.0,-6342,-209510,-215852,-3094,0.0,-618.0,-62,,,,0.0,-100774,0.0,908354,-152925,,-75018.0,0,0,15336,-32387.0
2016-03-30,4,2015,,0.0,23387,34129,,-145967,19894,,-2.0,13475,-7395.0,,-40416,-24612,15027,29336,-118975,,0.0,-404,,124826.0,103993.0,-18715,-7241,-44261,-1809.0,-9723,0.0,3898,-4311,34235,140121,0.0,0.0,63919,26734,-14991,0.0,24612,6621.0,156892.0,2015年度,727297,1184617,457320,605915,725123,826092,-240000.0,-26830,-331374,605915,-6219.0,53936,9349,63285,-3094,0.0,,1053,,,,0.0,220177,188048.0,1184617,-117211,0.0,-74925.0,0,0,0,-60567.0
2016-05-12,1,2016,,,-81560,0,0.0,-59302,-2585,,,-836,,3827.0,-70797,-3296,2336,-5239,-21010,,,0,,-109.0,0.0,2248,-58,204532,,-91532,,34739,10541,-21459,31115,,,12432,7795,-2360,,2177,,-17788.0,2016年01月01日至2016年03月31日,1184617,1363469,178852,141653,126386,138698,,80000,79164,141653,,-232394,247227,14833,0,0.0,,379,0.0,0.0,,,-2955,,1363469,-12129,,0.0,0,0,0,-4109.0
2016-08-12,2,2016,,,-24095,0,0.0,24670,-20249,0.0,0.0,-2021,0.0,1665.0,-76069,-9654,4751,6076,-29390,,0.0,0,,-385.0,0.0,2271,-48,333992,0.0,-49410,,38780,-11849,-35019,64634,,0.0,27691,15003,-4760,,9595,192.0,13361.0,2016年01月01日至2016年06月30日,1184617,1564237,379620,315244,479629,562896,,50000,-71066,315244,-192.0,-106383,340674,234291,0,0.0,,420,,,,0.0,247652,-57548.0,1564237,-88294,,-119045.0,-15494,0,0,-6861.0
