date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-05-10,1,2013,26370.0,,,-417.0,,,,29696,,,,304,-445,4041,19494,-11422,,,-2365,,,17.0,,3.0,,-25768,,,-36750,-2077,149475,11088,-150.0,-7284,27916,,,,5590,-2942,519,,2013年01月01日至2013年03月31日,638604,695856,-10889,57252,3013,,133447,138638,,,,-88005,,-88405,3013,,-9281,118536,109255,,5981,,-147,,,135625,,695856,-2249,0.0,-16259.0
2013-08-13,2,2013,74380.0,,,-834.0,,,,-76,21067.0,,2222.0,614,-1290,7381,30366,-39873,,,-7269,,,21.0,,-5.0,,-31290,,,-83306,-2194,239175,11198,-304.0,-34490,56991,,,,11043,-5410,1266,,2013年01月01日至2013年06月30日,638604,698807,-1276,60203,-92758,,122900,135892,,,,-57760,,-58573,-92758,,-85880,240150,154270,,9169,,917,,,228650,,698807,-7582,0.0,
2013-11-11,3,2013,114544.0,,,-1251.0,,,,-13620,10145.0,,2222.0,927,-2267,11450,23460,-65304,,,-12863,,,-19.0,,-71.0,,-1705,,,-156047,-3189,318011,13537,-448.0,-63489,86298,,,,16294,-8455,2251,,2013年01月01日至2013年09月30日,638604,618221,706,-20383,-121960,,141186,159268,,,,-120270,,-121540,-121960,,-173304,339988,166684,,10276,,1136,,,281228,,618221,-9627,0.0,
2014-03-28,4,2013,147975.0,,-98300.0,,,,,-6516,-14392.0,,,1237,-3525,15017,35582,-85397,-3000.0,,-18374,-74105.0,,0.0,-16.0,-1178.0,0.0,-53260,,,-86885,13296,298775,3711,-583.0,-164698,115296,,,,21325,-10741,3369,,2013年01月01日至2013年12月31日,638604,628431,-2134,-10173,-121252,,160069,180869,,,-7955.0,-31487,,-41126,-121252,,-80688,234834,154146,96632.0,10533,3454.0,1213,,-454.0,302121,0.0,628431,-10059,0.0,
2014-05-07,1,2014,33232.0,,,-417.0,,,,-4375,6618.0,83382.0,,318,-2369,4242,219,-20093,,,-4827,-131143.0,,16.0,,-341.0,0.0,37400,,,-40302,-14542,46561,12207,-127.0,-151891,29991,,,,5188,-3967,2432,,2014年01月01日至2014年03月31日,628431,586978,-3395,-41453,-23775,,47780,52897,,,,62840,,62439,-23775,,-59346,102786,43440,,2081,,-743,,,76672,,503596,-1150,,
2014-08-12,2,2014,71044.0,-2948.0,,-9188.0,,,,2573,54248.0,87765.0,,628,-6002,9156,-11365,-41207,,-276200.0,-5821,-65991.0,,-67.0,,-340.0,,61383,,,36302,-13323,-12916,-31979,-262.0,-105203,57329,,,-4094.0,9178,-9102,5874,,2014年01月01日至2014年06月30日,628431,697485,4534,69054,-51152,,100603,115918,52000.0,,,42274,,85019,-48204,1128.0,25290,70736,96026,,2282,,-813,276200.0,,167070,,609720,-6213,,
2014-11-07,3,2014,108050.0,-2948.0,,-17681.0,-90000.0,,14759.0,11536,15452.0,87765.0,,939,-8873,12779,3207,-47939,,-276200.0,-6675,-66069.0,,-65.0,,1658.0,,33945,,,77778,-13867,-145260,28133,-394.0,-197563,80481,-9842.0,,5254.0,10111,-13028,8887,,2014年01月01日至2014年09月30日,628431,512147,1602,-116284,-61551,,39950,58739,52000.0,-200.0,,4068,,38122,-58603,6551.0,75053,-62813,12240,,2575,,-794,276200.0,,120290,,424382,-5761,,
2015-03-30,4,2014,134186.0,-2948.0,0.0,-26174.0,-90907.0,,,25918,33376.0,87765.0,,1260,-10981,15626,23447,-61798,0.0,-276200.0,-6678,-48880.0,,,-63.0,0.0,1665.0,3710,-1175.0,,108721,-13836,-128926,19841,-523.0,-191951,103622,-66164.0,,15533.0,11985,-16015,10758,,2014年度,628431,497315,-12585,-131116,-61002,,33437,55301,52000.0,-300.0,0.0,-20337,,3951,-58054,11099.0,120280,-138163,-17883,0.0,3889,0.0,-1373,276200.0,0.0,116303,,409550,-5849,,
2015-05-11,1,2015,,0.0,,-8493.0,-511.0,,,-5585,5802.0,0.0,,323,-2787,3071,-2866,-24529,,,-8210,,48585.0,0.0,,0.0,11.0,18466,,,-103317,-864,81560,-44509,,29840,24996,56004.0,,3019.0,2269,-2775,3030,30282.0,2015年01月01日至2015年03月31日,409550,546648,-4203,137098,-7773,-124.0,27167,29942,,,,91450,,82957,-7773,3134.0,-109890,117323,7433,,11464,,460,,,37715,,546648,0,,
2015-08-11,2,2015,,0.0,,-16986.0,-1027.0,,,-22762,5070.0,0.0,,641,-5745,5680,-12617,-34871,,0.0,-8472,,49650.0,,-2.0,-889.0,,77403,,-32566.0,-202281,1136,115927,-43924,,21237,49117,28696.0,,13507.0,4528,-5464,5391,71678.0,2015年01月01日至2015年06月30日,409550,419592,-2704,10042,-59465,-253.0,-31647,-28775,0.0,-600.0,,83223,,33069,-59465,6067.0,-224160,183172,-40988,,11455,,587,0.0,,30690,,419592,2592,,
