date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-04-30,1,2013,2822434.0,,,,,-354408,-179618,,,74519.0,-26310.0,-162273,201940,,,-204,-13851,76671,3850,-3752436,,,,-214500.0,-44195,,52826,44802,-30905,-52191,49651,-916266,,,-1366844,-11871,,0,-158293.0,-551276,-776,14514.0,,-4308291,2160783,,-2345,307823,15009.0,,,2013年01月01日至2013年03月31日,7223640,7108585,,-115055,4703065,,,3940489,3931821,,,13552213,-13300000,248897,4703065,,,-1679823,-1913855,-3593678,,1040,,240731,,,,,,,,,,-771244,19653,7108585,8675,0.0,,,,-175150.0,-254123,-175186,117421
2013-07-30,2,2013,5863614.0,,,,,460304,-185909,,,335755.0,-14413.0,-217808,243912,,,47,-40455,157219,4850,-6334294,,-1000000.0,,-214500.0,-81862,,148386,87221,-71258,-1131115,85361,-612597,,,-729340,20206,0.0,0,-175864.0,-1719202,492,23815.0,-347.0,-9382573,4318875,,1133,616653,40079.0,10320.0,,2013年01月01日至2013年06月30日,6191140,11277499,,5086359,9547903,,,11321953,12657504,-247416.0,5796043.0,14101658,-16500000,3142129,9547903,,-12617.0,-222840,-2531173,-2754013,,2757,,674373,,,,,,,,,,3109601,33834,11277499,-1335520,0.0,0.0,,,-558940.0,-23359,-226483,-167388
2013-10-31,3,2013,8763600.0,0.0,,,,495875,301258,,,353083.0,50177.0,-325253,351659,,,113,-67930,268713,4103,-8941170,,-1000000.0,,-1037850.0,-118254,,260459,128946,-116044,-1173735,175286,-586177,,,-1037101,-40533,899119.0,-499894,-167042.0,-3171299,2357,,-404.0,-11947593,6508962,0.0,9570,926103,69305.0,34405.0,,2013年01月01日至2013年09月30日,6191140,7786162,,1595022,14736179,,,17253726,19649112,-15043570.0,5796043.0,32264254,-27100000,-3715214,14736179,,-24245.0,-348736,-3501931,-3850667,,106722,194277.0,876132,,,,,5723.0,,,1.0,,4912933,26106,7786162,-2395328,0.0,0.0,,,-30000.0,-98247,-252986,21280
2014-01-28,4,2013,12042086.0,3002.0,,-4000000.0,,1079894,-9118,,,506844.0,48895.0,-1218816,1471101,,,184,-95023,397373,8622,-11501652,,-1000000.0,,-1067850.0,-29190087,,321110,193527,-186458,-207141,220613,-1212808,,,-469971,8703,3894957.0,-1498542,48235.0,-3590403,21482,,-213.0,-42345998,8767518,0.0,55403,1234149,95940.0,34566.0,,2013年01月01日至2013年12月31日,6191140,7954294,,1763154,19118541,,,24833011,27191278,-15043570.0,5796043.0,73873936,-46435716,19267519,19118541,,-24246.0,725414,-4694763,-3969349,3000000.0,110239,194277.0,1395538,,,,,-4046.0,12855.0,-5874.0,1.0,,8072737,41840,7954294,-2357102,,0.0,,,,47189,-303046,-489918
2014-04-29,1,2014,2797757.0,,-47867.0,,,-653165,67544,-33061.0,3337.0,,10912.0,-25253,203431,,,80,-24170,151731,541,-2164714,,,,0.0,-44099,,63032,31658,-60920,-44755,38504,843465,1193252.0,,-645710,-34585,2596445.0,-4493533,-404227.0,40647,-6692,,-3026.0,-988744,2345909,,5950,322264,24028.0,,,2014年01月01日至2014年03月31日,7954294,8178517,,224223,5031198,,,6842769,6901348,,,25129281,-31890000,-5630343,5079065,,,-1911561,983954,-927607,3000000.0,2127,,73735,,142246.0,208843.0,-158568.0,,,,,,1870150,-13433,8178517,-57772,,,,17794.0,-320273.0,24741,-59835,-124354
2014-07-28,2,2014,5869447.0,2399.0,-94363.0,,,-694832,5265,-49701.0,18092.0,,16701.0,-99812,208564,,-3707.0,29,-49882,296315,-1113,-6476696,,0.0,,-148118.0,-437599,,165134,69061,-103863,-91700,79174,721401,1193252.0,,-287869,7028,3994597.0,-5092786,-287067.0,-32507,-372,,-7759.0,-5774480,4720588,,5053,719460,,0.0,,2014年01月01日至2014年06月30日,7954294,6000358,,-1953936,10179318,,,13519561,15172326,-224481.0,0.0,51049204,-69281272,-9697904,10273681,,-12967.0,-1611667,735228,-876439,10000000.0,3727,,161629,,142246.0,250291.0,-153706.0,,,,,,4993008,-5768,6000358,-1648327,,,,17794.0,-172155.0,6648,-131169,-285699
2014-10-31,3,2014,9569893.0,2399.0,-94363.0,,-105000.0,-518052,-95153,81934.0,25927.0,,14180.0,-295520,233817,,-3706.0,-127,-70625,470699,1111,-9906310,,0.0,,-320273.0,-505596,,268771,112924,-146136,-122294,121860,469555,1193252.0,,927596,16873,13178826.0,-9786477,-266804.0,-598013,8297,,-12952.0,-9435394,7195050,,7478,1261786,,47982.0,,2014年01月01日至2014年09月30日,7954294,6987365,,-966929,14719117,,,21104995,24040195,-15289071.0,0.0,82292068,-92732142,-12637641,14813480,,-22803.0,45651,-294466,-248815,10000000.0,4478,0.0,595408,14533.0,142246.0,250291.0,-153706.0,168.0,,,0.0,,9321078,9358,6987365,-2931162,,,49520.0,17794.0,0.0,-119259,-219945,-192302
2015-01-29,4,2014,13291178.0,45673.0,-94363.0,0.0,-1105000.0,-429711,-49560,459458.0,27412.0,,14266.0,-2392255,447544,,-3706.0,-1076,-94992,601834,11241,-13569058,-60000.0,-4273724.0,-6.0,-320273.0,-829831,,373778,169229,-214427,-164135,154372,570348,1193252.0,2970389.0,924698,6312,19467020.0,-16274202,-216953.0,-1782136,14996,,-16247.0,-19664554,9721579,,4639,1871429,,48142.0,,2014年度,7954294,7903777,,-50517,18770714,,,28338516,31383560,-15289071.0,0.0,119246379,-130955823,-8735720,18865077,2840.0,-22803.0,453591,-1131923,-678332,10000000.0,5856,0.0,969694,14533.0,323859.0,250291.0,-153706.0,168.0,0.0,0.0,0.0,,12612846,27444,7903777,-3040263,,,3512800.0,17794.0,,72751,-304769,-301410
2015-04-30,1,2015,,,0.0,,-105000.0,-1040181,72665,44058.0,1987.0,,-8455.0,-16963,45000,,,1980,-30057,170526,-2211,-2962132,,,,,-3690467,,90872,59281,-69383,-57165,40876,-40478,0.0,,-601876,-7486,17368991.0,-10979407,-190484.0,-437541,-4973,,,-6680361,2622270,,-1469,631189,,,3522011.0,2015年01月01日至2015年03月31日,7903777,8217370,,313593,4146346,-5655.0,,5376470,5380500,,,14800000,-19900000,1619695,4146346,,,-1720114,-567743,-2287857,550000.0,749,,36700,,0.0,0.0,0.0,,,,,,1234154,15013,8217370,-4152,,,,0.0,0.0,-150948,-69502,66497
2015-07-30,2,2015,,0.0,0.0,,-1105000.0,-892646,-14882,-412304.0,-16557.0,,0.0,-17225,1372000,,0.0,-2001,-66776,342764,-3828,-6083356,,,,-603403.0,-4066356,-516750.0,177251,268271,-256555,-103513,76330,288553,0.0,,-1574292,-1343,25551664.0,-23756606,-75271.0,-700310,-11081,,,-8984041,5257104,,-17164,1360949,,,7093441.0,2015年01月01日至2015年06月30日,7903777,8787664,,883887,8977028,-11315.0,,10815525,12439548,-670583.0,,31350000,-37600000,-943769,8977028,,-10658.0,-3061511,-569410,-3630921,5570000.0,38525,1002660.0,62900,,0.0,0.0,0.0,-2660.0,,,,,3462520,25873,8787664,-1624287,-8268.0,,,0.0,0.0,-115133,-144206,-120213
