date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,避險之衍生金融資產（增加）減少,金融資產減損損失,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-15,1,2013,,312802.0,,,-70208,,-48340,,2667.0,,,2082.0,-16224,,,,-37301,13038,351.0,,,,0.0,581.0,,,-20333,-4735,39355,15685,-82147,,,-623,,-2212.0,0.0,,-162.0,-2606.0,0.0,-395882,,626394,0.0,,41624.0,,,-299864.0,-206047,-612.0,,-5837.0,-115796,-553.0,148284,47462.0,-1146.0,10286,329898,-69066,-76406,,-28032,17864,-28438,2009,,,2013年01月01日至2013年03月31日,854044,876543,-41106,22499,599921,,771413,779633,,,0.0,-399657.0,-774885,599921,,292101,-425191,-133090,,0,,132306.0,36,,,,19855.0,,,179712,,876543,18209,,,,843,0.0,0.0,-29114,-37095.0,-16423
2013-08-12,2,2013,265.0,744495.0,0.0,0.0,-146801,,-25451,130000.0,0.0,,0.0,2376.0,-24658,,175.0,-129520.0,-37324,11876,,,,,,,-6121.0,,-20333,-9077,74497,15650,-161077,-4307.0,,-877,,,1545.0,,-546.0,0.0,21989.0,1115624,,189330,0.0,,-43791.0,,40066.0,,-224267,2280.0,,-11086.0,409299,38.0,160748,-30087.0,-2782.0,-80178,660211,-109320,-94638,19992.0,-22818,33065,-56405,3739,94962.0,,2013年01月01日至2013年06月30日,854044,790046,-8230,-63998,1200012,,3014943,3194744,,,0.0,-3027070.0,-3014413,1200012,,-282282,1532519,1250237,,40,4500.0,172827.0,7883,,,3505.0,23982.0,0.0,,1994732,0.0,790046,-222097,,0.0,,1024,0.0,,-15858,,-30957
2013-11-12,3,2013,343.0,1109352.0,0.0,-9413.0,-519099,,-119881,160000.0,3529.0,,0.0,30363.0,46331,,-26541.0,-280111.0,12784,11379,,,,,,,-11511.0,,-16313,-13801,107505,12223,-223199,-4307.0,,-5739,0.0,,1045.0,,-1233.0,0.0,23861.0,585573,,322339,,,-43971.0,,,-219820.0,-247414,-647.0,,-16804.0,389809,111.0,143138,12317.0,-3278.0,-271036,953552,-61326,-137968,19992.0,-30603,47250,-76271,7866,94962.0,,2013年01月01日至2013年09月30日,854044,632786,20723,-221258,1752409,,3338896,3693095,-1297591.0,,0.0,-1397948.0,-3301341,1752409,,-118552,949886,831334,,2288,4500.0,172827.0,8848,,,3505.0,23982.0,0.0,,1940686,-71.0,632786,-380756,,3387.0,,567,0.0,,-74263,,19313
2014-03-24,4,2013,,1409197.0,4500.0,-9413.0,-612001,,23502,200000.0,,,,40291.0,37617,,,-30159.0,-36134,6658,,,,50000.0,,,,5208.0,-20333,-24947,145880,23911,-425277,-4305.0,,-15958,-104335.0,,6677.0,,766.0,26666.0,,1302505,,545376,,,-128022.0,,,-70000.0,-229314,,,-18736.0,-303795,,40346,-141008.0,-3537.0,-531917,1242780,-103025,-153847,19992.0,-22786,58609,-99082,25178,111305.0,,2013年01月01日至2013年12月31日,854044,1777544,-19169,923500,2422903,,4348208,4692819,-1297591.0,0.0,-1160518.0,,-2916702,2422903,-16343.0,80875,779844,860719,,2286,19940.0,172827.0,8866,,,3505.0,19042.0,0.0,,2269916,-71.0,1777544,-382012,,5738.0,,791,21749.0,,-8632,-243593.0,12029
2014-05-05,1,2014,44.0,351777.0,,,-16609,,-141659,,,,,5698.0,-16120,,,,7132,9776,0.0,,,,,399.0,,,34025,-5624,36386,-889,-61989,,,-260,,-735.0,,,1397.0,533.0,,743638,,-246772,,-37203.0,,,,-95000.0,-24813,,,0.0,318920,,-202728,164051.0,-476.0,-258559,295240,-26253,64365,,-32107,12008,-25794,2939,,,2014年01月01日至2014年03月31日,1777544,2121695,11786,344151,490866,,1400264,1423119,,,,-687198.0,-796665,490866,,-474468,1054944,580476,,2264,,0.0,19,,,,0.0,,,932253,,2121695,0,,,,745,,,-26958,-204469.0,-4424
2014-08-12,2,2014,60.0,659109.0,10935.0,,-54601,-50000.0,-78468,,,-100000.0,-17958.0,0.0,-310,,,,1868,23909,,,,,,,,1332.0,38255,-13650,72390,-10522,-354556,-4180.0,,-520,,-808.0,0.0,,-437.0,-169.0,0.0,1728890,,-225282,,90876.0,,,290000.0,,-15746,,,0.0,19314,,-139381,,-698.0,-707003,596577,-10462,179647,0.0,-47848,23670,-48269,6929,3059.0,,2014年01月01日至2014年06月30日,1777544,3609819,8826,1832275,984717,,3006923,3207500,,,,-542208.0,-457123,984717,-560.0,-204198,1767872,1563674,,7826,79760.0,0.0,1149,,,0.0,-19760.0,,,2222783,,3609819,-162296,25273.0,,,123,,,-69470,-428665.0,33714
2014-11-10,3,2014,58.0,938654.0,15006.0,-893600.0,-71209,,-94978,0.0,,-100000.0,-24702.0,0.0,-23231,,,-500815.0,2001,33560,,,-50000.0,,,,-236.0,,27308,-21152,103416,1196,-465790,-4180.0,,-779,-12890.0,,0.0,0.0,1831.0,-9897.0,0.0,1044980,,142485,,228129.0,,,103000.0,,-14656,,0.0,,193371,,-25526,97400.0,-29105.0,-916685,883844,-34966,266678,0.0,-86862,33500,-74133,12913,14996.0,,2014年01月01日至2014年09月30日,1777544,1177951,31092,-599593,1319110,,3591405,3961957,-1597123.0,,-667226.0,,-3275509,1319110,-12497.0,163600,1540593,1704193,,7838,79760.0,0.0,1177,,,0.0,-19760.0,,,2642847,-1470.0,1177951,-324328,,0.0,,-1182,,,-46639,,-35310
2015-03-25,4,2014,44.0,1808221.0,35625.0,-893600.0,-109201,,-41256,-100000.0,,,,-23292.0,6561,,,-3253.0,-465,-9050,,,,-50000.0,,,,0.0,7929,-33098,133959,16395,-623045,-4180.0,,-18284,-12890.0,,10.0,,-2233.0,-563.0,,1403470,,-120779,,108491.0,,,,28000.0,13897,,,0.0,86784,,-158737,58010.0,-28568.0,-1080282,1164474,-40216,146653,0.0,-128141,43849,-94844,32479,94093.0,,2014年度,1777544,1910409,89709,132865,1288302,,4194933,4495815,-1597123.0,,-274071.0,,-2998181,1288302,-12752.0,-162457,1561749,1399292,,5693,79760.0,0.0,1199,,,0.0,-30935.0,,,3207513,-1470.0,1910409,-332610,,573444.0,,47,0.0,,28058,-515853.0,-53561
2015-05-11,1,2015,0.0,,,,-518040,,35,,,,,-18325.0,-5648,,,,64388,18285,,,,,,19.0,,,-3516,-6571,27479,-5096,-78305,,,-260,,-270.0,,,1993.0,945.0,,543495,,-229793,,200263.0,,,,175000.0,-13206,,,,-182996,,-81826,47153.0,,-135915,287191,7748,75430,,-17141,6964,-26870,3870,,284955.0,2015年01月01日至2015年03月31日,1910409,1644233,-9653,-266176,453214,624.0,915922,951736,,,,-699695.0,-1041087,453214,,-105096,318663,213567,,0,,,202,31041.0,,,,,,498522,,1644233,-12814,,,,-345,,,-95230,-70760.0,-135155
2015-08-12,2,2015,0.0,,0.0,,-1457463,,-67019,,,0.0,,-29833.0,2910,,,,-818,-6719,,,,,,764.0,,,7350,-14370,53576,-23864,-222999,-4123.0,,-548,,-312.0,,,730.0,-655.0,,587407,,-102629,,140149.0,,,390000.0,0.0,46459,,,,77395,,-313780,-81470.0,,-340454,580320,23018,107778,,-43699,12286,-42764,4566,1047.0,564346.0,2015年01月01日至2015年06月30日,1910409,2678540,23315,768131,932397,1487.0,1780868,1951279,,,,-330901.0,-648419,932397,-797.0,124494,330042,454536,750000.0,0,61686.0,,313,31041.0,-10401.0,,-43547.0,,,1018882,,2678540,-133260,,,-17385.0,-785,,,-43479,-158090.0,83847
