date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-09,1,2013,-19231.0,-49388,-181,-1979,-7350,,-30025,0.0,-28926,,415,0.0,,,,-143838,,-169466.0,100000,-50000,-71748,-118603,200950,90362,0,-147108,0.0,-30025,309,44183,-2097,-340,,,,2013年01月01日至2013年03月31日,1208206,918956,-289250,58972,,-329225,-328761,,170000,-150000,70000,58972,,-441971,73469,-368502,-387733,0,918956,-124,-17858,,34590
2013-08-12,2,2013,-33676.0,-60243,-517,-121,-7350,,-354,0.0,-30578,-2856.0,691,0.0,0.0,,,-48023,,-391345.0,200000,-200000,-121242,302896,-42219,-27069,-40247,113635,0.0,-354,617,22164,-2343,-691,2637.0,400.0,,2013年01月01日至2013年06月30日,1208206,982775,-225431,115060,,-225077,-212798,,220000,-220000,0,115060,-400.0,-627216,333034,-294182,-327858,1504,982775,-14625,-29385,,34573
2013-11-12,3,2013,-43673.0,-38198,17884,-1496,-6382,,-1301,0.0,-4662,-3985.0,899,0.0,0.0,,,-39922,,-520271.0,250000,-300000,-48106,321992,159843,28867,-4828,-148694,-6.0,-1301,925,22164,-3502,-899,3740.0,9897.0,,2013年01月01日至2013年09月30日,1208206,892961,-315245,165618,,-107908,-98563,-106036.0,300000,-350000,-206036,165618,-9897.0,-628876,408368,-220508,-264181,6125,892961,-22083,-28113,,35182
2014-03-26,4,2013,-43344.0,8691,15274,2216,-10555,,-2235,0.0,122736,-4862.0,954,,0.0,-26151.0,,146698,,-450440.0,350000,-400000,-6634,270239,-195949,193801,-115271,-148410,-567.0,-28386,1234,32164,-591,-954,5034.0,9904.0,,2013年01月01日至2013年12月31日,1208206,1083257,-124949,207131,,109473,117702,-106036.0,300000,-350000,-206036,207131,-9904.0,-285011,238926,-46085,-89429,12522,1083257,-22213,-30175,,77400
2014-05-13,1,2014,4296.0,-64134,-15183,-1729,0,,-1191,,-23215,-577.0,176,,,-12207.0,,193545,-121124.0,,0,0,21712,26800,27602,-93229,-33053,-43335,-2.0,-13398,308,8322,-1113,-176,395.0,,,2014年01月01日至2014年03月31日,1083257,1076755,-6502,92933,,6896,6715,,120000,-120000,0,92933,,18310,-108824,-90514,-86218,3496,1076755,-38,5502,,23013
2014-08-12,2,2014,9758.0,-53139,-14007,-2750,0,,-5921,,-61947,-1316.0,332,,,-18535.0,,71670,-88363.0,,150000,-150000,135041,-184990,114196,11133,-99142,91801,-6.0,-24456,617,11424,-1019,-332,957.0,780.0,,2014年01月01日至2014年06月30日,1083257,1154889,71632,167288,,96088,119180,,166000,-166000,0,167288,-2370.0,56792,-114658,-57866,-48108,5596,1154889,-24497,9236,4278.0,5617
2014-11-12,3,2014,-2530.0,-50814,-14374,-3747,-3,,-51602,,23417,-1818.0,487,,,-21372.0,,-17412,-193578.0,,200000,-200000,-29922,-98135,271921,44551,-103482,210522,-9.0,-72974,925,18639,-2203,-487,1676.0,12905.0,,2014年01月01日至2014年09月30日,1083257,1155569,72312,208438,,251322,276443,-106036.0,271000,-271000,-106036,208438,-12905.0,-302175,372710,70535,68005,3937,1155569,-39215,8706,4278.0,9024
2015-03-19,4,2014,-6257.0,10051,-1623,-204,532,,-7284,,14715,-2370.0,678,,,-21372.0,,235006,-190085.0,,350000,-350000,7807,-83883,124487,-40700,-92572,129284,-2122.0,-28656,1234,29314,-792,-678,2490.0,12905.0,,2014年度,1083257,1337250,253993,224657,,338685,363272,-106036.0,401000,-351000,-56036,224657,-12905.0,63963,80909,144872,138615,4397,1337250,-39304,3620,4278.0,468
2015-05-12,1,2015,,-71274,-13546,-8409,1498,208.0,-211,,20426,-475.0,316,,,0.0,,-15667,156280.0,,100000,-100000,-79336,-103347,68733,-84129,-19791,42949,,-211,241,-10676,-2844,-316,474.0,,-9647.0,2015年01月01日至2015年03月31日,1337250,1162723,-174527,25316,0.0,-124316,-124423,,120000,-170000,-50000,25316,,-22052,-118040,-140092,-149739,-7,1162723,-51,-6885,,-24004
2015-08-11,2,2015,,-61462,-13670,-3446,2658,206.0,0,576.0,23986,-1140.0,324,,,0.0,,51888,209083.0,,100000,-100000,-126970,-87996,113792,-229106,80130,131930,,576,460,-6515,-2084,-324,1137.0,660.0,-203.0,2015年01月01日至2015年06月30日,1337250,1346750,9500,60264,0.0,58924,85745,,120000,-170000,-50000,60264,-660.0,60462,-34778,25684,25481,-1065,1346750,-28294,2897,0.0,-57759
2015-11-11,3,2015,,-44118,-13621,-7269,1498,207.0,0,1061.0,814,-1488.0,382,,,0.0,,128343,261285.0,,200000,-200000,-59982,-427408,-31686,-218371,169410,212702,,1061,667,-5805,-504,-382,1471.0,24492.0,-4491.0,2015年01月01日至2015年09月30日,1337250,1181751,-155499,168291,0.0,52493,65615,-159053.0,120000,-170000,-209053,168291,-24492.0,272138,-370323,-98185,-102676,-1267,1181751,-38703,20944,0.0,-62917
2016-03-24,4,2015,,17321,-12624,-5162,1433,-605.0,917,,-15932,-1920.0,501,,,0.0,,278731,314201.0,,250000,-250000,-76553,-321131,101802,-216435,177565,-17351,,917,874,-5805,-110,-501,1871.0,24492.0,2481.0,2015年度,1337250,1434364,97114,165254,0.0,305250,318131,-159053.0,170000,-220000,-209053,165254,-24492.0,521501,-371105,150396,152877,-1008,1434364,-38743,27406,222.0,-68051
2016-05-10,1,2016,,-79069,17627,-9393,-118,53.0,-50,,-7153,-220.0,31,,,,,-111905,25874.0,,100000,-100000,40552,-270907,-194679,-128239,30278,205400,,-50,207,0,-412,-31,179.0,,2830.0,2016年01月01日至2016年03月31日,1434364,937519,-496845,60063,,-496795,-496925,,0,0,0,60063,,-96398,-463420,-559818,-556988,10641,937519,-18,3224,,-88780
2016-08-09,2,2016,,-53931,10684,-14356,-2216,51.0,-341,0.0,22743,-445.0,87,,,,-11000.0,131053,-128862.0,,200000,-200000,53245,-243812,-142089,-4829,24486,-100451,,-11341,414,0,-375,-87,392.0,360.0,2099.0,2016年01月01日至2016年06月30日,1434364,988160,-446204,115701,,-434863,-413397,,100000,-100000,0,115701,-360.0,19258,-550455,-531197,-529098,9285,988160,-22131,2778,,-92198
2016-11-09,3,2016,,-48558,1370,-13823,-2216,50.0,0,1129.0,7489,-565.0,101,,,0.0,-11000.0,166282,119647.0,,250000,-250000,45464,-320796,-329209,-125944,-54596,35397,,-9871,622,0,-966,-101,486.0,12706.0,-14196.0,2016年01月01日至2016年09月30日,1434364,914776,-519588,225720,0.0,-403681,-379107,-106036.0,100000,-100000,-106036,225720,-12706.0,290081,-880712,-590631,-604827,8092,914776,-37665,-682,0.0,-79280
