date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,31041.0,,-6580,-27437,,52972,669,,13973.0,,-224988.0,0.0,,4446.0,3070,-3832,,-153,,-58520.0,,,,-16674,,-225037,,,29611.0,-607409,128156.0,-192.0,0.0,10937,25218,-12975,,988,-3618,897,,2013年01月01日至2013年03月31日,1115970,917230,-198740,50914,,-693061,-681634,,538834,,480314,50914,-145777,-617812,-763589,52,,410,,-25.0,-732548,3257.0,917230,-7809,4.0,,,143038,
2013-08-12,2,2013,61197.0,,-249506,-17012,,90572,-6546,,,10612.0,-176002.0,8827.0,,,5399,-4363,,-1821,,,-61315.0,,,-9151,-35577.0,-194744,,,41660.0,705480,-170117.0,-2052.0,5880.0,6747,47627,-12975,,2176,-10341,2267,,2013年01月01日至2013年06月30日,1115970,1081514,-34456,-169425,,-563646,-550222,,624277,,517044,-169425,-303650,-138344,-441994,52,,1599,,-25.0,-380797,2488.0,1081514,-13424,993.0,,,-449969,
2013-11-12,3,2013,95652.0,,-144113,-11061,,125822,-30945,,,10643.0,-17705.0,15135.0,,,1835,-31565,,-316,,-59331.0,,,,-6061,-46587.0,-395318,,,34669.0,457487,-116037.0,-242.0,8880.0,-12213,74489,-8230,,3532,-17206,2838,,2013年01月01日至2013年09月30日,1115970,1146067,30097,-93663,,-591938,-572651,0.0,755537,,632413,-93663,-371246,-203394,-574640,1162,5025.0,1566,,-25.0,-478988,-1186.0,1146067,-19287,955.0,,,-470600,
2014-03-27,4,2013,132457.0,,-50323,-28712,,47199,-30071,,-53745.0,349760.0,-316045.0,,-6235.0,25434.0,16045,-36561,,-1839,,0.0,-18.0,-300.0,12111.0,-58866,-46587.0,278736,,,,-213378,-530973.0,,-1623.0,270572,106457,7202,,4486,-24620,6489,,2013年01月01日至2013年12月31日,1115970,1171875,55905,-10987,,-1198684,-1140593,-68081.0,4994437,-3911779.0,967972,-10987,312424,-1574487,-1262063,1146,,1581,,734.0,-1129606,38435.0,1171875,-39960,0.0,,,-403644,
2014-05-12,1,2014,30825.0,,21599,-10412,,-14021,2572,,-7007.0,97265.0,-21917.0,,-531.0,7253.0,-3153,-9703,,-81,,,-1762.0,-1902.0,59525.0,46252,,-498336,,,,438987,115225.0,,3049.0,104826,22335,-14835,,1391,-7419,531,,2014年01月01日至2014年03月31日,1171875,1145660,-26215,95964,,228146,236955,,914662,-1268934.0,-356034,95964,-483521,593687,110166,157,,180,,0.0,140991,4188.0,1145660,-1921,197.0,,,37815,-33428.0
2014-08-11,2,2014,59593.0,,26989,1813,,-87399,27720,,-17306.0,115352.0,-28901.0,,-2778.0,13393.0,-5351,-33326,,-81,,,-1762.0,-3142.0,87721.0,52195,0.0,-499442,,,,185827,-6911.0,,6053.0,130379,44913,-17835,,3503,-13668,2729,,2014年01月01日至2014年06月30日,1171875,727728,-444147,133919,,-78918,-66053,,1676899,-2165394.0,-490257,133919,-549505,289940,-259565,180,,181,,0.0,-199972,4294.0,727728,-1926,381.0,,,76032,-19019.0
2014-11-10,3,2014,88851.0,,51773,21581,,-67277,30359,,-22565.0,142777.0,-44124.0,,-3655.0,19939.0,2067,-51748,,-81,,,-1762.0,-8510.0,59159.0,43014,0.0,-502188,,,,131275,-385165.0,,8993.0,119221,68356,-17835,,4119,-19874,3529,,2014年01月01日至2014年09月30日,1171875,829855,-342020,208227,,-269803,-251138,-22628.0,2574149,-2743264.0,-193505,208227,-504358,-43858,-548216,189,0.0,171,,0.0,-459365,4341.0,829855,-2320,-79.0,,,177037,
2015-03-25,4,2014,111110.0,,37044,3533,,-56323,52242,,-77411.0,187224.0,-117126.0,,-6949.0,27457.0,7894,-51111,,-273,-5209.0,,-1762.0,-8060.0,22909.0,38287,0.0,-303282,,,,176791,111761.0,,-1866.0,76684,90800,190,,5522,-27357,6827,,2014年度,1171875,1512298,340423,178542,,456078,465000,-22628.0,3534882,-3710725.0,-200233,178542,-401342,576690,175348,3406,,-321,,-190.0,286458,-76915.0,1512298,11608,,,,311012,
2015-05-12,1,2015,,,-179,3120,,-8420,-2675,,-244428.0,56334.0,32982.0,,-1243.0,7662.0,-988,-1614,,0,-1000.0,,0.0,-767.0,50288.0,-15534,,-420579,,,,-653862,71294.0,,,-127350,22431,-2760,,1189,-7848,313,31395.0,2015年01月01日至2015年03月31日,1512298,685163,-827135,108159,411.0,-745244,-734656,,1053839,-1007392.0,46447,108159,-455979,-418231,-874210,12837,,2602,,,-842815,-27212.0,685163,-3053,-246.0,,,149204,0.0
2015-08-11,2,2015,,,-24697,18601,,-17846,-4717,-34418.0,-249152.0,96878.0,42211.0,,-3401.0,14278.0,-2723,-9608,,0,-2000.0,,0.0,-2140.0,63780.0,-18486,,-381728,,,,-225633,58647.0,,,-76949,43070,184,,2360,-14533,3132,62809.0,2015年01月01日至2015年06月30日,1512298,1040888,-471410,145714,953.0,-174815,-155386,,1623569,-1840492.0,-216923,145714,-457736,93827,-363909,23293,,8686,,,-301100,,1040888,-8028,-184.0,,,223020,0.0
2015-11-11,3,2015,,,-34140,21309,,6232,-9639,,-249160.0,117408.0,31445.0,,-4097.0,20002.0,3163,-11583,-76000.0,0,-2000.0,,0.0,-2662.0,49320.0,14583,,-448307,,80000.0,,-29015,-93214.0,,,-148190,63551,184,412.0,3541,-20385,3519,89965.0,2015年01月01日至2015年09月30日,1512298,675779,-836519,160428,1558.0,-225971,-199253,-67884.0,2017979,-2495616.0,-465521,160428,-517638,67992,-449646,24487,0.0,8740,,0.0,-359681,-42981.0,675779,-9852,-184.0,,,132339,
2016-03-18,4,2015,,,-3633,11183,,11903,-3175,,-702469.0,195654.0,,,-6322.0,30085.0,3816,-13592,-1361000.0,0,-2000.0,,1762.0,-2936.0,6478.0,-2029,0.0,-503728,581714.0,80000.0,,42501,,,,-1853378,84214,267,-2166.0,4705,-29713,5996,125289.0,2015年度,1512298,1392379,-119919,150122,2303.0,490867,524580,-67884.0,4217996,-2993098.0,1238776,150122,46384,202785,249169,24487,,8740,,-267.0,374458,-42175.0,1392379,-9996,,,8300.0,154038,
2016-05-10,1,2016,,,-88528,4324,,3612,-1911,,-10312.0,96788.0,28566.0,,-763.0,13963.0,-2217,-1427,,0,0.0,,-1762.0,-2775.0,0.0,22366,,-165779,-248078.0,,,124303,0.0,,,83398,19567,0,-8496.0,1158,-13958,622,24817.0,2016年01月01日至2016年03月31日,1392379,1029374,-363005,3073,-159464.0,-492334,-476576,,679672,-629762.0,48148,3073,-678555,174089,-504466,1124,,-612,,,-479649,-20318.0,1029374,-2422,0.0,,,-3559,0.0
2016-08-10,2,2016,,-17213.0,-117237,11223,-145271.0,-1766,-664,,-88663.0,206577.0,42876.0,,-2420.0,26900.0,-142,-4523,,0,0.0,,-1762.0,-2158.0,0.0,18536,,-30442,,,,288425,-619442.0,,,-32193,38928,-18000,-16828.0,2224,-28603,2353,47579.0,2016年01月01日至2016年06月30日,1392379,836831,-555548,6853,-157256.0,-570456,-526047,,1487852,-1438847.0,47243,24066,-308923,-271556,-580479,1845,,-1297,,,-532900,-2222.0,836831,-18159,72.0,,,5490,0.0
2016-11-10,3,2016,,253254.0,-67727,-27381,,10526,-14822,,-125902.0,397951.0,65492.0,,-2481.0,44487.0,42716,-5039,0.0,0,0.0,,-1814.0,-2092.0,0.0,12134,,-97517,,0.0,,123280,-594357.0,,,926746,50019,-17994,-24908.0,2224,-46190,2416,-201983.0,2016年01月01日至2016年09月30日,1392379,1643929,251550,198577,-157102.0,-900263,-765529,-67884.0,2192409,-1940360.0,182351,-54677,-325865,-436258,-762123,1850,0.0,-1301,659978.0,-270467.0,-964106,-8294.0,1643929,-90960,444.0,-5751.0,,17390,
