date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2013-05-08,1,2013,-5021.0,12137,16329,-1170,-14997,1711,,,114,-318.0,0.0,-5960,-8346,,958,-9602,-738537,-78752,0.0,,69723,-18596.0,-58087,-830.0,30745,,-30.0,-406739,11147,6394,246658,1819,,4566,,2013年01月01日至2013年03月31日,1609595,1533261,-76334,40582,,348043,344142,,,-18596,40582,,-39877,348458,308581,120.0,420236,11.0,-3692,,303560,-2.0,1533261,-665,
2013-08-09,2,2013,1127.0,28847,15807,2449,-3359,2885,,-2556.0,0,-318.0,,-9971,-16313,,684,-35594,-2103494,-93753,0.0,,143626,-18595.0,-53614,-830.0,22860,,-30.0,-778020,21843,2293,281759,3556,,13530,,2013年01月01日至2013年06月30日,1609595,1296926,-312669,33300,,483262,477118,,,-18595,33300,,-18002,460693,442691,120.0,1457575,11.0,2001,,443818,-2.0,1296926,-7386,
2013-11-11,3,2013,4344.0,37339,-35249,4065,-16456,7046,,-1927.0,0,-1267.0,0.0,-6267,-25340,,-50,-39816,-2918405,-109340,0.0,,143353,-18595.0,-12245,-830.0,28513,,-30.0,-470075,32169,0,227442,5323,,17730,,2013年01月01日至2013年09月30日,1609595,1459698,-149897,40871,,437697,428160,-98874.0,,-117469,40871,,35342,347603,382945,120.0,2600560,11.0,-1552,,387289,-3.0,1459698,-8193,
2014-03-20,4,2013,23.0,30830,17376,6519,-15867,15221,-750.0,0.0,1946,-1352.0,0.0,-8582,-38346,,-590,-45745,-2477550,-251952,0.0,,96587,-18595.0,21479,-830.0,6517,-5804.0,-12.0,-479227,42139,241097,-90805,7107,,27073,,2013年01月01日至2013年12月31日,1609595,1466737,-142858,123938,,454428,445517,-98874.0,,-117469,123938,,314302,7254,321556,127.0,2271114,893.0,-3188,24185.0,321579,-2.0,1466737,-18162,
2014-05-09,1,2014,-337.0,-2799,-14597,2372,-5068,4518,,,1936,-351.0,0.0,2473,-11137,,1046,-5317,-912372,-86476,-2440.0,,-63859,0.0,-30671,0.0,49388,4100.0,-19.0,-295321,10011,185625,-231969,1807,,11635,,2014年01月01日至2014年03月31日,1466737,1103903,-362834,23248,,-68559,-80068,,,0,23248,,159026,-262005,-102979,0.0,636941,20.0,-3511,72758.0,-103316,0.0,1103903,-126,
2014-08-08,2,2014,10047.0,105421,-60978,18770,2256,5517,,0.0,2149,-346.0,,13075,-21473,,260,-15102,-1340940,-98476,-2440.0,,-41361,0.0,-56581,0.0,14837,4416.0,-19.0,-327767,20462,167505,-227569,3688,,26948,,2014年01月01日至2014年06月30日,1466737,1115934,-350803,12263,,-23296,-45476,,,0,12263,969.0,240613,-308399,-67786,0.0,1027660,20.0,-3917,99728.0,-57739,0.0,1115934,-4768,-2777.0
2014-11-10,3,2014,-10829.0,102326,-126551,30484,-3369,7023,,0.0,2471,-311.0,0.0,3307,-38831,,785,-20571,-1841047,-99476,-2538.0,,-59094,0.0,-29802,0.0,24915,5758.0,-19.0,-239090,30951,-244910,-53190,5492,,36285,,2014年01月01日至2014年09月30日,1466737,934949,-531788,85690,,-251109,-271568,-42374.0,,-42374,85690,2100.0,-134898,-211531,-346429,0.0,1581765,20.0,-4752,140617.0,-357258,0.0,934949,-15826,-9116.0
2015-03-16,4,2014,-8116.0,-8070,6349,-4216,-3096,9773,0.0,0.0,1849,-381.0,0.0,-4490,-54946,,1715,-24349,-2359308,-104476,-2440.0,,-24855,0.0,-45552,0.0,-27730,5804.0,8.0,-364434,42413,-240981,-136577,7072,,43673,,2014年度,1466737,835484,-631253,226279,,-226160,-250999,-42374.0,,-42374,226279,3214.0,-289057,-180105,-469162,0.0,1984054,35.0,-1414,140617.0,-477278,-19.0,835484,-18834,
2015-05-08,1,2015,,232427,-33472,1521,33110,3095,,,467,0.0,0.0,4349,-19517,520.0,-1260,-6642,-1207355,-1000,0.0,,-73796,,-25467,,-3725,-2615.0,,-156722,9998,-116,-187229,1518,-520.0,14890,-6151.0,2015年01月01日至2015年03月31日,835484,745171,-90313,52082,-27.0,3919,-10363,,63750.0,63750,52082,84.0,211433,-267727,-56294,,1043579,0.0,-3103,14229.0,-62445,,745171,-88,
2015-08-10,2,2015,,-1118,1869,2057,71760,5000,,0.0,471,0.0,,14981,-36309,811.0,-2056,-9181,-1471482,-4000,-334.0,7534.0,-62736,-9885.0,-52141,,-59399,-323.0,,-23415,19802,-116,-279069,2910,-811.0,40320,7396.0,2015年01月01日至2015年06月30日,835484,698645,-136839,88057,-26.0,-256008,-278789,,154525.0,144640,88057,1982.0,-46344,-327898,-374242,,1362168,0.0,-4315,98943.0,-366846,,698645,-16728,
2015-11-09,3,2015,,-22879,-101119,3390,58930,7699,,0.0,574,0.0,0.0,8542,-51521,882.0,2123,-17862,-2404949,-5500,-2793.0,12508.0,-58866,-60240.0,-25078,,-99988,1157.0,,26100,29874,-116,44920,4422,-882.0,44487,-24485.0,2015年01月01日至2015年09月30日,835484,674120,-161364,232791,-171.0,40251,16185,-169598.0,,-229838,232791,3547.0,-37155,-154966,-192121,0.0,2357687,0.0,-32739,98943.0,-216606,,674120,-19539,0.0
2016-03-15,4,2015,,2512,-15568,-58,9766,8115,,-215.0,0,0.0,0.0,20900,-65319,882.0,402,-21831,-3746779,-11500,-2794.0,13355.0,6211,-76084.0,2985,,-151097,-1699.0,,-115667,39821,-116,7199,6005,-882.0,67716,-24965.0,2015年度,835484,798311,-37173,350335,-145.0,225089,196403,-169598.0,98685.0,-146997,350335,4748.0,16221,-145188,-128967,,3520135,81.0,-45438,147317.0,-153932,2928.0,798311,-38148,
2016-05-10,1,2016,,-23863,1853,2946,-3958,708,,,184,,,2208,-17045,360.0,2,-4422,-1906149,-20000,,,-19596,,-27760,,113253,2966.0,,-228902,10130,211,-6282,1568,-360.0,5398,-3695.0,2016年01月01日至2016年03月31日,798311,735668,-62643,36597,-25.0,78327,73355,,87930.0,87930,36597,719.0,-47783,88236,40453,,1651305,,-1635,50180.0,36758,,735668,-66,
2016-08-08,2,2016,,-1225,-41440,8258,-6734,688,,-261.0,0,,,-3951,-36542,842.0,-544,-5493,-2827846,-25000,-610.0,2789.0,5989,0.0,-11687,,103547,-1554.0,,-304884,19992,348,10065,3138,-842.0,32768,-18583.0,2016年01月01日至2016年06月30日,798311,732993,-65318,108006,-26.0,145085,155652,,95025.0,95025,108006,4129.0,-3644,69873,66229,,2467199,-128.0,-8852,87127.0,47646,,732993,-42493,
2016-11-07,3,2016,,-19918,-19521,1860,-4450,127,,0.0,69,,,-760,-55566,1669.0,-2431,-7873,-3846404,-25000,-2566.0,6182.0,7407,0.0,-13649,,76141,2186.0,,-337862,29503,91,110652,4437,-1669.0,43036,-23624.0,2016年01月01日至2016年09月30日,798311,707382,-90929,173017,-26.0,259719,290293,-249860.0,239505.0,-10355,173017,6712.0,-31515,172415,140900,128.0,3456657,-128.0,-15673,87127.0,117276,,707382,-71941,
