date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2012-04-30,1,2013,110855.0,,-5594,-11093,3164,-33479,-29827,,,759,-2259,12443,16065,-314541,,,-29064,,,-341042.0,-1620,,,-59678,,10174,-35113.0,,,-140273,,-1426.0,-255180,95620,3084,1725,-11548,1587,,2013年01月01日至2013年03月31日,861802,891364,,29562,368956,,159117,217373,,,150267,109560,368956,-35824,-226614,-262438,,5608,423859,109,,,,-151583,891364,-48295,-1985,,,2979.0,
2013-08-12,2,2013,234958.0,,-11209,48683,1668,43853,-51491,,0.0,1534,-5840,25245,30329,-629399,-345031.0,,-36315,,,,2554,,,-121077,,265530,-50000.0,,,-692056,,-1883.0,-428136,197830,7278,3557,-24339,5147,,2013年01月01日至2013年06月30日,861802,1566443,,704641,1103480,,590723,831665,,,572934,511725,1103480,356183,-862956,-506773,,4543,578066,273,,,,-271815,1566443,-221750,-2607,,5134.0,0.0,
2013-11-04,3,2013,337298.0,0.0,-16844,121211,-4862,-43749,-46526,,0.0,2316,-9528,42381,-24904,-2253321,-539101.0,,-20353,,,,6698,-9105.0,,-246759,,131524,-50000.0,,161265.0,-481584,-233904.0,-1146.0,-2014782,307643,12367,5813,-41352,8809,,2013年01月01日至2013年09月30日,861802,1177904,,316102,1772516,,1086585,1465284,,-570000.0,1126047,1269203,1772516,369105,-1013635,-644530,780000.0,129525,677573,-33800,,,,-307232,1177904,-346156,-3495,0.0,6903.0,0.0,
2014-03-04,4,2013,488426.0,,-22501,158592,-20061,-105190,-16288,,,3089,-13063,51708,-43442,-2751906,-657766.0,0.0,-24791,,,,18750,-9822.0,,-419814,,116347,-50000.0,,-1944.0,-371466,-208612.0,-22725.0,-2662882,423196,12447,8088,-50650,13063,,2013年01月01日至2013年12月31日,861802,1469694,,607892,2366757,,1428788,1964022,1960000.0,-570000.0,-212071,1885428,2366757,145080,-1036241,-891161,780000.0,136262,775369,-28335,,,,-402735,1469694,-497647,-4692,0.0,17238.0,0.0,-130228.0
2014-05-14,1,2014,139127.0,,0,-43305,14163,7059,-4920,,,796,-4286,17505,8701,-820570,-243760.0,,-15060,-67064.0,,,-14018,0.0,400.0,-148251,,-49707,20000.0,,,-261142,,194.0,-896144,126895,1473,2285,-16566,4286,,2014年01月01日至2014年03月31日,1469694,1218120,,-251574,540093,,39595,193311,,,576274,596274,540093,-85759,-400150,-485909,,4175,245735,102,,,,-346782,1218120,-141436,-1509,,,9884.0,
2014-08-14,2,2014,319100.0,,-791378,-60629,53109,4937,-62419,,,1569,-8381,38479,901,-2008423,-861737.0,,-29807,-110948.0,,,15014,-3520.0,,-148502,,-17232,-30000.0,,,-735551,,363.0,-2344536,255278,2430,5270,-36882,5760,,2014年01月01日至2014年06月30日,1469694,1264874,,-204820,1335784,,329934,688960,,,921621,1808881,1335784,-72561,-893363,-965924,1708638.0,6855,663044,2885,,,,-646824,1264874,-327904,-3328,,9884.0,,0.0
2014-11-04,3,2014,479680.0,,-797099,606,43801,1604,-97797,,,2348,-12909,65572,-17127,-2310725,-2209225.0,,-31177,-166043.0,,,20629,-2068.0,1716.0,-183824,,-62813,-20000.0,,2044.0,-329246,-314013.0,-147.0,-3201071,396059,3739,8174,-54231,10812,,2014年01月01日至2014年09月30日,1469694,1102206,,-367488,1862962,,875059,1402857,,-1074150.0,2168921,1975651,1862962,-58706,-881079,-939785,1708638.0,14882,1412320,4571,,89249.0,,-460105,1102206,-484379,-9089,-10659.0,586.0,0.0,0.0
2015-03-03,4,2014,646589.0,,-802842,-9550,41064,60356,-79186,,,3150,-18228,69265,27872,-2518198,-4071342.0,0.0,-41897,-193349.0,,,-1381,-8522.0,6175.0,-216499,,-38038,-60000.0,,-7892.0,-225217,-252593.0,-5673.0,-3386117,539605,4532,11251,-68450,15381,,2014年度,1469694,1644721,,175027,2388542,,1531764,2301903,0.0,-1074150.0,2240812,2001508,2388542,-797,-732431,-733228,1708347.0,9397,3451904,4966,,131359.0,,-86639,1644721,-717070,-18223,-10659.0,51652.0,0.0,-151644.0
2015-05-07,1,2015,,,-5729,-22185,-50141,-9089,-56085,,,808,-7311,19885,12807,-870342,-1595326.0,,-4082,,-63268.0,,15599,-4927.0,702.0,-158788,,-11523,0.0,,3609.0,-72648,163068.0,,-522513,147648,2784,2798,-17778,7392,179683.0,2015年01月01日至2015年03月31日,1644721,2099265,,454544,366869,493.0,182638,333263,,,307341,781612,366869,-38695,-174594,-213289,480000.0,6081,1879595,4297,100000.0,,48456.0,-33606,2099265,-140239,-6892,,,67.0,-19402.0
2015-08-01,2,2015,,,-11482,31035,137027,37191,-74436,,,1603,-15394,40299,-40419,-1372394,-2824681.0,,-15426,,-68229.0,,28139,-12646.0,4109.0,-102960,,14346,-20000.0,,,-329872,,,-1175788,298106,7723,8351,-38495,16155,359836.0,2015年01月01日至2015年06月30日,1644721,2272283,,627562,1075597,423.0,800680,1148187,,,514571,1043089,1075597,82995,-370241,-287246,560000.0,11655,2916788,1931,100000.0,,85036.0,72590,2272283,-325167,-13034,,2112.0,,0.0
