date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2013-05-08,1,2013,,1273389.0,,-224023,-510452,164641,,45000,-12233.0,-7007.0,5360.0,,11225.0,,,-77944,-102343,82334,57044,-551994,-79770,-120094,-19086,5257,20354.0,,,,8025.0,-385201,-83799,,,,194583,45531,,,778.0,,327435,38265,-823957,1066278,-189587,61857,44270,-26492,28471,,,2013年01月01日至2013年03月31日,11703825,10992117,,-711708,-264772,416968,420916,,,,,-135706.0,-361763,-264772,84616,,-426150,-161551,-587701,,11536,0,-10473.0,,,0,,,685688,,10992117,-5927,-44685,,-22388.0,,-30361.0,-110231.0,
2013-08-07,2,2013,,2574445.0,,-327755,-372967,252315,,55591,,57838.0,-45615.0,,-124937.0,,,-167705,-57986,166012,60769,-1329930,-144027,-120094,-41035,-18337,28537.0,2509.0,,-201222.0,,-272349,-83799,,,,238615,431189,,,2939.0,,-1359683,137278,-1706441,2133140,-579073,64867,82625,-43322,54972,,,2013年01月01日至2013年06月30日,11703825,10620998,,-1082827,143274,926823,974965,,,,-44881.0,,-363978,143274,176317,,174590,-1917344,-1742754,0.0,335138,3465,-10328.0,,,18701,,,831691,,10620998,-59792,-16622,,-22388.0,,-34854.0,-50217.0,
2013-10-29,3,2013,,3895043.0,,-696205,-167374,172968,,46205,,48841.0,146195.0,-500000.0,-385144.0,,0.0,-222343,-97797,265558,24600,-2131057,-125768,-374682,-44967,-9255,43503.0,1650.0,,-202678.0,,-619221,-83799,,,,44357,24322,,,3306.0,,-1349477,-560272,-3190565,3206324,-304718,61105,120383,-43322,88654,66832.0,,2013年01月01日至2013年09月30日,11703825,16472261,,4768436,66200,1253509,1156456,,0.0,7446879.0,318251.0,,6680892,66200,288516,-17752.0,-44700,-2760087,-2804787,89202.0,152680,4850,-36778.0,,,13258,,,1090256,,16472261,-15111,315196,,-22388.0,,-35729.0,-245562.0,
2014-03-19,4,2013,,5417451.0,0.0,-856654,-459321,133373,,747947,,,60149.0,-500000.0,-214002.0,,-15.0,-295613,-142433,391412,-64693,-2738360,-551654,-494855,-228016,-12497,69537.0,8521.0,,-201770.0,,-559768,-83799,,,,157703,203494,,,-799.0,,-1693515,-1106771,-4337830,4285406,-992696,131001,156346,-45574,116931,66848.0,,2013年01月01日至2013年12月31日,11703825,15781537,,4077712,68627,1531320,1533208,,0.0,7446879.0,483742.0,,6948915,68627,383511,-17768.0,491321,-4444191,-3952870,296890.0,174626,0,44636.0,0.0,,14908,,,1464581,,15781537,-140093,389714,,0.0,,-68875.0,-284948.0,
2014-05-07,1,2014,,2679320.0,-7786618.0,-498423,54081,-87923,,-100095,-65.0,-40734.0,-23380.0,,,813105.0,-4652.0,394834,-26726,76489,-82908,-746531,-27922,0,-19925,422,14042.0,,,,1923.0,-384501,1782,-1520.0,,,219145,445192,,,-2738.0,,-181477,-752928,175565,1062953,-45950,24184,89700,-36593,54942,,,2014年01月01日至2014年03月31日,15781537,7656188,2147.0,-8125349,-947134,542184,542108,,,,,-489191.0,-8760190,-947134,76666,,355706,-1545784,-1190078,,54763,98370,-10415.0,,,-44679,,,1489242,,7656188,-18273,822045,,0.0,5694.0,-11619.0,-64908.0,
2014-08-07,2,2014,,3892222.0,-7786618.0,-668877,494674,-7048,,-106164,,9314.0,-23380.0,,,968552.0,-10.0,362185,-46066,146991,-97735,-2864769,-16741,0,-81260,0,14042.0,0.0,,-2402.0,,-8684,1782,26.0,,,72801,603317,,,3047.0,,-1848734,-996297,-1689056,2139670,-126657,35060,163599,-56243,77357,,,2014年01月01日至2014年06月30日,15781537,7116700,207.0,-8664837,-72418,1604123,1728552,,,,,-40716.0,-8482169,-72418,154184,,1004188,-3095440,-2091252,,50311,255471,-11273.0,,,-193383,,,1800970,,7116700,-145543,1076378,,0.0,5694.0,-13851.0,-84630.0,
2014-11-12,3,2014,,3947384.0,-7786618.0,-905469,743940,-401050,,-58854,-50956.0,299621.0,,,508696.0,,,-113075,-69375,238857,-127545,-3475090,-133408,-5673,-106830,0,14042.0,-1031.0,,14192.0,,-693993,1782,26.0,,-169778.0,208136,1010121,,,5034.0,,-2320278,-1054854,-2841533,3202474,-35034,26385,234815,-90473,98291,58582.0,,2014年01月01日至2014年09月30日,15781537,8238073,792.0,-7543464,2105175,3258112,3363216,,-418001.0,0.0,1434357.0,,-7832498,2105175,199123,-7355.0,1999862,-4689205,-2689343,0.0,88146,266652,-123539.0,,,-192691,,,1258041,440123.0,8238073,-171504,-87534,,0.0,5694.0,-15472.0,,-133040.0
2015-03-13,4,2014,,5660390.0,-7786618.0,-1235396,90654,-299909,,10243,,172799.0,-202979.0,,-682688.0,,0.0,-130505,-100699,319204,64973,-4536083,-194839,-8883,-203423,59315,14042.0,14890.0,,177574.0,,-931602,1725742,-1520.0,,-182258.0,523552,154387,,,-7347.0,,-1292240,-1171088,-3276426,4316557,207408,115800,306771,-141477,120340,58575.0,,2014年度,15781537,10514997,4756.0,-5266540,2196082,4269506,4403572,,-418001.0,0.0,3205248.0,,-6324593,2196082,82405,-7355.0,420736,-3873636,-3452900,63500.0,190706,255468,-114100.0,,,-196432,,,2207490,440123.0,10514997,-171504,4983,48218.0,,,-10683.0,-183226.0,
2015-05-06,1,2015,,,0.0,-457151,77850,177287,,-60319,0.0,-53776.0,354201.0,,,348752.0,0.0,-454056,-38237,107300,-108230,-888808,-253,-4502,-4958,3030,0.0,,-14574.0,-8153.0,,-622105,-824358,-4756.0,,,-86241,-206544,,,24566.0,,961537,185341,-1284953,1440565,34910,47506,96406,-56672,43557,349.0,434522.0,2015年01月01日至2015年03月31日,10514997,10762392,860.0,247395,905419,1950695,1979322,,,,161608.0,,-310117,905419,20835,-349.0,-218223,857604,639381,,70115,123123,13291.0,-95911.0,,-14747,,,1073903,0.0,10762392,-15861,-696528,,,0.0,-357.0,-233567.0,
2015-08-06,2,2015,,,0.0,-706440,215396,128210,,148777,,-51005.0,53727.0,,-908676.0,,0.0,-601720,-76356,226681,81469,-1744021,-55743,-11329,-70586,71460,0.0,,-14980.0,1776.0,,-1282523,-824358,-4756.0,,,-194920,271579,,,40820.0,,1197387,1115287,-3424097,2903194,-314108,108401,182218,-134074,80257,497.0,1764878.0,2015年01月01日至2015年06月30日,10514997,10328155,1651.0,-186842,745395,3618712,3698718,,,,208494.0,,-462926,745395,36504,-497.0,625567,562878,1188445,50000.0,161637,123114,,-95911.0,20886.0,-17603,,,2953323,0.0,10328155,-26686,-889740,,,0.0,-525.0,-335102.0,
