date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產
2013-05-14,1,2013,-75703.0,,-2170000,-35973,,-66163,,-24697,124308.0,-3323.0,,,,,,,281898.0,,,,,-246804,,,24653,-2517,0.0,0.0,,-2926.0,,0.0,0.0,0.0,76210.0,387657,,-243210,,-40866,-212258,,13961,121.0,,79103,87702,-31984.0,,-39531,9351,-74911,6044,,,2013年01月01日至2013年03月31日,3347944,3760383,412439,-284766,,-211075,-210293,-81255.0,1065829,-543655,519758,-284766,,-259771,409947,150176,2324016,2282,10.0,-1507,,-6806,,,74473,3760383,-782,121412,480.0,0.0,-266,,,,-87472.0,,88177,
2013-08-13,2,2013,-708508.0,,-2470000,-30468,,451470,,-6623,,-7882.0,-293282.0,,,,,,235021.0,,,,,-512149,-33050.0,161150.0,36428,-27798,0.0,-26704.0,,-45699.0,4434.0,3132.0,,126497.0,,277158,,-269455,,-38111,-169061,,23754,238.0,,46092,174833,-304130.0,,-110552,19455,-154509,17183,,,2013年01月01日至2013年06月30日,3347944,3013791,-334153,-51438,,-910209,-864279,-81434.0,1375687,-811724,493536,-51438,,-251903,147570,-104333,2628033,2613,,-1781,,-11509,,,-812841,3013791,-45930,-399339,,0.0,4351,,,,-73360.0,,100398,
2013-11-11,3,2013,-1503417.0,,-4640000,-104823,,474759,,-15317,-340243.0,3331.0,6963.0,,,,,,162892.0,,,,,-663049,-53799.0,247356.0,45543,-44083,,-26813.0,-13882.0,-53583.0,2730.0,6403.0,0.0,,162711.0,284436,,-151690,,-46654,-202354,,24722,366.0,,150048,254840,-341027.0,70015.0,-163329,26788,-237778,51260,,,2013年01月01日至2013年09月30日,3347944,2540779,-807165,525576,,-1300088,-1214754,-81434.0,1524596,-981724,297332,525576,,-251564,14651,-236913,4702049,4423,,-3393,,-15845,,,-1740330,2540779,-85334,-1135716,,,5220,,,,-55497.0,,63223,
2014-03-28,4,2013,-1999987.0,,-4960000,104686,,244887,207219.0,-13754,,-516.0,78707.0,,,,,268488.0,,,-15390.0,360086.0,,-1289912,-86555.0,368397.0,38380,-86910,,-26814.0,-7499.0,,9875.0,4046.0,0.0,,186988.0,268367,-37774.0,-185026,,-49645,-75215,,875,,,1271388,355941,-321679.0,69964.0,-246951,30270,-343669,73567,260136.0,,2013年01月01日至2013年12月31日,3347944,2976394,-371550,389923,,-1675893,-1585292,,1562239,-918049,-5425,389923,-52917.0,-144068,168840,24772,4743013,3937,,9610,,-52633,,,-1975215,2976394,-90601,-1049912,4800.0,,-77615,,,,-27102.0,,187,
2014-05-14,1,2014,1152301.0,,-1470000,65189,,42907,,57631,-103439.0,188.0,7190.0,,,,-50458.0,0.0,0.0,2550.0,,-45070.0,,593290,-16780.0,90135.0,21751,-31792,,,,-19712.0,-1244.0,,-3087.0,-3838.0,0.0,73122,,157932,,-2413,-85989,,28970,,0.0,-134113,71511,0.0,,-30616,6274,-87726,16592,,,2014年01月01日至2014年03月31日,2976394,2804415,-171979,-1485294,,-118787,-117574,0.0,700000,-1312962,59170,-1485294,,294466,-79047,215419,2230678,165,0.0,161,,-4318,,,1367720,2804415,-1213,327116,116772.0,0.0,-283,,,,-41808.0,,15939,
2014-08-13,2,2014,2026719.0,,-896600,310749,,63230,,63532,,0.0,,,,,,106295.0,-76971.0,2204.0,0.0,-46411.0,,1339529,-34281.0,193514.0,5685,-132761,,-20689.0,,-34326.0,2561.0,,16224.0,,44002.0,34147,,122726,,59,98625,,30897,437.0,0.0,-135957,140281,624957.0,,-99882,15056,-283332,37933,,,2014年01月01日至2014年06月30日,2976394,3352888,376494,-2701017,,593233,609189,-86440.0,700000,-1128523,-86467,-2701017,,500571,782916,1283487,1590000,0,,158,,-65305,,,3310206,3352888,-15956,362266,172822.0,,0,,,-90000.0,8031.0,,3068,
2014-11-13,3,2014,2069073.0,,-1361783,128704,,-53485,,65213,-52469.0,0.0,0.0,,-86440.0,,,170283.0,0.0,,,-8127.0,,1335974,-51464.0,294609.0,3849,-134484,,-20689.0,0.0,0.0,0.0,11417.0,0.0,,42859.0,-15522,,147500,,9045,344022,,8911,702.0,0.0,298936,207395,1206920.0,0.0,-167915,21794,-382206,53604,195490.0,,2014年01月01日至2014年09月30日,2976394,3583663,607269,-3133361,,612924,650793,-347994.0,1501193,-1932099,-308440,-3133361,-93.0,366706,1348375,1715081,2121412,0,,20822,,-125263,,,3784154,3583663,-37869,350023,27516.0,,168060,155675.0,,,-90002.0,,15542,
2015-03-27,4,2014,2260107.0,107153.0,-3085114,169866,,5080,195397.0,-3167,,-21951.0,-85017.0,,,,,972.0,,,0.0,,77550.0,1270019,-62985.0,412519.0,102880,-217861,,-20689.0,0.0,-53586.0,12791.0,14447.0,,,73677.0,196456,,203531,43541.0,20833,155289,174966.0,13788,,-68747.0,223842,280983,1168267.0,0.0,-225561,45489,-393028,23716,93.0,,2014年度,2976394,4271624,1295230,-3594020,,517191,570858,-347994.0,1765179,-1877664,451317,-3594020,-93.0,305827,1598944,1904771,4236931,37420,,14466,,-92080,,,4164878,4271624,-53667,436292,79895.0,,138560,157119.0,,,-29885.0,,-106826,
2015-05-11,1,2015,,86742.0,-2499701,27978,,-52166,,-16780,,33600.0,118851.0,,,,0.0,322.0,,0.0,,0.0,53572.0,82507,-19012.0,117667.0,-57468,-5749,,-43.0,,-3006.0,0.0,,-3472.0,,-32193.0,106777,,-127615,,3531,28079,,7214,,-269357.0,115567,76735,,,-44528,10320,-116136,18192,,-86210.0,2015年01月01日至2015年03月31日,4271624,4436544,164920,-395918,,-439767,-438856,,1006388,-987639,546588,-395918,,-152047,195319,43272,3102300,108,,-36,-2378.0,-4522,,,-42938,4436544,-911,-35984,0.0,,44848,,,,-13436.0,,-72761,
2015-08-13,2,2015,,86742.0,-1400851,-109060,,-63288,,-13328,328276.0,2168.0,,,,,,107143.0,,34097.0,,0.0,,-169263,-37888.0,233974.0,-60792,-80950,,-43.0,,-44941.0,0.0,0.0,-738.0,,45942.0,143968,,-332638,,7304,88481,,12627,,-269357.0,455928,172245,0.0,,-112132,26877,-233419,38383,,-478998.0,2015年01月01日至2015年06月30日,4271624,3773157,-498467,-518229,,-1006574,-952918,-103296.0,1337388,-1274350,112971,-518229,,-473890,518199,44309,1710000,231,,364,-2378.0,-7481,305799.0,,-434689,3773157,-53656,-200766,,-115571.0,44140,,,0.0,8135.0,,-28336,
