date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付費用（增加）減少
2013-05-08,1,2013,11718.0,,-59966,-23613.0,,,,-3606,-683.0,,-18600.0,,231.0,,2065.0,,,-580,4606,2539,-67749,,,,-3683,563,2480.0,,-944021,10196.0,92681,358730,77560.0,-78502,59834,,-17433,6739,-3670,,,2013年01月01日至2013年03月31日,837829,933576,95747,213086,-256417,-253327,,,386416.0,,428127,213086,,,32032,-510163,-478131,39000.0,,698,-466413,933576,0,-42709.0,,24787
2013-08-08,2,2013,68550.0,,170863,-101006.0,,,,-24722,-749.0,0.0,,,325.0,,6040.0,,-11879.0,-3216,9845,5072,-118835,,,,-5123,4458,5136.0,-18600.0,149181,110565.0,-712568,-1224732,1007611.0,-27923,121398,,-47758,13300,-9348,,,2013年01月01日至2013年06月30日,837829,1009463,171634,536795,-197085,-117828,,,47109.0,,391570,536795,,,-542454,-180719,-723173,339000.0,,1429,-654623,1009463,-73125,-19027.0,,12949
2013-11-12,3,2013,157898.0,,38630,,1624.0,,,-27976,-1602.0,0.0,-18600.0,,,-420.0,-3889.0,,-1332.0,-5166,13511,2554,-232607,,,-3000.0,-6667,8599,5317.0,,525145,110565.0,-977520,1094629,-357921.0,-156241,188721,,-81783,19792,-14036,,,2013年01月01日至2013年09月30日,837829,1315424,477595,652480,988203,1108369,,-140842.0,,-593627.0,-356921,652480,,21370.0,-940492,1238483,297991,385000.0,1579.0,1442,455889,1315424,-111296,-7256.0,-12349.0,2982
2014-03-26,4,2013,236301.0,,194512,-24180.0,,,-96.0,-25427,,,-18600.0,,,-1096.0,-11801.0,,14490.0,-7119,20944,7609,-331848,,,-3000.0,-24275,16546,8644.0,,431316,110565.0,-342536,531411,-352518.0,-272926,257657,-8844.0,-103296,26180,-21625,,,2013年01月01日至2013年12月31日,837829,1693975,856146,812176,1339509,1476313,676200.0,-140842.0,,-1033603.0,-218046,812176,,21370.0,-148120,575956,427836,285000.0,13032.0,-10471,664137,1693975,-122249,,-12349.0,24198
2014-05-07,1,2014,46823.0,,-86398,-21858.0,,,,10580,-323.0,,,0.0,187.0,,,11292.0,12621.0,-4199,5596,5648,-87002,,,-1000.0,-5157,-10972,2684.0,,-383410,0.0,-275554,375907,0.0,-83550,70470,4815.0,-31205,5098,-4114,,,2014年01月01日至2014年03月31日,1693975,2025197,331222,277228,-86167,-69176,,,492420.0,,495291,277228,,,-362275,-30952,-393227,0.0,840.0,-586,-346404,2025197,-14455,,,-16986
2014-08-14,2,2014,122449.0,,9008,-77038.0,,,,21498,-642.0,,,,21.0,,12172.0,,25242.0,-7959,13018,-891,-227506,,,-1000.0,-10314,2226,2684.0,0.0,423119,0.0,-600868,621572,0.0,-228377,141262,-20429.0,-59061,9796,-13204,,,2014年01月01日至2014年06月30日,1693975,2231749,537774,500347,875938,971029,,,-111601.0,,-108896,500347,,,-592502,940735,348233,0.0,2451.0,-2075,470682,2231749,-89423,,,-27987
2014-11-13,3,2014,147480.0,,47812,,-91397.0,-160.0,,26516,-965.0,,0.0,,,101.0,1554.0,,37883.0,-11253,19095,1797,-377564,-1000.0,,-1000.0,-38224,-8454,8786.0,,-34689,0.0,259672,793890,0.0,-419545,202820,,-89149,15210,-19264,,,2014年01月01日至2014年09月30日,1693975,2528710,834735,731024,1703390,1868172,,-344201.0,,-94550.0,-450907,731024,,27780.0,306519,683149,989668,0.0,2451.0,-1835,1137148,2528710,-155655,-44617.0,-21043.0,-11171
2015-02-16,4,2014,244247.0,-132000.0,188969,-72266.0,,-160.0,-1533.0,2065,,,0.0,,,342.0,-787.0,,50534.0,-14643,26178,41219,-579555,-63860.0,,-3961.0,-50615,-8605,9171.0,,32411,0.0,474506,-196535,0.0,-702048,262748,-12229.0,-118701,21182,-25123,,,2014年度,1693975,2209866,515891,974270,1341311,1537462,0.0,-344201.0,,323140.0,-164591,974270,,27780.0,661942,-342997,318945,0.0,3909.0,-2226,563192,2209866,-185351,,-21043.0,-96443
2015-05-08,1,2015,,-200000.0,-165059,2877.0,,-872.0,,18712,-335.0,,,,-105.0,,,-3252.0,25778.0,-3057,5960,-23701,-168278,,,0.0,-10368,-2172,0.0,,-706595,,293334,355000,,-182319,58457,-64743.0,-12740,6074,-4807,2219.0,77793.0,2015年01月01日至2015年03月31日,2209866,2026998,-182868,13244,-171093,-166348,870000.0,,,-475650.0,194245,13244,,,127940,-385325,-257385,,451.0,-507,-179592,2026998,-2157,,,9424
2015-08-06,2,2015,,-200000.0,-100161,-836.0,,,,22302,-655.0,,-7910.0,,-94.0,,-1944.0,,10555.0,-6656,12068,-31309,-223592,,,0.0,-19224,-2130,20500.0,,64123,,-149049,-196394,,-253093,107408,-2801.0,-23340,13064,-9701,,110483.0,2015年01月01日至2015年06月30日,2209866,1895179,-314687,77300,-245041,-156101,870000.0,,-475650.0,,214756,77300,,,-249865,-94019,-343884,,449.0,-486,-233401,1895179,-85593,,,19587
