date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2013-04-29,1,2013,-65.0,-1000.0,-2881,-42,,-129,-3062,,,,400000,,-1097,91,,-2843.0,,-429.0,28.0,0.0,-181.0,0.0,-1402944,,,2530,,,11388,2240,,0.0,-3453,941,-3565.0,0.0,,-2,,1408,,,2013年01月01日至2013年03月31日,1032029,129203,-902826,-3123,-998401,-999653,,,100000,,99028,-3123,,10908,-1007373,-996465,,,,,,,,,-996530,129203,-154,
2013-08-12,2,2013,7845.0,399000.0,-3310,0,,24156,-46221,,,,376172,0.0,-1244,6991,0.0,-4540.0,,-429.0,28.0,,,862.0,-3046508,,0.0,13959,,,25759,2233,,0.0,-4107,2098,3474.0,0.0,,-5216,,1555,,,2013年01月01日至2013年06月30日,1032029,184004,-848025,-11647,-2729140,-2654088,,,1486194,,1885222,-11647,,60564,-2710850,-2650286,,,,,,,0.0,0.0,-2642441,184004,-71391,
2013-11-08,3,2013,2111.0,-1000.0,-3300,-14,,41728,-38846,,,400000.0,-39872,0.0,-1238,31,,-4574.0,,-1000.0,36.0,,,880.0,-3432803,,0.0,33521,,,13222,2238,,0.0,395314,3186,2684.0,0.0,131.0,-21110,,1549,,,2013年01月01日至2013年09月30日,1032029,282889,-749140,-16651,-3526934,-3435982,0.0,,2383444,,2382480,-16651,,85171,-3506613,-3421442,,8.0,0.0,,1.0,0.0,0.0,0.0,-3419331,282889,-71391,
2014-03-19,4,2013,3124.0,-1000.0,355,1,,58410,-48662,,,400000.0,-55617,0.0,-1473,52,,-4604.0,,-1492.0,652.0,0.0,,-17435.0,-3515124,,0.0,112470,,,20145,-38,,0.0,376477,4316,-80450.0,0.0,228.0,-38928,,1784,0.0,,2013年01月01日至2013年12月31日,1032029,146680,-885349,-11068,-3625012,-3516454,0.0,,2363534,,2363186,-11068,0.0,191380,-3699890,-3508510,0.0,8.0,0.0,,1.0,0.0,0.0,0.0,-3505386,146680,-71414,
2015-08-06,2,2015,,,452,-1,,14907,-15399,,,,-8204,,-208,19073,,-253.0,0.0,,,-12712.0,,-483.0,-308076,-15314.0,,-200395,,,1557,2479,515.0,,-14431,3065,,,285.0,-47804,,208,,21766.0,2015年01月01日至2015年06月30日,248307,298726,50419,-17282,-555841,-507681,,,14267,,620691,-17282,,-183479,-328686,-512165,619136.0,1619.0,,0.0,-449.0,,,,-490399,298726,-564,0.0
2015-11-05,3,2015,,,-11174,-65,,23287,-27727,,,,-14825,-41.0,-215,30559,,-253.0,0.0,,,-12712.0,-930.0,,-460633,-15314.0,,-188328,,,-12547,2423,515.0,,-14878,4469,-3000.0,,427.0,-74913,,215,,34750.0,2015年01月01日至2015年09月30日,248307,288392,40085,-30833,-763723,-688157,,,2110435,-2254122.0,818686,-30833,,-188762,-503312,-692074,975085.0,1619.0,,,-449.0,,,,-657324,288392,-868,0.0
2016-03-24,4,2015,,,-11565,-62,,28334,-29082,-165.0,,,-30523,,-446,43784,,-253.0,0.0,0.0,55.0,-12762.0,-1585.0,810.0,-496030,-15314.0,,-134129,,,216,-118,515.0,,-14723,5873,-2829.0,,569.0,-102715,,446,,49151.0,2015年度,248307,275058,26751,-23003,-755364,-649290,,-90000.0,1106805,-1379986.0,796838,-23003,,-117144,-558294,-675438,1172726.0,1619.0,,,-449.0,,,,-626287,275058,-3805,-180.0
2016-05-09,1,2016,,-103070.0,191,-9,-123.0,16592,-4020,,,,-4660,,-6,19738,,,,,,0.0,-375.0,,9847,,,-47054,124306.0,,15806,-29444,0.0,,-498,1244,,,130.0,-27304,,6,,21112.0,2016年01月01日至2016年03月31日,275058,374396,99338,-19485,-71255,-41124,,,404236,-254381.0,171091,-19485,,-14465,-28286,-42751,0.0,,,,,,,,-21639,374396,-2833,6.0
2016-08-04,2,2016,,-223130.0,8421,-32140,-247.0,31446,6355,,0.0,,-37027,,-184,39307,,0.0,,,,-50.0,-636.0,8128.0,217727,0.0,,-26612,642360.0,-34259.0,8236,2724,0.0,,7245,2298,-3000.0,,237.0,-55035,,184,,41742.0,2016年01月01日至2016年06月30日,275058,397842,122784,21942,168693,239814,,,485706,-1610064.0,-53154,21942,,21491,154639,176130,686283.0,0.0,,,0.0,,,,217872,397842,-16270,84.0
2016-11-07,3,2016,,-301248.0,12950,29,-399.0,41936,-459,,,,-28747,,-204,59135,,0.0,,,,45274.0,,8222.0,358557,0.0,,-69168,1539354.0,-1060197.0,18230,2724,0.0,,7823,3188,-3000.0,,296.0,-80199,0.0,204,0.0,62623.0,2016年01月01日至2016年09月30日,275058,393315,118257,48515,340268,444190,,,620836,-1073853.0,-229834,48515,,3948,329104,333052,0.0,0.0,,,0.0,,,,395675,393315,-23927,208.0
