date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-02,1,2013,9907.0,,0.0,3207,-1308,414,2796,,,439.0,,-1640,193,4389,-761,,-101,1500,,-85.0,11745,39364,-225915,-4450,320665,-3718,-791.0,12374,7552,1832,-129,916,,,2013年01月01日至2013年03月31日,747619,974564,226945,92395,,216439,216089,,-6172.0,,-6257,92395,,-214047,327834,113787,505,,547,378,92,,123694,974564,-437,0.0,,-29965,13488
2013-08-02,2,2013,17768.0,,0.0,17509,852,-339,2978,,,,868.0,-4078,329,6957,-1061,-10000.0,-386,1500,,-572.0,12321,17584,-243455,-3870,370709,-5128,-1598.0,5377,15110,3734,-406,3110,,,2013年01月01日至2013年06月30日,747619,1025910,278291,184875,,286332,310160,,,-19803.0,-20375,184875,,-261369,368886,107517,505,800.0,2330,381,792,,125285,1025910,-26532,0.0,,-18109,-29616
2013-11-04,3,2013,-32037.0,0.0,0.0,-1760,-266,-306,331,,2705.0,1167.0,,-7314,481,5886,-34346,-10000.0,-386,3576,128.0,,12457,-66311,-150149,-1009,322288,-782,-2408.0,100384,22477,5566,-473,6160,2298.0,,2013年01月01日至2013年09月30日,747619,932203,184584,314109,,358228,401481,-265901.0,,-14141.0,-279914,314109,-2298.0,-131402,250811,119409,122854,800.0,5133,-66770,2242,3.0,87372,932203,-51238,0.0,10000.0,-4449,24230
2014-03-20,4,2013,16038.0,0.0,0.0,18756,223,-284,325,,3098.0,,1327.0,-7550,620,9271,-35130,-10000.0,-386,2994,,-59.0,5111,-24528,-104122,-3844,316283,-3762,-3235.0,92807,29372,7427,-566,7555,2300.0,,2013年01月01日至2013年12月31日,747619,1171615,423996,341339,,590619,647623,-265901.0,,-2741.0,-268701,341339,-2300.0,-1107,291353,290246,122854,800.0,5133,-66770,2242,3.0,306284,1171615,-66293,0.0,50000.0,2812,91622
2014-05-07,1,2014,9129.0,,0.0,-21465,863,-1493,-195,-558.0,,-1261.0,,-1488,128,-1680,-4081,-5329.0,0,1497,,-16.0,2434,-56767,-85380,747,161294,-5063,-793.0,-7941,6743,1852,-107,939,,,2014年01月01日至2014年03月31日,1171615,1143488,-28127,68629,,2275,1676,,-20765.0,,-20781,68629,,-164241,88159,-76082,0,800.0,54,0,397,,-66953,1143488,-233,0.0,,-11973,-55857
2014-08-11,2,2014,18721.0,,0.0,-11423,-2448,-1508,-48,-943.0,,,-1374.0,-3875,272,-4947,-4695,-8571.0,-39,1497,,48.0,8049,-252053,158816,-5533,47767,-6546,-1559.0,91421,13445,3683,-344,3826,,,2014年01月01日至2014年06月30日,1171615,1189784,18169,131096,,-55728,-35923,,,-12625.0,-12577,131096,,116476,-302216,-185740,82015,11476.0,5503,-45751,-100,,-167019,1189784,-23287,,49550.0,-88888,-22317
2014-11-10,3,2014,47349.0,0.0,0.0,-30499,362,2480,94,,-1079.0,-1086.0,,-6466,393,-872,-5381,-10172.0,-169,2997,70.0,,13759,-405897,7049,9810,-313637,6288,-2302.0,96419,19943,5518,-518,6714,2890.0,,2014年01月01日至2014年09月30日,1171615,441278,-730337,234625,,-510786,-467373,-265901.0,,-49267.0,-315098,234625,-2890.0,5280,-754627,-749347,82015,11476.0,7056,-45744,-192,0.0,-701998,441278,-52499,0.0,73790.0,-41837,18742
2015-03-16,4,2014,60504.0,0.0,0.0,28120,349,3042,255,,-1322.0,,-803.0,-7640,430,4479,-14119,-12927.0,-312,9963,,69.0,5606,-246386,73278,6887,-542967,-1288,-3015.0,76670,25660,7127,-579,7432,2890.0,,2014年度,1171615,721584,-450031,327803,,-220093,-177320,-265901.0,,-45255.0,-311087,327803,-2890.0,258993,-824620,-565627,82015,11476.0,7056,-45744,-192,0.0,-505123,721584,-52516,0.0,73790.0,-34583,150681
2015-05-04,1,2015,,3304.0,0.0,-46690,-3407,-4125,-191,-4000.0,,-152.0,,-787,32,-2622,-1298,0.0,0,1500,,77.0,11897,93986,-129600,-10499,313924,3046,,10544,5767,1463,-22,2748,,8391.0,2015年01月01日至2015年03月31日,721584,879913,158329,74223,-898.0,156945,168329,,-6615.0,,-6538,74223,,-321921,407636,85715,0,793.0,0,9,407,,94106,879913,-14110,0.0,,278,-130109
2015-08-10,2,2015,,3304.0,,-26854,-28,-464,-505,-3687.0,,,-149.0,-3184,64,-3336,-3679,-5815.0,0,3000,,102.0,15168,28159,18685,-10059,117033,7551,,5951,11494,2927,-82,4526,,14197.0,2015年01月01日至2015年06月30日,721584,888512,166928,146091,-1788.0,172185,204331,,,-7974.0,-7872,146091,,-79140,123183,44043,0,793.0,16,9,416,,58240,888512,-36590,-529.0,0.0,-29027,-58660
