date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得按攤銷後成本衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-10,1,2013,19179.0,,-18500.0,-24730,-2523,1138,-642,6136,-5747,,-289,1952,4300,-301,,,,,66.0,18.0,,-38972,2943,2,35583,-52.0,-6005,9360,4078.0,4022,-1920,275,,,2013年01月01日至2013年03月31日,408536,338114,-70422,-52175,-57599,-55954,7316,,-11118,-52175,,-15023,-7935,-22958,25.0,,,58,,,,-3779,-512,,338114,,-2.0,,-1329.0
2013-08-12,2,2013,39498.0,36000.0,-18500.0,-18284,-272,12056,1757,109,-18598,371.0,-518,3933,6213,-374,,,,129.0,,,-231.0,-75649,40217,-6,-9953,,16824,18759,8171.0,8726,-3794,518,,,2013年01月01日至2013年06月30日,408536,319195,-89341,-100639,-116336,-112780,22329,,3958,-100639,,35035,-86674,-51639,27.0,,,58,,,,-12141,943,,319195,-280.0,-2.0,,-2557.0
2013-11-13,3,2013,47623.0,36000.0,-18500.0,-17597,-181,11616,2528,58,-28541,442.0,-681,6075,4926,-1496,,,0.0,129.0,,,896.0,-82169,22138,327,-19683,-1769.0,15044,28193,10483.0,14243,-5869,666,3102.0,,2013年01月01日至2013年09月30日,408536,289009,-119527,-146175,-186126,-186196,65000,,46629,-146175,-3102.0,17776,-105420,-87644,68.0,8117.0,,89,,-8117.0,,-40021,1234,,289009,2171.0,-2.0,,-4146.0
2014-03-21,4,2013,55949.0,36000.0,-18500.0,-12990,-98,1028,-9832,88,-32417,513.0,-994,8465,6403,-2861,,,-33.0,189.0,,1542.0,,-29565,-36983,103,29765,-11.0,24642,37775,11591.0,19502,-8331,994,4454.0,,2013年01月01日至2013年12月31日,408536,381697,-26839,-168170,-174573,-169904,135000,,116689,-168170,-3102.0,-47942,-9741,-57683,73.0,17851.0,,85,,-17851.0,,-1734,812,0.0,381697,2668.0,-2.0,0.0,
2014-05-13,1,2014,14117.0,,0.0,-10768,-267,6889,-9989,-586,-3199,,-556,2582,2667,-539,,,,,0.0,,,-14608,19180,-62,3535,-4.0,24583,8964,2776.0,4939,-2555,556,0.0,,2014年01月01日至2014年03月31日,381697,371355,-10342,-58925,-52592,-51073,15000,,15000,-58925,0.0,15068,-21333,-6265,0.0,,,0,,-4588.0,28321.0,7852,415,,371355,480.0,0.0,,
2014-08-13,2,2014,29034.0,0.0,0.0,221,-806,597,-952,-1077,-10701,143.0,-1067,5177,283,-3419,,,,0.0,,,,-48837,73862,58,-5008,-7.0,14729,17507,2776.0,9821,-5263,1067,528.0,,2014年01月01日至2014年06月30日,381697,334000,-47697,-121830,-77709,-73949,15000,,15000,-121830,-528.0,74457,-55610,18847,0.0,,,26,,-4821.0,28321.0,47881,796,,334000,436.0,0.0,,
2014-11-07,3,2014,45851.0,0.0,0.0,-1245,-541,-214,-2753,-1158,-24811,214.0,-1426,7866,2031,-3847,,,,0.0,,,,-72298,53597,89,-29792,11.0,191,26103,2776.0,15633,-7802,1411,528.0,,2014年01月01日至2014年09月30日,381697,218985,-162712,-161781,-174934,-168954,10000,,10000,-161781,-528.0,52349,-105373,-53024,0.0,0.0,,34,,-4821.0,28321.0,-7173,1280,,218985,411.0,0.0,,
2015-03-20,4,2014,64157.0,0.0,0.0,-416,1638,-16905,-7476,-1328,-29129,287.0,-1596,10422,23961,-3935,,,-31.0,0.0,,,-59.0,-38912,3678,-68,6694,-98.0,-4264,34814,2776.0,22811,-10324,1596,528.0,,2014年度,381697,214493,-167204,-179953,-176901,-168587,-10000,,-10000,-179953,-528.0,-14637,-38154,-52791,10.0,0.0,,23,,-4821.0,28321.0,11366,402,,214493,414.0,0.0,,
2015-05-13,1,2015,,,,-11358,518,6288,-2975,-471,1606,74.0,-107,2558,-224,-1848,,,,122.0,,,,12891,-6163,-91,-3682,104.0,-242,8379,0.0,5451,-2573,107,,16422.0,2015年01月01日至2015年03月31日,214493,202987,-11506,-60278,-51162,-48690,40000,,40122,-60278,,-11690,6856,-4834,,,,67,,0.0,0.0,11588,105,,202987,-6.0,,,
2015-08-12,2,2015,,8800.0,,-5284,549,11234,-5032,-868,-701,146.0,-219,5269,-1836,-2190,,2365.0,,,-102.0,,,44787,-5666,-106,-3332,-143.0,9546,16636,0.0,11110,-5446,219,1272.0,31335.0,2015年01月01日至2015年06月30日,214493,206193,-8300,-118284,-55908,-50669,40000,,39898,-118284,-1272.0,-549,36829,36280,,,,67,,-402.0,0.0,67615,141,,206193,-12.0,,,
2015-11-12,3,2015,,8800.0,,-829,440,22589,-3316,-868,-4741,220.0,-290,7994,1296,-4876,,,,,-102.0,,,15422,37129,-57,-4986,109.0,2820,24851,0.0,17306,-8076,275,1272.0,48490.0,2015年01月01日至2015年09月30日,214493,190403,-24090,-154997,-48104,-40289,2105000,-2085000.0,19898,-154997,-1272.0,58549,7669,66218,,,2365.0,83,,-402.0,0.0,114708,585,,190403,-14.0,,,
2016-03-28,4,2015,,8800.0,,881,456,16431,-1179,0,-13125,294.0,-382,10762,2370,-5445,-5015.0,,0.0,179.0,,,4328.0,42969,51781,70,-6898,97.0,-6820,32724,0.0,23844,-10857,382,1272.0,65652.0,2015年度,214493,251660,37167,-169407,-8562,1860,200000,-150000.0,50179,-169407,-1272.0,70170,35445,105615,0.0,,2365.0,84,,-402.0,0.0,171267,1007,,251660,53.0,,,
2016-05-11,1,2016,,,,-8658,86,-19565,-2709,0,-2752,74.0,-52,2701,-381,-415,,,,130.0,,,29.0,19187,-6304,-186,-34959,12.0,-3138,7778,,6102,-2712,37,,16603.0,2016年01月01日至2016年03月31日,251660,194230,-57430,-24640,-64041,-61331,80000,-70000.0,10130,-24640,,-34911,-18383,-53294,,,,0,,,,-36691,-198,,194230,-35.0,,,
2016-08-11,2,2016,,7040.0,,-3722,-95,-24931,-157,0,-4692,146.0,-146,5426,1501,-1458,,,,130.0,0.0,,31.0,20956,14186,-177,-44595,-5207.0,2181,15430,,11337,-5470,146,1165.0,30428.0,2016年01月01日至2016年06月30日,251660,185003,-66657,-59723,-80469,-74761,80000,-70000.0,10130,-59723,-1165.0,-16368,-29098,-45466,61.0,,0.0,82,34.0,-682.0,,-15038,-1724,,185003,-384.0,,,
2016-11-11,3,2016,,7040.0,,-3524,71,-23296,-3793,0,-7029,215.0,-189,8148,3277,-1814,,,1751.0,129.0,0.0,,76.0,52576,-54398,225,3334,-6110.0,-467,22861,,15023,-8165,174,1165.0,46044.0,2016年01月01日至2016年09月30日,251660,127055,-124605,-138050,-137544,-128613,80000,-70000.0,10129,-138050,-1165.0,-82685,46078,-36607,61.0,,0.0,82,34.0,-682.0,,9437,-1692,,127055,-940.0,,,
