date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加
2013-05-08,1,2013,35442.0,,-19764,-91490,14424,-400,-160866,,,202,-345,5062,-2062,-16965,,,-113,0.0,,1241.0,0.0,0.0,,185226,,-83011,,,-9.0,-159780,-27672,127.0,-17065,31712,14042,,,,610,-4803,345,,,2013年01月01日至2013年03月31日,243491,297739,2953,54248,134172,,,,-144280,-139786,,,237428.0,217655,134172,,-174774,-134626,-309400,,13,,419,,-9,,,,,-273958,,297739,-36.0,-6072,,0.0,-331.0,
2013-08-09,2,2013,30815.0,,-39528,-40394,14464,3433,47319,,,410,-756,10198,3277,-120921,,,-113,-1730.0,,38.0,4.0,-1526.0,,-54083,7149.0,-45949,-1256.0,,-18.0,60653,-1134,248.0,-76345,64239,-147596,0.0,,,1166,-9347,756,,,2013年01月01日至2013年06月30日,243491,366745,1253,123254,199470,,,,6305,65990,,229559.0,,190017,199470,,-83918,-80377,-164295,,40796,,-36581,,-100,,,,,-133480,,366745,-51094.0,-10074,,1022.0,,
2013-11-06,3,2013,54668.0,,-59292,-8277,15948,7260,32969,,,618,-1213,14068,2379,-357366,,,-1232,,,633.0,3.0,-1527.0,,51049,7149.0,-101710,-1834.0,,-27.0,-87794,-9266,-7239.0,-333764,96254,42745,-39878.0,,,1785,-13836,1213,,,2013年01月01日至2013年09月30日,243491,206502,-6131,-36989,271189,,,,156806,259708,-146938.0,173844.0,,137590,271189,,-111800,45651,-66149,170000.0,59090,0.0,-52525,,-279,,,,,-11481,,206502,-90279.0,-585,0.0,2043.0,,
2014-03-26,4,2013,70686.0,,-79056,34582,15262,1224,-6167,0.0,,826,-1934,5532,3555,-703265,,,-4593,-41077.0,,-2083.0,3.0,-1753.0,,71638,7149.0,-121753,-2358.0,0.0,-35.0,-90574,4602,-9487.0,-677979,128710,42625,,,,2439,-20840,1934,737.0,,2013年01月01日至2013年12月31日,243491,211074,-8271,-32417,430880,,,,318133,441160,-146938.0,189900.0,0.0,323874,430880,-737.0,-97792,37386,-60406,360000.0,65560,0.0,-58532,,-280,,,,,10280,,211074,-104858.0,2054,627.0,2335.0,,
2014-05-14,1,2014,35698.0,,-19764,-66929,544,-116,-62658,,,213,-1238,7533,765,-190185,,,-500,,,-296.0,-1014.0,226.0,,-141443,,-7490,,,-9.0,117773,-19830,-256.0,-190962,35663,-78842,-556.0,,,662,-6639,1238,,,2014年01月01日至2014年03月31日,211074,306843,5546,95769,23534,,,,-198500,-200015,,435253.0,,484466,23534,,-74791,-184456,-259247,70000.0,53,,-53,,-126,,,,,-223549,,306843,6916.0,-13312,,1106.0,,
2014-08-12,2,2014,87954.0,,-39528,32990,-4740,2161,48793,,,425,-1504,15563,704,-474340,,,-1029,0.0,,-427.0,-1088.0,226.0,,-314391,0.0,97638,0.0,,-17.0,-49635,-2984,-118.0,-420070,83215,11191,,,,1335,-14019,1504,,,2014年01月01日至2014年06月30日,211074,211765,-6597,691,51120,,,,-77703,-40021,,353393.0,,497760,51120,,132671,-311766,-179095,185000.0,170,,171,,-159,,,54903.0,,-91141,,211765,-25167.0,-4068,,0.0,,
2014-11-12,3,2014,160037.0,,-419292,80030,45,11973,23972,,,636,-1610,23872,561,-600900,,,-1760,,,-427.0,-1088.0,341.0,,-123037,0.0,127083,8.0,,-47.0,-199469,-7400,-1061.0,-564125,134663,14779,0.0,5765.0,2884.0,2048,-23627,1610,665.0,,2014年01月01日至2014年09月30日,211074,205716,9105,-5358,113120,,,,145262,200080,-132243.0,265614.0,,412944,113120,-665.0,218033,-291110,-73077,700000.0,432,,372,-17829.0,-4053,7840.0,,59486.0,,86960,,205716,-33466.0,-7301,,513.0,,-17500.0
2015-03-25,4,2014,214627.0,,-439056,27993,677,10299,39506,,-749.0,852,-1876,32107,673,-595174,-78551.0,-17500.0,-1760,0.0,,-296.0,,350.0,,-235556,0.0,148380,0.0,,,-89817,1822,-1476.0,-637628,187480,10495,,5765.0,2278.0,2703,-31887,1876,727.0,,2014年度,211074,240860,6228,29786,263321,,58802.0,,327512,390271,-132243.0,211277.0,,339229,263321,-727.0,185196,-272873,-87677,700000.0,429,,678,-17829.0,224,7840.0,-7896.0,,,126950,,240860,-33475.0,-8548,0.0,1420.0,,
2015-05-13,1,2015,,,-19764,-71985,-418,-4835,-156127,,-5.0,221,-142,8385,188,-27212,,,-2734,,0.0,0.0,,,56.0,131128,,-47042,,,,-123821,-29398,,-29836,53381,6894,,,,818,-7822,142,,55263.0,2015年01月01日至2015年03月31日,240860,251412,-7482,10552,118110,-6462.0,,,-136373,-128693,,196342.0,,176573,118110,,-130324,-171742,-302066,0.0,54,,289,,0,,,,,-246803,,251412,0.0,-207,,0.0,,
2015-08-11,2,2015,,,-66988,-32888,-3031,-3847,-20554,,-9.0,432,-405,16695,375,-103892,,,-2734,,,0.0,,,152.0,-101682,,3101,,,,35098,-2487,,-85342,108611,6894,,,,1622,-15841,405,64.0,106355.0,2015年01月01日至2015年06月30日,240860,263025,-11855,22165,162485,-6699.0,,,84485,142745,,89644.0,,22647,162485,-64.0,-40333,-85762,-126095,0.0,21132,,-17286,,0,,,,0.0,-19740,,263025,-42888.0,5368,,3237.0,,
