date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款減少
2013-05-15,1,2013,-1537649.0,,,-6000.0,-11040400,-70211,54501,100879,-6705,2280.0,4195,,64303,3469,-15578,-532.0,,,-61,,-8379,-1399.0,,-99,-4455,2415.0,0.0,35770,80879,379552,-95052,39033,31978,-2648.0,-63493,70349,,-1735325,20765,-36508,,,2013年01月01日至2013年03月31日,1883376,2051789,37486,168413,1438938,,-63680,-26855,,,-4561,292117,1438938,,,16127,55729,71856,10983450,3418,2957,,,-3365,,0.0,,,-1465793,533.0,2051789,-317,798,,-15469,,6906.0,-98848,-50529
2013-08-14,2,2013,-2378182.0,100.0,,-6000.0,-12650,308149,45546,144588,-7984,3357.0,6529,,130799,4480,-85859,0.0,,-29700.0,-61,,-37904,-3563.0,,-85,13913,,-22160.0,149422,41189,70200,-51882,32724,32850,-5302.0,-239097,144314,,-3677381,36125,-119208,,,2013年01月01日至2013年06月30日,1883376,2888702,52733,1005326,3155733,,1244800,1364818,,,89905,-4857,3155733,,929090.0,440099,147168,587267,285000,3418,1715,,,487,,,,,-1790915,533.0,2888702,-810,1197,0.0,-445225,,4006.0,-105390,-71612
2014-01-23,3,2013,-5129872.0,21715.0,26139.0,-6000.0,-10983450,-62490,40584,104902,-5231,710.0,12871,,206078,1070,-126105,-532.0,-10908.0,-57299.0,-61,-3646315.0,-45771,0.0,,216,17987,,-24146.0,99393,196234,789474,-56504,45391,23740,-7911.0,-2093006,214653,,-5709897,63303,-188289,1799194.0,,2013年01月01日至2013年09月30日,1883376,2143728,188680,260352,4986709,,-26995,158702,,-2524303.0,3985504,2379283,4986709,,-104106.0,174941,126924,301865,11528900,3427,2247,,,560,,,36099.0,,-4828007,533.0,2143728,2592,798,0.0,-428829,,9310.0,-76953,-83561
2014-03-18,4,2013,-79483252.0,24672.0,1665.0,-6000.0,-14522050,274342,44552,106772,4586,646.0,-19557,,294583,2395,-242147,-532.0,-390639.0,,-136,-3783043.0,-4616,0.0,,270,19828,,-23980.0,28731,-5104,609672,-87023,5909,25677,-9088.0,-2504878,286940,,-80078499,81317,-154754,1898980.0,,2013年01月01日至2013年12月31日,1883376,1793223,96454,-90153,79091095,,-99421,50261,7000000.0,-2524303.0,917941,2511751,79091095,33486.0,-205302.0,280545,161873,442418,11528900,228,2410,6311.0,6481.0,600,,-434.0,35844.0,,-79040834,533.0,1793223,5072,1197,0.0,-512237,0.0,5603.0,52418,-16819
2014-05-15,1,2014,-1616643.0,,,0.0,-8900200,-86274,5440,97879,-9618,23454.0,1715,,61778,1398,-22030,0.0,-77768.0,,0,,-2342,-894160.0,,91,14498,470.0,,44933,-29722,70458,13171,63084,17129,-2284.0,-986276,87216,-915.0,-1878080,24386,-29782,,,2014年01月01日至2014年03月31日,1793223,2065226,85627,272003,1609809,,-70380,-42376,,,322929,1327261,1609809,,,16224,-51766,-35542,9907950,0,0,8928.0,,281,,-2252.0,,,-1652185,0.0,2065226,1778,399,,-88374,,3911.0,-171819,-1089
2014-08-14,2,2014,-3416235.0,21000.0,,0.0,-8967250,-92479,-20647,71264,-4774,17780.0,-392,,125521,206,-17148,-5718.0,-177374.0,0.0,0,0.0,-1745,-1113712.0,,667,11597,,-3492.0,65371,20389,-749278,11807,-23955,12503,-4467.0,1721235,173283,,-3390616,42062,-60730,2233742.0,,2014年01月01日至2014年06月30日,1793223,3922127,-72238,2128904,3158099,,-365664,-304918,,,-692246,773127,3158099,,-7796.0,24294,-71076,-46782,11060550,4299,50576,743773.0,,-2005,,-286739.0,,,-3463017,0.0,3922127,-16,-1121,0.0,109754,,2747.0,-99574,-12574
2014-11-14,3,2014,-6755818.0,22603.0,0.0,0.0,-11856127,203258,-47279,99284,-3051,8385.0,-7525,,187537,1257,-11632,-5718.0,-177179.0,0.0,-76,0.0,-7064,-1113712.0,,758,17867,,-1776.0,-12912,186601,-1499263,2936,-11907,-3079,-6465.0,5162590,258173,,-6442511,63769,-101263,3738528.0,,2014年01月01日至2014年09月30日,1793223,3109250,172340,1316027,6651580,,34196,137181,,-4707172.0,-1473108,-3882016,6651580,,-393494.0,493999,-252580,241419,16557150,12553,50576,1899502.0,,-5739,,-602153.0,777190.0,,-6514399,0.0,3109250,-1722,-6176,,-921363,,11678.0,-174352,-13680
2015-03-25,4,2014,-8637226.0,105001.0,0.0,0.0,-11762587,163915,-11998,-87462,-5906,0.0,-8206,,256260,63459,-125394,-6191.0,-238949.0,,-283,-6000.0,-2263,-48584.0,,1436,92308,-52194.0,,-94988,-56901,-1789120,42049,-25824,16883,-8480.0,5334172,332837,,-8560790,84650,-140592,3752082.0,,2014年度,1793223,2719868,163088,926645,8509986,,-324423,-179771,0.0,-4578157.0,-1449933,-4146563,8509986,0.0,-393868.0,53121,-105652,-52531,16557500,13397,50576,1899502.0,0.0,-5957,,-602142.0,0.0,,-8689757,0.0,2719868,-4060,-7436,0.0,-1216574,94696.0,,16181,1678
2015-05-13,1,2015,,,,,-1557110,21041,11211,51817,4144,0.0,401,,65790,-11356,-12229,,-438372.0,,-29,,-2131,,0.0,-9847,3618,1527.0,,29161,114265,-199865,-31829,41573,3746,,-37846,79913,0.0,-2474288,19765,-33341,,-1797907.0,2015年01月01日至2015年03月31日,2719868,1831667,-7047,-888201,1719494,-4096.0,7491,39317,,,41388,-846490,1719494,,,151198,-33468,117730,862500,270,2611,374443.0,,-33,,63468.0,,35665.0,-1680177,,1831667,1515,1376,,2979,454648.0,8348.0,-123303,-2
2015-08-13,2,2015,,0.0,,0.0,-1230311,239940,1455,24949,9203,0.0,1720,,133203,-25760,-28967,0.0,-2215983.0,0.0,-28,,-5548,,-7.0,-9527,-5673,,4258.0,-1682610,36841,-199865,-38262,49108,-3624,,370368,162452,,-4480157,32223,-72209,1349297.0,-3755373.0,2015年01月01日至2015年06月30日,2719868,2575112,2720,-144756,3612461,-8124.0,-1761934,-1623163,,,70197,1272570,3612461,,-17257.0,255344,-1735595,-1480251,2670000,722,2582,1202825.0,,-63,,-37617.0,,60165.0,-5235624,0.0,2575112,-66562,-11411,0.0,-31778,454648.0,15413.0,-109127,-668
