date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債增加（減少）,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2014-03-24,4,2013,639631.0,600.0,,-1300000,30495,16708,5.0,-148.0,-125,,-30988,105115.0,-106,69911,182,-279535,0.0,,-650.0,-1164,,-300.0,-541.0,,158602,-693670,38,500000.0,,-141764,,248568,17349,37011,-1261,-520.0,-887767,639287,33675,-71341,106,24585.0,,2013年01月01日至2013年12月31日,128060,140281,12221,406207,,642288,688953,0.0,0.0,,-42182.0,257518,406207,-24585.0,-836942,480057,-356885,1100000.0,119141,,36125,10607,-69883,282746,1005,140281,-15,-124390,3200,-730755,-32378
2014-04-28,1,2014,209304.0,,,-450000,-56685,33072,0.0,379.0,-156,,-8323,22344.0,-26,15350,-28,-64872,,,,-220,350.0,,,411.0,-429365,250446,1832,,-300000.0,19439,0.0,-199134,41862,78887,-2272,-45.0,-33399,169196,8669,-14912,26,,,2014年01月01日至2014年03月31日,140281,214514,74233,99799,,75306,91616,,,782004.0,,32354,99799,,260703,-478190,-217487,,12,,63997,-12,-56126,-8183,1369,214514,-1424,49909,-1084,-24404,43968
2014-08-12,2,2014,400221.0,,,-900000,-61414,3961,0.0,416.0,125,,-14244,42179.0,-93,29490,-161,-94166,,,,-220,350.0,,,414.0,473817,190975,1001,,250000.0,42018,0.0,-555677,49806,64638,-1072,-249.0,-184502,340318,16818,-29623,93,23149.0,,2014年01月01日至2014年06月30日,140281,133536,-6745,24364,,641709,657830,,,185859.0,,-463791,24364,-26548.0,215200,18045,233245,,1012,,92731,118,-70700,633466,2366,133536,-9740,68639,-17553,-170029,40087
2014-11-07,3,2014,641965.0,0.0,,-1024000,-33088,17402,0.0,6.0,124,,-19934,64884.0,-181,40579,26,-123986,,,,-343,350.0,,,964.0,928152,231434,1650,,-350000.0,13730,174.0,-92557,49482,-32411,-917,-272.0,-266222,515492,24625,-39835,181,31186.0,,2014年01月01日至2014年09月30日,140281,56172,-84109,56400,,1835231,1853452,,-122353.0,-157141.0,,-1653144,56400,-31431.0,289847,865240,1155087,0.0,2052,,93131,-867,-70704,1797052,2961,56172,-9753,99568,-4035,-218106,73252
2015-03-20,4,2014,837769.0,588.0,0.0,-1147000,-272,26769,0.0,251.0,-262,,-26317,88013.0,-293,50008,254,-145852,,,0.0,-4243,350.0,0.0,0.0,732.0,1035457,607326,2195,0.0,-850000.0,31090,171.0,-284851,26625,31744,-3147,-299.0,-330313,692275,32646,-49511,293,31430.0,,2014年度,140281,194720,54439,85510,,2370642,2398190,,-122353.0,-167141.0,,-1986144,85510,-31430.0,642557,832354,1474911,300000.0,2052,,89004,-843,-74663,2312680,472,194720,-9760,82056,19,-246277,1623
2015-05-08,1,2015,,,0.0,-738000,-54691,-23325,,100.0,146,,-8761,,-46,9507,-62,-15892,-10000.0,-66715.0,,0,0.0,-321.0,-409.0,0.0,-235814,-221906,-1137,,0.0,-17766,207.0,97154,43339,-70746,4424,,-66154,177489,8129,-9250,46,,147479.0,2015年01月01日至2015年03月31日,194720,61229,-133491,-77462,13.0,-358954,-349766,,,15000.0,,291679,-77462,,-234777,-185006,-419783,1015000.0,4220,,33192,-2031,-5644,-272304,1345,61229,16,-39925,-184,-1789,59058
2015-07-28,2,2015,,,0.0,-246000,-50315,-2632,,,-1319,1532.0,-18904,,-167,19467,-171,-52184,-10000.0,-62891.0,,-166,0.0,-221.0,-313.0,0.0,-344033,-187316,-1069,0.0,-300000.0,-27067,-171.0,-62999,34416,-4191,4424,,-149445,350497,16293,-18504,167,19821.0,246080.0,2015年01月01日至2015年06月30日,194720,109526,-85194,214931,-43.0,-199357,-176539,,,0.0,-90000.0,263779,214931,-20566.0,-238254,-399296,-637550,900000.0,8015,,0,-5148,-10863,-391470,2727,109526,-24302,-103433,-22962,-13002,23468
2015-11-12,3,2015,,,,-579000,-21973,-32161,,-222.0,-702,,-25589,,-224,29966,325,-73192,-10000.0,-48347.0,,-497,0.0,-221.0,-717.0,0.0,-67218,-810953,-2081,,-300000.0,6977,-171.0,20381,25159,-97115,4424,,-269768,525202,24470,-28838,224,32942.0,422483.0,2015年01月01日至2015年09月30日,194720,78636,-116084,108381,109.0,-452067,-432093,,-122353.0,707000.0,0.0,605426,108381,-32942.0,-799008,-163949,-962957,900000.0,10535,,0,-6589,-60803,-540474,3769,78636,-24302,-56597,-16717,-121961,25537
2016-03-25,4,2015,,0.0,0.0,-792000,4266,-3179,,49.0,-1019,,-33028,,-260,39688,64,-105817,-10000.0,-15142.0,,-1399,0.0,-421.0,,722.0,682496,-693616,-2360,,-400000.0,4583,-171.0,146795,6976,13275,4424,,-465664,703662,32597,-38895,260,32942.0,655810.0,2015年度,194720,228323,33603,141915,-115.0,923977,953977,,-122353.0,,-10000.0,-424774,141915,-32942.0,-690551,846803,156252,900000.0,10535,,0,-6365,-64689,812062,4520,228323,-24307,-15881,-2965,-311535,-7707
2016-05-06,1,2016,,5463.0,0.0,-623000,-72485,1066,,-221.0,413,,-7015,-818.0,-19,6838,-116,-39782,0.0,-116277.0,-244.0,0,1130.0,0.0,0.0,98.0,77898,-20221,188,550000.0,0.0,-1082,420.0,-236415,23312,72833,0,,-174892,183262,8056,-7221,19,3738.0,204203.0,2016年01月01日至2016年03月31日,228323,328040,99717,19780,-73678.0,-13405,-9917,,,360000.0,,288130,19780,-3738.0,-157241,-76659,-233900,0.0,0,,5786,33,-3848,-29697,-1235,328040,-24,14437,-15766,-22921,11073
