date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,14273.0,,-17384,-6991.0,61370,-12042,-24,-166,,-11041,371.0,,-1884.0,-4470,2990,1268,-2144,-204000,-72.0,,-268.0,,,,,1.0,-23075,-19240,-10569,-84276,32994,-1477,-259,553.0,61331,15759,8784.0,508,-2725,4470,,,2013年01月01日至2013年03月31日,142542,231815,89273,15225,,,-56230,-57151,,,0.0,82904,15225,,-137099,50450,-86649,66839.0,130,264321,,,-129,,,-313.0,-72376,231815,-824,-72.0,15694,-3282,,5247.0,-1356,832
2013-08-13,2,2013,28231.0,0.0,-17588,-6991.0,62476,-59886,79,577,,-11542,-800.0,,-2809.0,-9882,6087,3225,-3291,-527000,18108.0,,-407.0,,,-130.0,0.0,1.0,-23729,18140,10040,13336,-13152,-5924,-1394,-7481.0,47317,31661,8604.0,1016,-5586,9882,,,2013年01月01日至2013年06月30日,142542,320275,177733,67433,,,53999,52449,,0.0,,73192,67433,,12350,-55565,-43215,67583.0,132,557242,,,-130,103.0,,-521.0,-14984,320275,-2746,0.0,6539,-10029,0.0,5238.0,-1566,2815
2013-11-12,3,2013,39403.0,-151689.0,-6458,-6991.0,79799,86737,107,-4733,,-11697,-2241.0,,,-15038,8605,2287,-4088,-692000,,,-407.0,1939.0,,-130.0,0.0,1.0,6249,-6505,-64,-90936,-53364,8836,-2450,-16628.0,211285,46978,26712.0,1521,-7853,15038,2100.0,,2013年01月01日至2013年09月30日,142542,410832,268290,107659,,,168322,162782,-86339.0,,0.0,-113604,107659,-2100.0,-132679,148399,15720,126266.0,291,907488,,,-286,,,-2216.0,55123,410832,-3745,0.0,529,12564,0.0,,-254,-5204
2014-03-19,4,2013,51264.0,-308932.0,420,-6991.0,94619,76912,4379,491,,-12667,-2256.0,,-2607.0,-19258,9792,7903,-5580,-1016646,,,-524.0,1940.0,,-130.0,0.0,1.0,38329,15258,-22526,-126398,-23771,-25382,6424,-20300.0,128969,61119,26358.0,2024,-9430,18649,2100.0,,2013年01月01日至2013年12月31日,142542,365356,222814,158617,,,278886,276949,-86339.0,,0.0,-192944,158617,-2100.0,-135335,202403,67068,194496.0,291,1155121,,,-286,,,-1967.0,118332,365356,-9382,0.0,10217,20905,-1313.0,226.0,185,20823
2014-05-13,1,2014,5404.0,-59744.0,-21250,0.0,-874,31693,-4331,-1420,,-274091,-29.0,,21956.0,-4838,892,4472,-1583,-110000,0.0,,0.0,,,,,0.0,-25435,32503,7821,34064,-23488,-8784,-8455,-5196.0,52012,14235,0.0,64,-498,4563,0.0,,2014年01月01日至2014年03月31日,365356,119205,-246151,48735,,-240501.0,-240501,-242697,,,,-62134,48735,,23821,-320657,-296836,0.0,0,127612,,,0,16443.0,-4765.0,-184.0,-291432,119205,-1869,0.0,-2361,-9818,-2416.0,0.0,15,-19790
2014-08-13,2,2014,15860.0,-117262.0,-8969,0.0,-22049,-24804,-4222,-1933,,-275774,-29.0,,23639.0,-9628,2134,-5154,-4058,-255000,,,-34.0,,,0.0,,0.0,-33121,27857,-1896,34631,-6124,16872,-7701,-7360.0,81229,28311,0.0,130,-2476,8874,,,2014年01月01日至2014年06月30日,365356,181581,-183775,100088,,-229718.0,-229718,-228107,,,,-30132,100088,,25755,-369810,-344055,118344.0,0,302610,,,0,16443.0,-4765.0,-322.0,-328195,181581,-8009,,-31185,-12512,-2371.0,,-2664,-14286
2014-11-13,3,2014,23746.0,-120331.0,-22598,0.0,-1695,-53019,-4120,-7059,-58.0,-290039,-29.0,,23091.0,-14966,3931,6022,-7650,-440000,,16443.0,-34.0,0.0,,0.0,,0.0,8088,23644,5702,-8641,-15229,33408,-8654,-12447.0,50529,41140,0.0,193,-3613,14354,1380.0,,2014年01月01日至2014年09月30日,365356,163421,-201935,133071,,-224797.0,-224797,-228189,0.0,,,-33689,133071,-1380.0,-43214,-341792,-385006,121442.0,0,459509,,,0,,-4765.0,-407.0,-361260,163421,-8729,,-34771,6495,-2433.0,1603.0,-14030,-24754
2015-03-13,4,2014,32032.0,-186892.0,-1398,0.0,-1774,-69711,-4258,-401,,-128984,-29.0,,20015.0,-20263,4756,24407,-12531,-570000,,,-34.0,0.0,,0.0,0.0,0.0,30342,48818,-2827,1839,-34185,37825,-10145,-15023.0,77209,54060,0.0,249,-5477,20620,1380.0,,2014年度,365356,392060,26704,172141,,46669.0,46669,44864,-43170.0,,,-121581,172141,-1380.0,11993,-171302,-159309,125339.0,102,623457,-523.0,,-102,16443.0,-4765.0,,-127277,392060,-14718,,-16829,4555,-3012.0,2769.0,1176,-15158
2015-05-12,1,2015,,0.0,-46416,,-1015,2038,-86,-223,,-316286,0.0,,1601.0,-6236,694,-4653,-3426,-55000,,,,,,-135.0,,,39432,-48263,5028,-2461,41912,-4505,1596,,104034,12624,,56,-694,5905,,6163.0,2015年01月01日至2015年03月31日,392060,207449,-184611,34714,346.0,,-278445,-281511,,,,-5547,34714,,-96643,-225745,-322388,,393,160466,,,-393,0.0,0.0,-582.0,-316225,207449,-2145,,-5412,11163,0.0,,143,-4791
2015-08-12,2,2015,,-60842.0,-20070,,-2205,3348,43,-4610,,-324642,0.0,,2504.0,-12448,1332,-11587,-4071,-110000,-11.0,,0.0,,,-5.0,,,1191,8117,13176,13430,57315,-2993,83,,107379,25230,,103,-1145,11722,,12553.0,2015年01月01日至2015年06月30日,392060,240557,-151503,56179,-948.0,,-196231,-199471,,,,-51064,56179,,6879,-275082,-268203,61084.0,1025,217920,,12.0,-1025,0.0,0.0,-736.0,-255650,240557,-7337,97.0,-51301,-897,0.0,,-1672,-6869
2015-11-12,3,2015,,-63356.0,-14672,,-49947,27396,4,-92,0.0,-373578,0.0,,-890.0,-18864,1649,19057,-5700,-360000,-101.0,,0.0,,,101.0,,,-3460,-33967,9627,-18744,69419,-10592,9658,,117246,37398,,149,-1126,17753,0.0,18539.0,2015年01月01日至2015年09月30日,392060,257276,-134784,123889,-4988.0,-243157.0,-243157,-247018,,,,-27930,123889,0.0,-72418,-317028,-389446,63609.0,1253,483054,,104.0,-921,0.0,0.0,-872.0,-370907,257276,-12766,,-28284,14097,-474.0,0.0,71,-9678
2016-03-18,4,2015,,-122525.0,-18171,,-8662,53745,412,1191,,-334365,0.0,,3066.0,-24302,2048,8725,-7464,-608000,-101.0,,0.0,,236.0,-135.0,,,91316,-92701,-1932,-13461,124218,-316,-5433,,-5040,49985,,196,-1733,24170,0.0,26070.0,2015年度,392060,232894,-159166,150681,-7567.0,-19218.0,-19218,-28227,-98427.0,,,-143633,150681,0.0,-142178,-62800,-204978,126268.0,1305,606050,,104.0,-967,0.0,0.0,-890.0,-178908,232894,-13428,,-49050,12982,0.0,0.0,2524,-8758
2016-05-12,1,2016,,,-24506,,11726,-58752,-55,-7,,-20598,,-1954.0,2913.0,-5667,754,-7922,-1443,-15000,,,,,,0.0,,,7509,6224,12462,1457,-31874,9883,16997,,106259,12213,,24,-1094,4638,,7217.0,2016年01月01日至2016年03月31日,232894,276262,43368,26287,-12870.0,-52227.0,-52227,-55768,,,,-2742,26287,,-16631,-72641,-89272,,0,123032,,,0,,,-107.0,-82055,276262,-3,,-2742,-3032,-1289.0,,-4493,657
2016-08-12,2,2016,,-62916.0,-9181,1211.0,9427,-9148,293,-374,,-70223,,,3878.0,-11501,1304,-12192,-7944,-146000,0.0,,-300.0,,,0.0,,,46365,25628,6647,2820,-33444,18921,15511,,110287,24172,,49,-1695,11884,,13205.0,2016年01月01日至2016年06月30日,232894,269615,36721,49077,-12591.0,55802.0,55802,53634,,,,-117176,49077,,22360,-31008,-8648,0.0,650,261158,,0.0,-650,,,-169.0,4557,269615,-8021,0.0,-54260,-598,-2102.0,947.0,-7445,7533
