date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預收款項增加（減少）
2013-05-10,1,2013,-3707.0,-3201,,,,50,-2502,,0,,1127.0,,,33,,-35000,0.0,,,0.0,-15565,1511,11,-1724,-286,37,6090,2316,,708,-29,,,,2013年01月01日至2013年03月31日,24671,16477,-8194,-838,-25127,-25098,10832.0,,10843,-838,,,-3364,-17189,-20553,0,41090,0,-100,-24260,16477,,196,,,-6860.0,
2013-08-09,2,2013,599.0,-2540,0.0,,,-943,-4363,4768.0,0,0.0,807.0,-1049.0,,75,,-50000,,,,0.0,-21706,-8918,0,2664,-1321,-2514,31360,4492,,1021,-66,,,,2013年01月01日至2013年06月30日,24671,23246,-1425,5531,-28002,-27936,,-4783.0,-4783,5531,,,-9737,-24329,-34066,0,82409,0,-232,-33467,23246,0.0,373,,,-5130.0,
2013-11-11,3,2013,2806.0,-3056,,,,42524,-7476,,0,,-32522.0,-1049.0,,97,,-57000,0.0,,60.0,0.0,-25961,-8025,0,11363,4289,4153,23632,6545,-500.0,1197,-99,,,,2013年01月01日至2013年09月30日,24671,33990,9319,-3220,-15724,-15625,1351.0,,1411,-3220,,,42806,-58017,-15211,-1264,82945,0,-237,-12405,33990,0.0,804,,,-5600.0,
2014-03-24,4,2013,6566.0,-4893,,,-93.0,53557,-15643,,0,,-76613.0,-1049.0,-5.0,142,-1265.0,-113000,0.0,,20.0,0.0,-32400,-5759,1,4551,6538,7881,31134,8486,2115.0,1353,-144,5.0,1385.0,,2013年01月01日至2013年12月31日,24671,25908,1237,23485,-30847,-30708,929.0,,950,23485,,-1385.0,47456,-108215,-60759,0,145063,0,-597,-54193,25908,0.0,482,0.0,,-1910.0,
2014-05-06,1,2014,10492.0,-2940,,,,-6235,-3344,,0,,-6700.0,,,36,-1519.0,-37500,,,,,-4279,-309,10,-6790,5938,-3001,16455,1937,-2500.0,131,-36,,,,2014年01月01日至2014年03月31日,25908,16664,-9244,-5479,-25183,-25147,-526.0,,-516,-5479,,,-16274,-13886,-30160,40,55434,-40,-336,-19668,16664,,154,,,8610.0,
2014-08-08,2,2014,19762.0,-2472,,,,3095,-15007,-7727.0,0,,10880.0,0.0,-22.0,155,-1590.0,-62500,,,,,-32362,508,5000,-2457,1966,-10317,30393,3903,-2500.0,262,-145,22.0,,,2014年01月01日至2014年06月30日,25908,14094,-11814,-23870,-65162,-60501,17955.0,,22955,-23870,,,-1326,-55067,-56393,1990,92493,-1665,-494,-36631,14094,-4538.0,163,,,17460.0,
2014-11-10,3,2014,16684.0,341,,,,-613,-15439,,0,,9320.0,-319.0,-22.0,307,-8368.0,-62500,,13241.0,0.0,,-134077,35146,5000,1878,-13599,-16270,113076,5916,-2500.0,406,-297,22.0,,,2014年01月01日至2014年09月30日,25908,11944,-13964,-31927,-154726,-149913,9445.0,,27686,-31927,2397.0,,37895,-172565,-134670,3437,180826,-2388,-992,-117986,11944,-4538.0,-400,,,11460.0,1143.0
2015-03-24,4,2014,4046.0,-2407,,,11.0,-619,-17437,,0,,6437.0,-608.0,-22.0,693,-8368.0,-168670,,13202.0,0.0,,-313042,6019,25025,-121,-3537,1206,168988,7994,-2500.0,590,-630,22.0,1555.0,,2014年度,25908,20949,-4959,-44522,-367956,-362810,155782.0,,194009,-44522,2396.0,-1555.0,6528,-328862,-322334,3891,341188,-2678,-5231,-318288,20949,-4538.0,-801,,,2660.0,3656.0
2015-05-04,1,2015,,-3589,,,121.0,1542,-209,,0,,-2863.0,,-102.0,204,-2278.0,-31000,,,,,-23514,-5554,0,-868,7634,-7125,-12371,2132,0.0,207,-204,102.0,,2973.0,2015年01月01日至2015年03月31日,20949,12075,-8874,-15444,-13178,-13076,16675.0,,16675,-15444,,,25351,-25956,-605,0,20907,0,-12,2368,12075,,-630,,,1174.0,33820.0
2015-08-10,2,2015,,3883,,,21.0,721,19034,,0,,57748.0,,-134.0,295,-3425.0,-94827,,,,,101565,8731,-20000,-7843,12278,-1026,-56451,4319,0.0,376,-295,134.0,,8167.0,2015年01月01日至2015年06月30日,20949,15561,-5388,72548,223557,223718,-152494.0,,-172494,72548,,,-46617,189620,143003,320,41481,-310,-33,151170,15561,0.0,377,,,3277.0,-52109.0
