date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少,預收款項增加－處分資產
2013-05-09,1,2013,7081.0,1499,1463,-7268,2267,,-304.0,134.0,,0.0,,,,-3310,800,4157,-1322,0.0,,,,485.0,-15629,26062,-1724,,-12621,-34.0,,-837,8573,1018,-843,3487,,,2013年01月01日至2013年03月31日,1285991,1267691,-18300,-17100,,-11889,-13112,,-9731,-9731,-17100,,,28034,-31127,-3093,,,,,,3988,-1229,1267691,-1421,,4291.0,
2013-08-06,2,2013,11101.0,938,1985,-6037,3082,,,,0.0,,,-151.0,,-6903,1625,7130,-2116,-1140.0,,,-3445.0,,-17736,37592,-6395,,-5537,-26.0,-143.0,-4926,16339,1963,-1628,7156,1781.0,,2013年01月01日至2013年06月30日,1285991,1220579,-65412,-63618,,-27108,-29694,0.0,-40508,-40508,-63618,,-1781.0,45570,-22747,22823,145.0,,-142.0,,,33924,8511,1220579,-2942,,6589.0,
2013-11-12,3,2013,5400.0,6287,2218,-6977,6313,,56.0,,,,,-1269.0,,-10174,2389,8759,-9007,-3037.0,,,-4704.0,,-28304,-2869,-6822,543.0,62884,0.0,-657.0,-5866,22362,2769,-2470,10494,11181.0,,2013年01月01日至2013年09月30日,1285991,1150682,-135309,-127586,,-67888,-71927,0.0,-70314,-70314,-127586,,-11181.0,17546,32713,50259,523.0,,-520.0,-245.0,447.0,55659,12477,1150682,-3985,,5110.0,
2014-03-17,4,2013,1271.0,8433,867,-9003,642,,,,,,-143.0,-1269.0,,-12830,3234,11246,-24824,-3037.0,,,-543.0,0.0,-49615,26240,-12753,,52864,0.0,-468.0,5341,29919,3566,-3254,13176,11181.0,,2013年01月01日至2013年12月31日,1285991,1144760,-141231,-166425,,-131681,-136924,0.0,-27260,-26137,-166425,826.0,-11181.0,33568,-5338,28230,794.0,,-181.0,-12082.0,23039.0,29501,10607,1144760,-4679,1266.0,416.0,
2014-05-13,1,2014,1569.0,-22473,-866,2439,-58,,,0.0,,,,-9317.0,0.0,-2666,975,1558,-12331,,289.0,,,698.0,25361,-58197,-7195,,-2216,0.0,53.0,-8498,7233,798,-1007,2789,,,2014年01月01日至2014年03月31日,1144760,1059669,-85091,-48521,,-115147,-117108,36707.0,0,36996,-48521,2476.0,,-93450,23294,-70156,287.0,,-37.0,-7210.0,12165.0,-68587,-4714,1059669,179,,-2290.0,
2014-08-12,2,2014,9528.0,-9475,120,2753,-3937,,,,,-100000.0,,-9926.0,,-5164,2128,-3301,-24422,-1385.0,288.0,,1128.0,,-8911,-38119,-758,,14354,0.0,110.0,-19973,14769,1725,-2158,5100,1597.0,,2014年01月01日至2014年06月30日,1144760,888227,-256533,-136121,,-280008,-281529,46461.0,0,46749,-136121,4953.0,-1597.0,-56468,-98468,-154936,870.0,,-76.0,-7210.0,12165.0,-145408,-4409,888227,-1421,,-6664.0,
2014-11-12,3,2014,3817.0,-4980,1323,6824,-5841,,0.0,,,,,-9558.0,,-7417,3281,4156,-28764,-3281.0,273.0,,0.0,1048.0,-23544,-31756,-651,,-27309,-99.0,-440.0,-8765,23826,2771,-3283,7660,18788.0,,2014年01月01日至2014年09月30日,1144760,911912,-232848,-211832,,-305331,-307956,76819.0,0,77092,-211832,7430.0,-18788.0,-44507,-55434,-99941,837.0,,-76.0,-7210.0,12165.0,-96124,-2162,911912,-1752,,-11306.0,
2015-03-26,4,2014,11895.0,-11658,417,4753,6337,,,,,,,-9809.0,,-9362,4425,1807,-44517,-3281.0,,266.0,88.0,,-11654,-9230,-686,,-71629,,-295.0,-25676,35210,3751,-4391,9864,18788.0,,2014年度,1144760,856794,-287966,-273044,,-380169,-383264,,115806,116072,-273044,3960.0,-18788.0,-32944,-89171,-122115,890.0,,-91.0,-7210.0,12165.0,-110220,-17829,856794,-2378,0.0,-10641.0,
2015-05-12,1,2015,,-490,-1092,968,-12754,,,,,,,0.0,,-1540,1168,7335,-1550,-17.0,0.0,,,0.0,-3494,-14969,77,,-17658,,,-1552,11389,850,-1188,1595,,10798.0,2015年01月01日至2015年03月31日,856794,743035,-113759,-57852,-224.0,-96426,-96660,,-23116,-23116,-57852,-1074.0,,-31999,-17607,-49606,15.0,0.0,5.0,0.0,,-38808,-2547,743035,-173,,2577.0,
2015-08-12,2,2015,,-2381,-480,2495,-4243,,,0.0,,,,0.0,,-3044,2379,4850,-2785,-1175.0,0.0,,,250.0,-24802,3377,-14,,-5523,-709.0,,-3693,22582,1626,-2375,3175,0.0,23184.0,2015年01月01日至2015年06月30日,856794,710884,-145910,-122857,-247.0,-136749,-135078,0.0,-10318,-10318,-122857,-378.0,0.0,-6658,-28747,-35405,17.0,0.0,19.0,0.0,,-12221,-2670,710884,-2471,,-208.0,
2015-11-12,3,2015,,1679,-62,1348,7245,,,,,,,0.0,,-4237,3706,-6347,-3306,-3275.0,0.0,,,258.0,-8814,14650,15649,,-27962,-7372.0,,17794,32725,2387,-3667,4482,24068.0,10846.0,2015年01月01日至2015年09月30日,856794,780568,-76226,-127340,-211.0,-122039,-120252,794450.0,-760084,34366,-127340,318.0,-24068.0,37866,-41624,-3758,49.0,0.0,15.0,0.0,0.0,7088,-1084,780568,-2602,,1176.0,
2016-03-22,4,2015,,21613,-306,762,2963,5319.0,,,,,,-389.0,,-5370,5130,-476,-8683,-3448.0,,-248.0,252.0,,-54093,-16833,94528,,-35973,-2401.0,,11937,43212,3180,-5047,5701,24068.0,26840.0,2015年度,856794,733526,-123268,-145216,4.0,-105962,-102778,1154553.0,-1183072,-28767,-145216,4742.0,-24068.0,101984,-86386,15598,137.0,,14.0,0.0,0.0,42438,15,733526,-3838,,0.0,
2016-05-09,1,2016,,-35364,-1061,897,-3246,,,,,,,,,-876,1763,1675,-3984,,,,,,14239,-51123,-80704,,91612,2391.0,,-4119,10557,802,-1606,920,,12394.0,2016年01月01日至2016年03月31日,733526,655166,-78360,-59411,20.0,-121261,-119548,189991.0,-144646,45345,-59411,183.0,,-176334,103803,-72531,61.0,,-35.0,,,-60137,-4856,655166,-1027,,-5336.0,-196.0
2016-08-08,2,2016,,-25520,-602,2179,24557,-8268.0,,,,,,,366.0,-1627,3450,149,-5367,-787.0,,,,-1819.0,-19295,-38666,-84036,,75618,2401.0,,-1568,21220,1609,-3506,1680,1398.0,24468.0,2016年01月01日至2016年06月30日,733526,617658,-115868,-139607,82.0,-195108,-191364,600532.0,-519873,80659,-139607,,-1398.0,-128860,52635,-76225,5007.0,,848.0,,,-51757,-4675,617658,-1918,,,
2016-11-07,3,2016,,-15385,-380,-12279,4505,9864.0,,,,,,-12.0,549.0,-2021,5394,2797,-9005,-2578.0,,,,-1827.0,-38355,-22385,-90614,,44060,2401.0,,13484,31326,2420,-5360,2259,21454.0,16628.0,2016年01月01日至2016年09月30日,733526,528427,-205099,-184417,121.0,-295121,-289912,784797.0,-711056,73741,-184417,,-21454.0,-127814,5691,-122123,5452.0,,414.0,,,-105495,-3676,528427,-2108,,,
