date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-06,1,2013,,71343.0,,-103027,-1624,42634,-4590,-626,,,-16372,2555,180482,-248536,,-11331,0.0,0,37834.0,,,320.0,,-103518,,-187681,-40.0,0.0,256256,0,-259266,73100,58059,8488,2026,-2155,11461,,,2013年01月01日至2013年03月31日,4698800,4885724,186924,-45730,-22126,1202,,,250000,287834,-45730,6241,,-238123,213712,-24411,281.0,,-248.0,,46932,10617,4885724,-32634,-4447,,,,9129.0
2013-08-05,2,2013,,157436.0,,-288090,1614,-91328,-9640,-626,,0.0,-31785,5167,253135,-398131,,-20348,0.0,0,69165.0,,,-7911.0,,-853300,,1912411,-97.0,-40.0,-728146,0,-425877,155027,49527,17164,6036,-4818,22584,,,2013年01月01日至2013年06月30日,4698800,4996899,298099,-29184,-46132,-25148,,,450000,516973,-29184,10747,0.0,1544090,-1697490,-153400,513.0,,-401.0,,4036,11860,4996899,-38750,-4519,,-2192.0,,-157545.0
2013-11-04,3,2013,0.0,249690.0,,-444045,-66031,-22142,-8006,-626,,,-47681,7946,172854,-639813,,-43139,0.0,0,69165.0,,0.0,-7350.0,,148882,,325778,-97.0,-40.0,-1422538,-6680,-687966,239505,79018,32812,11208,-7789,48681,534.0,,2013年01月01日至2013年09月30日,4698800,3336335,-1362465,38297,-1140258,-1138134,,-373001.0,600000,292905,38297,14310,-534.0,-176789,-1249332,-1426121,2336.0,,-491.0,,-1176431,-35617,3336335,-43550,-7385,,-3259.0,,26023.0
2014-03-21,4,2013,0.0,387564.0,55797.0,-524764,-31946,-99677,-7438,-626,0.0,,-63991,10972,241280,-643643,,-43491,0.0,0,69165.0,,0.0,-6899.0,,372692,0.0,-633847,-97.0,-40.0,564475,-101802,-606576,321504,-2882,42087,16408,-10726,62915,477.0,,2013年01月01日至2013年12月31日,4698800,4619412,-79388,-367501,-406184,-410287,,-373001.0,1000000,692092,-367501,17233,-477.0,-1278611,848261,-430350,31660.0,,30462.0,,-42786,-19560,4619412,-48563,-11003,24369.0,-4072.0,,55162.0
2014-05-05,1,2014,0.0,79316.0,,-105061,5393,156091,6798,346,,,-24693,3383,120742,-24137,,-3369,0.0,6119,0.0,,-906.0,,740.0,195027,,-187991,0.0,0.0,-235961,-62935,-26231,92542,-34714,14217,4871,-3335,23337,0.0,,2014年01月01日至2014年03月31日,4619412,4791534,172122,97982,-127602,-145182,,0.0,200000,205213,97982,2290,0.0,-162695,-159785,-322480,535.0,,-1893.0,,-243164,-26080,4791534,-2422,-11401,,0.0,,-33393.0
2014-08-08,2,2014,,193352.0,,-109982,-23460,-32717,6327,346,,,-42392,7115,-4519,-91143,,-4156,0.0,197372,0.0,,-906.0,,2736.0,193719,,788113,0.0,0.0,-1780396,16359,-90484,184825,-120799,27897,9515,-7023,54256,0.0,,2014年01月01日至2014年06月30日,4619412,4007086,-612326,254322,-713789,-757103,,,0,196466,254322,3952,0.0,567856,-1772633,-1204777,2079.0,,-2079.0,,-1011425,-77904,4007086,-3919,4519,,0.0,,-64383.0
2014-11-10,3,2014,,328342.0,,-113795,16798,-84498,6138,346,,,-55423,13332,98012,-105471,,-5533,,197372,0.0,,-2339.0,,3367.0,250103,,-23788,0.0,0.0,-530940,15492,-105401,278052,-819269,70764,14422,-10101,66000,572.0,,2014年01月01日至2014年09月30日,4619412,4704237,84825,293633,-710449,-752545,,0.0,608551,802663,293633,5614,-572.0,-288168,-1086352,-1374520,2236.0,,-2136.0,,-1046178,-66433,4704237,-14375,4289,,-921.0,,-24674.0
2015-03-10,4,2014,,500321.0,4200.0,-106597,30280,-164317,8028,626,,,-68429,17276,340553,-139383,,-6660,37.0,197372,0.0,,-2339.0,0.0,3059.0,166268,,421927,0.0,0.0,-48611,28317,-119336,377248,75374,148933,19488,-17069,76024,572.0,,2014年度,4619412,5441850,822438,310882,1154834,1115823,-1157725.0,0.0,410000,-553613,310882,6957,-572.0,60816,243804,304620,19448.0,,-19349.0,,804941,-90823,5441850,-20516,4638,14094.0,-921.0,,-15852.0
2015-05-05,1,2015,,,,-83954,-4780,-9889,-7424,0,,,-14011,4958,-81548,-17920,,-5091,,4071,,,0.0,-143.0,0.0,-296359,,-843349,,,352738,-7424,-23154,101425,-98114,1534,3840,-4859,13947,,100149.0,2015年01月01日至2015年03月31日,5441850,4711132,-730718,3204,-893087,-891323,,,263000,267071,3204,1026,,-939203,-55473,-994676,0.0,,0.0,,-894527,-2011,4711132,-10852,1377,,,5890.0,
2015-08-10,2,2015,,,,-56147,5564,96361,-17266,0,,,-25511,9585,-159726,-21275,-20355.0,-6591,,4071,,,0.0,,1348.0,-653326,,-525640,,,-60046,7709,-46873,199386,-47215,5084,7633,-9737,25824,,202148.0,2015年01月01日至2015年06月30日,5441850,4346740,-1095110,53206,-1024582,-994901,,,132000,136071,53206,1739,,-482393,-767862,-1250255,0.0,,0.0,,-1048107,3033,4346740,-45768,4232,,,,-3282.0
2015-11-13,3,2015,,,5806.0,-4588,-2643,25973,-13333,353,,,-37957,14802,106377,-46657,-20374.0,-8839,0.0,4071,,,-6022.0,,1293.0,-224660,-33255.0,-642054,,,-756591,31135,-65302,311605,28585,10739,11581,-14715,36422,267.0,307731.0,2015年01月01日至2015年09月30日,5441850,4556284,-885566,246634,-1031435,-999468,,,140000,104794,246634,2451,-267.0,-629403,-924430,-1553833,3469.0,,-3469.0,,-1246102,-9087,4556284,-53941,-1754,,0.0,,13077.0
2016-03-18,4,2015,,,5806.0,-61409,814,-76208,-6875,341,,,-50299,20459,38565,-53096,-20389.0,-8839,502.0,4071,,,-6022.0,,-7274.0,93137,-129393.0,-452745,,,106201,55710,-49338,426624,-63124,15175,15529,-20364,48383,267.0,438466.0,2015年度,5441850,5741973,300123,282511,315923,344740,0.0,-270254.0,320000,-5027,282511,5113,-267.0,-638647,262410,-376237,1974.0,32480.0,-1974.0,-10833.0,62229,-48626,5741973,-57103,-2005,20442.0,76571.0,,76547.0
