date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,附買回票券及債券負債增加,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,27872.0,-64,,,21807,18107,-4405.0,798,-16704,-5370.0,,,,13836.0,-793,,19114,-12196,,,,,,,-1298,-77466.0,-5000.0,245,,-325,-3286,-176,,-88557,2136.0,-49791,3059.0,,-103651,19659,,2033,-1529,,948,,2013年01月01日至2013年03月31日,1025139,1323757,298618,78453,,,-20680,-20960,,400000.0,-22055.0,403835,78517,1133,-70239,-57046,-127285,-415.0,,,,,316,,,0.0,0.0,-99413,-6423.0,,1323757,861,-8557,,,,32000,,,-11541.0,,,,
2013-08-12,2,2013,74878.0,-12562,,-833.0,35039,29794,,5325,-4632,,67884.0,,-11168.0,-13220.0,-2430,8886.0,26405,-23622,,0.0,,,,,0,,,26658,1610.0,-324,2478,23533,,-106468,,-84511,,530.0,41761,41661,-22034.0,2521,-2799,,2430,,2013年01月01日至2013年06月30日,1025139,1439871,414732,134773,,,53097,66748,,395000.0,-130779.0,293469,147335,2265,-67039,-75864,-142903,0.0,0.0,,0.0,,1731,,,,,-68025,,12774.0,1439871,-13282,-8949,,,,28795,,2981.0,,6189.0,,-18014.0,-1465.0
2013-11-06,3,2013,100661.0,-12701,-202467.0,-1251.0,24091,78459,,-2799,1089,,140530.0,,-3562.0,-18468.0,-3289,12477.0,3288,-40015,,,,,,,-4927,,,27062,5601.0,-325,-2166,177654,,-240185,,-31429,-15003.0,1438.0,108458,59090,0.0,6470,-3772,,3289,,2013年01月01日至2013年09月30日,1055580,1402260,346680,167107,,230650.0,230650,248040,-22538.0,395000.0,-201305.0,4284,179808,3398,-221775,202047,-19728,0.0,2047.0,11562.0,,,352,,,,,80933,,12811.0,1402260,-16907,-214,,,-774.0,31569,,1746.0,,4989.0,,-8723.0,-4320.0
2014-03-24,4,2013,104442.0,-13471,-202467.0,-1673.0,15744,27349,,1615,-40484,,140050.0,,-7070.0,-47018.0,-7654,15894.0,-4325,-59362,,,-10985.0,,,,-14837,,,22771,10163.0,-325,9568,120629,,-78397,,-12166,6249.0,1652.0,70173,84723,,6167,-4570,-22538.0,7654,,2013年01月01日至2013年12月31日,1055580,1545341,489761,244897,,,384466,441045,,395000.0,-191305.0,39447,258368,4530,-65606,157312,91706,0.0,2721.0,11562.0,,0.0,1695,,,-774.0,,196148,,12811.0,1545341,-37125,6608,,,,30054,,4689.0,,-1474.0,,55735.0,-6220.0
2014-04-25,1,2014,37547.0,-38,,-422.0,47692,-78265,,21679,-7559,,2564.0,,0.0,-827.0,-1907,3128.0,14657,-79807,,,-1559.0,,,,-976,,,133,21171.0,0,-3077,-114663,,207347,,-34596,3451.0,222.0,-78425,20293,,1770,-490,,1907,,2014年01月01日至2014年03月31日,1545341,1655869,110528,79715,,,140547,144496,,0.0,13000.0,33749,79753,762,276940,-249706,27234,,2377.0,,,,1207,,,,,64781,,,1655869,-5366,-4497,,,,0,,17485.0,,2053.0,,-18074.0,
2014-08-06,2,2014,51826.0,-2233,,-848.0,-3945,-341349,,8831,11598,,970.0,,3139.0,-1702.0,-4689,6284.0,-581,-126691,,,-37849.0,,,,-2343,,,2566,23603.0,6,-2889,-164887,,182360,,60337,10591.0,1730.0,-147162,39485,,5398,-997,,4567,,2014年01月01日至2014年06月30日,1545341,1293568,-251773,106802,,-116891.0,-116891,-95165,,0.0,,12861,109035,1525,188976,-442769,-253793,,5861.0,,,12640.0,2175,,,-208.0,,-201967,,0.0,1293568,-25296,-14538,1819.0,-9900.0,,0,13711.0,,,,,-19059.0,
2014-10-27,3,2014,77415.0,-2240,0.0,-1275.0,-4932,-257446,,16678,17572,,-16634.0,,-502.0,-1702.0,-6339,9111.0,-9720,-144101,,,-43097.0,,,,-5368,,,2038,23602.0,-220,-2948,22690,,-84259,,38438,17248.0,3237.0,-188122,59422,,7602,-1659,,6196,,2014年01月01日至2014年09月30日,1545341,1151821,-393520,166972,,-51344.0,-51344,-4907,-136541.0,0.0,-29900.0,-144334,169212,2287,-69276,-180018,-249294,,4604.0,0.0,,19924.0,3366,,,-208.0,,-171879,,0.0,1151821,-50974,-21175,1819.0,,,0,,21194.0,-18520.0,,,,0.0
2015-03-06,4,2014,93769.0,-8759,0.0,-1703.0,37523,-88351,,44028,47641,,-17238.0,,0.0,-1702.0,-7326,19567.0,-4987,-162505,-9045.0,-17467.0,-46678.0,,,,-13721,,,5405,23602.0,-58,1584,-31491,,2735,,-15418,9242.0,585.0,-235634,79822,,11035,-9972,,6363,,2014年度,1545341,1350535,-194806,219381,,,191499,269205,-136541.0,0.0,-40000.0,-145684,228140,3050,84871,-128816,-43945,,5202.0,0.0,,25096.0,8519,,,-360.0,,49824,,0.0,1350535,-74097,-28437,1819.0,,,9016,,2377.0,,-862.0,,-50439.0,
2015-05-04,1,2015,,2215,,-431,-83459,123148,,1513,7165,,-252017,,,0,-1601,3315,-2511,-22117,,,-15724,,,-50440,-996,,,2640,0,-160,-1987,35002,,-37389,,-64420,-3417,,-297927,20511,,2952,-1157,,2263,26643,2015年01月01日至2015年03月31日,1350535,1322006,-28529,1771,-1315,,-2459,-15622,,,275884,274368,-444,476,-120650,76614,-44036,,279,,94,36454,1126,,,-1837,,-17393,,,1322006,12057,3571,,,,-925,,-4510,,8527,,-20864,
2015-08-10,2,2015,,2219,,-35298.0,-36475,140058,,-14945,7966,,-195246.0,,0.0,0.0,-4135,7375.0,-8853,-38551,-18616.0,,-36616.0,,,-50440.0,-2035,,,-421,0.0,-323,-942,190355,,-181448,,-85153,-1978.0,,-262160,41568,,5824,-3042,,3652,58320.0,2015年01月01日至2015年06月30日,1270535,1482097,211562,38996,-1345.0,,115477,115336,,,405635.0,367098,36777,952,-234213,252233,18020,,4595.0,,94.0,67070.0,1970,,,-7835.0,,76340,,,1482097,-469,10305,0.0,,,-2916,2717.0,,,,8527.0,985.0,
