date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少
2013-05-10,1,2013,,35557.0,-21858,24364,29979,-31334,-1332,490,24290,-20749,,,-700,-4743,118.0,,,-34.0,-49750,-12675.0,,-406024,-3434,554285,,-15869,-24.0,25712,39856,,34851,-364,2813,-476,1316,,,2013年01月01日至2013年03月31日,474988,641112,166124,7222,,,116004,116439,,,150000,-150000,118,7222,,-406976,480636,73660,933.0,,-454,,,109217,,641112,-1275,,,,,-709.0,,73246.0,-41526.0,-14309,,
2013-08-12,2,2013,0.0,77061.0,-52965,7967,-9844,31579,-2781,1008,31105,-55131,,,-1460,-5098,1064.0,,-52.0,0.0,-233787,,0.0,-222952,-4360,508538,,-14976,-33.0,-3328,81372,,42523,-410,5672,-993,2760,,,2013年01月01日至2013年06月30日,474988,595183,120195,-27209,,,101354,106455,,,620000,-630000,-8936,-27209,,-233815,290418,56603,2327.0,,-541,,,133664,,595183,-6868,38528.0,,,,-2161.0,,73246.0,-33615.0,-22258,,
2013-11-13,3,2013,,145699.0,-6335,-7505,-7616,-71719,-4318,1552,-795,-115716,,,-13004,969,1262.0,0.0,-267.0,,216479,,0.0,-125897,-4039,-1580286,,1045,-36.0,-229813,124799,,-131973,-622,9120,-1423,4199,,,2013年01月01日至2013年09月30日,474988,334650,-140338,1619044,,,88297,92938,,-143289.0,1194000,-1050000,1973,1619044,,-48087,-1623718,-1671805,4536.0,,1253,,,-1526106,51891.0,334650,-7417,43834.0,,,18508.0,-5562.0,-106662.0,,-49648.0,0,1300.0,
2014-03-19,4,2013,,187862.0,-5061,-7549,28442,-232714,-8530,2627,7647,-157294,0.0,,-10067,574,1457.0,0.0,-1894.0,0.0,337063,,0.0,-233557,-2504,275383,,-1445,-262.0,-294722,169005,,-596640,-5263,12712,-2444,6533,,,2013年01月01日至2013年12月31日,474988,1629842,1154854,1600673,,,1420961,1425993,0.0,-143289.0,2063600,-1900800,20968,1600673,,-134381,-228161,-362542,18454.0,,1814,,,-174680,59664.0,1629842,-9121,54888.0,,,19434.0,-4511.0,-144213.0,,-38250.0,0,292.0,
2014-05-13,1,2014,,27101.0,-30381,2006,-15267,-292800,-13123,993,24159,-8729,-179908.0,,-733,-6669,455.0,,-253.0,,67033,,,-294579,-458,349119,,-12110,61.0,-95732,43888,,598528,-1431,3383,-940,11875,,,2014年01月01日至2014年03月31日,1629842,1802313,172471,-4189,,,438714,431197,,,818400,-828400,-194670,-4189,,-325685,733970,408285,104.0,,60,,,435386,1760.0,1802313,-3418,-4094.0,,-185125.0,,0.0,,217459.0,39467.0,-123672,,
2014-08-13,2,2014,,60151.0,-35350,21768,-8200,-39341,-31053,1975,-45377,-39592,-179908.0,,-2886,-4480,489.0,,-436.0,,63305,,,-216818,-2859,250599,,-1800,136.0,-229700,97642,,591609,-1020,6916,-2112,28129,,,2014年01月01日至2014年06月30日,1629842,1936616,306774,-36723,,,683157,683061,,,1919600,-1919600,-101306,-36723,,-234922,894555,659633,300.0,,50,,,719784,3750.0,1936616,-25921,-5549.0,,-101795.0,0.0,-9879.0,,217459.0,38383.0,-224637,,
2014-11-10,3,2014,,268165.0,-28166,38739,-8154,23625,-52327,3094,-22725,-62867,-179908.0,,-3555,-2385,2038.0,,0.0,1965.0,24215,,,-70262,-3685,122705,,-6697,214.0,-327634,141775,,599627,-932,10512,-2854,46413,,,2014年01月01日至2014年09月30日,1629842,1276888,-352954,-164907,,,812967,798028,,-716445.0,2631600,-2476400,-815562,-164907,,-64740,759510,694770,3386.0,,875,,,962935,7759.0,1276888,-28620,-9339.0,179908.0,-256355.0,0.0,-12355.0,0.0,217459.0,4189.0,-304114,0.0,
2015-03-30,4,2014,,311094.0,-47271,67785,-68585,-328541,-62140,4711,51007,-95459,-179908.0,,-3707,-3288,2221.0,,-277.0,,208655,,,-161329,-1405,179059,-56.0,-10538,-97.0,-440540,187246,825.0,549107,220,14137,-4593,53798,3326.0,,2014年度,1629842,965106,-664736,-222862,,,506475,484031,,-716445.0,3505600,-3278400,-781678,-222862,-3326.0,-138606,534405,395799,3955.0,,2361,,,706893,37264.0,965106,-30087,-34378.0,179908.0,-294654.0,3682.0,-12417.0,0.0,217459.0,5304.0,-382603,0.0,
2015-05-12,1,2015,9.0,,-18455,-34889,61299,408475,-16517,6188,-71822,-6485,0.0,,0,-2093,0.0,-254.0,0.0,2770.0,53168,,,-130677,506,177284,56.0,14437,,-29042,45717,-825.0,36001,167,3651,-6325,20160,,37122.0,2015年01月01日至2015年03月31日,965106,1341357,376251,40025,58.0,,685389,674340,,,699000,-951000,-208274,40025,,-142621,739814,597193,0.0,,0,,,634315,1375.0,1341357,-2786,40286.0,,43980.0,,,,0.0,,-25327,,-10906.0
2015-08-11,2,2015,8.0,,652,-32481,54524,434684,-24085,6984,-108263,-34159,0.0,,-750,2192,0.0,-431.0,0.0,2775.0,11894,,,19322,-1477,-28060,56.0,8655,,-72097,90314,-825.0,41975,1067,7346,-7197,29573,,86103.0,2015年01月01日至2015年06月30日,965106,1320900,355794,56310,131.0,,715258,716291,,,1673000,-1898000,-179104,56310,,17995,555883,573878,157.0,,2277,,,659981,3107.0,1320900,-23409,29566.0,,46327.0,,0.0,,0.0,32155.0,-40120,,
