date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付設備款增加
2013-05-13,1,2013,10666.0,,-86578,,459.0,1834.0,9352,98572,,,,-11983.0,,-1145,99,-4386,-23107,0.0,-3147,,,-163,,-20331,,-25407,5045.0,-38446,34085,67394.0,21730,-27253.0,-52768,30792,132457,0.0,-20247,1890,-316,1200,67248,,2013年01月01日至2013年03月31日,543119,785095,241976,88454,,328478,272033,,,-29348.0,-29348,88454,0.0,-163287,336200,172913,,542,,0.0,610,,,,183579,785095,-11687,-1170,,,,-15073.0
2013-08-12,2,2013,18321.0,,-59349,,3096.0,2213.0,13501,-10452,-8035.0,0.0,86657.0,-10086.0,,-2631,164,12063,-43783,0.0,-5860,,,-143,,-81207,,97724,31254.0,10367,-192310,-12631.0,11719,-35236.0,-93119,61809,127751,0.0,-26980,4287,-381,2661,80722,,2013年01月01日至2013年06月30日,543119,678522,135403,191253,,246392,202671,,0.0,-29933.0,-29933,191253,-13474.0,58261,-65164,-6903,,2893,,0.0,121,,,,11418,678522,-39281,-4832,,,,-28248.0
2013-11-11,3,2013,-295391.0,6248.0,-47421,,9736.0,19315.0,12728,-17325,-18077.0,0.0,118500.0,-13102.0,,-5084,1923,10123,-143923,0.0,-5867,,,295,,-52691,,94627,60300.0,-30162,-226268,75938.0,16929,-36761.0,69698,95118,114206,0.0,-271683,6229,-1349,5143,96497,,2013年01月01日至2013年09月30日,543119,861330,318211,629155,,461241,445415,-282678.0,68145.0,0.0,-222851,629155,-29249.0,53311,58340,111651,,3141,,250877.0,218,-99831.0,,,-183740,861330,-84465,-14884,3925.0,-8318.0,17632.0,-9599.0
2014-03-28,4,2013,-253653.0,14121.0,36196,,,7802.0,658,-10287,-18407.0,,148012.0,-227285.0,,-7607,2764,31383,-161799,0.0,-6144,,,414,,-183498,,155891,,-38549,-594206,512401.0,17116,-44266.0,-126938,128783,81633,0.0,-299542,24880,-2152,6981,165625,,2013年01月01日至2013年12月31日,543119,878729,335610,762675,,664280,597925,-282678.0,57879.0,,-233115,762675,-29258.0,109930,-21027,88903,,21699,,250877.0,433,-101999.0,,,-164750,878729,-104099,-20007,27435.0,-8316.0,20051.0,
2014-05-06,1,2014,96818.0,,-80015,4109.0,,,-2155,3716,-2943.0,0.0,-14740.0,-2182.0,,-2367,1120,-2305,-15655,,-120,,,46,,72747,,-44386,,-12050,-49198,20593.0,-4808,-4496.0,-32203,34822,37341,,-7477,6669,-1023,2427,0,,2014年01月01日至2014年03月31日,878729,980360,101631,71279,,89624,94755,,46515.0,,46515,71279,,-138993,65651,-73342,,5236,6000.0,,1363,-4335.0,,,23476,980360,-6535,66977,,,,-22539.0
2014-08-08,2,2014,82407.0,,-49513,2008.0,,,1093,-4197,-19524.0,,-8962.0,-2879.0,,-5775,2789,-5148,-42188,,-2252,,,168,-2871.0,122857,-40711.0,35187,,10852,-226575,5571.0,-3092,-10392.0,-222770,68530,142588,,-14666,17328,-1657,5860,30202,,2014年01月01日至2014年06月30日,878729,1024584,145855,256798,,336559,356630,,45926.0,,37214,256798,-7877.0,-10765,28190,17425,,6814,27485.0,,-110,-22885.0,,,99832,1024584,-54476,44905,,-8712.0,,-146644.0
2014-11-07,3,2014,48016.0,0.0,2900,4711.0,,,1387,-23197,16450.0,,-9383.0,-49731.0,,-7789,4000,12085,-273792,0.0,-4671,-213552.0,,73,,90950,-40711.0,134897,0.0,37052,-366204,30818.0,-16070,-15833.0,-431163,104045,272874,,-42224,24658,-3038,7872,53187,,2014年01月01日至2014年09月30日,878729,810178,-68551,496539,,648346,689457,-376904.0,227072.0,-136217.0,-297819,496539,-22985.0,165114,-20212,144902,,7305,67998.0,0.0,-511,-48341.0,59541.0,,192918,810178,-99132,37090,0.0,-11770.0,0.0,
2015-03-23,4,2014,80584.0,0.0,54184,,,0.0,8272,-13243,-11700.0,,-9749.0,-8674.0,,-11527,3019,18698,-408027,0.0,-3068,,,3650,,34168,-50708.0,135674,,19963,-353803,37211.0,166,-14599.0,-389840,140245,268379,,-55571,34187,-2758,11557,53187,,2014年度,878729,1000962,122233,671423,,881721,918630,-376904.0,228648.0,-228320.0,-388346,671423,-22985.0,203494,-36871,166623,,7565,79838.0,0.0,-521,-55734.0,59541.0,,247207,1000962,-98895,45821,0.0,-11770.0,0.0,-54607.0
2015-05-12,1,2015,,0.0,-63399,891.0,,0.0,948,-40054,-4700.0,,6555.0,-5762.0,,-2493,690,-6795,-10959,0.0,-210,,,-2202,,8926,0.0,-51155,,-20289,24645,0.0,-4054,,-6502,36999,-10335,,-10186,9914,-529,2090,0,3591.0,2015年01月01日至2015年03月31日,1000962,1046598,45636,219274,-5608.0,58933,69936,0.0,0.0,0.0,0,219274,0.0,-138612,-14317,-152929,,404,29297.0,0.0,107,-19076.0,,0.0,-149338,1046598,-12564,-10162,0.0,0.0,0.0,-14572.0
2015-08-10,2,2015,,0.0,-59481,-1863.0,,0.0,-3066,-15185,-2429.0,,26607.0,-1522.0,,-4970,1638,-19296,-30946,0.0,-2389,,,-2308,,16598,0.0,-13544,,7790,-30316,0.0,-4965,,-533,74077,-6750,,-27301,19113,-842,4422,0,-5440.0,2015年01月01日至2015年06月30日,1000962,1233286,232324,446016,-11704.0,254746,344697,,0.0,0.0,-2593,446016,0.0,-81868,-14011,-95879,,477,67303.0,0.0,513,-44974.0,,0.0,-101319,1233286,-93531,-21228,0.0,-2593.0,0.0,-31027.0
