date,season,year,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得按攤銷後成本衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收款項減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損迴轉利益,預付設備款增加
2015-08-10,2,2015,-194234,58671,-6185,-347,19153,-1676,,,,,-1103,2518,-1072,-226713,-55079.0,-715.0,,885,,-1324.0,58.0,,-74005,-609162.0,,46687,,,-10780,-12506,-74512,,-6912,-930151,128844,1773,2521,-2390,928,,137385,2015年01月01日至2015年06月30日,102170,589727,120,487557,168344,,199219,257596,927447,,,-15000,1219561,168344,3380,,94231,-142364,-48133,400000,,25731.0,,1878,89252,589727,-56915,,2398,115178,-4056,-64271
2015-11-09,3,2015,-232807,6395,-2673,2160,-70479,-2997,,-366.0,-29867.0,,-2250,7411,8166,-151699,,,25731.0,2513,,-1279.0,56.0,,-102026,-609162.0,,46222,50000.0,,-13413,-498266,-192657,,-5717,-962042,204054,-4587,4125,-6739,1911,2151.0,218884,2015年01月01日至2015年09月30日,102170,567243,4181,465073,307802,,90706,186914,927447,-151852.0,,-2353,1328243,307802,3380,-2151.0,41364,-381136,-339772,1057221,5.0,,-5.0,1878,-120888,567243,-93531,-87600.0,-7015,180132,2763,-109140
2016-03-21,4,2015,-253251,35110,-33241,6104,-3217,-14920,,-12104.0,-29987.0,,-2424,13736,30282,-641629,-87600.0,,,6809,-2344.0,,12870.0,,-65017,-609162.0,-93566.0,65937,50000.0,,-14123,-498266,-220661,,5309,-1529300,284984,-4587,5830,-12998,2377,2820.0,314723,2015年度,102170,594925,-1521,492755,438826,211.0,404326,510454,927447,-151852.0,65047.0,-15000,1587447,438826,3380,-2820.0,93239,-336334,-243095,1380360,5.0,25731.0,523.0,1878,71628,594925,-95507,,63,178872,4285,-190244
2016-05-09,1,2016,-547186,-18655,-38738,3989,2133,1956,-10869.0,,,,-900,7272,3417,-34966,,,,1139,526.0,,0.0,,16002,,,-37633,,-20000.0,-15874,0,46482,,-26793,-202591,77947,586,1813,-7012,691,,125252,2016年01月01日至2016年03月31日,594925,538192,3203,-56733,60248,,98583,108086,0,,128943.0,-97340,43858,60248,0,,-68173,-9241,-77414,564732,,,86.0,3,47838,538192,-3182,,33471,14183,1218,-167625
2016-08-08,2,2016,-520007,-28736,-95094,9146,-19988,4980,-10248.0,,,-111336.0,-1696,15456,-5287,-333880,0.0,0.0,,1738,,499.0,0.0,,8746,0.0,,-42108,15000.0,,34704,0,105894,0.0,-50705,-530744,156829,783,3523,-15210,1516,70.0,187055,2016年01月01日至2016年06月30日,594925,628333,665,33408,135997,,169446,240426,0,0.0,259593.0,-89151,399993,135997,0,-70.0,-26994,-55632,-82626,685874,,0.0,88.0,5,104429,628333,-57286,,9169,48185,1348,-85598
2016-11-03,3,2016,-537560,-27819,-74489,14012,-27416,4377,-12376.0,,-111336.0,,-2929,24431,-9445,-528333,0.0,0.0,,1601,490.0,0.0,,0.0,-23642,0.0,,23782,50000.0,,77461,0,42988,0.0,-6469,-756879,237956,783,5760,-24120,2477,4793.0,288887,2016年01月01日至2016年09月30日,594925,735877,1441,140952,156981,,322611,437060,0,-148278.0,723807.0,-237853,584665,156981,0,-4793.0,87436,-96244,-8808,685874,127.0,0.0,231.0,5,280079,735877,-92806,,17048,48185,8136,-122130
