date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-08-06,2,2013,182376,197628,-82821,-25402,,,,-461753,7539,28312,-10959,3295,21664,-25937,,,-598,868,75805,-1075,-603969,156600,-3086,-13552,12705,,8404,6511,2013年01月01日至2013年06月30日,639761,997517,5020,357756,706920,273839,273852,,75805,706920,134695,271407,-886851,-615444,8,36,-433068,997517,-13,,,207359
2013-11-08,3,2013,312308,130706,-30624,-15530,,,,-1305790,7556,,-15971,3274,15170,-51319,-90195,,-16801,855,76231,-1274,-394972,-36310,-18471,-137369,17679,,16517,14656,2013年01月01日至2013年09月30日,639761,466517,3121,-173244,1013421,-127276,-127086,,76231,1013421,167276,63772,-1516587,-1452815,8,36,-1140507,466517,-190,119521,,218176
2014-03-06,4,2013,362179,111548,-6984,44459,,0,-3667402,0,7544,,-30518,3274,33683,-62243,-90195,,-21067,15,102951,-3267,6067,11368,1658,-3810952,26383,,21639,25670,2013年01月01日至2013年12月31日,639761,826449,3992,186688,1323600,2111006,2111219,1750000,1852951,1323600,196860,115932,309508,425440,8,1992,787619,826449,-213,138542,,257324
2014-05-12,1,2014,13051,0,-116847,10061,,,-80016,0,0,,-21073,0,18274,-20066,0,-75000,0,0,21803,-97,176617,87927,-5637,-157117,10033,2560,5206,18062,2014年01月01日至2014年03月31日,826449,1190351,800,363902,315204,480942,480959,,21803,315204,22068,-28920,181624,152704,0,600,165755,1190351,-17,0,-7143,583
2014-08-01,2,2014,-53301,0,-12686,573,0,,-257465,0,-3992,,-41542,0,-12408,-33982,0,-75000,0,0,46749,0,244999,129371,-14504,-327947,20927,13973,10378,42492,2014年01月01日至2014年06月30日,826449,1467758,851,641309,642725,934915,934949,,46749,642725,29831,116685,228840,345525,0,612,292224,1467758,-34,0,-88331,-2228
