date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得按攤銷後成本衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融資產到期還本,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-13,1,2013,614.0,,,-19248,2534,2300,-509,329.0,,,,647.0,-1462,54.0,888,-2975,,0.0,-93,,,,-19,,-497.0,,-32638,,77407,-991.0,-23693,33801,-7016,91,314.0,210308,3707,-1713.0,-243087,200000.0,-55.0,1248,-54.0,629,,,2013年01月01日至2013年03月31日,706152,764507,-1980,58355,69826,,-152841,-145921,,,69826,,0.0,34376,-250737,-216361,,,,,,,13928.0,-215747,,764507,-7495,-3782,,0.0,2201.0,0.0,-4242.0,,
2013-08-12,2,2013,1005.0,,,1273,-1640,6689,-2154,-7275.0,,,,2366.0,-3890,126.0,-568,-7262,,,-657,0.0,,,-54,,-511.0,,-106844,,151898,-1040.0,10256,20102,-113957,-1629,632.0,210057,7538,-1914.0,-273706,200000.0,,2229,-126.0,3252,,,2013年01月01日至2013年06月30日,706152,727229,-3935,21077,155086,,-188412,-166328,,,155086,,0.0,167794,-490213,-322419,,0.0,0.0,13928.0,,4559.0,,-321414,,727229,-25210,-7337,,0.0,3962.0,0.0,-3110.0,,
2013-11-12,3,2013,7914.0,,,-8389,-6847,4616,-3576,-1476.0,,,,3269.0,-5183,180.0,-1973,-11739,,0.0,-657,0.0,,,-36,,-1341.0,,-42768,,22262,-974.0,-4087,31027,-176724,-1277,955.0,204750,11381,5071.0,-157509,200000.0,,3057,-180.0,4403,8498.0,,2013年01月01日至2013年09月30日,706152,609255,-2631,-96897,235328,,-127414,-91356,-172260.0,-172260.0,235328,,0.0,19454,-354052,-334598,0.0,0.0,,,0.0,4559.0,13928.0,-326684,,609255,-48779,-9402,,0.0,7279.0,0.0,5098.0,,
2014-03-27,4,2013,-6994.0,,,10470,-2553,-188,-1338,820.0,0.0,,,5237.0,-6349,257.0,9299,-15918,,,-657,0.0,,0.0,-18,,-1651.0,,-121392,,63564,-1029.0,-4964,7543,-64487,136,1274.0,270393,15357,-1244.0,-280001,200000.0,,3736,-257.0,6445,8498.0,,2013年01月01日至2013年12月31日,706152,693885,-14370,-12267,310826,,-119699,-84715,-172260.0,-172260.0,310826,,0.0,72248,-460795,-388547,0.0,2432.0,0.0,,0.0,72259.0,13928.0,-395541,4365.0,693885,-49670,-10844,0.0,0.0,,,477.0,,
2014-05-13,1,2014,4393.0,,,-9083,1540,20312,-679,934.0,,,,2311.0,-1030,82.0,6567,-1813,,,-23,-55.0,,,18,,0.0,,-40802,,-9798,790.0,5739,-11826,14614,0,-8704.0,-1891,4037,-1782.0,-35000,0.0,,678,-82.0,954,,,2014年01月01日至2014年03月31日,693885,709431,-5141,15546,91173,,10870,13796,,,91173,,,-995,-80775,-81770,,,,0.0,,,,-77377,1531.0,709431,-3798,3438,,,,,-9556.0,,
2014-08-12,2,2014,15203.0,,,-2156,-112,179,-815,934.0,,,,2440.0,-3394,154.0,2583,-3653,,,-27,,,,36,,1414.0,,-39721,,-76437,18.0,25988,-29055,-12007,-89,-8315.0,-2321,7986,-474.0,-60000,0.0,-55.0,1360,-154.0,3061,,,2014年01月01日至2014年06月30日,693885,663450,1133,-30435,181288,,-30697,-768,,,181288,,,-61197,-136062,-197259,,,,,24.0,0.0,0.0,-182056,,663450,-32836,199,,,5265.0,,4803.0,,
2014-11-11,3,2014,16969.0,,,-1177,3008,-533,-2799,,,,591.0,10039.0,-4543,217.0,-4631,-6892,,,-1205,-55.0,,,55,,-207.0,,-29174,-9413.0,-26213,0.0,-3306,-94699,94029,0,-7915.0,-28739,12022,-242.0,120737,0.0,,2066,-217.0,4026,0.0,,2014年01月01日至2014年09月30日,693885,756009,-2217,62124,292835,,311619,363879,-206712.0,-216125.0,292835,,,-39386,93461,54075,,,,0.0,24.0,0.0,,71044,,756009,-56069,-694,,,,,2359.0,-20971.0,
2015-03-24,4,2014,30206.0,0.0,,22090,910,4008,949,,,,934.0,15338.0,-5774,284.0,-9181,-8848,,,-3816,-55.0,,,73,,1330.0,,-12063,-62601.0,-4996,0.0,1181,-81435,101357,-1748,-7509.0,-127095,16162,-2379.0,133736,0.0,,2901,-284.0,5555,0.0,,2014年度,693885,841901,-1649,148016,420201,,553605,608770,-206712.0,-269313.0,420201,,,17269,141094,158363,,,,0.0,37.0,0.0,,188569,4874.0,841901,-60436,-1144,3978.0,,,,-612.0,-116640.0,
2015-05-12,1,2015,,,,-10951,-1606,23362,-7319,,,,0.0,10446.0,-1393,0.0,-11663,-1463,,,-754,,-31311.0,,19,57252.0,-6.0,,-67464,,51294,0.0,7560,-23475,-13914,1747,,-330112,4141,0.0,276237,,,773,0.0,1252,,17153.0,2015年01月01日至2015年03月31日,841901,882749,5129,40848,92779,382.0,325371,336984,,57252.0,92779,,,72423,154629,227052,,,,,,,,244205,776.0,882749,-12865,-1962,,,,,-9577.0,-296578.0,
2015-08-12,2,2015,,,,-2113,-7372,26095,-613,,,,0.0,,-3360,0.0,-18861,-322783,,,-1325,,-30946.0,,37,57079.0,,487.0,-118357,,32810,0.0,45313,-76402,-127933,1748,,-354567,9821,1077.0,156237,,,1549,0.0,3152,,44275.0,2015年01月01日至2015年06月30日,841901,660850,7285,-181051,208227,750.0,135298,181816,,57079.0,208227,2069.0,,105887,-176573,-70686,,,,,0.0,,,-26411,1955.0,660850,-49670,-3945,,,30819.0,,-3881.0,,
